标题,来源,时间,问题,回答
咨询,18***04 (云南),2018-06-27 10:41,您好，请问云南昆明市城镇户口的白族考生，高考分数606，是否有资格报考贵校的预科？,分数有希望
天津考生,13***88 (天津),2018-06-27 10:40,文科排名560名，是否能录贵校,分数不错，有希望
河南,13***55 (河南),2018-06-27 10:20,老师你好，我是河南文史考生，601分，4905名，被贵校录取几率多大,分数有点风险
江苏理科生,18***88 (江苏),2018-06-26 16:21,我是江苏的理科生，总分377分，英语110分，排名7000名。贵校录取的可能性大吗？英语单科优秀录取有优惠政策吗？,你的分数可以冲一下，没有单科优惠，按总分从高分到低分录取
咨询,18***00 (西藏),2018-06-26 14:56,请问这个学校上海外国语大学贤达经济人文学院(独立学院)是属于贵校的分院吗？,不是，它是独立的
提前批与普通批,18***89 (上海),2018-06-26 14:45,提前批填不愿意服从调剂而被退档，不会影响普通批录取的吧,不会
报考咨询,13***27 (河南),2018-06-26 14:35,老师您好！我是女生，请问河南文科考生622分，听力30分，省内分数排名2011名，报考贵校有希望录取吗？谢谢！,分数可以冲一下
录取,13***88 (湖北),2018-06-26 13:38,湖北理科629，5816位，录取有希望吗？,分数不错，有希望
录取,15***81 (河南),2018-06-26 13:33,河南理科614排名10714有望报考贵校国际汉语教育专业吗,你的分数报提前批可能比较有把握
咨询,13***78 (安徽),2018-06-26 13:17,我是安徽文科生.633分排名625.报提前批次.可有希望,分数不错，很有希望
山东文科考生575分报考是否可行,15***01 (山东),2018-06-26 12:50,山东文科生575分，报考贵校，希望大不大？,分数可以冲冲看
湖北理科635，排名4777，是否有机会？,18***33 (湖北),2018-06-26 11:42,湖北理科635，排名4777，是否有机会？,你的分数不错，希望很大
提前批,wa***126.com (天津),2018-06-26 11:34,老师，想问一下，天津文科610，有希望被提前批录取吗？,排名是多少呢
海南理科生,18***90 (海南),2018-06-26 10:56,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,你的分数有希望，可以冲一冲
天津文科生,15***34 (天津),2018-06-26 10:56,请问，文科569排名2545报考贵校有希望吗？谢谢,风险很大
云南考生,13***72 (云南),2018-06-25 12:47,云南理科638，英语口试成绩4分，报上外被录取几率高吗,你的分数不错，有希望
咨询,15***70 (云南),2018-06-25 11:32,请问贵校是否承认边疆照顾分以及会考加分,学校在调档时认可省级招生机构根据教育部相关规定计入考生投档成绩的全国性政策加分，对符合学校录取标准的考生，按考生高考投档成绩从高分到低分顺序进行录退。
天津考生,13***88 (天津),2018-06-25 11:05,请问文科类553-579名之间，录取贵校的概率大吗,你的分数不错，较有希望
山东理科考生,15***44 (山东),2018-06-25 11:04,老师您好高考成绩639位次5321外语成绩147想报考贵校可能性大吗？报考什么专业更可能被录取呢?,你的分数有希望，专业建议按照兴趣填写，平行志愿服从调剂，进档不退
山东考生报考贵校资格,18***87 (山东),2018-06-25 10:40,文科628分，全省1208名，报考贵校是否有希望，提前批呢,你的分数有希望
录取,18***41 (山西),2018-06-25 10:02,山西省文科601分，向往贵校多年，冒昧问问不知录取可能性如何,你的分数不错，有希望
咨询,13***35 (江苏),2018-06-25 09:50,江苏考生，理科，381，排名4852-5336，可以报贵校吗？,分数不错，很有希望
咨询,15***70 (云南),2018-06-25 09:32,云南考生分数645含加分超过一本线115理科省排2087报考贵校有无可能,你的分数希望较大
吉林考生,18***65 (吉林),2018-06-25 09:17,您好，我是吉林省理科考生，高考成绩642分，省排位1870左右，自主招生入选B档，报考贵校是否能被录取。,这个要根据我校在你省的投档线决定，但你的分数很有把握
专业 国家专项,13***85 (河北),2018-06-25 09:16,您好我是河北省贫困县理科考生，我了解到贵校国家贫困专项在河北省日语招2人，法学招2人，我本人很喜欢日语，讨厌法学，若在填报志愿时只填日语，不服从专业调剂，被退档的风险大不大？我的分数639，位次8400左右,建议还是服从调剂
江苏理科生咨询,13***32 (江苏),2018-06-25 09:10,江苏理科381，省排名在4852~5337之间，第一志愿上外，服从，录取有希望吗？,分数不错，很有希望
录取,13***85 (河北),2018-06-25 09:05,您好，我是河北省贫困县理科考生，成绩639，位次8400左右.报考贵校国家专项计划日语专业希望大不大？若不服从专业调剂被退档的风险大不大？,分数可以冲一下，建议服从调剂
咨询,13***67 (湖北),2018-06-25 09:03,您好，请问湖北文科考生，624分，位次1780，报考贵校有希望吗？,分数可以冲一下
河北考生,15***20 (河北),2018-06-24 16:13,河北理科，女，633，位次10263，有希望进贵校吗？,分数有风险
求甘肃招生老师电话！,13***02 (甘肃),2018-06-24 15:30,求甘肃招生老师电话！,有什么问题可以拨打我校招生咨询热线021-55386006，55383668咨询
甘肃考生,yu*** (甘肃),2017-06-27 12:01,你好，甘肃文科考生，582分，位次310，报贵校可以吗,分数不错，有希望
专业问题,mo*** (陕西),2017-06-27 12:00,请问政治学和行政学的具体说明是什么？我在招生章程中没有招到,请查阅http://admissions.shisu.edu.cn/0f/24/c643a3876/page.htm
-填报咨询,18***00 (江苏),2017-06-27 11:54,江苏文科373省排名1168进入贵校的可能性大吗？被服从调剂的可能性大吗？,分数有希望
海南文史类754报上外有希望吗,xj*** (海南),2017-06-27 11:19,老师好，我是一名海南省的文史类考生，今年高考成绩为754分，省内排名为343名，想咨询一下报考上外提前批的小语种有希望吗？,分数有希望
提前批,cj*** (湖北),2017-06-27 11:14,湖北考生，贵校提前批怎么报！,填志愿的时候报就可以
录取,cj*** (湖北),2017-06-27 11:06,湖北文科609，有希望吗？,你考的不错，有希望
上海考生 551 提前批 和本科批 都有希望吗,lp*** (上海),2017-06-27 10:49,上海考生551提前批和本科批都有希望吗,分数很好，希望较大
河南理科567分,20***r (河南),2017-06-27 10:05,老师您好，河南理科567分，省排名19244，报名贵校有希望被录取吗？,分数有风险
河南考生咨询,19***2 (河南),2017-06-27 09:19,请问2017上外在河南有招生计划吗对于河南考生有什么要求吗上外在河南的提前批次招生是什么情况呢,请参考我校今年的招生计划http://infadm.shisu.edu.cn/_upload/article/files/9f/ad/15e2d21e4e63877c76fd4194ca35/0d413590-5c5f-4847-bbd3-b28cc36457a4.pdf
广西理科考生咨询,an***916 (广西),2017-06-26 16:58,老师好！我是广西2017年应届考生，想报考贵校。我的高考成绩是559分，英语成绩146分，总分超一本线86分，全省排名4983名(理科参加考试人数18.7万）。请问进入贵校的可能性有多大？可以报考哪些专业？提前谢谢您的回答。,你的分数可以冲一下啊
河南文科587，省排名2458，国家专项计划，报考贵校机会大,18***61 (河南),2017-06-26 16:55,河南文科587，省排名2458，国家专项计划，报考贵校机会大吗,分数可以冲冲看
