标题,来源,时间,问题,回答
新疆文科考生,13***97 (新疆),2018-06-27 16:46,老师，您好！新疆文科考生，高考成绩584分，超一本线84分，全疆排名540，报考贵校有希望吗？,去年高87分，可以冲一冲
贵州理科考生,41***@qq.com (贵州),2018-06-27 16:42,上海大学中外合作专业怎么查不到任何往年招生的录取分数？,贵州请详细咨询贵州招生组卢老师021-66138116
志愿咨询,18***99 (新疆),2018-06-27 16:41,我是新疆考生，理科，586分，排名3279，报贵校能否录取？谢谢！,去年理科高一本线109分
新疆文科考生,13***97 (新疆),2018-06-27 16:39,老师，您好！新疆文科考生，高考成绩584分，超一本线84分，全疆排名540，报考贵校有希望吗？,有点危险，建议填报
江西,15***36 (江西),2018-06-27 16:37,江西理科7710录取到电气类专业的可能性大吗？一般来说贵校什么专业的录取排名最低？,有点危险，建议填报，具体请咨询江西招生组黄老师13651791049
理科565，位次4847，可以走贵校吗？,13***00 (新疆),2018-06-27 16:34,理科565，位次4847，可以走贵校吗？,去年新疆高一本线109分，详情可咨询新疆招生组何老师021-69980001
中外合作办,15***36 (江西),2018-06-27 16:33,如果调剂到中外合作办，家庭条件不好，岂不是相当于间接逼迫考生退档？毕竟是这么贵的学费、、、、、、,如果被录取到中外合作专业，实在家庭困难，上海大学有强大的奖助金体系制度，再不行也可以申请转专业。
新疆理科565，位次4817，可以进上海大学吗,13***00 (新疆),2018-06-27 16:17,新疆理科565，位次4817，可以进上海大学吗？如果进不去，一本的合作交流专业可以上吗,去年超一本线87分，中外合作高于等于这条线
山东咨询,15***21 (山东),2018-06-27 16:15,你好山东文科2507是否有较大把握进入学校,去年在1800左右
湖南理科,13***72 (湖南),2018-06-27 16:12,老师您好，湖南理科616，省排名7700，可以选到比较好的专业吗,比较有希望，建议报考
福建录取,13***71 (福建),2018-06-27 15:59,老师您好，我是福建文科考生，总分579，排名3710，能被贵校录取吗？,希望很小
咨询,18***04 (云南),2018-06-27 15:52,请问云南理科考生606分，省排7770，可以报考贵校吗,希望不大
录取,17***87 (福建),2018-06-27 15:17,福建考生565，通过农村专项计划录取概率大吗？,福建去年高校专项文科最低530，理科最低555
江西理科609分，全省6681名，报考贵校希望有多大呢？,jj***.com (江西),2018-06-27 15:00,江西理科609分，全省6681名，报考贵校希望怎么样，能否选择到好的专业？,比较有希望，建议报考
调剂+,15***36 (江西),2018-06-27 13:53,请问，什么叫在同一报考代码内调剂？假如报了电气类，会调剂到经济学类或社会学类吗？或者会调剂到中外合作办的专业吗？,在江西，我们学校是一个招生代码，服从调剂就有可能调剂到中外合作办学专业
关于调剂的问题,13***75 (河北),2018-06-25 13:03,老师你好我是河北考生，请问调剂的话是在河北招生专业的范围内调剂，还是在学校所有专业范围内调剂？,考生你好，调剂在河北招生专业的范围内进行调剂。欢迎报考上海大学！
