标题,来源,时间,问题,回答
录取,17***99 (河南),2018-06-27 10:04,我是河南文科考生，今年的高考分数是651分，全省位次282，请问能上贵校今年的录取分数线吗？工商管理类（中外合作办学）（AC-CA）专业与工商管理类（包含专业：国际商务，人力资源管理，市场营销，工商管理(商务分析），工商管理（战略与创新创业））专业这两个专业哪个更容易录取？,请参考查阅我校招生网历年录取分数，并对应往年一分一段表进行参考。
关于退档问题,15***46 (广西),2018-06-27 09:22,在广西，是否承诺提档即录取（服从专业调剂）,提档后在服从调剂的情况下就不会退档。专业调剂在本省招生专业内调剂。
填报,13***56 (辽宁),2018-06-27 09:05,请问辽宁贵校招生电话,上海财经大学招生网上有我校招生办公室的电话。
咨询,15***42 (贵州),2018-06-26 20:27,请问贵州考生578，位次8900，能上贵校的预科吗？,请参考查阅我校招生网历年录取分数（地区选择其他地区）。
咨询,13***14 (宁夏),2018-06-26 17:51,您好！我是宁夏理科考生606分，省内排名604，填报贵校“国家专项计划”法学专业，有希望录取吗？如被录取，请问可以转金融专业吗？关于转专业还有哪些规定？急盼答复！谢谢！,请参考查阅我校招生网历年录取分数。国家专项计划可以转专业。我校教务处网站可获取转专业相关信息。
河南文科，619分，2343位次，报考贵校有希望吗？,41***@qq.com (河南),2018-06-26 15:46,河南文科，619分，2343位次，报考贵校有希望吗？,请参考查阅我校招生网历年录取分数，并对应往年一分一段表进行参考。
高考招生,18***39 (河北),2018-06-26 15:15,河北理科考生今年672分，上贵校有希望吗？你们学校退档吗？,请参考查阅我校招生网历年录取分数，并对应往年一分一段表进行参考。选择服从调剂的话提档后就不会退档。
海南理科生,18***90 (海南),2018-06-26 14:39,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,请参考查阅我校招生网历年录取分数，并对应往年一分一段表进行参考。
专业,15***16 (广东),2018-06-26 14:28,你好！向往贵校很久，排名进想去的专业有点难，被调剂其他专业，入学后能转专业吗？,入学后在大一第二学期有转专业考试，第一学期绩点达到想转入学院的要求即可参加笔试，通过后即可转专业。
录取几率与选择专业范围,we***i888@foxmail.com (广西),2018-06-26 11:47,老师您好广西理工科考生610，排名4900左右，请问录取几率多大，选择专业范围多大谢谢,请参考查阅我校招生网历年录取分数，并对应往年一分一段表进行参考。
