标题,来源,时间,问题,回答
黑龙江考生今年497分报考贵校希望大吗？,sh*** (黑龙江),2017-06-24 13:49,如题,如果是理科497分，有希望，可以报考。
贵校“植物生产类”专业就业去向？,sh*** (黑龙江),2017-06-24 13:48,如题，谢谢！,植物生产类Ⅰ包含4个专业，植物生产类Ⅱ包含2个专业，详情你可以查看我校2017年的报考指南http://zsb.neau.edu.cn/info/1208/1587.htm，或者拨打农学院专业咨询电话：0451-55190342。
报考咨询,ly*** (云南),2017-06-24 13:46,老师您好！我是云南理科考生，仅高一本线11分，省排名25900。请问被录取的几率大吗？,希望较大，可以报考。
报考咨询,be***is (广西),2017-06-24 10:57,老师您好！我是一名广西文科考生，今年高考分数仅高于一本线6分，但我想报考贵校的法学专业，请问被录取的几率大吗？,有希望，可以报考。
能否报考贵校,ji***u (天津),2017-06-24 09:46,我是天津考生，理科男，高一本线49分，报考贵校有希望吗？谢谢,希望较大，可以报考。
贵州理科,xh*** (贵州),2017-06-23 11:34,老师您好，我今年490分，省排名23700.有机会进入贵校学习吗,希望较大，可以报考。我校2016年在贵州省理科最低录取位次34479。
四川理科考生高过20分报考希望大吗,li***un (四川),2017-06-23 11:31,我,有希望。2016年四川省理科最低分位次47512。
贵校今年在陕西省有国家专项计划吗,ja*** (陕西),2017-06-22 15:30,贵校今年在陕西省有国家专项计划吗,东北农业大学2017年在陕西省没有国家贫困专项的招生计划。
民族预科,18***25 (黑龙江),2016-06-28 16:27,民族预科，预科结束后是正常本科生吗,是
黑龙江,li*** (黑龙江),2016-06-28 15:41,老师你好，我是黑龙江考生，分数为530分，一本线为486分，请问有望被贵校录取嘛,有希望，可以报考
安徽考生,95*** (安徽),2016-06-28 15:09,老师您好，我是今年安徽的考生，我今年的分数是536分，高于一本线16分，请问报考贵校被录取的希望大吗？？？,只能是冲一下
河南理科生高一本线56,lr*** (河南),2016-06-28 14:33,请问高一本线56有希望上贵校中等及以上专业么？,可以报考，专业有选择余地
关于分数线,lr*** (河南),2016-06-28 14:32,老师你好，2016在河南省预估理科招生的分数线及排位是多少？,高出一本线20分希望大些
关于往年招收情况,lr*** (河南),2016-06-28 14:32,老师你好，请问在河南往年理工科招生的平均分数线及排位是多少？,可参考去年分数
福建考生，理科，高出本一线30分,da*** (福建),2016-06-28 14:12,老师你好，想问一下我这个分数有希望上贵校吗？,可以冲一下吧
转专业问题,zm*** (辽宁),2016-06-26 09:40,老师你好，我是理科生准备报考贵校偏文的专业，请问如果服从调剂，被分到了理工类专业，能否转到语言类专业？,根据第一年成绩，成绩突出可以申请
山东理科考生,52*** (山东),2016-06-26 09:34,老师您好，我是山东理科考生，高出一本线43分，排名41868，有希望上贵校么？如果报考中外联合办学，录取分数是不是会偏低？,山东没有合作办学计划，你的分数可以报考我校，有希望吧
