标题,来源,时间,问题,回答
录取咨询,13***30 (北京),2018-06-28 09:04,您好！我是北京理科考生，574分，市排名11400多名，有希望被贵校录取吗？谢谢！,同学你好，我校去年最低分位次10262，请参考。
北京理科考生578分，位次10964，想报考贵校，服从调剂，,ne***01@163.com (北京),2018-06-27 16:55,北京理科考生578分，位次10964，想报考贵校，服从调剂，录取机会多大？提档线有希望吗？,同学你好，这个位次可以试试，有希望，建议服从专业调剂。
为啥没有分校招生章程，院校库里,13***19 (辽宁),2018-06-27 16:47,录取,同学你好，2016年起东北大学本部与秦皇岛分校招生章程合并，秦皇岛分校不再单独公布招生章程。
辽宁理科如何转专业，能到主校读研吗,13***19 (辽宁),2018-06-27 16:43,进档,同学你好，专业分流以后专业排名前20%的学生有机会申请转专业。可以攻读东北大学研究生。
录取咨询,13***72 (云南),2018-06-27 15:50,老师您好！我是云南理科考生，成绩超出一本线54分，省排12768，请问有希望报考贵校吗？谢谢！,同学你好，我校去年在云南省录取最低分位次是14813，你的排名在此之前，有希望被录取，欢迎报考东北大学秦皇岛分校。
湖南考生，理科556分,18***64 (湖南),2018-06-27 15:01,老师您好，我是湖南考生，理科总分556，超出一本线43分，位次29371，请问报考贵校被录取希望大吗?望解答，感谢。,同学你好，我校去年在湖南省的录取最低分位次为16104，请参考。
毕业证问题,18***90 (四川),2018-06-27 14:53,老师，想咨询一下，咱们分校的毕业证，是否跟东北大学的是一模一样的？我听说内芯有“秦皇岛分校”字样？,同学你好，秦皇岛分校的毕业证从2018年开始不再标注“秦皇岛分校”字样，与校本部一致，证书样本请见东北大学秦皇岛分校招生网“证书样本”栏目。
安徽理科,15***16 (安徽),2018-06-27 14:31,您好！请问581分排名20716能报考贵校吗？,同学你好，我校去年在安徽省录取最低分位次是20574，你的排名与此相近，有希望被录取，欢迎报考东北大学秦皇岛分校。
咨询,13***98 (湖南),2018-06-27 14:31,老师您好，我是一名湖南考生，理工类分数为588排名为15617不知道是否能录取到贵校?,同学你好，我校去年在湖南省录取最低分位次是16104，你的排名与此相近，有希望被录取，欢迎报考东北大学秦皇岛分校。
河南理科591分，位次20612，报咱们学校希望大不？谢谢！,dj***@126.com (河南),2018-06-27 14:23,河南理科591分，位次20612，报东北大学秦皇岛分校希望大不？谢谢！,同学你好，我校去年在河南省录取最低分位次是20716，你的排名与此相近，有希望被录取，欢迎报考东北大学秦皇岛分校。
