标题,来源,时间,问题,回答
自主招生志愿填报,as*** (辽宁),2017-06-23 13:46,考试须知上说明自主招生志愿填报填在本科一批本平行志愿A栏但填报页面也有自主招生单独渠道，需要两个都填吗？？？,这个问题请您咨询一下辽宁省教育考试院
自主招生志愿填报,as*** (辽宁),2017-06-23 13:39,如果通过贵校自主招生了，填志愿时如何填写，会单独走志愿填报，还是填在一批本里随一批本提交，那么贵校该如何得知我是优惠学生呢,自主招生是特殊类型批次，具体须看考生所在省份教育考试院规定。
公费师范和免费师范生有什么区别？,58*** (吉林),2017-06-23 13:30,您好，我在招生指南看到公费师范和免费师范生分别列出，想请教一下录取和毕业走向时有何不同。,公费师范和免费师范是一样的，请仔细查看招生指南。
级差,08*** (河北),2017-06-23 10:44,今年招生有无专业级差？,详见2017年东北师范大学本科招生章程http://zsb.nenu.edu.cn/con_506.html
自主招生,mj*** (山东),2017-06-23 10:32,自主招生合格了，高考成绩达到学校要求，是不是就能录取,自主招生以及高考成绩均达到要求合格后，高考志愿填报须符合要求且服从调剂即可录取。填报志愿要求：考生必须在高考所在省份自主招生相应批次第一院校志愿填报我校，专业志愿必须填报其入选专业类别所包含的专业。
合作办学,14*** (四川),2017-06-23 10:08,老师您好，四川理科男，超一本22分，是否有望就读贵校中外办学,登录“东北师范大学本科招生网——查询中心”查看历年分数作为参考。
民族预科班加分,zy***1 (内蒙古),2017-06-23 10:01,请问贵校去年的民族预科班录取分数含加分吗？,投档含加分，选专业为实考分
录取情况,da*** (贵州),2017-06-23 09:06,请问在贵州省526分，全省11170名能录取东北师范大学的提前批吗？或者师范类的国家专项,登录“东北师范大学本科招生网——查询中心”查看历年分数作为参考。国家专项需在高考前报名，今年已经结束。
自主招生,yi***n (辽宁),2017-06-22 16:06,电脑制作活动初中的可以吗,自主招生奖项须为高中阶段取得。
预科班汉语言文学类,zy*** (辽宁),2017-06-22 14:45,老师，我想报贵校汉语言文学预科班，预科结束后，就是此专业吗，我想将来学汉语言文学师范类，这个是师范类吗,http://zsb.nenu.edu.cn/col_000018_000171_action_Enrollment.html
