标题,来源,时间,问题,回答
山东理科,13***41 (山东),2018-06-26 15:56,您好，我是山东理工考生，高考分数589，超出本科线154分，超出自招线72分，位次26900，能否报考贵校？,考生你好，可以报考，我校2017年在山东省理工类录取的最低分段位是32975，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
辽宁,13***85 (辽宁),2018-06-26 15:48,服从调剂会不会退档,考生你好，我校只要考生体检合格，服从调剂，就不会退档。
少数民族预科，理科,18***54 (贵州),2018-06-26 15:39,老师您好，我是贵州理科生，高出一本线14分，能得到贵校的预科吗？,考生你好，能否被录取，还得看贵州省的报考情况，我校录取原则是从高分到低分录取。我校2017年预科理工类录取的最低分段位是39605，你可以参考一下。
河南考生,13***66 (河南),2018-06-26 15:11,总分582，被录取的几率大吗？,考生你好，能否被录取，还得看河南省的报考情况，我校2017年在河南省文史类录取的最低分是556，最低分段位是6877，你可以参考一下。详细的信息你可以登录东北林业大学招生信息网查看。
高考填报志愿咨询,19***4@qq.com (内蒙古),2018-06-26 11:51,老师您好，我是内蒙古普通理科考生，高考分数为514分，省内排名为17194，我想咨询一下以我的成绩是否有机会进入贵校？此外我还想进一步了解贵校的住宿情况谢谢老师,考生你好，能否被录取，还得看内蒙古的报考情况，我校2017年在内蒙古录取的最低分是493，最低分段位是16339，你可以参考一下，住宿情况你可以咨询电话：0451-82190346
录取问题,18***69 (贵州),2018-06-26 11:39,今年贵州理科531分，排位21879，能否填报贵校风景园林和计算机专业，谢谢,同学你好，可以填报这两个专业，建议分梯度填报专业志愿，填上服从调剂。
山东理科,15***92 (山东),2018-06-26 11:33,老师你好572分报贵校有没有希望,同学你好，建议比较一下位次。
山东文科考生,15***83 (山东),2018-06-26 11:29,您好，请问山东文科考生，今年考了587，高于一本线37分，又被贵校录取的可能吗,考生你好，建议比较一下位次。
咨询下录取情况,13***58 (甘肃),2018-06-26 11:09,麻烦咨询下，甘肃文史类，贵校预估的录取分数线是多少，线上30分左右可以报考吗，大类招生有专业级差吗,同学你好专业之间不设级差
陕西考生,18***03 (陕西),2018-06-26 11:06,理工类，546分，请问如果报考贵校选择哪些专业比较好？,建议咨询报考热线：0451-82190346
