标题,来源,时间,问题,回答
老师好，国家专项计划问题。,18***08 (河南),2018-06-26 15:08,老师您好，河南-理科-568-过一本线69分-走国家专项计划，有希望被贵校录取吗？,考生你好，你可参考我校历年分数线http://zs.dhu.edu.cn/2017ngslqfscx/list.htm
东华大学2018招生计划在哪儿？,13***58 (山东),2018-06-26 15:07,东华大学2018招生计划在哪儿？,考生可以在当地考试院发的专业目录上查询
辽宁理科,13***08 (辽宁),2018-06-26 15:05,我是辽宁考生，理科609分，排名9366，是否有希望录取？谢谢,考生年后，建议把东华放在志愿的前面，增大被我校录取的可能。东华大学平行志愿，专业没有级差分，同意调剂我校原则上不退档，欢迎考生报考我校
四川考生咨询,13***85 (四川),2018-06-26 14:53,老师：你好！我是四川少数民族考生，贵校招生网上只有2015、2016年少数民族预科分数，请问2017年的分数情况？,你可参考往年分数
安徽理科考生,13***65 (安徽),2018-06-26 13:54,605分，排在11367名，过一本100分，想报考贵校的化学专业，请给点指点性建议，谢谢,我校本科招生办公室官网(zs.dhu.edu.cn)上面历年分数查询中有近5年安徽的各专业录取最低分，请参考！
山东考生报考是否可行,18***19 (山东),2018-06-26 12:13,我是一名山东的文科考生，高考成绩595，高出一本线45分，全省位次6474，报考贵校希望大吗，成功的几率大吗,我校本科招生办公室官网(zs.dhu.edu.cn)上面历年分数查询中有近5年山东的各专业录取最低分，请参考！
专业录取,15***72 (陕西),2018-06-26 11:17,老师您好，陕西理科586，位次10809，请问能被贵校材料类型专业录取吗？,我校本科招生办公室官网(zs.dhu.edu.cn)上面历年分数查询中有近5年陕西的各专业录取最低分，请参考！
海南理科,18***60 (海南),2018-06-26 11:14,海南理科706分，排名1694，报考贵校录取概率大吗，服从调剂是否不会被退档？,服从调剂，体检不受限制，进档的话原则上不退档。我校本科招生办公室官网(zs.dhu.edu.cn)上面历年分数查询中有近5年海南的各专业录取最低分，请参考！
录取,13***76 (广西),2018-06-26 11:09,老师你好，我高了一本线79分分数上按往年能报上贵校，但排名只有8200左右比往年的录取排名低，若是能进了贵校投档线我服从调剂，会不会被退档？我这样的分数能否进贵校的投档线？,服从调剂，体检不受限制，进档的话原则上不退档。我校本科招生办公室官网(zs.dhu.edu.cn)上面历年分数查询中有近5年广西的各专业录取最低分，请参考！
甘肃理科考生469分,13***64 (甘肃),2018-06-26 11:06,甘肃理科考生469分，比二本高33分，排名39867，报考贵校希望大吗？谢谢！,我校是一本院校
天津文科,15***34 (天津),2018-06-26 11:05,请问，文科569排名2545报考贵校有希望吗？谢谢,我校在天津不招文科生
报考问题,13***90 (山东),2018-06-26 10:35,山东理科考生626分，有希望吗?想学数学专业，如果报考有什么注意的事项或建议吗？,我校本科招生办公室官网(zs.dhu.edu.cn)上面历年分数查询中有近5年山东的各专业录取最低分，请参考！
