标题,来源,时间,问题,回答
专业选择,13***90 (北京),2015-06-26 15:56,老师您好！我是北京理科生，664分，排名2200，有机会进贵校的优势专业吗？录取当中设有专业级差吗？,同学，你好！欢迎报考东南大学。今年我校无专业级差，按“分数优先，遵循志愿”原则录取；根据我校预估，北京市理科考生分数在638分左右有希望进入我校，请参考；因省外分专业计划数少，专业分数线偶然性大，专业热门程度可参考江苏。谢谢！
录取线,na***y (河南),2015-06-26 15:25,河南考生，超一本90余分，省排名近4千，录取的可能性有多大,同学，你好！欢迎报考东南大学。根据我校预估，河南省理科考生分数在619分左右有希望进入我校，请参考。谢谢！
自主招生录取,di***ng (江苏),2015-06-26 15:23,1.我报考了东南大学的自主招生信息电子类，三等降10分，高考（江苏）379分，志愿填东南大学是否会退档？2.自主招生填报是提前批次还是第一批次？,同学，你好！欢迎报考东南大学。平行志愿省份，政审体检合格，专业服从调剂，见档不退；自主招生为单独的批次，在普通类考生（本一批）之前投档，具体是否在提前批次、在哪个批次填报志愿需咨询贵省考试院。谢谢！
少年班报考,wz*** (山东),2015-06-26 15:17,老师您好！孩子正读高二，已申请报考贵校的少年班，已考572分，山东考生约多少分可以有资格面试？,家长，你好！欢迎报考东南大学。只要是符合我校少年班的条件，同时高考成绩超过本省的一本重点线的都具有面试资格，面试通知将于7月初下达。谢谢！
广东考生,mi*** (广东),2015-06-26 15:01,老师您好！我是广东理科考生，高考成绩629分，超一本线52分，有望被东南大学录取吗？,同学，你好！欢迎报考东南大学。根据我校预估，广东省理科考生分数在630分左右有希望进入我校，请参考。谢谢！
河北文科,cz*** (河北),2015-06-26 15:00,老师您好！河北文科生610分超一本线62分，省排名1000左右，有多大希望报考贵校，有挑专业的可能吗？,同学，你好！欢迎报考东南大学。根据我校预估，河北省文科考生分数超出一本重点线35分左右有希望进入我校，请参考。谢谢！
河南考生录取,10***8 (河南),2015-06-26 14:57,你好，我是一名河南考生，成绩624，省排名在4420.省排名多少可以被贵校录取，我的情况会不会比较危险，谢谢,同学，你好！欢迎报考东南大学。根据我校预估，河南省理科考生分数在619分左右有希望进入我校，请参考。谢谢！
录取可能,li***ying (山东),2015-06-26 14:56,老师你好，我是山东理科考生，分数超出一本线85分，报取贵校可能性大不大？如果可能那些专业可以考虑呢？谢谢。,同学，你好！欢迎报考东南大学。根据我校预估，山东省理科考生分数在655分左右有希望进入我校，请参考；因省外分专业计划数少，专业分数线偶然性大，专业热门程度可参考江苏。谢谢！
录取,dq*** (黑龙江),2015-06-26 14:42,我是黑龙江理科考生，636排名1399报考贵校王牌专业是否有希望,同学，你好！欢迎报考东南大学。根据我校预估，黑龙江省理科考生分数在614分左右有希望进入我校，请参考；因省外分专业计划数少，专业分数线偶然性大，专业热门程度可参考江苏。谢谢！
贵州考生,zz*** (贵州),2015-06-26 14:39,老师您好！我是贵州文科生，超出一本线68分，排位870左右，报考贵校的经济学类，有希望被贵校录取吗？,同学，你好！欢迎报考东南大学。根据我校预估，贵州省文科考生分数超出一本重点线55分左右有希望进入我校，请参考；因省外分专业计划数少，专业分数线偶然性大，专业热门程度可参考江苏。谢谢！
新疆考生,15***50291 (新疆),2015-06-26 14:03,我考了580分，理科，高出一本线134分，可否被贵校录取吗？,同学，你好！欢迎报考东南大学。根据我校预估，新疆自治区的理科考生分数在580分左右有希望进入我校，请参考。谢谢！
关于报考,ew***4 (贵州),2015-06-26 14:01,老师您好，我是贵州考生，分数622，高出一本分数线169分，比较青睐建筑专业，有希望就读吗,同学，你好！欢迎报考东南大学。根据我校预估，贵州省理科考生分数在570分左右有希望进入我校，请参考；因省外分专业计划数少，专业分数线偶然性大，专业热门程度可参考江苏；今年我校无专业级差，按“分数优先，遵循志愿”原则录取。谢谢！
黑龙江考生,40*** (黑龙江),2015-06-26 13:56,老师您好，我想问一下黑龙江理科考生大概多少分可以报考贵校？,同学，你好！欢迎报考东南大学。根据我校预估，黑龙江省理科考生分数在614分左右有希望进入我校，请参考。谢谢！
河南理科，录取几率,16***1 (河南),2015-06-26 13:50,您好，我是河南一名理科生，今年623分省4623名报考贵校录取几率大吗？如果是国家专项呢？,同学，你好！欢迎报考东南大学。根据我校预估，河南省理科考生分数在619分左右有希望进入我校，请参考。谢谢！
陕西理科,18***72 (陕西),2015-06-26 13:46,老师，您好。我是陕西理科考生，总分622，高于一本线142分。有报考希望吗,同学，你好！欢迎报考东南大学。根据我校预估，陕西省理科考生分数在610分左右有希望进入我校，请参考。谢谢！
老师你好，我是山东理科考生，成绩636，省排名4455,lo***an2627 (山东),2017-06-26 14:17,报取贵校建筑学专业或土木工程有希望录取吗？,您好，详情请咨询东南大学山东招生组老师，联系方式详见东南大学本科招生网-各省市招生咨询热线（http://zsb.seu.edu.cn/2017/0623/c4897a192260/page.htm），谢谢！
山西考生,ac*** (山西),2017-06-26 13:35,山西考生，594分，高出一本线113分，省排名约1500，报考几率如何？,您好，详情请咨询东南大学山西招生组老师，联系方式详见东南大学本科招生网-各省市招生咨询热线（http://zsb.seu.edu.cn/2017/0623/c4897a192260/page.htm），谢谢！
辽宁考生,50*** (辽宁),2017-06-26 12:27,请问辽宁理科622分位次3143能去贵校吗？,您好，详情请咨询东南大学辽宁招生组老师，联系方式详见东南大学本科招生网-各省市招生咨询热线（http://zsb.seu.edu.cn/2017/0623/c4897a192260/page.htm），谢谢！
2017年高考,sq*** (河南),2017-06-26 11:54,我是河南考生，616总分，报考贵校有把握吗？烦请，谢谢。,您好，详情请咨询东南大学河南招生组老师，联系方式详见东南大学本科招生网-各省市招生咨询热线（http://zsb.seu.edu.cn/2017/0623/c4897a192260/page.htm），谢谢！
