标题,来源,时间,问题,回答
报考咨询,15***09 (广东),2018-06-26 16:54,老师您好!广东考生排位2800有希望报考贵校吗？谢谢！,考生你好！感谢关注中南大学，我校2017年在广东文科投档线是575分，省排名为2700左右，请参照往年数据进行填报，分省分专业计划及往年录取分数请点击http://zhaosheng.csu.edu.cn/newsgroupl.aspx?ngid=23&nid=1862了解。
广西理科考生,13***85 (广西),2018-06-26 16:52,理科总分603，广西排名6061，想填报贵校的冶金工程专业，有希望吗？,考生你好！感谢关注中南大学，我校2017年在广西理科投档线是564分，省排名为4300左右，请参照往年数据进行填报，分省分专业计划及往年录取分数请点击http://zhaosheng.csu.edu.cn/newsgroupl.aspx?ngid=23&nid=1863了解。
关于综合素质测评,11***2@qq.com (湖南),2018-06-26 16:37,如果我填了中南大学的综合评价录取，在非定向的十个志愿是否要填中南大学？且如果在综合评价被录取，是不是就不再被非定向的十个志愿中录取？,考生你好！填报“中南大学综合评价录取”志愿的考生仍可填报中南大学其他各批次志愿。如果在综合评价被录取，则不会在本科一批录取。欢迎报考中南大学。
关于高校专项的问题,18***98 (贵州),2018-06-26 16:34,老师您好，我是贵州的一名文科考生，之前了通过你们的高校专项考核，请问是可以降分录取吗,考生你好！按照分省分专业招生计划，对高考成绩达到生源所在省对应科类第一批次控制分数线（浙江省为相关最低录取控制参考分数线（一段线））的考生，根据高考成绩（含优惠分）从高到低择优录取，欢迎报考中南大学。
江苏考生,18***00 (江苏),2018-06-26 16:01,江苏理科367，双A，在希望录取你校吗？,考生你好！感谢关注中南大学，我校2017年在江苏理科投档线是369分，省排名为8500左右，请参照往年数据进行填报，分省分专业计划及往年录取分数请点击http://zhaosheng.csu.edu.cn/newsgroupl.aspx?ngid=23&nid=1872了解。
调剂,18***41 (山西),2018-06-26 15:46,如果被贵校录取，服从调剂，山西文科601，排名755，可能被什么专业录取，调剂范围是什么，入校后可能转专业吗，,[考生你好！考生所有大类（专业）志愿都无法满足时，若服从大类（专业）调剂，则调剂到未录满额的其他大类（专业）。若不服从大类（专业）调剂，则作退档处理。按照相关规定，学生进校一年后，可以按照学校相关规定在第三学期申请转换专业。学生满足品行良好、第一学年文化课成绩按所在专业排名前25%的条件时方可申请转换专业，原则上文科类不得转入理工、医学类，美术类、音乐类不得转入非艺术专业学习，单考学生不实施转专业。
报考咨询,13***37 (河南),2018-06-26 15:18,老师您好，河南考生，理科633，一本线499，排名5300多名，报考口腔医学专业有把握吗？,考生你好！感谢关注中南大学，我校2017年河南理科投档线是598分，省排名为7400左右，请参照往年数据进行填报，分省分专业计划及往年录取分数请点击http://zhaosheng.csu.edu.cn/newsgroupl.aspx?ngid=23&nid=1867了解。
河南文科，619分，2343位次，报考贵校有希望吗？,41***@qq.com (河南),2018-06-26 15:05,河南文科，619分，2343位次，报考贵校有希望吗？,考生你好！感谢关注中南大学，我校2017年河南文科投档线是602分，省排名为1200左右，请参照往年数据进行填报，分省分专业计划及往年录取分数请点击http://zhaosheng.csu.edu.cn/newsgroupl.aspx?ngid=23&nid=1867了解。
提前批,15***35 (河南),2018-06-26 14:53,请问贵校提前批怎样招生？我是河南理科考生，今年分数621，位次8451，提前批报考贵校有希望吗？,考生你好！感谢关注中南大学，我校2017年在河南理科投档线是598分，省排名为7400左右，请参照往年数据进行填报，提前批往年录取分数请点击中南大学2017年河南工科试验班分专业录取结果公示http://zhaosheng.csu.edu.cn/newsgroup.aspx?ngid=18&nid=1674了解。
临床医学八年医问题,jw***6.com (北京),2018-06-26 14:36,请问老师，临床医学八年医，毕业时是硕士还是博士？谢谢,考生你好！我校临床八年制毕业时授予博士学位，欢迎报考中南大学。
