标题,来源,时间,问题,回答
询问,we***j (浙江),2013-06-27 10:36,您好，我是浙江的文科考生。如果被贵校提档，并填写专业服从，是否还会被退档？,我们予以录取。
咨询,cn*** (河南),2013-06-27 10:34,老师，你好。我是河南考生，今年考了564，高一本线59分，排名10964，根据你多年经验，估计一下，报考贵校有希望吗？还有，贵校在投档和选专业时承认因体育比赛获奖的加分吗？谢谢,您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
专业特色,xi***r (安徽),2013-06-27 10:33,老师你好，请问贵校的专业特色有哪些,我校是以经、法、管为主干学科的重点大学。
四川理科考生,27*** (四川),2013-06-27 10:28,老师你好咨询下列问题四川理科636(含20加分)，裸分616，省排名5800，报贵校好一点的专业希望大吗？谢谢！,您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
关于专业,cq*** (重庆),2013-06-27 10:24,老师您好！请问贵校的经济管理实验班是什么专业的？其主修方向是什么,请您查看该专业相关介绍：http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/zyjs/showcontent.asp?ArticleID=1209
贵校选修的外校专业，学位证怎么发,ms*** (山西),2013-06-27 10:20,我是山西考生，562能否投档到贵校，可否上贵校热门专业，还有服从调剂后退不退档，辅修外校的专业，学位证发哪校的,1.您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm2我们予以录取3.辅修单位发
录取,do*** (河南),2013-06-27 10:14,老师，您好，我是河南理科考生，考了557分，高出一本线52分，请问有把握上贵校吗？能上的话，专业不合适能否条专业？,您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
江西文科考生,15***68 (江西),2013-06-27 10:07,贵校是否承诺在服从专业调剂的情况下提档不退档？,进档考生，专业志愿服从调剂，予以录取。
江苏理科考生360 AA 省排名11000 能报贵校吗？,do*** (江苏),2013-06-27 10:06,江苏理科考生360AA省排名11000能报贵校吗？如果能，能报什么专业呢，经济类的，会计类的能报吗？,您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
原金融学（注册金融分析师方向）选拔,se*** (云南),2013-06-27 10:06,招生简章考生问答中提到原金融学（注册金融分析师方向）选拔改为在2013本科新生中录取。请问详细情况是什么？非经济专业也可参与选拔吗？选拔的时间是什么时候？选拔考核的内容是什么？谢谢老师解答：）,二次招生具体内容请您咨询我校金融学院。
提问,lj*** (四川),2013-06-27 10:04,老师贵校怎样转专业，四川文科1120名能进贵校吗,入学一学期后有机会参加转专业考试。您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
福建文科考生,kb*** (福建),2013-06-27 10:00,老师您好。我考了560，超本一47分，名次2103，想要报考贵校，有希望考上吗？,您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
江西文科考生,15***68 (江西),2013-06-27 09:59,老师您好！我是江西文科考生，我的高考分数比一本分数线高47分，我想报考贵校的会计学或法学专业，请问希望大吗？,您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
录取,hh*** (广东),2013-06-27 09:57,您好！，我是广东文科考生，618分，报考您校有多大希望？不喜欢哲学等，会调剂到这些专业去吗？,您好，请您登陆我校本科招生网，历年招生板块，查看近三年的情况，供您参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm有可能
高考的孩子,go*** (广西),2013-06-19 12:23,在广西预科要多少分、报名的人多吗,请登录我校本科招生网查看历年分数线供参考。http://www1.znufe.edu.cn/department/xgb/ZhaoSheng/lnzs.htm
调剂专业,ga*** (甘肃),2013-06-19 11:17,若服从调剂，是否会调到贵校在本省投放的专业以外,调剂到在本省招生未录满的计划。
可以选修专业吗,xh***7 (湖南),2013-06-19 10:36,假如我以贫困地区计划录取你校，我还可以选修一个专业吗？,可以辅修双学位。
政策性加分,ve*** (内蒙古),2013-06-18 16:45,贵校进行专业录取时是否承认政策性加分？,承认。
学校住宿条件,xy*** (陕西),2013-06-18 16:24,请问贵校女生宿舍几人一间，有无单独的学习桌？是否宿舍内能洗澡？有无空调？,4人/间。有单独的学习桌、热水已进每个寝室。首义校区宿舍全部安装空调，南湖校区暂时还没安装。
河北,oo*** (河北),2013-06-18 15:57,老师好，请问今年河北的招生计划有没有增多呢。还有第二学位可以包括所有的专业吗？修双学位有什么条件呢？,今年我校在河北增加了7%的计划。进校后可以辅修自己喜欢的双学位。
专业限制,lh*** (湖南),2013-06-18 12:12,您好，请问贵校在体检方面设有哪些专业限制？谢谢。,我校体检要求执行教育部、卫生部、中国残疾人联合会（2003）3号文件的要求。
