标题,来源,时间,问题,回答
高校专项【圆梦计划】,92*** (广西),2017-06-28 15:44,老师，你好！我想知道高校专项（圆梦计划）去年的录取分数线。谢谢！,你好，http://rdzs.ruc.edu.cn/inquiry/admission/indexcms/广西/2016/listcms/
转专业,ti***ngqi (黑龙江),2017-06-28 15:33,人大可以自由转专业吗，谢谢,自主招生、圆梦计划未上我校提档线考生、外语类保送生不能转专业，中法学院可在院内转专业；其他普通一批考生转专业没有限制，入校后根据教务处相关规定申请转专业。
北京文科生,13***79 (北京),2017-06-28 15:29,北京文科生644，排名315名前，冲人大人事管理专业有机会吗？,目前看机会不大，可一志愿一顺序填报冲一冲试试。具体请咨询北京招生组，联系方式如下http://rdzs.ruc.edu.cn/cms/item/1075.html
山东理科生,zx*** (山东),2017-06-28 15:17,尊敬的老师，您好！我是山东理科生，664分，省位次860，请问报考贵校有希望吗？会不会被被调剂志愿？,请咨询我校当地招生组，联系方式如下http://rdzs.ruc.edu.cn/cms/item/1075.html
请问江苏文科385分排名340左右有希望报贵校吗？会退档吗?,13***77 (江苏),2017-06-28 14:15,请问江苏文科385分排名340左右有希望报贵校吗？会退档吗?,请咨询我校当地招生组，联系方式如下http://rdzs.ruc.edu.cn/cms/item/1075.html
河南文科,ql*** (河南),2017-06-28 11:40,老师，您好，我是今年河南文科考生，616分，超过一本线100分，排名562，有两个问题：1、贵校的提前批专业有哪些？2.我这个成绩报考提前批是否有希望？,请咨询我校当地招生组，联系方式如下http://rdzs.ruc.edu.cn/cms/item/1075.html；提前批专业在我校招办网站招生计划处已公布，请查询
志愿填报,yl*** (广东),2017-06-28 10:39,请问广东理科生考了628分，今年报人大有把握吗？可报哪些专业?进档会退档吗？谢谢！,请咨询我校当地招生组，http://rdzs.ruc.edu.cn/cms/item/1075.html
苏州校区问题,cm*** (河南),2017-06-28 10:36,贵校在河南招生的苏州校区单列代码，理科只有一个专业，计划只有3个人，排名多少有希望呢？如果提档后体检合格，有没有被退档的风险？谢谢,请咨询我校当地招生组，联系方式如下http://rdzs.ruc.edu.cn/cms/item/1075.html如体检合格、服从专业调剂等专业录取要求，提档一般不退档
福建考生，文科生，排名第207名，报考贵校有望吗？,ch***ng2017 (福建),2017-06-28 10:25,您好，我是福建考生，读文科，高考成绩597分，排名第207名，超出本科一批108分，如果服从调剂报考贵学校有希望吗？,请咨询我校当地招生组，联系方式如下http://rdzs.ruc.edu.cn/cms/item/1075.html
河南文科,ql*** (河南),2017-06-28 09:30,老师，您好，今年文科考生616份，参加贵校提前批希望大吗？,请咨询我校当地招生组，联系方式如下http://rdzs.ruc.edu.cn/cms/item/1075.html
提前批,18***69 (湖南),2017-06-26 16:40,老师：您好，我想报人大的提前批的小语种，上面有须英语口试合格，英语过了国家英语等级二级，这能作为合格的依据吗？要是不算，那要如何参加考试？,英语口试考试为各省组织考试，国家英语等级二级不能作为合格依据。
能不能被录取,ql*** (河南),2017-06-26 16:30,你好，我是河南文科考生，今年成绩616，能参考人大吗,"河南组咨询热线:15903622592，15903622319，18514720371,15995757745（中法专线）建议拨打河南招生组电话咨询详细情况。"
文科,wy*** (内蒙古),2017-06-26 14:59,内蒙古文科考生：蒙古族提档和专业按政策能加10分吗？,提档时可按政策加10分，录取专业时按照实考分进行。
山东省取得人民大学美术类绘画专业合格证的考生有多少,15***92 (山东),2017-06-26 14:55,山东省取得人民大学美术类绘画专业合格证的考生有多少？分数是多少？咨询热线根本打不进去！,报考期间咨询人数较多，请继续尝试拨打4000123517转0艺术类专线。
河南文科 位次2970 能冲一下人大苏州校区吗,wa*** (河南),2017-06-26 14:24,河南文科位次970名分数582能被苏州校区录取吗,"根据往年情况，排名1000以内的有希望冲进中法学院。建议咨询河南组。咨询热线:15903622592，15903622319，18514720371,15995757745（中法专线）"
提前批,wa***7 (湖南),2017-06-26 14:13,老师好我是湖南考生，提前批的分数是怎么确定的,按照计划录取的最后一名的考生的分数构成了录取分数线。
提档比例,su***athy (北京),2017-06-26 13:26,请问今年北京地区文科提档比例是100%还是105%？,最终提档比例会在录取期间确定。
江苏圆梦计划,15***03 (江苏),2017-06-26 13:10,请问江苏圆梦计划资格生如何估计自己在所有资格生中的排名情况,可拨打4000123517咨询。
提前批,13***15 (福建),2017-06-26 13:01,请问一下，人大法语提前批入学后可以转专业吗，还是说有限制？,可以转专业
河南文科考生,ql*** (河南),2017-06-26 11:20,老师您好，我是今年河南文科616分，排名562，不知道报贵校有希望吗？,"建议咨询河南组。咨询热线:15903622592，15903622319，18514720371,15995757745（中法专线）"
自主招生转专业,lh*** (江西),2017-06-26 10:56,老师您好，2017年自主招生录取的学生，入学一学期后想转专业（该生在校期间的学习成绩及其它方面都达到贵校转专业标准），可以申报转专业吗？,不可以，该项内容明确写在我校自主招生简章中。
河南考生,13***66 (河南),2017-06-26 10:40,河南考生成绩591分，位次9687，有希望上贵校的苏州校区吗?,"按照往年情况，可能性不太大。建议咨询河南招生组。河南组咨询热线:15903622592，15903622319，18514720371,15995757745（中法专线）"
江西考生理科642分省排名475名能被贵校录取吗,lh*** (江西),2017-06-26 10:21,江西考生理科642分省排名475名能被贵校录取吗,建议咨询我校江西招生组。李老师：17051014574薛老师：17051104837高老师：17051017349胡老师：15170403068
文科全省前大概多少名,15***89 (湖南),2017-06-26 10:19,请问2017湖南文科一本贵校在湖南大概位次是多少？文科全省前大概多少名？多谢！,湖南招生组咨询热线：文科：18801303619，15652291906
请问2017湖南文科一本贵校在湖南大概位次是多少？多谢！,15***89 (湖南),2017-06-26 10:10,请问2017湖南文科一本贵校在湖南大概位次是多少？多谢！,湖南招生组咨询热线：文科：18801303619，15652291906
不服从调剂,zy***7 (贵州),2017-06-26 09:52,请问考生填报志愿时选择不服从调剂，如果所填专业增加招生计划，与分数和名次靠后的考生相比，会优先录取吗？,是否服从调试对是否优先录取没有影响，录取规则可参看我校2017年本科招生简章。但不服从调剂，被退档的风险非常大，建议选择服从调剂。
苏州校区,ca*** (山西),2017-06-26 09:07,我是山西考生分数563名次1150请问有希望报考贵校么希望大不大如果有可能的话我会放到第一志愿,建议咨询山西招生组，可通过http://rdzs.ruc.edu.cn/cms/item/1075.html#省份列表查看联系方式。
广西文科考生,pn*** (广西),2017-06-25 15:27,您好！我是广西文科考生，642分，68名，请问可以报考贵校吗？谢谢！,http://rdzs.ruc.edu.cn/cms/item/1075.html#省份列表，建议咨询当地招生组。
请问中国人民大学的理科实验班 数学与信息类 专业实力如何,hu*** (天津),2017-06-25 14:07,我搜集了各方看法众说纷纭希望贵校能给出客观实力描述与其他顶尖理工强校的比较,[我校部分理工学科，如统计学、数学与应用数学、环境科学、计算机科学与技术、信息管理与信息系统等专业，专业设置早，经过长期的积淀，具有很强的实力，早已跻身国内一流行列，我校统计学在教育部学位与研究生教育发展中心2012年公布的全国学科评估结果中排名第一；部分理工学科，如物理学、化学、心理学，专业建设从2005年开始起步，但是本着“小、精、尖”和“高起点、入主流”的原则，加大资金和师资投入，无论实验室设备还是师资力量都属国内一流，而其很多科研成果也都跻身国际一流行列。另外，我校理工学科和人文社会学科相互交融、比翼齐飞，在校的理工科学生不仅接受到一流的理工学科的教育，更可以接受人文社会科学的熏陶，使自身的知识体系文理均衡、完整广博，视野更加开阔，思想更加深邃。希望这样的回答能够解答你的疑惑。
国家专项,19***7 (河南),2017-06-25 11:36,人大2017在河南投入多少高校专项计划名额?,可点击http://rdzs.ruc.edu.cn/inquiry/enrollplan/indexcms/河南/2017/listcms/查看
报考,db*** (河南),2017-06-25 11:08,您好我是河南文科考生高考成绩634报考中国人民大学成功率高吗？如果可以报考成功具体专业分数线是多少呢？希望回答。谢谢。,"同学你好，欢迎报考人民大学，是否能够录取建议拨打河南招生组电话进行咨询，各专业分数线暂无法确定，需录取结束后最后一位同学的成绩就是分数线。河南组咨询热线:15903622592，15903622319，18514720371,15995757745（中法专线）"
