标题,来源,时间,问题,回答
咨询,18***04 (云南),2018-06-27 10:39,您好，请问云南昆明市城镇户口的白族考生，高考分数606，是否有资格报考贵校的预科？,资格的问题要咨询省招办
咨询,15***70 (云南),2018-06-27 10:36,云南考生分数645超过一本线115理科省排2087报考贵校有无可能,你好，按照历年录取情况看，该分录取希望非常大！
河南理科,18***36 (河南),2018-06-27 10:21,河南理科成绩598分，英语139，听力29，小语种有望录吗？需要什么附加条件吗？,河南没有小语种计划啊？
中国传媒大学和中国传媒大学的南广学院一样吗,15***51 (河南),2018-06-27 10:12,中国传媒大学和中国传媒大学的南广学院一样吗,您好，这是不一样的两所学校
河南理科考生 国家专项计划录取,15***55 (河南),2018-06-27 10:05,561分（本一499）是否有希望报考贵校,有希望但是希望不太大
河南文科617（超一本线70分），排名2562,15***92 (河南),2018-06-27 09:38,老师您好！河南考生文科617（超一本线70分），排名2562，第一志愿有希望上贵校吗？,您好，按历年看，有一定困难，但平行志愿同样欢迎您报考
河南文科考生,17***61 (河南),2018-06-27 09:33,老师我今年文科高考分数633，省排名1089，报考中传有希望吗,有希望
艺术类提前批录取,18***05 (山东),2018-06-27 09:33,请问今年艺术类提前批最早何时能公布录取结果？,您好：我们严格按照各个省招生办的录取时间进行录取，您可以查看所在省份的录取时间计划
山西文科普通一本招生,18***45 (山西),2018-06-27 09:33,我是山西省文科考生，高考分数602，高出一本批次线56分，全省排名721名，报考中传汉语国际教育可能性大吗，有可能选择自己喜欢的专业吗？,有点困难
贫困专项,15***89 (青海),2018-06-27 09:23,老师您好，我是青海农村文科考生，享有贫困专项，超一本线65分，总分540，报考贵校录取希望大吗？,有希望
天津 考生,13***89 (天津),2018-06-27 09:10,您好，我是天津考生，今年考分622，位次3983。报考贵样有希望吗?谢谢！,比较困难
咨询,18***70 (青海),2018-06-26 16:35,老师您好，我是青海文史类考生，分数574，排名100，有希望上贵校吗？若有，能上哪些专业？,http://zhaosheng.cuc.edu.cn/zs/Inquiry/Plan.aspx招生计划查询网址有希望
志愿填报,13***44 (山西),2018-06-26 16:27,老师你好，山西理科，男性考生594分，有没有可能进入贵校学习？,有希望
美术类：专业统考240 文化统考432,xc***126.com (河南),2018-06-26 15:43,美术类：专业统考240文化统考432被贵校录取的概率有多大,有校考合格证么？
吉林考生 一批A,15***88 (吉林),2018-06-26 15:12,请问吉林考生628分（一本线533）省排名2948被贵校录取的可能性大吗,大
关于提前批,18***53 (广西),2018-06-26 12:42,老师您好，我文科604分，在广西文科排名1149，请问报考贵校提前批的西班牙语有希望吗？,你好，有录取希望的，欢迎报考。
河南理科 专项计划,15***10 (河南),2018-06-26 12:08,你好.河南理科568.位次34859.有希望吗？,你好，请参考我校往年录取分数排名情况填报志愿，国家专项计划为平行志愿投档录取，可以冲一冲
我是河南文科考生，咨询提前批,50***@qq.com (河南),2018-06-26 12:06,我的分数614，请问文科提前批都有什么专业？有希望被录取吗？如果走平行志愿，有希望大吗？谢谢老师！,河南没有普通类提前批
咨询,15***70 (云南),2018-06-26 11:49,云南考生分数645超过一本线115省排2087报考贵校有无可能,非常有
重庆理科录取咨询,13***98 (重庆),2018-06-26 11:24,老师，您好！我是重庆理科考生，分数624，线差100分，位次5737，(本科第一批)报考贵校录取希望大吗？如果我服从调剂，会更有可能吗？,你好，根据我校往年录取排名，你的成绩有希望被我校录取。平行志愿投档建议考生均选择志愿服从调剂
山西提前批小语种,15***03 (山西),2018-06-26 11:14,你好，我是山西考生省排1116，请问有希望提前批次录取吗,有希望
提前批小语种,15***32 (河南),2018-06-26 10:58,请问中传在提前批小语种中的学校代码是什么？（河南的招生之友上没有）如果我报考提前批小语种被退档，我还能在国家专项中继续报考中传吗？谢谢老师,你好，我校在河南省的院校代码为1470。小语种为提前批次录取，不影响后续的国家专项及一批的录取。
提前批问题,15***30 (海南),2018-06-26 10:24,您好，请问中传提前批法语等语言系的就业方向，以及去年提前批海南的录取分数线是多少？,你好，专业介绍请参见：http://zhaosheng.cuc.edu.cn/zs/MajorInfo.aspx我校2017年在海南省提前批小语种录取最低分783分。
提前批咨询,15***30 (海南),2018-06-26 10:19,您好请问贵校提前批法语系能拿什么文凭，是贵校的优势学科吗？,你好，小语种专业是我校外国语专业的特色专业，法语专业就业前景良好，欢迎报考
海南文科,15***30 (海南),2018-06-26 10:17,海南文科785全省文科排名148有希望吗,有
贵校在山东有专科计划吗,zx***sohu.com (山东),2018-06-26 09:55,在山东有专科计划吗？山东理多少分能报,你好，我们只有艺术类高职，您可以参照我校今年高职招生简章查看：http://zhaosheng.cuc.edu.cn/zs/Plugins/pdfViewer/web/viewer.html?file=http://zhaosheng.cuc.edu.cn/zs/CUCUploadfiles/%5c201802%5c2018%E5%B9%B4%E9%AB%98%E8%81%8C%E7%AE%80%E7%AB%A0.pdf
四川文科考生总成绩621分，位次大概在390左右,13***89 (四川),2018-06-26 09:49,报考贵校有希望吗？,你好，非常有希望被我校录取，欢迎报考
中国传媒大学视觉传达,13***11 (四川),2018-06-26 09:25,请问老师视觉传达2.03分能被录取吗,你好，根据往年的录取情况，综合分2.03被我校视觉传达设计专业录取可能性较大。
国家专项 河南考生 录取,15***55 (河南),2018-06-26 09:24,我561分，省排名33974，我想靠国家专项计划报考贵校，有希望,你好，请参考我校往年录取分数填报志愿。
录取问题,yu***000@126.com (北京),2018-06-26 09:17,您好，北京理科今年成绩637，市排名3644，请问有没有可能报考贵校,你好，根据我校往年在北京市录取排名，有望被我校录取。欢迎报考。
中外合作,13***99 (北京),2018-06-28 10:26,请问中外合作有什么特殊要求吗？是否提档了不退档？谢谢1,没有特殊要求，100%提档，不退
新疆考生,13***51 (新疆),2018-06-28 10:04,请问贵校在新疆一本只招收三个专业，同意调剂，如果提档，会被退档吗,服从调剂不退档
报考及专业咨询,18***57 (甘肃),2018-06-28 09:58,青海理科考生564分，英语单科141分，排名557-578，贵校今年没有在青海招生网络新媒体、新闻传媒。想报传媒经济，有希望吗，入校后能在1-2年内转专业到新闻传媒或网络新媒体，可以吗？谢谢！,有希望
转专业,13***75 (北京),2018-06-28 09:53,您好，请问学校转专业难吗，计算机和信息类的转传播学，比例是多少，大一的时候基础课一样吗？谢谢,要考试，每年情况不一样，没有比例统计
录取,13***55 (河北),2018-06-28 09:47,你好，河北考生，艺术理高考626分，河北一本线511，有电编专业合格证，提前批A录取概率有多大？,几乎100%
录取几率,18***23 (河南),2018-06-28 09:47,河南理科考生611分11712名，报考贵校有希望被录取吗？谢谢。,希望不大
广西考生,15***81 (广西),2018-06-28 09:36,我是广西理科2018年考生，总分606，区位排名5666，想问一问老师冲中传有希望吗,前两个志愿报我们试试吧，还是有希望的
报考咨询,13***02 (河南),2018-06-28 09:34,河南考生理科596分，高出一本线97分，省排名18100左右，报考贵校可以吗？如果可以有哪些专业推荐呢？,可能要10000名以内
录取咨询,15***71 (山西),2018-06-28 09:28,您好，我是山西文科考生，分数591，省排名1223，有希望能被贵校录取吗？有可能选到理想的专业吗?,一志愿冲一冲有可能，但肯定选不了专业
北京文科排位1311,18***06 (北京),2018-06-28 09:26,老师辛苦了，非常喜欢小语种，没考好！想报提前批同意调剂，有机会录取吗？谢谢。,不是特别保险，但也不是没有机会
报考,13***51 (广西),2018-06-28 09:14,老师，广西理科620分，排名3608。报贵校有希望吗？,非常有
江苏,18***67 (江苏),2018-06-28 09:10,理科372分，选修B+B+录取希望大吗？,不算太大
录取几率,13***16 (河南),2018-06-28 09:07,您好，河南理科61510370名第一或第二志愿报考贵校录取几率大吗？,一志愿冲一下可以试试
咨询,13***12 (贵州),2018-06-28 09:02,贵州考生理科615排名3264，有希望进贵校吗,非常有希望
录取几率,13***16 (河南),2018-06-27 16:17,河南考生615排名100370录取可能性大吗?能不能选专业？谢谢老师,你好，文科10000名希望不大。
广东文科,13***75 (广东),2018-06-27 15:48,您好，本人高考成绩511，想报考贵校的中外合作办学专业，请问能被录取的几率有多大？谢谢。,你好，希望不大。
录取,18***69 (江西),2018-06-27 15:29,江西文科609分，通过国家专项有可能录取吗？,你好，有希望
青海文科考生录取咨询,18***89 (青海),2018-06-27 15:16,老师，您好！青海文科考生，高考成绩562分，超一本线87分，全省排名160，报考贵校传播专业有希望吗？,你好，有希望，可以报考。
老师您好！,13***75 (江西),2018-06-27 14:43,老师您好！请问文科628分，江西省排名649有希望被贵校录取吗？,你好，有希望，可以报考。
咨询,13***33 (黑龙江),2018-06-27 14:36,黑龙江理科600分排名5911报考你校有多大希望呢,你好，可以冲一下。
滑档,13***75 (北京),2018-06-27 14:34,2018北京本科一批如果提档分够了，服从调剂，回滑档吗？,您好，提档后服从调剂，不再退档
广东文科一批，录取概率大吗？,13***44 (广东),2018-06-27 13:25,老师，您好！我是广东文科考生，609分，排名1677，报考贵校新闻学，广告学的概率大吗？如果服从调剂，有可能被录取吗？如果在提前批报小语种，入读后转专业的话是否只能在小语种专业里申请转？是否可以申请转到普通一批类或是艺考专业？谢谢！,你好，这个分数有希望被我校录取，但是新闻传播学类专业难度较大。小语种可以申请转出到其他类别专业。
报考,13***46 (贵州),2018-06-27 12:58,请问老师贵州理科考生859分有望报考贵校吗？提档后退档吗？谢谢,859？？提档后服从调剂原则上不退档
山东603文科,15***06 (山东),2018-06-27 12:11,老师您好，请问山东省排名4659文科生能报考贵校哪些专业？,你好，按照历年录取分数看，文科生4659名可能比较难录取，但山东省实行平行志愿，您可以尝试报考
提前批和调剂,13***58 (辽宁),2018-06-27 12:11,你好我是辽宁理科考生分数632位次47901将贵校作为提前批第一志愿有希望录取吗2将贵校作为本科普通批能否被调剂到计算机或软件工程学科谢谢,你好，这个分数可以冲一下。进档后有可能调剂到计算机或软件。
北京考生，文科,13***66 (北京),2018-06-27 11:44,北京考生，文科，661分，想报考广告专业，可以吗？据说这个专业报的人很多,您好，按照往年看，您来我校希望很大。但这个专业能否录取，还要看其他报考学生的成绩，平行志愿建议报考。
