标题,来源,时间,问题,回答
你好 老师 山东今年理科583分 ，能不能冲下咱们学校？,13***25 (山东),2018-06-27 09:53,你好老师山东今年理科583分，位次30000名，能不能冲下咱们学校？,[你好，2017年/2016年/2015年我校山东理科录取最低分排名为7586/7740/7976，中外合作办学专业录取最低分排名为18142/16920/21693，烟台研究院专业录取最低分排名为50266/52958/52722您的排名可以考虑冲我校中外合作办学，用烟台研究院的相关专业保底。我校中外合作办学专业和烟台研究院的中国农大学毕业证书和学历证书和其他统招学生是一致的。
中国农业大学设置专业极差吗？,13***57 (北京),2018-06-27 09:34,中国农业大学设置专业极差吗？设置的话，是多少？,没有专业级差
中国农业大学非农专业保研率高吗？,13***58 (辽宁),2018-06-27 09:21,中国农业大学非农专业保研率高吗？,我校各专业的平均保研率在25%以上，深造率在60%以上
入学后转专业有什么要求,13***66 (广东),2018-06-26 16:37,我广东省排14580，进贵校几率大不大。进去后如何转专业？,中国农业大学实行弹性学习年限；推行按学科大类招生；实行自由、宽松的转专业政策，转专业报名不设条件，允许多次、多个学院、多个专业申请，近年来申请转专业的成功率在70%以上
中外合作专业毕业证问题,18***67 (山东),2018-06-26 10:57,贵校中外合作专业毕业证上标注中外合作办学吗？外方是哪个大学,[我校中外合作专业毕业证上不标注中外合作办学，和其他专业的证书是一样的。我校与美国科罗拉多大学合作开设国际经济与贸易、传播学2个本科专业，学制为四年，学生可在国内完成学业，或在此期间自愿申请赴国外参加2-3年交流学习；与美国俄克拉荷马州立大学联合举办的农林经济管理（农业商务方向）专业，学习过程分为国内和国外两段，一般在国内学习两年，第三、四年期间在美国俄克拉荷马州立大学出国交流学习1-2年。
录取咨询,15***10 (山东),2018-06-28 16:43,请问山东文科位次6190，能被农大烟台研究院录取吗,根据近年情况可以录取，他们的学历证书与我校本部其他专业相同的，欢迎报考。
专业咨询,15***10 (山东),2018-06-28 16:37,请问农大烟台研究院的市场营销、公共事业管理专业发展方向如何？就业方向？考研方向？谢谢！,请你关注中国农业大学招办微信，在历史消息里有这两个专业的详细介绍
录取,15***10 (山东),2018-06-28 16:34,请问山东文科596分，有可能被农大烟台研究院录取吗,根据往年情况可以录取，欢迎报考
您好，广西文科590排位2068有希望被录取吗,18***93 (广西),2018-06-28 16:23,拜托拜托,根据往年录取情况，基本还是有把握的。中外合作办学专业是高收费专业，具体可查询http://icb.cau.edu.cn/class/view?id=31
学费咨询,17***34 (广东),2018-06-28 15:10,您好，贵校的中外合作的专业的学习费用如何？,我校中外合作办学专业按大类招生，包括3个专业。国内期间，国际经济与贸易、传播学学费每年7.8万至10万元，农林经济管理（农业商务）学费每年6万元；如出国学习，合作院校将按留学生标准收取学费；详细信息请务必向国际学院咨询。
奖助学金及政策,18***62 (山东),2018-06-28 14:55,烟台研究院的奖助学金及保研政策和校本部一样吗？听之前毕业的人说，烟台研究院学生没有资格参评企业和名人设立的奖学金，是真实的吗？谢谢回答！,奖学金评选办法中，规定评选条件之一为：在我校北京地区正式注册的接受普通高等学历教育的本科学生均有资格提出申请。像国家奖学金、国家励志、学习优秀奖学金等烟台研究院的同学有资格获得，社会奖学金根据资助人意愿和评选办法，未面向烟台研究院的同学。
女孩学那个专业叫合适,13***87 (黑龙江),2018-06-28 14:41,黑龙江哈尔滨市考生，女生，614分全省排名3936-4048，决定报考贵校，适合学那那些专业？能上01理科实验班不？谢谢老师。不学电子、机械等专业,这个排名根据往年排名，上理科试验班难度较大。女孩可以考虑报考我校人文与社会发展学院相关专业，或者大生物范围内的相关专业。
预科,13***52 (内蒙古),2018-06-28 14:22,我是内蒙古少数民族考生，实考分484，能否上贵校预科,我校2018年在内蒙招收预科生3人，按照分数择优录取。
