标题,来源,时间,问题,回答
四川考生咨询,13***85 (四川),2018-06-26 15:02,老师：你好！我是四川少数民族考生，贵校招生网上只有2015-2017年少数民族班分数，请问2015-2017年的预科分数情况？,去年四川预科最低506，请参考
辽宁理科考生，女，577分，不限专业，能录到地大不？,sx***26.com (辽宁),2018-06-26 14:54,辽宁理科考生577分，不限专业，能录到地大不？,不太好说，按去年录取情况来看，这个排名能进来，按前年不太够。可以冲一下试试。
调剂咨询,18***78 (云南),2018-06-26 14:44,请问老师，贵校对我们云南的国家专项批学生开放了5个专业，但是我只想报其中的2个，如果选择不服从调剂，而自己填报的这两个专业又都没录上，那就算达到贵校的录取要求，也只能进入下一院校继续检索了是吗？还是说这一批次的所有志愿都不作数，被退档，只能补录？谢谢老师。,这种情况会被退档，只能参加征集志愿
山东考生,18***84 (山东),2018-06-26 14:08,590，26124位次，理科，有冲一冲的机会吗？,我们往年最低分排名在2万左右，梯度合理的话也可以冲一下。但希望不太大。
咨询,18***08 (甘肃),2018-06-26 13:47,您好，甘肃考生516分，理科，能否报考贵校？,根据去年情况来看，有些希望。
录取,18***36 (河南),2018-06-26 13:34,河南理科596，位次18000多，有望被贵校录取吗？该校在河南的录取分数预计会是多少呢？,有一定希望，不把握。没有预计分数线
转专业,sh***163.com (北京),2018-06-26 13:09,老师，您好，地质大学转专业是如何规定的？可以攻读第二学位吗？谢谢您！,前三个学期可以申请转专业，经转出和转入双方学院同意，教务处审核，可以转专业。学有余力的儿同学可以选择辅修专业或双学位。
录取规则,18***27 (辽宁),2018-06-26 13:03,您好！辽宁理科考生，女生，实行平行自愿。请问贵校是否承诺服从不退？谢谢！体检没有受限结论。,平行志愿服从调剂不退档。
录取咨询,15***40 (河北),2018-06-26 11:38,老师您好，我是河北2018届文科考生，629分，省排2922名，请问报考贵校有希望吗？,风险不算小，慎重考虑，如果想冲一下试试也可以。
陕西考生,18***03 (陕西),2018-06-26 11:02,理工类，546分，请问报考贵校是否有希望？,根据往年情况来看，还是有一定希望的，建议专业服从调剂。
