标题,来源,时间,问题,回答
山东理科,15***91 (山东),2018-06-25 10:01,600分，19875名有机会进入贵校吗,希望很大
高考咨询,17***81 (山东),2018-06-25 09:07,老师您好，我是山东考生考了610分报考什么专业有把握呢,大部分专业都希望很大具体专业可根据各专业去年超最低线的情况参考http://zhaosheng.cug.edu.cn/info/1012/2116.htm
老师您好，请问贵校2016年和2017年在贵的录取位次是多少,18***68 (贵州),2018-06-24 16:32,请问贵校2016年和2017年在贵州的录取位次是多少,理科11000左右
推荐专业,15***16 (安徽),2018-06-24 16:31,老师，请问贵校有没有比较适合女生的专业，不出野外的哪一类。,除了地学相关专业可能需要出野外其他专业都不用地学有些专业也有室内研究和进行数据处理的
老师您好，请问贵校2016年和2017年在贵的录取位次是多少,18***68 (贵州),2018-06-24 16:30,请问贵校2016年和2017年在贵的录取位次是多少,11000理科左右
湖北考生，理科579分填报贵校，可以吗？谢谢,13***45 (湖北),2018-06-24 15:12,湖北考生，理科579分填报贵校，可以吗？谢谢,可以冲一下
湖北考生，理科579分填报贵校，可以吗？谢谢,13***45 (湖北),2018-06-24 15:04,湖北考生，理科579分填报贵校，可以吗？谢谢,可以冲一下
云南理科考生,15***18 (云南),2018-06-24 14:54,你好，2018年高考573，高出一本线43分可以报考贵校吗,希望很大
高校计划如何用,15***68 (湖北),2018-06-24 13:16,本人湖北文科考生597排名5022还有高校计划已通过有机会被贵校录取吗,希望很大填在自主招生批次
安徽考生,15***25 (安徽),2018-06-24 12:23,安徽考生高考580，超一本75，省名两万一，被贵校录取概率多大,有一定风险
云南少数民族考生咨询,18***12 (云南),2018-06-24 11:31,我是云南理科考生，高考分超过一本分25分，555分，请问能否报考贵校,有一定风险
山东考生,13***70 (山东),2018-06-24 11:03,你好，自主招生进入资源勘探工程专业，属于地质类专业吗？此专业在本院（资源学院）能否内部调剂专业？,属于自主招生进来的考生不允许转专业
上海考生,lu***958@163.com (上海),2018-06-24 10:27,上海考生483，可以报考贵校吗？工商管理，会计学,希望很大
预科录取,15***15 (湖北),2018-06-24 09:30,我是湖北土家族考生，今年省排名23333，超一本线60，不知录取预科希望大不大,有希望
河北考生，618分，排名15361,15***03 (河北),2018-06-24 09:18,您好！报考贵校希望大吗？一些专业如地质学，地球物理学的参考希望呢？,希望很大具体专业可参考http://zhaosheng.cug.edu.cn/info/1012/2116.htm2017分省分专业录取分数线
极差及转专业,13***21 (山东),2018-06-28 15:28,有无极差？能转专业吗？怎么转？谢谢,无极差有转专业的政策转专业申请后根据第一学期成绩和转入学院学院考核
报考咨询,13***02 (河南),2018-06-28 09:23,河南考生考分596，省排名18100的学生报考贵校能被录取么？如果可以建议学什么专业，学生不太了解专业，所以询问一下,希望很大具体专业可登录我校本科招生网学院及专业介绍进行查询http://zhaosheng.cug.edu.cn
专业,18***16 (广西),2018-06-27 16:57,贵校有专业级差吗？,不设专业级差
自主招生面试多少分能通过审查啊？,13***90 (黑龙江),2018-06-22 15:03,我参加了2018年贵校的自主招生面试，成绩是88.5，请问，自主招生面试多少分能通过审查啊？我怎么才能指导自己是否通过了审查？,自主招生入围名单公示详见我校本科招生网，查看您所报专业的分数线
色盲或色弱录取问题咨询,15***59 (浙江),2018-06-22 13:47,老师好：我是浙江的考生，想咨询下关于体检结果为色盲或色弱的情况，贵校哪些专业不能被录取？,详见我校本科招生网中国地质大学（武汉）分专业体检要求
录取比例,18***00 (广东),2018-06-28 16:59,贵校今年录取是否投档比例100%,不超过105%
江苏理科女生 363分 物理A+ 生物 A,13***05 (江苏),2018-06-28 16:47,有望录取吗？,希望很大
报考咨询,18***93 (广西),2018-06-28 16:31,老师您好，广西文科590排位2068可以报考贵校吗,可以冲一下
望速答,13***21 (山东),2018-06-28 16:29,极差有无？能转专业吗？谢谢，谢谢,无级差有转专业的政策
录取及转专业,13***63 (湖南),2018-06-28 15:40,您好，请问贵校是否提档不退档？入校后转专业有什么要求？,进档后对服从调剂的考生不退档转专业根据第一学期成绩和转入学院考核
山东理科,13***97 (山东),2018-06-28 15:37,老师好，请问若压线进贵校且专业志愿不满足是否会被退档？若招生计划已满是否会被退档？,进档后服从调剂不会退档
转专业,18***06 (福建),2018-06-28 15:18,是否可以跨类转专业，比如从电子信息工程到通信工程,可以
住宿条件,18***06 (福建),2018-06-28 15:09,大一新生的住宿条件怎样，是否有上床下桌,有上床下桌基本为四人间也有6-8人间有空调有热水无线网全覆盖
专业,18***06 (福建),2018-06-28 14:58,除了地质学，请问贵校的其他专业如何，比如电子信息类，管理类，和计算机类,计算机学科进入ESI全球前1%，这些专业就业率均超过96%有些能达到100%
录取,93***@qq.com (新疆),2018-06-28 14:20,新疆文科1596名高于一本线47分请问有希望报考贵校吗,可以冲一下
农村专项计划,15***09 (辽宁),2018-06-28 14:07,就业是否要回原籍,不需要
福建理科,18***33 (福建),2018-06-28 13:39,您好，福建2018考生分数565，排名11299，报考贵校有希望被录取吗？,希望很大
湖南理科报考咨询,18***62 (湖南),2018-06-28 12:33,今年湖南理科总分599，全省含全国性加分排名12079，请问报考贵校计算机科学与技术，软件工程专业可能性大吗？或是其他机械类工科专业。,希望很大
报考,15***96 (北京),2018-06-28 11:09,老师您好，北京理科571分，位次11827，被贵校录取几率大吗？,可以冲一下
