标题,来源,时间,问题,回答
河北文科考生670分法学实验班能否录取？,13***37 (河北),2018-06-27 12:25,河北文科考生670分，位次267，法学实验班能否录取？,有希望被我校录取，实验班有风险，法学有希望
河北文科考生670分法学实验班能否录取？,13***37 (河北),2018-06-27 12:23,河北文科考生670分法学实验班能否录取？,你的名次？
河南理科,13***72 (河南),2018-06-27 12:15,河南理科今年分数629，位次6252，请问有被贵校录取的希望吗？,有风险
河南理科,13***72 (河南),2018-06-27 12:02,今年分数629，位次6252，请问有被贵校录取的机会没？,有风险
文科,30***@qq.com (山东),2018-06-27 11:37,您好，我是山东文科考生，考了580，有机会被录取吗,风险大
咨询能上法学哪所学校,10***3@qq.com (内蒙古),2018-06-27 11:15,内蒙古考生文科523能否上中国政法大学，或者还能上哪所学校,报我校风险太大其他学校请咨询其他学校。
云南理科考生646分，省排名1991，有可能被法学专业录取吗,13***99 (云南),2018-06-27 11:14,同时可报国家专项，国家专项法学专业计划少，严重犹豫当中，如果同时在国家专项批，一本批都报中国政法大学，是否可以保证法学专业录取。,都有希望被我校录取，专业不敢保证
天津文科男632分可以报考贵校吗,18***35 (天津),2018-06-27 10:47,老师，请问您天津文科男632分可以报考贵校吗？,有希望
浙江考生自主招生和三位一体,15***17 (浙江),2018-06-27 10:43,您好，同时过了北京外国语大学的综合评价和中国政法大学的自主招生，两个都填的话优先录取哪一个？是不是优先北外？如果北外综合评价没有选到，是不是就自动进入法大？谢谢,各特殊类型的志愿填报、录取安排由各省确定。
专业调剂咨询,13***68 (北京),2018-06-27 10:37,进入学校后能否调整专业？,可以转专业
志愿咨询,13***68 (北京),2018-06-27 10:35,北京考生文科650分，排名686，能否报本校，能上法学专业么？,有希望，法学有风险
知识产权,14***2@qq.com (河南),2018-06-27 10:27,老师辛苦了。知识产权专业是新兴专业。贵校知识产权发展？如果贵校法学专业的学生随机分配至民商经济法学院、国际法学院和刑事司法学院学习，适用同一培养方案。而知识产权属于民商经济法。如果我分派到其他学院，是否能学习知识产权?,我校无知识产权专业
江苏考生咨询,13***98 (江苏),2018-06-27 10:27,我是江苏考生，379分，选修AB，请问能报考你们学校吗,选修要求B+B+以上
就业工薪,14***2@qq.com (河南),2018-06-27 10:20,贵校法学向来闻名，贵校法学工薪大约多少,不清楚。
湖北考生，文科，638，排名803，有希望被贵校法学录取吗？,13***89 (湖北),2018-06-27 10:15,湖北考生，文科，638，排名803，有希望被贵校法学录取吗？,有希望进校，法学有风险
法学分派学院,14***2@qq.com (河南),2018-06-27 10:14,我是河南省考生理科627分全省6759通过国家专项计划进入贵校的法学专业的概率？贵校将法学专业的学生随机分配至民商经济法学院、国际法学院和刑事司法学院学习，适用同一培养方案。我想学民商经济法，若分配到其他学院，有什么影响？,进校有风险
四川文科咨询,13***80 (四川),2018-06-27 10:13,四川文科621分，省排位407，请问报考贵校法学专业有希望吗？,有希望，欢迎报考
报考咨询,14***5@qq.com (云南),2018-06-27 10:12,云南文科排名621名，贵校有希望吗？服从调剂会被退档吗,有风险
河南,13***55 (河南),2018-06-27 10:11,老师你好，我是河南文史考生，601分，4905名，被贵校录取几率多大,风险太大
湖北文史考生638，可否报考中国政法太学，法学,13***89 (湖北),2018-06-27 10:08,湖北文史考生638，可否报考中国政法太学，法学？,你的名次？
安徽考生文科625名633分有希望吗,13***78 (安徽),2018-06-27 09:57,1,这个名次可能擦边录取，建议第一志愿冲一下。
志愿填报咨询,15***93 (广西),2018-06-27 09:46,老师您好，我是广西的考生，今年分数是619，高于广西一本线72分，区内排名是474，请问有机会能被贵校法学录取吗,这个名次可能擦边录取，建议第一志愿冲一下。
录取,29***5@qq.com (重庆),2018-06-27 09:45,老师您好。请问重庆文科600分，排名458---485（27人均为600分），报考贵校法学专业不服从调剂，是否有望录取？退档风险大吗？,有希望被我校录取，法学希望不大，有退档风险。
天津文科考生624排名474，报考贵校录取概率,18***12 (天津),2018-06-27 09:42,报考法学专业录取率如何？,90%以上
河南理科 排名14133有希望录取吗？,12***8@qq.com (河南),2018-06-27 09:41,2018届河南考生理科，605分，省排名14133，能否冲一冲？谢谢！,希望较小
河南考生理科605能否报中国政法,12***8@qq.com (河南),2018-06-27 09:33,河南2018届考生理科605能否报中国政法，咱们学校退档率高吗？,省排名多少？体检合格、服从专业调剂则不退档。
湖北文科考生 638 省排803,15***97 (湖北),2018-06-27 09:31,请问老师，以我的分数我被贵校法学专业录取的希望大吗？,有希望被我校录取，法学有风险。
