标题,来源,时间,问题,回答
安徽文科 排名2047（614分）请问被贵校录取几率大吗,18***28 (安徽),2018-06-26 11:19,可服从专业调剂,你好，欢迎报考中国海洋大学。参照往年数据，我校通常录取到1500名左右，若对我校有强烈报考意愿，建议把我校放在靠前位次冲一下。
天津文科,15***34 (天津),2018-06-26 11:06,请问，文科569排名2545报考贵校有希望吗？谢谢,你好，我校2017年在天津录取最低分位次，文史类约为1000名，理工类约为4500名，仅供参考，谢谢关注！
湖南某文科生报考咨询,13***29 (湖南),2018-06-26 11:03,老师好。18届湖南文科635，省名1507，想报贵校，有希望吗？谢谢！,你好，我校2017年在湖南录取最低分位次，文史类约为1500名，仅供参考，报考我校录取希望较大，可放在平行志愿靠前位置填报我校!
北京考生,18***09 (北京),2018-06-26 10:44,老师您好，北京文科考生，在2100名左右，超一本线41分，请问报考本校有希望吗？,你好，我校2017年在北京录取最低分位次，文史类约为1700名，理工类约为6500名，仅供参考，谢谢关注！
我是山东考生,15***60 (山东),2018-06-26 10:39,老师你好:我是理科考生，总分629，位次7786，报考贵校的金融学，法学录取机会大吗？,你好，参考往年录取情况，报考我校录取希望较大，可放在平行志愿靠前位置填报我校!录取热门专业的希望也较大！
江苏考生,18***00 (江苏),2018-06-26 10:32,江苏考生，理科367分，双A，全省排名15000左右，有可能报上你校吗,你好，我校2017年在江苏录取理工类最低分位次约为12000名，仅供参考，谢谢关注！
海南理科生,18***90 (海南),2018-06-26 10:20,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,你好，参考往年录取情况，报考我校录取希望较大，可放在平行志愿靠前位置填报我校!
报考咨询,15***55 (甘肃),2018-06-26 10:19,老师您好，甘肃理科考生超一本线69分，报考贵校提前批贫困专项风险如何？谢谢,你好，请参考我校2017年录取情况，http://web.ouc.edu.cn/bkzs/10/72/c7233a69746/page.htm
报考咨询,18***68 (陕西),2018-06-26 10:09,您好，我是陕西理科考生，589分，位次10218，能否报考贵校,你好，参考往年录取情况，报考我校录取希望较大，可放在平行志愿靠前位置填报我校!
学校代码,13***17 (天津),2018-06-26 10:06,老师您好，我是天津考生，我想知道学校中外合作办学的学校和专业代码是多少，谢谢。,你好，请以天津市招考办公布的为准
农村专项,13***78 (山东),2018-06-26 09:57,我是山东文科考生，通过了贵校农村专项计划，高考成绩587，名次8666，请问有希望报考吗,入选考生高考投档成绩（含政策性加分）达到所在省份本科一批控制线，我校根据公布的高校专项分省分专业计划，对投档的入选考生按高考投档成绩从高到低，遵循“分数优先”的原则择优录取。对于合并本科批次的省份，本科一批录取控制线按同科类自主招生最低录取控制分数线执行。
海南理科考生报考咨询。,18***90 (海南),2018-06-26 09:55,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,你好，参考往年录取情况，报考我校录取希望较大，可放在平行志愿靠前位置填报我校!
电子信息类,17***28 (甘肃),2018-06-26 09:37,请问电子信息类对视力有要求吗？我是甘肃理科，高于一本线103分，全省排名4349，上贵校有希望吗？,你好，参考往年录取情况，报考我校录取希望较大，可放在平行志愿靠前位置填报我校!具体体检要求，请看我校2018年体检标准，网址如下：http://web.ouc.edu.cn/bkzs/18/99/c7205a202905/page.htm
