标题,来源,时间,问题,回答
毕业证咨询,15***42 (河南),2018-06-26 09:37,老师您好！贵校毕业证是中国石油大学吗？带不带克拉玛依分校,您好，校区招收的本科生，在规定的年限内达到所在专业毕业要求者，办法中国石油大学（北京）本科毕业证书，标注克拉玛依校区；符合学校学位授予有关规定者，颁发中国石油大学（北京）本科毕业生学士学位证书。
分数,a9***9 (河南),2016-06-28 09:13,请问我是河南的考生，今年高考超过一本线20分，全省排名52155名，报考新校区被录取的几率多大？,我校今年克拉玛依校区第一次招生，没有往年分数线参考，在河南考生报名我校区不是太多的前提下，你的成绩报考我校区，录取的机会还是很大的，为了增加被我校录取的机会，建议你服从调剂。
河南理科530分,13***35 (河南),2018-06-28 16:15,能报考该校的经济金融计算机大数据专业机会多大,您好，您可以根据2017年河南我校区招收理科学生成绩平均分为514.9分，高出平均分30.9分；2016年河南我校区招收理科学生成绩平均分高出平均分23.9分作为参考。
河南理科,13***35 (河南),2018-06-28 16:05,530分可以报考贵校哪些专业,您好，您可以根据2017年河南我校区招收理科学生成绩平均分为514.9分，高出平均分30.9分；2016年河南我校区招收理科学生成绩平均分高出平均分23.9分作为参考。具体每个专业高出一本线分数登陆网址https://www.cupk.edu.cn/bkzs/lnfs/进行参考。
毕业证,13***99 (内蒙古),2018-06-28 14:55,毕业证上注明“克拉玛依校区”的字样，是否对以后考研或就业有影响，谢谢,您好，在克拉玛依校区招收的本科生，在规定年限内达到所在专业毕业要求者，颁发中国石油大学（北京）本科毕业证，标注克拉玛依校区是说明您学习的所在地。
内蒙考生,13***99 (内蒙古),2018-06-28 14:53,492分，内蒙一本线478，位次是21430，谢谢,您好，您可以根据2017年内蒙古我校区招收理科学生成绩平均分为478.8分，高出平均分12.8分；2017年内蒙古我校区招收文科学生成绩平均分为484.6分，高出平均分12.6分作为参考。
内蒙的今年最低录取线,13***99 (内蒙古),2018-06-28 14:49,内蒙古的考生，超过本科一批14分有希望么。,您好，您可以根据2017年内蒙古我校区招收理科学生成绩平均分为478.8分，高出平均分12.8分；2017年内蒙古我校区招收文科学生成绩平均分为484.6分，高出平均分12.6分作为参考。
湖南考生,13***78 (湖南),2018-06-28 10:58,老师您好，今年湖南考生532报考贵校被录取概率大吗？,您好，您可以根据2017年湖南我校区招收理科学生成绩平均分为514.8分，高出平均分9.8分作为参考。
山东考生,13***66 (山东),2018-06-27 10:27,您好，我是山东考生理科526分，83000位次，请问报考有希望吗？,您好，2017年理科本科线为433，录取平均分为534.3。今年的本科线为435，您的高考分数为526。您的希望还是有的，填报志愿时可以增大您被录取的可能性。
关于录取,15***69 (河南),2018-06-27 09:19,老师你好，我是一名往届生，去年被一所高校录取了但没有去上，好像被记入诚信档案了，想问一下，今年想报考贵校，如果分数足够的话，会不会因为这个问题被贵校退档？谢谢,您好，在分数足够的情况下，校区不会因为您的情况退档。
关于录取,15***69 (河南),2018-06-27 09:15,老师您好，请问贵校招收往届生吗？,您好，我校区招收往届生。
河南文科,15***42 (河南),2018-06-26 15:15,您好，我是文科生，低于一本分数线三分，想报考贵校请问录取的可能大吗,您好，我校区为第一批录取院校，提档分数线不低于各省（区、市）的本科一批分数线。
征集志愿,15***23 (陕西),2018-06-24 13:08,2018年陕西考生，比一本线低1分，能通过征集志愿报考贵校吗？,您好，不能。我校区为第一批录取院校，提档分数线不低于各省（区、市）的本科一批分数线。
高考咨询,ga***i888 (河南),2017-06-27 11:18,老师您好，我是河南考生高考成绩525分，请问，上咱们学校有希望吗？,具体还得看河南考生今年的报名情况，欢迎您报考。
专业,yu*** (陕西),2017-06-26 12:05,老师你好！我想了解下克拉玛依校区是属于211吗？在克拉玛依校区就读是否有机会去北京校区交流学习？,中国石油大学（北京）设有北京校区和克拉玛依校区，两个校区是同一个学校，是教育部直属211高校。克拉玛依校区学生可赴北京校区交流学习，时间为半年到一年，每届本科生派往北京校区学习的人数为该届学生人数的5%左右。
克拉玛依,yu*** (陕西),2017-06-26 12:02,老师、你好！我是陕西的一名考生、我的成绩刚过一本线、位次是51444、今年有可能被录取上吗？,因为我们学校招办暂时还不清楚今年陕西考生的报名情况，所以你被录取的机率无法提供给您，欢迎您报考。
专业,18***25 (河北),2017-06-26 11:23,有适合女生的专业吗，以后就业方向呢？以后可以不在新疆工作吗，如果是河北考生，比一本线高11分可以上吗,校区招生专业不限男女比例，就业是面向全国的，你的考分还是有希望被录取的，但是录取几率得具体看河北考生今年的报名情况。
