标题,来源,时间,问题,回答
录取,15***87 (广东),2018-06-28 13:12,你好，我是今年广东文科高考考生，高考分数570，省排位9394左右，请问进贵校的可能性大吗？有什么建议吗,只能建议冲一下试试。
咨询,18***32 (黑龙江),2018-06-28 12:47,黑龙江考生，分数在一本线上93分，报考贵校能有进档的希望吗！,报考有希望！
山东2018理工考生,13***85 (山东),2018-06-28 12:27,被录取后，不会去新疆克拉玛依校区吧，老师？,你若报考的是北京校区就在北京校区学习。
新疆,13***65 (新疆),2018-06-28 12:06,新疆572分位4230能否报贵校计算机专业？主要是怕被调剂到石油化工专业,石油工程专业是我校最好的专业，想挤进去都很难！
咨询,41***@qq.com (内蒙古),2018-06-28 11:48,内蒙古文史考生582分位次837超出一本线80分可以报考贵校吗可以学那些专业,参考往年可以冲一下。文科就三个专业
专业及院校咨询,15***59 (山东),2018-06-28 11:22,老师您好，我有以下几个问题咨询：1.咱们学校代码为B，那么与A类有什么不同2.我是山东一理科女生，高考成绩为615，位次为12780，我想问一下，什么专业比较适合？,可以填报我校，专业还是根据自己的学科兴趣填报，我校各专业都有女生，占近三分之一。我校录取是分数优先，不设专业级差，热门与非热门专业都选一些。
报考,13***98 (山东),2018-06-28 10:52,山东理工447分，位次168000，报考克拉玛依分校有希望吗？恳请老师回答，谢谢。,去年克拉玛依校区最低录取分为521
报考,13***98 (山东),2018-06-28 10:50,山东447分，报考克拉玛依分校有希望吗？谢谢老师,去年克拉玛依校区高一本（自主招生线515）近10分。
河南生文科608分排名3752，报考贵校有希望么？,18***06 (河南),2018-06-28 10:49,法学或经济学之类的,可以试着冲一下。
录取,13***85 (湖南),2018-06-28 10:38,我是湖南考生，文科，593分排名7290.有希望录贵校吗？,报考有压力。
报考,18***90 (新疆),2018-06-28 09:27,我是新疆理科考生今年564分，线差97分，4925名想报考你校能录取吗,可以报考。
老师，你好四川文科591,18***01 (四川),2018-06-28 09:25,有录取的可能性吗？,参考往年录取情况，报考有压力。
山东2018理工考生,13***85 (山东),2018-06-28 09:22,老师好，理科605分，位次17677，有希望吗？,欢迎报考我校，希望大。
专业咨询,13***50 (北京),2018-06-28 09:13,贵校与石油有关的专业外出考察、实践的次数多吗？,一般有认识实习、生产实习两次。
河南理科595分，报考贵校有希望吗？,13***8@qq.com (河南),2018-06-27 16:52,河南理科595分，报考贵校有希望吗？,欢迎报考，有希望。
辽宁理科考生录取咨询,18***51 (辽宁),2018-06-27 11:13,请问高考分数586，位次15761，报考贵校希望大吗？,参考往年录取情况，去年最低分排名在14000.报考我校有压力。
志愿,13***26 (江西),2018-06-27 10:58,江西理女592，喜欢中国石油大学女孩子有合适的专业吧，,欢迎报考我校，我校1/4的是女生噢！
录取咨询,13***72 (云南),2018-06-27 10:32,老师您好！我是云南理科男考生，成绩超一本线54分，服从专业调剂，报考贵校有希望吗？,您好，欢迎报考我校，录取希望很大。
河南,13***55 (河南),2018-06-27 10:09,老师你好，我是河南文史考生，601分，4905名河南，被贵校录取几率多大,您好，去年我校在河南文科最低排名在2700.
录取咨询,13***34 (湖南),2018-06-27 09:17,您好，湖南理科生，594分，排名13300，如服从调剂，有多大录取率？,录取希望较大。
四川文科考生提问,51***@qq.com (四川),2018-06-27 09:16,四川文科561分能被贵校会计学/经济学专业录取吗,报到压力太大了。
四川文科考生提问,51***@qq.com (四川),2018-06-27 09:13,请问贵校近三年在川招生的实录线及及排位分？,http://zszx.cup.edu.cn/f/common/zsCj/forwardScore可以在上面查看
咨询,18***17 (山西),2018-06-27 09:11,老师您好。我是山西考生，理科，565分，报考本校把握有多大？,您好，参考往年录取情况，报考我校有压力。
志愿,15***09 (西藏),2018-06-27 09:04,我是西藏理科汉族考生，总分486，报考本校有希望吗？,您好，参考往年录取情况，还是有希望的。
录取咨询,13***79 (福建),2018-06-26 16:31,您好，我是福建文科生今年省排名4148报考贵校有希望吗,去年我校在福建文科最低录取分数高一本线23分。
山东理科,15***49 (山东),2018-06-26 16:07,成绩602，位次19096，报考贵校希望大吗？,参考往年录取情况，还是有希望的，可以冲一下。
咨询,15***52 (河南),2018-06-26 15:29,河南考生文科613分，超一本线66分，河南省排名2929-3045，想报考贵校工商管理专业，可服从专业调剂，可否有机会，谢谢！~,您好，去年我校在河南省文科录取最低高一本线分差68分，排名2700，您的报考压力大。
广东理科535报考贵校，压力会不会太大,13***24 (广东),2018-06-26 15:20,广东理科535报考贵校，压力会不会太大,进来的压力大。
志愿咨询,13***51 (北京),2018-06-26 15:13,您好：老师我的高考成绩排名10599，请问能否报贵校！如果能够录取，请问贵校是否可以在1年后转专业，相关政策？谢谢！,您好，参考往年录取情况，报名我校压力大。学校第一学年末学生可申请在全校各专业范围内转专业，第二学年末则允许在相近学科专业之间选择。每年学校转专业人数约12%。
志愿咨询,13***51 (北京),2018-06-26 15:12,您好：老师我的高考成绩排名10599，请问能否报贵校！如果能够录取，请问贵校是否可以在1年后转专业，相关政策？谢谢！,您好，参考往年录取情况，报名我校压力大。学校第一学年末学生可申请在全校各专业范围内转专业，第二学年末则允许在相近学科专业之间选择。每年学校转专业人数约12%。
内蒙古,zj*** (内蒙古),2017-06-27 11:06,老师你好，我是理科生，,按照往年录取情况，您可以将我校作为第一志愿冲刺一下，其他分数比较低的院校保底
录取,sh***97979 (山东),2017-06-27 11:03,排名在30000，超过一本线62分,按照往年的录取情况，您不太适合报考我校
录取,sh***97979 (山东),2017-06-27 10:58,您好，山东理科577分，报考贵校可能性大吗,您的排名多少？
院校区别,hh*** (江苏),2017-06-27 10:44,请问华东和北京的中国石油大学有何区别？,两所院校独立办学独立招生
内蒙古,zj*** (内蒙古),2017-06-27 10:41,老师你好，我是内蒙古考生，超一本线60分，报考贵校服从调剂有希望录取吗？谢谢。,您是文科还是理科
录取和转专业问题,13***21 (北京),2017-06-27 10:35,老师您好，我是北京考生，理科8014名，高一本线54分，提档的可能性大吗？转专业的话是只能在北京地区招生的专业里转还是全部专业都可以转，谢谢,按照往年的录取情况来看，您可以尝试报考我校，可以作为第一志愿冲刺一下，其他分数较低的院校作为保底；转专业在大一下学期根据个人成绩情况转专业，可以转任意专业
国家专项河南理科,13***55 (河南),2017-06-27 10:03,请问563分有希望吗,欢迎报考我校！按照往年分数线，您的分数可以报考我校
录取,hh*** (江苏),2017-06-27 09:58,江苏考生347，物理A+生物A，报考贵校录取可能性大吗？,欢迎报考我校！按照往年录取情况，您可以报考我校。
黑龙江考生咨询招生,dy*** (黑龙江),2017-06-27 09:28,请问在全省排名6785，可不可以报考贵校？,按照往年录取情况，您可以将我校作为第一志愿，冲刺一下，因为去年黑龙江情况比较特殊，所以分数比较低，推荐你将其他分数较低院校作为保底志愿
山东理科郑,72*** (山东),2017-06-26 16:31,老师好！山东理科女，613分，位次11303，请问报考贵校有多大希望？另外，贵校什么特别突出的专业？万分感谢！！！,按照往年录取情况，您可以报考我校；您可以参考我校本科招生网的特色专业。
录取,li***g761014 (四川),2017-06-26 16:23,我是四川文科考生，今年高考597分，排名1600，报考贵校有望录取吗,按照往年录取情况，您可以报考我校。
河南考生556咨询,99***9 (河南),2017-06-26 15:45,老师您好，我是河南省理科考生，今年高考成绩为556分，高出一本分数线72分，总成绩在全省25007位。请问报考贵校有希望吗？谢谢答复！,根据往年录取情况来看，您的分数不适合报考我校。
录取问题,li***980618 (甘肃),2017-06-26 14:50,老师，你好，我是甘肃理科考生，请问高于一本线50分报你们学校有希望吗，热门学科呢,按照往年录取情况，您的录取几率较低，您可以将我校作为第一志愿冲刺一下，其他分数较低院校作为保底
转专业,15***65 (湖南),2017-06-26 13:47,请问老师，1假如我通过入贫困专项计划进入贵校后是A专业，后想转入B专业，是否可行2在1的前提下贵校能否进行大类别之间的转专业，转专业的概率且以什么而定谢谢,我校大一末全校范围内转专业、大二末相近学科之间转专业。转专业成功在12%
山东理科考生,mo***74 (山东),2017-06-26 12:28,老师好！我今年山东理科608分，13447名，报考贵校有希望吗？,欢迎报考我校，按照往年录取情况，您可以报考我校
浙江考生咨询,18***52 (浙江),2018-06-24 11:20,老师，请问进入贵校以后，转专业的规定是怎样的？浙江考生超一段线30分能否考虑报考,第一学年末学生可申请在全校各专业范围内转专业，第二学年末则允许在相近学科专业之间（本学院）选择。每年学校转专业人数约12%。高一段线30分可以试。
招生情况,13***88 (浙江),2018-06-24 09:45,您好，我想问下贵校在浙江招生的所有专业录取后都在北京校本部上课吗，我看贵校招生章程上还有个克拉玛依校区，不会被录取到克拉玛依去上课吧,您好，克拉玛依校区在浙江没有招生计划，校本部录取的考生在校本部学院。
北京理科生577分，是否可以选择本校？,10***3@qq.com (北京),2018-06-24 09:44,谢谢！,欢迎报考我校，参考往年录取情况，可以填报，排名在9000左右把握大一些。
想报考贵校,13***88 (浙江),2018-06-24 09:35,您好，我是浙江考生，我想问下630分位次16556有希望进贵校吗？,欢迎报考我校，参考往年录取情况，录取的几率还是挺大的
报考,13***17 (北京),2018-06-23 16:18,北京理科生，高一本线51分，能否报考本校,欢迎报考我校，参考往年的情况，可以填报。
录取名次,18***90 (四川),2018-06-23 13:34,请问四川省的填报贵校大约在川内多少名，今年高考622分能稳录吗,您好，去年四川理科最低分数排名在19000，高一本线69分。
咨询,13***57 (四川),2018-06-23 12:31,老师您好，四川考生613，排名19000左右，报考贵校有希望吗,您好，参考去的情况，可以冲一下。
色弱,15***4@qq.com (新疆),2018-06-23 12:19,老师好，色弱可以上资源勘查工程、勘查技术吗，我看前面老师只是建议不宜报考，如果报了可以录取吗？,您好，色弱确实不宜报考上述专业，会影响学业的，如果报了，学校会尽量调到别的专业。
湖南文科读贵校可以吗？,15***89 (湖南),2018-06-22 12:19,湖南文科读贵校可以吗？有文科硕博点吗？,欢迎报考我校，我校有英语、工商管理类、经济学类专业招生文科，都有硕点
广东理科考生,zh***he (广东),2017-06-28 15:34,老师您好，广东理科515，40000名，服从调剂，报冲贵校，有可能性吗？谢谢！,按照去年录取情况来看，您在最低录取排名一下，前年在录取排名以上，所以推荐您将我校作为第一志愿冲刺一下
录取,wa***6 (山西),2017-06-28 15:25,您好，我高考分数为536，在山西省省排为9590，同分段有242人，请问报考贵校几率有多大？谢谢！,按照往年录取情况，您的排名在最低录取排名附近，推荐您将我校作为第一志愿，其他分数较低院校保底
新疆理科生504分能否报考贵校？盼复！,yi***9 (新疆),2017-06-28 15:17,老师您好，我是新疆理科考生，504分，超出一本线67分，位次6623，请问服从专业调剂报考贵校被录取的希望大吗？,按照望您录取情况来看，您可以填报我校，但最好作为第一志愿，其他分数低的院校保底
录取,lj*** (广西),2017-06-28 15:10,我是广西理科生，加分后516，高出一本线49分，广西排名13977，宝贵小录取机率如何？,根据往年录取情况，您可以填报我校，但最好作为第一志愿，按照去年来看您的排名在最低录取排名附近
咨询,wy*** (上海),2017-06-28 11:20,老师，您好！上海考生500分，排名14000，上海今年不分文理科。请问能否被贵校录取？谢谢！,抱歉，您的分数不太适合填报我校
河南理科567分,20***r (河南),2017-06-28 11:06,老师您好，河南理科567分，排名19244，请问服从专业调剂报考贵校被录取的希望大吗？,按照往年录取情况，您的排名比最低排名低1000名左右，您可以尝试作为第一志愿冲刺一下。
录取咨询,18***78 (云南),2018-06-26 09:12,请问老师，我是云南理科考生，分数高出一本线63分，位次是10532，是否有希望报考贵校（有国家专项批资格）？谢谢老师。,欢迎报考我校，参考往年录取情况，录取的几率较大的，国家专项和统招都可以报
北京理工考生598分,13***38 (北京),2018-06-26 09:05,报考贵校，能录取么？,欢迎报考我校，参考往年录取情况，录取有希望。
咨询,25***@qq.com (河北),2018-06-25 17:00,您好，河北考生理科617分，15700多名，报考贵校可能性大吗？,参考往年录取情况，有压力。
河北考生649分文科，省排名1205，能被如去吗？,15***30 (河北),2018-06-25 16:54,河北考生649分文科，省排名1205，能被如去吗？,欢迎报考我校，参考往年录取情况，录取希望很大
河北考生649分文科，省排名1205，能被如去吗？,15***30 (河北),2018-06-25 16:54,河北考生649分文科，省排名1205，能被如去吗？,欢迎报考我校，参考往年录取情况，录取希望很大。
招生咨询,18***52 (浙江),2018-06-25 16:48,请问贵校招生有无QQ群之类的途径？,有微信公众号：中国石油大学本科招生办
请问贵校今年在江苏省录取位次大概是多少？,15***48 (江苏),2018-06-25 16:47,请问贵校今年在江苏省录取位次大概是多少？,参考往年录取情况，大约在26000左右
