标题,来源,时间,问题,回答
高校专项,13***09 (山东),2018-06-26 09:38,老师您好，我是山东理科考生，高校专项已通过，分数为522分，有机会被录取吗?,同学你好，感谢关注中国石油大学（华东）！根据高校专项招生简章，按照高考成绩择优录取，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
报考,13***71 (安徽),2018-06-26 09:24,老师您好，我是今年安徽省理科考生，考了590，省排名16734，可以填报贵校吗？,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
河南587录取概率,17***08 (河南),2018-06-26 09:21,你好，我是河南考生，理工科587，位次22847，服从调剂，有望被贵校录取吗？,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
北京，理工，566，报考贵校有希望吗？,13***66 (北京),2018-06-26 09:12,北京，理工，566，报考贵校有希望吗？,同学你好，感谢关注中国石油大学（华东）！建议你参考近三年我校在北京地区招生情况，确定并填报志愿。欢迎报考中国石油大学（华东）并祝金榜题名。
录取几率,15***06 (云南),2018-06-25 16:26,老师，您好。贵校在云南的录取的最低位次是多少？不要告诉我网址,同学你好，感谢关注中国石油大学（华东）！2018年录取最低位次需要考生填报完毕后，录取时能准确了解，请耐心等待，欢迎报考中国石油大学（华东）并祝金榜题名。
咨询,13***57 (四川),2018-06-25 16:26,老师，您好，我是四川理科考生，请问今年有专业极差吗？,同学你好，感谢关注中国石油大学（华东）！我校在专业安排时实行专业级差，具体可以参考我校2018年招生章程，欢迎报考中国石油大学（华东）并祝金榜题名。
录取几率,15***06 (云南),2018-06-25 16:15,老师，您好。我是云南理科考生，568分，位次17342，是否有望报考贵校？,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
录取几率,15***06 (云南),2018-06-25 16:15,老师，您好。我是云南理科考生，568分，位次17342，是否有望报考贵校？,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
2018年福建高考成绩545，报考贵校有什么好专业,18***68 (福建),2018-06-25 15:57,2018年福建高考成绩545，报考贵校有什么好专业,同学你好，感谢关注中国石油大学（华东）！建议你参考我校近三年在福建招生情况，确定并填报志愿，欢迎报考中国石油大学（华东）并祝金榜题名。
内蒙理科578,15***28 (内蒙古),2018-06-25 15:51,内蒙考生，分数578，排位6598，被录取可能性大吗？,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是很有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
咨询,13***57 (四川),2018-06-25 15:41,老师，您好，我是四川考生，613分，19230位，请问有机会进入贵校吗？顺便想咨询一下贵校的特色专业，谢谢！,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
陕西考生,51***@qq.com (陕西),2018-06-25 14:43,您好我是陕西考生，高考分数高于一本线79分，全省排名18664，不知道报考贵校希望大否,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
湖北理科考生，588,lu***6.com (湖北),2018-06-25 14:27,湖北理科588，报考贵校有希望吗,同学你好，感谢关注中国石油大学（华东）！建议你参考我校近三年在湖北录取情况，确定并填报志愿，欢迎报考中国石油大学（华东）并祝金榜题名。
高校专项计划,13***34 (四川),2018-06-25 14:26,我在填报贵校高校专项计划志愿时，只出现了三个可选专业，为什么？？,同学你好，感谢关注中国石油大学（华东）！我校根据学校实际在各省安排了专业和计划，你可以从中选择合适的专业填报，欢迎报考中国石油大学（华东）并祝金榜题名。
新疆理科男生536分，位次7675，想学化学专业,18***60 (新疆),2018-06-25 14:13,录取希望大吗？,同学你好，感谢关注中国石油大学（华东）！建议你参考我校近三年在新疆录取情况，确定并填报志愿，欢迎报考中国石油大学（华东）并祝金榜题名。
高校专项计划咨询,13***34 (四川),2018-06-24 16:43,老师您好，我是四川考生，已报名并通过贵校高校专项计划审核，请问录取名单是什么时候公布，填报志愿是只能填报高校专项计划吗？,同学你好，感谢关注中国石油大学（华东）！请根据你实际情况填报志愿，除了高校专项计划外，你还可以根据实际情况填报其他批次志愿，具体以你所在省区志愿填报政策为准，欢迎报考中国石油大学（华东）并祝金榜题名。
山东理科,15***62 (山东),2018-06-24 16:27,我是贵姓农村专项学生，已通过审核，理科，女，高考成绩509分，志愿服从调剂，报考贵姓希望大吗？,同学你好，感谢关注中国石油大学（华东）！根据高校专项招生简章，考生按照高考成绩择优录取，欢迎报考中国石油大学（华东）并祝金榜题名。
安徽考生,13***17 (安徽),2018-06-24 14:34,老师您好，我是一名安徽考生，今年高考我只比一本线高出9分，请问能被贵校录取的可能性有多大呢？,同学你好，感谢关注中国石油大学（华东）！建议你参考近三年我校在安徽录取情况，确定并填报志愿，欢迎报考中国石油大学（华东）并祝金榜题名。
请问我是宁夏的理科，成绩是497，排名6502，能报贵校吗,13***01 (宁夏),2018-06-24 14:04,愿意调剂,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
云南考生,15***06 (云南),2018-06-24 14:02,老师，您好。我是云南理科考生，568分，位次17342，是否有望报考贵校？,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
报考,18***16 (天津),2018-06-24 12:13,老师您好，我是天津市18年考生，今年考575分，排名8950附近，请问报考贵校有希望吗,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有机会被录取的，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
录取几率？,15***05 (辽宁),2018-06-24 11:29,辽宁文科女生，565分，省内位次5035，服从调剂的话，录取几率大吗？,同学你好，感谢关注中国石油大学（华东）！从近三年情况看，你的成绩报考我校是有一定风险，因此，如果你对中国石油大学（华东）确实感兴趣，建议以第一院校志愿填报并专业服从调剂，欢迎报考中国石油大学（华东）并祝金榜题名。
山东理科考生,13***30 (山东),2018-06-23 13:08,我过了贵校的农村专项考570分能过贵校的资格吗,同学你好，感谢关注中国石油大学（华东）！根据高校专项招生简章，考生按照高考成绩择优录取，欢迎报考中国石油大学（华东）并祝金榜题名。
山东理科,13***30 (山东),2018-06-23 12:23,我过了贵校的农村专项考570分能过贵校的资格吗,同学你好，感谢关注中国石油大学（华东）！根据高校专项招生简章，考生按照高考成绩择优录取，欢迎报考中国石油大学（华东）并祝金榜题名。
色弱,15***4@qq.com (新疆),2018-06-23 12:22,老师好，请问贵校资源勘查工程、勘查技术与工程色弱能报吗，如果报了分数达到录取线，能录取吗？,同学你好，感谢关注中国石油大学（华东）！具体请查看高校招生体检标准，欢迎报考中国石油大学（华东）并祝金榜题名。
