标题,来源,时间,问题,回答
今年河北省录取分数线,15***58 (河北),2018-06-23 09:36,各专业分数线多少？服从调剂后是否不退档？可以转专业吗？,2017、2016、2015年录取分数线可在我校招生网查看。服从专业调剂，体检、政审均合格，不退档。可以转专业
湖南文科读贵校可以吗？,15***89 (湖南),2018-06-22 12:19,湖南文科读贵校可以吗？有文科硕博点吗？,我校湖南招文科生。有硕士点
河南文科考生,ga***anfengshun (河南),2017-06-28 16:49,老师好，河南文科569分，位次4566，请问报贵校录取几率大吗？,你好，我校文科在河南2016年最低分516，位次3600。
报考咨询,85*** (河南),2017-06-28 16:43,老师好，河南理科考生，558分，23848名，报考贵校有希望吗？,按往年的情况看，优势不大。
录取及退档,wp*** (山西),2017-06-28 16:22,老师好，我是山西理科女生，成绩554分，位次5970名，报名贵校有希望吗，提档后如果服从调剂会被退档吗？,你好，按往年希望很大，服从调剂，没有身体等特殊原因不会退档。
咨询,20***sh (山东),2017-06-28 15:57,山东考生文科可以报考吗587分位次3120有希望吗,希望还是挺大的，欢迎报考
老师您好，我是山西文科考生,xu***017 (山西),2017-06-28 15:38,老师您好，我是山西文科考生.考分556，一本线518，全省排名1502名。报考贵校哪些专业比较有希望？,还是有希望的，欢迎报考
报考,20***r (河南),2017-06-28 15:29,老师您好，河南理科567分，排名19244，请问服从专业调剂报考贵校被录取的希望大吗？平行志愿投档有影响吗？,平行志愿分数优先，您的成绩被录取的希望还是挺大的
咨询,bg*** (海南),2017-06-28 15:23,分数偏低是否能报贵校？若可以应在什么范围内可以接受？,分数过一本线80分左右希望较大
中外合作专业,su***rk (安徽),2017-06-28 15:07,老师你好，我是安徽理工科考生，成绩518，排名40500，想了解一下是否可以考虑报考中外合作专业，我在网上找不到相关信息，是否可以告知哪里可以看到相关招生信息。谢谢,我们学校不设中外合作专业，谢谢
咨询,bg*** (海南),2017-06-28 14:14,海南636分，排名5799名，可以被贵校录取吗？,根据近三年我校在海南的录取情况，您的分数有点偏低
录取咨询,18***14 (贵州),2017-06-28 12:40,老师您好：贵州考生513能否被录取？谢谢！,根据我校近三年在贵州的招生情况，您的成绩有点偏低，但是您可以报考我们学校试一下
河南理科566，排名19731,zh***56 (河南),2017-06-28 12:00,您好，河南理科566，排名19731，有希望进入贵校否。贵校是否有专业级差？若服从调剂，体检政审合格，进档是否一定不会退？调剂一般会调到哪个专业？贵校转专业的比例是多少？谢谢！,有希望但是也有风险。我校不设专业级差，政审体检合格一般不会退档。调剂专业根据你省报考情况来定。转专业各个专业在全校的接收人数不超过该专业该年招生计划的15%
江苏考生,zy*** (江苏),2017-06-28 10:49,江苏理科351AA+稳吗,希望比较大
高考录取,xq*** (安徽),2017-06-28 10:47,老师您好，安徽文科考生570分，3300多名，被贵校录取的可能性大吗？谢谢。,希望比较大
