标题,来源,时间,问题,回答
录取 专业 退档,18***85 (江西),2018-06-25 13:12,你好！我是江西考生。今年的高考分数为584分，排名13016名。有希望被贵校录取吗？可以就读什么专业？是否会被退档？盼，谢谢！,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx2、若您服从专业调剂，提档后一般不会被退档，谢谢。
报考咨询,13***75 (河南),2018-06-25 12:02,老师您好，河南文科美术生统考258，文化482，报考咱们学校有希望吗,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
地理信息科学专业录取分数,13***01 (山东),2018-06-25 11:12,17年贵校地理信息科学专业录取平均分和最低分可以说一下吗?谢谢,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
关于投档与录取,13***19 (江苏),2018-06-25 10:07,老师您好，我是江苏理科考生，总分361，位次22956，物理B+，生物A，可以报考贵校吗?会不会退档?专业是否有限报?,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx2、如果服从专业调剂，一般不会被退档，谢谢。
山东理科考生,18***47 (山东),2018-06-25 09:42,2018高考理科608分，位次15892，报考贵校希望大吗？能选择什么专业？,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
录取问题,15***06 (云南),2018-06-25 09:06,老师，您好。贵校在云南的录取的最低位次是多少？退档率是多少？大概提多少档？谢谢,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx。如果服从专业调剂一般不会被退档。谢谢。
关于录取,13***57 (北京),2018-06-24 16:10,北京理科考生，573分，排名11595，有希望被贵校录取吗?谢谢,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
关于北京考生录取,13***57 (北京),2018-06-24 16:08,我是北京理科考生，573分，排名11595，请问有希望被贵校录取吗?,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
北京考生理科696分到贵校有希望吗？,18***30 (北京),2018-06-24 14:54,老师好，请问北京考生理科696分一批次到贵校有希望吗？,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx
云南考生,18***12 (云南),2018-06-24 13:07,我是云南理科考生，高考分超过一本分25分，555分，请问能否报考贵校,您好！欢迎关注中国矿业大学。你可以查询并参考我校历年录取分数网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx
贵校机械工程专业的就业情况怎么样？,18***78 (新疆),2018-06-24 11:22,新疆男生，贵校徐州和北京的分数及专业水准怎么比较？贵校机械工程专业的就业情况怎么样？,您好！欢迎关注中国矿业大学。我校与中国矿业大学（北京）属于两所学校，独立招生，独立办学。我校机械工程专业近三年就业率保持在98%以上。
云南考生,15***06 (云南),2018-06-24 09:08,老师，您好。我是云南理科考生，568分，位次17342，是否有望报考贵校？如果能够报考是否存在退档风险？,您好！欢迎报考中国矿业大学。您可以查询并参考我校各省各专业历年录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx。如果您选择服从专业调剂，一般不会出现退档情况，但如果不符合我校录取条件，也会有例外情况。
安徽考生,ym*** (安徽),2017-06-28 16:34,您好！理科超一本77分，省排名15356，有多大几率报贵校？什么专业最好？,您好，欢迎您报考中国矿业大学！建议参考贵省历年在我校分数线及排名，具体可参考链接：http://zs.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/index.aspx。我校本科招生网及矿大招生微信公众号上都有详细介绍，建议根据自身的兴趣爱好进行填报！
建筑环境与能源应用工程对身体条件有限制吗,mu***ing (山东),2017-06-28 16:22,请问矿大的中外合作项目中的“建筑环境与能源应用工程”，对色弱的学生限报吗？,您好，欢迎您报考中国矿业大学！我校体检按照教育部、卫生部、中国残疾人联合会印发的《普通高等学校招生体检工作指导意见》及有关补充规定执行。根据文件显示，该专业无特殊体检限制，详情请参考相关文件！谢谢！
河南理科考生,85*** (河南),2017-06-28 16:08,老师好，河南理科考生，558分，23848名，报考贵校有希望吗？,您好，欢迎报考中国矿业大学！我校面向河南考生2016年理科录取分数线580，排名24758，超本一线57分；2015年理科录取分数线573，排名23288，超本一线44分；2014年理科录取分数线587，超本一线40分。您也可登录中国矿业大学本科招生网查询各省各专业历年录取分数，以作参考，谢谢！
福建理科考生,18***91 (福建),2018-06-26 11:00,老师您好，我是福建理科考生，高考分数555，超过一本线65分，排名13500左右，安全科学与工程专业可能性大吗？报考贵校服从调剂录取的可能性大吗？,[您好！欢迎报考中国矿业大学。我校2017年福建省理科录取最低位次为14119名，您还可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx。我校会尽量用预留计划录取服从专业调剂的考生，因此服从专业调剂的考生，符合条件不予退档。谢谢。
陕西理科,15***59 (陕西),2018-06-26 10:46,老师您好，陕西理科546省位20793有没有希望报考贵校？,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
咨询,13***40 (重庆),2018-06-26 10:16,填报志愿时，贵校的矿业类中含有其他学科，这是怎么选择，还是进校后根据成绩安排？,您好！欢迎报考中国矿业大学。学生在2年内完成大类培养后，根据本人意愿及各专业要求在大类中确定具体专业。谢谢。
山东考生,13***96 (山东),2018-06-26 09:57,老师您好，山东理科587分，位次28205，是否有希望报考贵校？,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
海南理科考生，女，652分，有希望上矿大吗？,13***19 (海南),2018-06-26 09:48,海南理科考生，女，652分，排名7591-4669之间，有希望上矿大吗？,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
录取问题,18***64 (安徽),2018-06-26 09:38,你好，我是安徽考生，今年高考587分，通过贵校高校计划，报考贵校有望吗,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢
河南587,17***08 (河南),2018-06-26 09:16,你好，我今年587，位次22847，有望被贵校录取吗？服从调剂,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。2、如果服从专业调剂一般不会被退档。谢谢。
关于投档与录取,13***19 (江苏),2018-06-26 09:15,老师您好，我是江苏理科考生，总分361，位次21663，物理B+，生物A，可以报考贵校吗?否符什么专业?会不会退档?,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。2、如果服从专业调剂一般不会被退档。谢谢。
请问贵校今年在江苏省录取位次大概是多少？,15***48 (江苏),2018-06-25 16:39,请问贵校今年在江苏省录取位次大概是多少？,您好！欢迎报考中国矿业大学。您可以参考我校2017年录取位次。2017年我校理科录取最低位次为25254名，文科录取最低位次为5875名。谢谢。
请问贵校今年在江苏省录取位次大概是多少？,15***48 (江苏),2018-06-25 16:36,请问贵校今年在江苏省录取位次大概是多少？,您好！欢迎报考中国矿业大学。您可以参考2017年江苏省理科录取最低位次为25254名，文科录取最低位次为5875名。谢谢。
录取几率,15***06 (云南),2018-06-25 16:28,老师，您好。贵校在云南的录取的最低位次是多少？不要告诉我网址。谢谢,您好！欢迎报考中国矿业大学。云南省2017年理科录取最低位次为15148名，文科录取最低位次为3416名。谢谢。
录取问题,18***12 (云南),2018-06-25 16:14,老师您好，我是云南理科考生，高考分数575，超过一本线45分，报考贵校计算机类专业，录取的可能性大吗？服从调剂有退档风险吗？,您好！欢迎报考中国矿业大学。1、您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx2、若服从调剂则提档后一般不会被退档，谢谢。
报考,15***55 (陕西),2018-06-25 15:28,我是陕西考生。位次18000，能被录取吗？可以报专业。,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
志愿申请,18***19 (云南),2018-06-25 14:54,云南文科考生611分，省位次2708，报考贵校有希望吗？,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
天津理科考生,13***18 (天津),2018-06-25 14:00,理科575，排名9012，有希望进入贵校吗？,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
北京文科考生594分排名3452有可能被录取吗？谢谢老师,18***56 (北京),2018-06-23 16:05,北京文科考生594分排名3452有可能被录取吗？谢谢老师,您好！欢迎关注中国矿业大学。您可以查询并参考我校各省各专业历年录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
河北理科高一本线78分，位次20440，录取希望多大,wo***xing (河北),2016-06-26 10:21,服从专业调剂，女生,从名次来看，在往年我校录取线上下，建议放在第一志愿报考，还是挺有希望的。
安徽考生高考咨询,18*** (安徽),2015-06-26 16:44,您好我是安徽理科考生，今年16000名，高出一本线50分，请问是否可以报考您所在的大学、如果可以报考那些专业?,你好，有希望的，建议放在第一个院校志愿，服从专业调剂。可点击矿大招生网首页的“录取分数查询-----分省分专业高考录取成绩统计”查看往年各专业在本省的录取分数线，做个参考。欢迎报考中国矿大！
报考咨询,ju*** (广东),2015-06-26 15:20,老师您好！我是广东省理科考生，今年592，高出重点线15分，我想报考贵校，不知录取的机率会有多少？若有幸被录取，请问专业选择余地大不大？是否可以在中途转专业？若服从调剂，提档后会不会退档？谢谢您，期待您的答复。,你好，希望挺大的。可点击矿大招生网首页的“录取分数查询-----分省分专业高考录取成绩统计”查看往年各专业在本省的录取分数线，做个参考。大一结束时可申请转专业。我校会尽量用预留计划录取服从专业调剂的进档考生。
报名资格,he*** (河南),2015-03-05 16:23,3.其他具有上述学科特长、创新潜质并能提供相关证明材料。相关证明材料指的是什么？,你好，如语文、数学、物理或化学中某一科成绩突出，可提供该科目历次期末考试成绩及单科排名情况。如有相关的发明制作等，也可提交。其他任何只要能证明语文、数学、物理或化学特长的材料均可提供。
福建文科2912名,13***20 (福建),2018-06-27 16:33,这个位次报考录取希望大吗？,您好！欢迎报考中国矿业大学。2017年福建文科录取最低位次为2810名，您还可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
录取,13***81 (湖南),2018-06-27 15:12,您好老师，请问贵校今年预计在湖南省录取的位次是多少,您好！欢迎关注中国矿业大学。目前尚未预估录取位次，我校2017年湖南省理科录取最低位次为15892名，2016年录取最低位次为15364名，您还可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
广东招生专业,15***29 (广东),2018-06-27 15:00,我是广东考生，贵校今年对广东招生的专业有什么，与去年相比有什么变化吗？,您好！欢迎报考中国矿业大学，您可以到我校本科生招生网查看我校招生计划，网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/ZhaoShengJiHuaChaXun.aspx，谢谢。
咨询,15***27 (河南),2018-06-27 14:56,河南考生高一本线87分，报考有希望吗位次23432,您好！欢迎报考中国矿业大学。我校2017年河南省理科录取最低位次为24410名，2016年录取最低位次为24758名，您还可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
关于身体条件的问题,13***06 (湖北),2018-06-27 13:43,尊敬的老师您好：我是湖北2018届应届考生，想就贵校对身体条件相关问题咨询一下。我于2015年底患肾病综合征微小病变型肾病（不属于《普通高校招生体检意见》中“慢性肾炎”），经诊治调理2月后各项指标恢复正常，至今未复发，今年高考想报考贵校，可否有机会？（本人位次与贵校前三年平均投档线对应位次差距较小）谢谢！,您好！欢迎报考中国矿业大学。我校体检按教育部、卫生部、中国残疾人联合会印发的《普通高等学校招生体检工作指导意见》及有关补充规定执行，学校各专业无特殊要求。谢谢。
报考咨询,15***12 (江苏),2018-06-27 12:07,老师您好，江苏理科考生359AB请问报考贵校希望大吗,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
咨询,13***57 (四川),2018-06-27 12:03,进档之后服从专业调剂是否会被退档？谢谢,您好！欢迎报考中国矿业大学。我校会尽量用预留计划录取服从专业调剂的考生，因此服从专业调剂的考生，符合条件不予退档。谢谢。
咨询,13***57 (四川),2018-06-27 12:02,老师，您好，贵校有专业极差吗,您好！欢迎报考中国矿业大学。我校今年未设置专业极差。谢谢。
咨询,13***57 (四川),2018-06-27 12:01,老师，您好，四川考生，613分，19230位有希望进入贵校吗？谢谢,您好！欢迎报考中国矿业大学。我校2017年四川省理科录取最低位次为20758名，2016年录取最低位次为22137名，您还可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
新疆考生,13***62 (新疆),2018-06-27 11:59,女生适合报考贵校吗,您好！欢迎报考中国矿业大学。我校各专业没有性别比例限制，学校内有很多专业都适合女生就读。谢谢。
专业报考问题,15***71 (广东),2018-06-27 11:50,我了解到贵校专业间不存在极差，那请问录取时是否按考生报志愿里的专业顺序录取？谢谢！,您好！欢迎关注中国矿业大学。是的，谢谢。
辽宁理科,15***27 (辽宁),2018-06-27 11:49,老师您好，2018年辽宁理科考生559分，排名24196，理工类本科线368，我想咨询一下，报考贵校的什么专业录取几率会大一点。谢谢老师！,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
辽宁理科,15***27 (辽宁),2018-06-27 11:38,老师您好，我是2018年辽宁理科考生559分，我想咨询一下，报考贵校的什么专业录取几率会大一点。谢谢老师！,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
报考咨询,13***75 (河南),2018-06-27 11:31,老师您好，河南文科美术生统考258分，文化482分，报咱们学校有希望吗？谢谢,您好！欢迎报考中国矿业大学。您可以查询并参考我校历年各省各专业录取分数，查询网址如下：http://zsold.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/LuQuFenShuChaXun.aspx谢谢。
重庆理科考生584位次15422有机会录取吗,15***49 (重庆),2018-06-27 09:56,老师您好，我的位次略低于去年贵校的最低位次，是否有机会冲一下？,您好！欢迎关注中国矿业大学，您可以试一下，但具体能否录取要看今年报考本校考生的整体排名水平。谢谢。
报考咨询,16***1 (甘肃),2017-06-26 09:04,老师您好，我是甘肃考生，今年成绩509分，名次12279名，报考贵校的概率大不大报考咨询,您好，欢迎您报考中国矿业大学！建议参考贵省历年在我校分数线及排名，具体可参考链接：http://zs.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/index.aspx。谢谢！
河北考生,du*** (河北),2017-06-26 09:02,老师您好，我是河北考生，男，高考575，高一本90，位次19500，想报考贵校，希望多大？希望推荐一个专业，谢谢。,您好，欢迎您报考中国矿业大学！建议参考贵省历年在我校分数线及排名，具体可参考链接：http://zs.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/index.aspx。我校本科招生网及矿大招生微信公众号上对招生大类以及相关学院都有详细介绍，建议根据自身的兴趣爱好进行填报！谢谢！
录取咨询,15***49 (河南),2017-06-25 16:29,你好：我是河南理科考生，今年高考成绩为568，超一本线84，省内排名18740，报考贵校能否入取，谢谢。,你好，欢迎报考中国矿业大学，根据往年我校在河南省的录取分数和考生排名，有希望被我校录取。可参考我校本科招生网上近三年录取分数线统计。谢谢！
录取咨询,15***49 (河南),2017-06-25 16:20,你好：我是河南理科考生，今年高考成绩为568，超一本线84，省内排名18740，报考贵校能否入取，谢谢。,您好，欢迎您报考中国矿业大学！建议参考贵省历年在我校分数线及排名，具体可参考链接：http://zs.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/index.aspx。谢谢！
湖北考生,zj*** (湖北),2017-06-25 16:15,老师您好，我是湖北理科生，分数过本科线59分，请问有希望报名贵校吗？望，谢谢！,您好，欢迎您报考中国矿业大学！建议参考贵省历年在我校分数线及排名，具体可参考链接：http://zs.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/index.aspx。我校本科招生网及矿大招生微信公众号上对招生大类以及相关学院都有详细介绍，建议根据自身的兴趣爱好进行填报！谢谢！
有希望吗,wx*** (天津),2017-06-25 15:47,天津理科568高一本47有希望吗,您好，欢迎您报考中国矿业大学！建议参考贵省历年在我校分数线及排名，具体可参考链接：http://zs.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/index.aspx。谢谢！
咨询,qp*** (云南),2017-06-25 15:47,老师您好，请问13000名能否靠国家专项读到贵校？化工与制药类和材料类呢？,你好，欢迎报考中国矿业大学，可以在我校本科招生网上查询各省各专业历年录取分数，供参考。谢谢！
报考咨询,ni*** (江苏),2017-06-25 15:05,老师您好，江苏文科排名7046，高一本线15分，能否报考贵校？,您好，欢迎您报考中国矿业大学！建议参考贵省历年在我校分数线及排名，具体可参考链接：http://zs.cumt.edu.cn/DWWZ/DWWZQianTai/BKZSDemo/index.aspx。谢谢！
