标题,来源,时间,问题,回答
山东理科,15***03 (山东),2018-06-25 15:21,请问山东考生，理科602，排名18762，有希望报考贵校吗,建议考虑中外合作办学专业
高考咨询,13***31 (天津),2018-06-25 14:16,老师您好：请问：天津文科592分，排名1460，报考贵校的经济管理试验班有录取录取希望吗，可能性有多大，谢谢·,2017年天津文科录取省控线531，最高分578分，最低分578分；2016年文科省控线532，最高分584.最低分577，平均分581分；供参考
河南国家专项计划,18***19 (河南),2018-06-25 14:14,请问贵校2017年在河南的国家专项计划录取分数,请参考我校本专科招生网
安徽考生,18***58 (安徽),2018-06-25 14:11,老师您好：请问安徽省理科考生605，位次11442，填报志愿A冲刺贵学校，专业服从调剂，录取几率怎么样，麻烦老师一下，孩子比较青睐贵学校，谢谢！,希望很大，欢迎报考
山东考生,15***07 (山东),2018-06-25 11:46,您好，山东理科，615分，12800名左右，是否可以报贵校。专业是否可以推荐，谢谢,希望很大，欢迎报考，药学类专业可以选择
报考咨询,15***25 (河北),2018-06-25 10:51,您好，我是河北考生，请问贵校今年的提档线大致是多少？有国家专项又是多少？,请参考往年录取分数，zb.cpu.edu.cn有往年录取分数
咨询,18***74 (云南),2018-06-25 10:39,老师您好，我想请问一下中国药科大学在录取和填报志愿时是否认可少数名族加分。因为我是少数名族，有10分的加分。,认可
录取咨询,41***@qq.com (广西),2018-06-25 10:11,您好，我是2018广西文科考生，602分，超一本线55分，排名1250。请问进入贵校的可能性大吗？贵校有无专业级差、志愿级差？谢谢。,希望很大，欢迎报考，没有极差
关于投档与录取,13***19 (江苏),2018-06-25 09:21,老师您好，我是江苏理科考生，总分361，物理B+，生物A，可以报考贵校吗?会不会退档?专业是否有限报?,可以报考，体检合格，专业服从调剂，进档不退
广西的考生年2018超一本线35分有可能招到吗？,mo***i8876@163.com (广西),2018-06-24 15:16,广西的考生年2018超一本线35分有可能招到吗？,难度较大
北京理科考生,13***02 (北京),2018-06-24 13:53,请问老师，北京理科考生584能报考贵校吗？,2017年，北京理科省控线537分，录取最高分630，最低分579，平均分599，供参考
录取咨询,13***37 (重庆),2018-06-24 11:32,老师，我是重庆文科考生。高考分数571，有希望被录取吗？,2017年重庆文科录取最高分572，最低分571，平均分572；2016年最高分572，最低分566，平均分569；供参考
录取问题,13***63 (河北),2018-06-24 09:11,老师，您好，河北考生分数564，超出本一线5分，报考贵校服从调剂，有希望被录取吗。,希望较小
招生,15***02 (陕西),2018-06-24 09:09,中国药科大学2018在陕西有招生计划吗,有
安徽录取,18***46 (安徽),2018-06-23 15:40,安徽考生，高一本线103分，排名10468，上该校的可能性大吗？能报什么专业？,"2017年安徽理科录取最低名次12198；2016年11676,2015年10962，供参考"
报考咨询,13***56 (内蒙古),2018-06-26 14:30,请问，报考民族预科班后可以改专业吗？,进校后有转专业政策，符合转专业条件即可。
请问海南组老师联系电话,15***48 (海南),2018-06-26 14:23,请问海南组老师的姓名和联系电话。,薛老师：17302571951；林老师：13851509436；韩老师：15751769061
药科大录取和提档问题,13***05 (辽宁),2018-06-26 14:13,老师您好，我是辽宁考生，我想问问贵校经济管理试验班就业方向和前景如何，是否可以转专业，转专业的条件是什么，进档后如果服从调剂，是否会被退档？谢谢老师。,您好，经济管理实验班的就业方向较多样化，根据不同专业又有所不同，具体可以进入中国药科大学国际医药商学院网站进行了解。有转专业政策，会根据进校后的学习成绩及其他方面组织转专业考试及面试。平行志愿进档后专业服从调剂，体检合格进档不退。
贵校在山东有专科招生计划吗,zx***sohu.com (山东),2018-06-26 13:23,山东理，多少分可报,17年山东录取名次大约15173，可供参考。
咨询,18***99 (福建),2018-06-26 13:16,老师您好，福建理科596，排名5681，报考贵校临床医学专业能够上吗？,希望很大，欢迎报考
报考咨询,18***68 (陕西),2018-06-26 13:10,我是陕西理科考生，分数589.位次10218，想报考贵校，能否被录取？另外，若被调剂到其他专业，入学后是否有转专业的机会？,17年陕西理科录取最高分616，最低分523，平均分569，可供参考；入学后有转专业相关政策。
贵州文科生咨询,15***77 (贵州),2018-06-26 11:55,请问贵州文科生省位次在1842，要进贵校需要在多少位次？如果需要进入贵校的药事管理，信息管理与信息系统专业，可能性大吗？想知道去年前年这两个专业的录取分数线,2017年贵州文科录取最高分603，最低分599，平均分601分，供参考。
老师你好，我是山东文科生,ls***ijie@chinaacc.com (山东),2018-06-26 11:14,高考成绩是504分，比本科首次控制线低1分，报考贵校的专科有希望吗？谢谢,有希望
宁夏录取咨询,13***30 (宁夏),2018-06-26 10:47,老师您好，宁夏理科551分，全省排名2526名，填报贵校被录取的几率大吗？,请参考往年录取分数，zb.cpu.edu.cn有往年录取分数，希望很大
陕西理科601分，能进药科大学药学、药物制剂专业吗？,57***@qq.com (陕西),2018-06-26 10:00,位次8004,希望很大，欢迎报考
录取问题,18***56 (河北),2018-06-26 09:54,老师您好，我是河北理科考生，631分。能否被贵校录取？能录到什么专业？谢谢,"河北2017年录取最低名次13847,2016年最低名次12657,2015年最低名次12224，供参考"
黑龙江省考生,18***92 (黑龙江),2018-06-26 09:22,在黑龙江省2018年排名6300多名，今年是否能被录取,"2017年黑龙江录取最低排名为8288；2016年理科录取最低名次为7414,2015年为7277，供参考。"
报考咨询,13***95 (宁夏),2018-06-26 09:21,老师您好，宁夏理科考生，550分，2545名，线差87分，想要报贵校的药科可以吗？,希望很大，欢迎报考
录取,18***12 (安徽),2018-06-25 16:06,老师好，请问安徽理科574分，排名24225名，愿意服从调剂，报考贵校有机会吗？,2017年安徽理科录取最低名次12198，2016年理科录取最低名次11676，供参考。
报考,13***54 (山东),2018-06-25 15:27,请问617分，位次12237山东理，报考贵校有希望吗？,2017年山东录取最低名次为15173；2016年14385；2015年12442；供参考。
药学,sy*** (山西),2016-06-26 09:32,您好，我是山西考生，今年省排名6100，能上药学（国家生命技术与技术人才培养基地）吗？另外，三种药学专业对分数要求顺序如何？,您好，我校在山西省录取的具体专业的分数线可在我校本专科招生网上查询。
河北省理科考生,ga*** (河北),2016-06-25 15:58,老师您好，请问河北省理科高考成绩627分，超过本一线102分，但今年河北省超过600分的偏多，能否报考贵校？,您好，我校2015年在河北录取的最低分高于一本线64分，大概排在河北省一万三千名，供您参考。
报考,95*** (辽宁),2016-06-25 15:58,您好！我是辽宁考生，今年高考603高一本线105分位次是7559能否报考贵校？谢谢,您好，我校2015年在辽宁录取的最低分高于一本线84名，大概排在辽宁省八千名左右，供您参考。
河南理科 603 分 ，能录取吗,hu***piaofeng (河南),2016-06-25 15:12,河南理科603分，能录取吗,您好，我校2015年录取的最低分高于一本线60分，大概排在河南省一万五千名，供您参考。
四川录取,15***69 (四川),2016-06-25 14:57,老师你好，四川理科生，596分，有希望被贵校录取吗？,您好，我校2015年在四川录取的最低分高于一本线54分，大概排在一万三千名，供您参考。
河北理科考生,gx*** (河北),2016-06-25 14:57,您好，我是河北理科考生，分数634，请问报考贵校希望大吗?谢谢,您好，我校2015年在河北录取的最低分高于一本线64分，大概排在河北省一万三千名，供您参考。
专业级差,ni*** (四川),2016-06-25 14:16,请问，专业级差的设定标准是什么？会因为什么升降？还是每年都差不多？,您好，专业极差根据每年学生的投档情况而定，一般在2到3分，不会超过5分。
