标题,来源,时间,问题,回答
录取,18***51 (广西),2018-06-28 13:00,广西文科，分数611，排名775，如果报考贵校，被录取的几率大吗？,有希望，欢迎报考。
录取,18***25 (辽宁),2018-06-28 12:57,辽宁文科607，位次926有机会吗,有机会，可以冲一下。
录取咨询,18***29 (辽宁),2018-06-28 12:57,老师您好！我是辽宁文科考生，596分，1628名（全省共58768名文科考生），请问有希望被贵校汉语言文学专业录取吗？谢谢！,位次偏低些，供参考。
国家专项,15***65 (湖南),2018-06-28 12:39,老师，您好，湖南文科考生高考612分，位次3929，通过国家专项进入贵校有没有希望？,我校的国家专项批次专业是理工类专业，请关注。
海南文科758分、省排300名，请问有希望录取吗？,18***69 (海南),2018-06-28 12:20,老师好！1、海南文科758分，省排名294-302（并列8人），语文95（680）、英语133（706）、数学（缺原始分换算）（733），高A批海南省分数线179分，请问贵校能录取吗？2、服从调剂，请问录取后能转专业吗？,有希望，欢迎报考，大一有两次转专业机会。
青海考生咨询,18***07 (青海),2018-06-28 12:14,青海理科汉族考生，463分，有可能进贵校吗？,有机会，青海今年第一年实行平行志愿，分数会较往年提高。
少数民族预科班,18***70 (湖南),2018-06-28 11:34,老师您好，我是一名湖南理科考生，高考分数为545（含民族加分），省位次为34524，有意填报贵校少数民族预科班，冒昧的问您这个分数有希望被录取吗?以及贵校历年理科预科生的平均位次为多少？十分感谢！,参照往年分数应该可以，另外要看省里有没有对预科报考有地区限制？
录取几率,13***60 (广西),2018-06-28 11:22,广西汉族理科604分5928名有多大的几率会被录取？,有希望，欢迎报考
录取,17***45 (湖南),2018-06-28 11:10,湖南文科考生630分，全省排名约1900名，报考贵校有希望吗？谢谢老师,可以冲一下，供参考。
预科班,15***48 (湖南),2018-06-28 11:03,我是湖南少数民族考生，理科553分，超一本线40分，报考贵校少数民族预科有希望吗？,参照往年分数应该可以，请关注省里对预科报考是否有地区限制。
报考咨询,15***59 (山东),2018-06-28 10:54,您好，我是山东理科考生，高考成绩615，位次12780，报考有希望吗，如果有希望报考什么专业比较合适,位次稍低些，建议报考国家专项批次试试，另外我校专业录取时没有专业级差。
请问辽宁文科613分，省排名641，能报考贵校吗？,13***03 (辽宁),2018-06-28 10:34,请问辽宁文科613分，省排名641，能报考贵校吗？,欢迎报考。
录取,13***36 (福建),2018-06-28 10:33,1，福建文科考生省排1033，请问被贵校录取的机率多大？被调剂的可能性多大？,有机会，可以冲一下，供参考
能否录取,18***31 (北京),2018-06-28 10:30,1:我是内蒙理科考生（574分，位次7120），专业志愿模式，服从调剂，能否成功投档到贵校，2:最后烦问一下老师入学后假如转专业的话对时间、成绩、规则有哪些要求？谢谢！,位次稍低，具体转专业学校有专门的规定，建议入校后再详细了解。
预科班,15***48 (湖南),2018-06-28 10:18,我是湖南少数民族考生，理科553分，超一本线40分，报考贵校少数民族预科班有希望吗？,有希望，另请关注省里是否对预科报考有地区限制。
转专业,xu*** (北京),2010-05-10 12:01,进学校以后可以跨大类转专业吗？需要什么条件吗？,你好，可以跨大类转专业。这是我校今年转专业的政策，供你了解：http://jw.cun.edu.cn/jwc/readnews.asp?id=826
2010年的招生计划？,xu*** (北京),2010-05-10 09:59,网上怎么看不到招生计划？,http://zb.muc.edu.cn/svlcontent?action=FETCH_CONTENT&content_id=671北京的计划和往年分数
少数民族预科班报考条件,18***69 (辽宁),2018-06-28 16:42,老师您好！我是一名辽宁文科考生，高考分数为519（满族），省位次为13165，我们省文科的一本线为553分，本人有意填报贵校少数民族预科班，冒昧的问您这个分数有希望被录取吗?贵校具体录取原则和方法是什么？希望能尽快得到您的回答，十分感谢！,往年预科录取分数在一批线上，供参考。
广东理科考生，575/500 分，省排17794,18***48 (广东),2018-06-28 16:32,575分，报考贵校计算机专业希望大吗？谢谢~,可以冲一下，供参考。
贵州理科考生,13***90 (贵州),2018-06-28 16:30,老师好咨询下贵州理科考生599含少数民族加分10分排位5295.能进的到贵校吗？,有机会，可以冲一下
能否录取,13***60 (广西),2018-06-28 15:42,广西汉族考生理科604分5928名能否被贵校录取？,有希望，欢迎报考
内蒙古文科,15***70 (内蒙古),2018-06-28 15:38,老师您好我是内蒙古文科考生2018年高考含民族分607分排名224有希望被贵校录取吗,有希望，欢迎报考
能否录取,18***69 (江苏),2018-06-28 15:19,我是江苏考生，理科，366，双A+，不知有没有可能,有希望，可以冲一下，供参考。
高考,ln***126.com (河南),2018-06-28 14:56,你好，我是河南省文科考生，成绩630分，位次1341，报考贵校怎么样？,有机会，可以报考，供参考。
高考,ln***126.com (河南),2018-06-28 14:55,你好，我是河南省文科考生，成绩630分，位次1341，报考贵校怎么样？,有机会，欢迎报考
录取几率,13***87 (黑龙江),2018-06-28 14:52,老师，我是黑龙江哈尔滨市考生，女孩，614分，省排名3936-4048，报咱们校金融学类、计算机类、生物科学类、环境科学与工程类能录上吧？谢谢。,有希望，欢迎报考。
预科班,18***37 (山东),2018-06-28 14:35,您好，我是山东理科考生，高考成绩522分全省83000名，一本线517，报考贵校民族预科班有希望吗？,我校在山东没有预科招生计划
转专业问题,15***11 (上海),2018-06-28 14:23,请问老师，转专业一般在什么时候，要求是什么，谢谢！,大一的两个学期末
退档,13***46 (贵州),2018-06-28 14:06,老师您好，我是贵州理科考生，本次高考590，排名在6700左右，请问如果报考贵校，体检合格，通过正审，提档会退档吗？,如果提档服从调剂，且体检合格一般不会退档。学校章程规定：在平行志愿投档的批次进入调档线的考生如服从专业调剂且体检不受限则不退档。
您好，山东文科考生622分，排名1793，是否能上贵校,18***30 (山东),2018-06-28 13:30,您好，山东文科考生622分，排名1793，是否能上贵校,往年这个位次可以，建议报考冲一下，供参考。
服从调剂,13***46 (贵州),2018-06-28 13:29,请问老师！贵州理科考生590分，最低位次6700左右，服从调剂，有望报考贵校吗？提档后会退档吗?谢谢,请不要重复提问同样的问题
高度近视，能录吗？,18***69 (海南),2018-06-28 13:04,老师好！请问高度近视右眼1100度、左眼1175度，录取有影响吗？,考生身体健康标准按照教育部及相关部门联合下发的《普通高等学校招生体检标准的指导意见》及有关补充规定执行。文史类专业应该不会有影响。
2018江苏文科女361AB+有希望报考贵校吗？谢谢！,13***27 (江苏),2018-06-26 13:51,2018江苏文科女361AB+有希望报考贵校吗？谢谢！,有希望，可以冲一下，仅供参考。
报考咨询,13***40 (云南),2018-06-26 13:45,我是云南考生，607分报贵校有希望吗？希望有答复，谢谢！,有希望，可以冲一下，供参考。
理科 四川省少数民族,18***20 (四川),2018-06-26 12:34,高考分数为601照顾分20今年被贵校录取机率大吗,往年我校在四川理科录取最低位次在14000左右，供参考。
陕西汉族考生，这个成绩可录取吗？,18***66 (陕西),2018-06-26 12:31,我是陕西汉族考生，文史类598分，想报考中央民族大学，服从调剂，请问老师能够录取吗？,有机会，可以冲一下，仅供参考。
民族预科,13***60 (黑龙江),2018-06-26 12:30,黑龙江文科，540分，满族，请问报考贵校的少数民族预科班，录取的可能性大吗？如果录取，预科第一年学的课程是什么？一年以后选的专业都有哪些？,有机会，选择专业为下一年度本科招生专业，按学业成绩依次选择专业。
录取咨询,18***58 (山西),2018-06-26 12:23,山西603有希望录取么,有希望，欢迎报考，供参考。
福建考生咨询,18***61 (福建),2018-06-26 12:20,老师你好，分数585，位次7305是否有希望被贵校经济学，会计学，计算机科学与技术录取；若不够要求，还望老师推荐几个专业，谢谢！,我校专业不设专业级差，可根据兴趣选择。
福建少数民族考生咨询,18***61 (福建),2018-06-26 12:17,老师你好，我今年福建585分位次7305，是少数民族考生，有没有希望报考贵校经济学、计算机类、法学、电子信息类、工商管理类、统计学类等；如果服从调剂有没有希望被贵校录取。,有希望，欢迎报考，供参考。
就业前景，专业内容,29***5@qq.com (重庆),2018-06-26 11:46,老师您好。请问贵校民族学专业的学习内容是什么？就业去向有哪些？,可登录招生网站登录查询。zb.muc.edu.cn
提前批,18***60 (北京),2018-06-26 11:44,提前批的分数比本科一批高吗？如果提前批专业服从调剂的话会调到体育教育吗？,提前批一般为稍低于本科一批，不会，调剂到体育教育需要有体育术科成绩。
是否录取,17***17 (北京),2018-06-26 11:19,您好，北京理科632，排名4218是否有机会报考贵校？报什么专业的可能性大？,有机会，欢迎报考，我校没有专业级差，供参考。
河南文科咨询,18***65 (河南),2018-06-26 11:19,老师您好，我今年632分，省排名1160左右，报考贵校把握有多大？另想问，贵校文科优势及特色专业有什么？,有希望，具体专业情况可登录我校招生网zb.muc.edu.cn查询。
国家专项 河南,15***32 (河南),2018-06-26 11:00,请问中央民族大学在河南历年国家专项的录取线差是多少？河南理科571，线差72，通过国家专项报该校有希望吗？、谢谢,可以冲一下，不把握，供参考。
咨询,13***67 (湖北),2018-06-26 10:35,您好，请问湖北文科考生，624分，位次1780，报考贵校有希望吗？,有希望，可以冲一下，欢迎报考，供参考。
录取咨询,15***70 (湖南),2018-06-26 10:01,老师好，我是湖南文科考生，分数635，省名1460。可以报考贵校吗？如果贵校进了档，服从调剂会退档吗？,有希望，欢迎报考，进档服从调剂体检不受限，不会退档。
咨询,15***05 (江苏),2018-06-28 10:07,江苏考生理科总分371B+A位次12005可以报考贵校吗？谢谢,可以冲一下，供参考
广西 文科 报考 壮族,15***19 (广西),2018-06-28 09:59,老师您好！我是广西（文科），壮族，高考分数606，省排名1035，意向贵校文博专业。请问是否有希望吗？,位次稍低，可以冲一下，供参考。
录取几率,18***23 (河南),2018-06-28 09:54,河南省理科考生611分，排名11712名，报考贵校有希望被录取吗？贵校除高考成绩外有什么其他要求吗？谢谢。,排名靠后，可以冲一下，供参考。
河南文科考生,13***38 (河南),2018-06-28 09:40,老师您好！请问河南文科考生630分，省内分数排名1341名，报考贵校有希望录取吗？,有希望
关于预科班招生问题？,13***86 (黑龙江),2018-06-28 09:14,我是黑龙江省散居非聚集区考生可否保预科班（一本B段）？如果可以需要什么材料证明？,我校对少数民族考生报考预科没有特别要求，具体要求请咨询省招办。
报考,13***51 (广西),2018-06-28 09:13,老师，广西理科620分，报贵校希望大吗？,有希望，欢迎报考，供参考。
内蒙考生录取咨询,13***17 (内蒙古),2018-06-28 09:12,老师你好，内蒙古的提档比例是多少，提档后服从专业调剂就不会被退档吗？实考分620分，加上政策加分共630分，报考贵校有希望吗？,有希望，欢迎报考，供参考。
报考咨询,18***44 (云南),2018-06-28 09:00,云南考生，文科633分，位次954，想报考贵校能被录取吗，希望老师能为我解惑，十分感谢。,有希望，欢迎报考。
紧急咨询,15***90 (重庆),2018-06-27 16:49,老师您好，重庆少数民族考生理科568，超一本线44分，平行A志愿冲一下贵校有希望吗，望回答,参照往年的话，分数稍低些，建议关注国家专项计划，供参考。
报考可能与专业,18***60 (青海),2018-06-27 16:45,本人是较少少数民族，青海考生，裸分524，能否报考法学系，另外，法学分类后的法学与英语专业属于双学位吗,欢迎报考，法学与英语不属于双学位。
录取几率,15***39 (北京),2018-06-27 15:53,您好！请问北京，理科，616分，有无录取可能。谢谢！,有机会，可以冲一下。
英语口语成绩是否影响专业调剂,13***40 (天津),2018-06-27 15:27,您好，如果调剂专业时，贵校只剩朝鲜语专业有余额，但我没参加英语口语考试，这种情况下，是会调剂到其他专业还是直接退档？谢谢！,在平行志愿投档的批次进入调档线的考生如服从专业调剂且体检不受限则不退档
报考咨询,18***69 (青海),2018-06-27 15:00,老师你好！报考贵校的汉语言文学专业，单科成绩有没有要求？,没有。
提档问题和转专业问题,13***03 (辽宁),2018-06-27 14:54,辽宁理科，625分，省排名6131，报考贵校提档机会大不？提档是否按贵校1739代号段提档？如提档，服从调剂是否会被退档？入取后能否转专业，转专业有什么限制，范围是贵校所有专业还是限制在某一范围？,有机会，在平行志愿投档的批次进入调档线的考生如服从专业调剂且体检不受限则不退档，大一有两次转专业机会。
预科班,13***33 (辽宁),2018-06-27 14:27,我是朝鲜族，可以报预科班吗?我学的是日语，受限制吗？预科班结业后专业如何选择/,可以报考，结业后选择本科专业进入本科阶段学习。
咨询,13***65 (贵州),2018-06-24 14:45,请问老师贵州省理科考生成绩575报考贵校希望大吗,可以冲一下，供参考。
黑龙江考生,13***60 (黑龙江),2018-06-24 14:45,您好，我是黑龙江的文科考生，高考成绩540分。想报考贵校的少数民族预科班，我的民族是满族，符合条件吗？,少数民族考生可以报考我校预科。
录取几率咨询,18***60 (北京),2018-06-24 14:37,您好，请问北京文科考生，631分，排名1441，有录取的可能吗？,分数和排位稍低，可以冲一下，供参考。
关于录取的相关疑问,17***21 (广西),2018-06-24 13:47,老师您好，我是广西考生，我的高考分数为581超一本68分，广西排名10866，有机会被录取吗,参照去年的话，分数和排位稍低，可以冲一下，供参考。
吉林文科考生,13***28 (吉林),2018-06-24 13:42,您好，我是吉林市毓文中学文科考生，回族，高考分数553分，超一本线11分，省排名2499，请问，报考贵校第一批B段少数民族预科班，录取可能性有多少？,参照去年的话可以报考，供参考。
贵州理科生咨询,15***80 (贵州),2018-06-24 13:06,老师您好，我是贵州考生，理科575，排名9585，请问国家专项录取你们学校的机会大吗，谢谢,可以冲一下，供参考。
广西文科,15***37 (广西),2018-06-24 12:11,广西文科607分报考希望大吗,可以冲一下，有机会，供参考。
四川考生 高考610分,50***@qq.com (四川),2018-06-24 11:54,请问四川考生，610分，普通考生可以报考贵校吗？,分数稍低，省排位大约在14000以内，可以冲一下，供参考。
云南少数民族考生,18***12 (云南),2018-06-24 11:09,我是云南理科考生，高考分超过一本分25分，555分，请问能否报考贵校,我校去年理科最低分与重点线分差78分，供参考。
吉林考生,13***28 (吉林),2018-06-24 10:47,您好，我是吉林市毓文中学2018届文科考生，回族，高考分数553分，请问报考贵校第一批B段本科少数民族预科班，录取可能性大吗？,参照去年录取情况有可能，仅供参考。
贵州考生,18***60 (贵州),2018-06-24 10:18,老师您好，我是贵州考生，理科589，排名6929，请问国家专项录取你们学校的机会大吗，谢谢,有机会，欢迎报考。
加分,13***38 (上海),2018-06-24 10:07,1.台湾省籍青年加5分，贵校认吗？2.我们对贵校很有兴趣，所有对沪专业都很满意但是外国语言文学类对英语有最低要求，而考生未达标。那如果同意调剂会不会被退档。这个专业是不是你们所有对沪专业里分数最低的？谢谢。,参加高考台湾省考生？学校录取专业时原则上认可各省级教委或高招办有关加/降分和优先录取的政策。按教育部有关文件规定，同一考生符合多项加分投档条件的，只取其中最高项分值；加分、降分的最大分值不超过20分。在平行志愿投档的批次进入调档线的考生如服从专业调剂且体检不受限则不退档。
四川考生,13***03 (四川),2018-06-24 09:55,考分624填报贵校可以吗,参考往年的情况可以报考，仅供参考。
报考咨询,18***44 (云南),2018-06-24 09:50,云南考生，文科成绩633，位次954，想报考贵校能被录取吗，希望老师能为我解惑，十分感谢,有机会，欢迎报考中央民族大学。
四川省 高考分数601 的少数民族,18***20 (四川),2018-06-24 09:45,加上照顾分有机会被贵校录取吗,有机会，欢迎报考中央民族大学，供参考。
贵州考生 589 6900分,99***@qq.com (贵州),2018-06-26 09:52,请问老师能否进入贵校？有较大的专业选择空间吗,有机会，欢迎报考，供参考。
辽宁,13***61 (辽宁),2018-06-26 09:32,文科618分，可以报贵校吗？文科生优势学科是哪个？,有机会，欢迎报考，供参考。
少数民族预科班,18***24 (海南),2018-06-26 09:28,我的分数是691，贵校的少数民族预科班我有多大希望可以进入,欢迎报考，有希望。
录取概率,18***73 (辽宁),2018-06-26 09:19,您好。请问辽宁省599文科，省位次1400左右，报考贵校是否有望？,分差和位次稍低些，可以冲一下，供参考。
少数民族加分,15***64 (河南),2018-06-25 16:41,河南文科，少数民族报考贵校有什么额外的降分政策吗？裸分610报考贵校有希望吗？,学校没有单独降分加分政策，承认省级招办加分政策，但最高不超过20分。有希望，供参考。
2018报考咨询,15***61 (新疆),2018-06-25 16:33,2018，新疆理科575分，4034名次，报考贵校有希望吗,可关注中央民族大学招生办公众号，填报分析参考。
录取概率,18***56 (北京),2018-06-25 16:31,我是北京理科考生，请问超一本线94分，位次4900名左右，报贵校的英语专业有机会吗？,可以报考冲一下，供参考。
陕西理科女,13***66 (陕西),2018-06-25 16:00,你好，我今年601分，位次7987名，报考贵校有希望吗？,有希望
录取咨询,15***40 (河北),2018-06-25 15:54,老师您好，我是河北2018届文科考生，629分，省排2922名，请问报考贵校有希望吗？,参照位次和分差看分数稍低，可以冲一下，仅供参考。
