标题,来源,时间,问题,回答
报考,13***69 (河南),2018-06-28 16:59,老师好！河南考生理科588分，能否报考贵校的光电信息工程？,还是有一定希望的，可以报一下试试。
高考录取,18***06 (福建),2018-06-28 16:43,您好，我是福建的考生，我今年在福建全省的排名为14382，请问有机会进入贵校就读吗,还是有一定希望的，可以报一下试试。
报考咨询,41***@qq.com (内蒙古),2018-06-28 16:36,内蒙古文史类考生582分位次837超出一本线80分可以报考贵校吗可以学哪些专业,希望较大，可以报考。有一定的专业选择余地，可按自己喜好填报。
录取几率,13***76 (湖南),2018-06-28 15:46,老师：你好！我是湖南师大附中的理科学生，分数是581分，可以报考贵校吗,还是有一定希望的。但专业选择余地不大。
贵校中外合作办学对英语成绩有要求么,15***57 (辽宁),2018-06-28 15:44,必须到105以上么,没有英语成绩要求。
咨询,15***41 (广东),2018-06-28 15:42,老师您好我想问一下今年贵校招生会在专业之间设置级差吗？如果设置大概是多少分呢？,没有专业级差。
湖南考生,15***76 (湖南),2018-06-28 15:39,我是云南大学高校专项计划通过的学生，分数超过本省一本线33分，录取希望大吗？,按去年情况看还是有希望的。但高校专项计划数较少，录取成绩偶然性很强，变数较大，不可忽略风险。
咨询,13***79 (山东),2018-06-28 15:29,你好，我是山东理科考生，今年考了593分，24271名，报贵校有希望吗？,接近去年最低录取线，还是有一定风险的。
咨询,15***41 (广东),2018-06-28 15:22,老师您好广东文科考生573分位次8548请问报考贵校有把握吗？,估计希望还是大的。但今年批次合并后可能会有变数，风险也不能忽略。
转专业专业问题,13***08 (湖南),2018-06-28 15:20,老师好！请问贵校章程上看不到招生调档的比例，是怎么回事，如果服从调剂会被退档吗？如果录到专业不是太理想的专业，想转成喜欢的专业可以转吗，如何转呢？谢谢老师！,调档比例是1：1，若服从调剂，体检、政审无异常不会退档。一年级末可通过考试跨学院转专业。二年级末可在学院内部专业分流。
广东美术生,13***89 (广东),2018-06-28 15:00,本人术科联考209文化科326排名18556请问有机会进入贵校吗？,去年专业分最低230分，这个成绩估计希望不大。
农村单招,15***76 (湖南),2018-06-28 14:55,我是文科生，分数超过本湖南省一本线33分，录取希望大吗？,风险有点大。去年最低超一本线42分。
山东文科604，位次4365，可以报考贵校吗,18***27 (山东),2018-06-28 14:49,山东文科604，位次4365，可以报考贵校吗,接近去年最低录取分，还是有一定风险的。
有录取可能吗,13***08 (湖南),2018-06-28 14:47,老师：你好！湖南理科考生超过一本线60分，能否补录取呀？谢谢！,接近去年最低录取线，还是有一定风险的。
若贵校人数已录满排名考后考生填报贵校是否会被退档,13***84 (云南),2018-06-28 14:40,若贵校人数已录满排名考后考生填报贵校是否会被退档,我校对平行志愿按1：1提档。排名靠后的学生无法投档到我校，不存在退档的问题。
山东文科,15***98 (山东),2018-06-26 11:23,您好，我是山东文科考生。分数611，位次3260，请问报考贵校的可能性大吗?谢谢！,有一定希望，可以报一下试试。
山东文科考生,18***16 (山东),2018-06-26 11:16,文科596省6149有希望吗,风险有点大，平行志愿可以报一下试试。
能报贵校吗？,13***01 (宁夏),2018-06-26 11:09,我是宁夏理科考生，成绩497，超一本线34分，省内排名6502，能录取到鬼晓得经济类、生物科学、工商管理类吗？？？,还是有一定希望的，但专业选择余地不大。
山东考生,18***20 (山东),2018-06-25 10:52,老师您好，我高考586，拍名28605，报考贵校服从调剂可以上吗？,服从调剂只能保证投档后不会被退档。但如果投不进来服从调剂也没有用。按去年的成绩情况看你这个成绩还是有一定可能性的，可以填报试一下。
专业代码查询,13***04 (河北),2018-06-25 10:48,云南高校专项专业代码在哪查询啊,报志愿使用的专业代码请咨询生源地考试院。
农村专项????????,13***74 (山东),2018-06-25 10:41,山东考生文科598报考云南大学农村专项，专业可以与之前高校专业招生填的不符吗？,可以。录取时以高考志愿为准。
2018届云南文科考生总分608，全省排名3733,17***87 (云南),2018-06-25 10:05,你好，我是2018届云南文科考生总分608，全省排名3733，有望被贵校录取吗？能被录取什么专业？,可以报一下试试，但风险有点大，建议在云大志愿后面再填一个稳妥的学校保底。
预科咨询,18***20 (云南),2018-06-25 10:00,云南大学的二本预科今年汉族考生可以报考吗？,我校预科是一本预科，执行第一批本科线。
甘肃省理科559，排名8256,18***13 (甘肃),2018-06-25 09:52,老师，能被天文学专业录取吗,按往年录取情况看还是有可能的。
吉林考生,15***21 (吉林),2016-06-23 13:05,吉林理科生高重本线17分有希望报考贵校吗？服从调剂会带什么专业？,你可以在云南大学招生网查看历年录取分数
浙江考生文科,15***29 (浙江),2016-06-23 10:24,浙江文科考生，高一本线30分，请问报考贵校有希望吗？请问贵校的汉语言文学专业水平怎么样？,你可以在云南大学招生网里查看往年各个专业的录取分数，选专业是结合自己的兴趣和就业前景综合考虑
贵州理科,15***56 (贵州),2016-06-22 10:49,老师你好，我是贵州考生，估分510左右，有希望报考贵校吗？有没有专业选择的余地呢？如果有，可以选择哪些呢？盼，谢谢！,15年最低分494，最高分536，平均分510.44供你参考
安徽考生,tl*** (安徽),2016-06-14 14:42,老师您好，今年贵校在安徽的招生计划是多少？一本线以上多少分可以报名？,文史理工总计55人，你可参照往年录取分数
专业志愿级差,15*** (云南),2016-06-14 12:02,老师我想请问云大有没有专业志愿级差如果有是多少？,没有，按成绩由高到低录取
加分,15*** (云南),2016-06-14 11:36,老师我想请问是不是农村独子的加分只在投档的时候加而在被专业录取的时候不加？,我校按投档总成绩录取。
浙江文科考生超出一本线25分左右，想报考贵校中文系,po*** (浙江),2016-06-12 15:37,今年贵校在浙江招生大约多少人，我有希望进入贵校中文系吗？,你好，请登录云南大学招生网，往年招生栏目，下载近三年的录取成绩作为参考。欢迎报考云南大学。
河南考生，565分,13***67 (河南),2016-06-12 15:01,老师您好，我河南考生，预估了565分，上贵校会计专业有机会吗？谢谢,你好，请登录云南大学招生网，往年招生一栏，下载近三年的录取成绩查看。欢迎报考云南大学。
河南考生，预估565分,13***67 (河南),2016-06-12 14:57,老师您好，我是河南考生，预估565分，上贵校工商管理专业有机会吗？,你好，请登录云南大学招生网，往年招生一栏，下载近三年录取成绩作为参考。欢迎报考云南呢大学。
河北理科,zh***ai0 (河北),2016-06-12 11:04,请问报考贵校生物科学及生态学专业对视力有要求吗？本人视力400多度，可以报考这两个专业吗？,请参考《普通高等学校招生体检工作指导意见》文件。
如果服从调剂，是否进档不退？谢谢,qi***6 (山东),2016-06-12 10:14,贵校领导好：如果服从调剂，是否进档不退？谢谢,你好，服从调剂，体检合格，原则上不退档。
咨询加分&amp;专业级差,jj*** (云南),2015-06-26 16:47,1，贵校分专业时，是否承认云南省的边疆加分？2，贵校是否存在专业级差？,承认的。没有专业级差。
报考 福建理科,an***n (福建),2015-06-26 16:45,老师您好！请问福建理工科考生，分数567，省内排名19907，比一本线高42分，是否有希望报考贵校？谢谢老师！,照去年录取情况看这个分数还是有一定的风险。建议在云南大学志愿后面再填报一所更稳妥的学校保底。
报考咨询,zh*** (陕西),2015-06-26 16:37,老师您好，我是陕西理工科考生，得分529，排位22480.请问报考贵校通信工程有把握么？,这个成绩档案能否投出都还不一定，通信工程估计风险很大。
山东考生,13***61 (山东),2015-06-26 16:23,你好，我是山东理科考生596，超一批34，可否被你校录取,这个成绩风险很大，请慎重报考。
山东 理科,yu*** (山东),2015-06-26 16:21,您好，我是山东理科考生，高考成绩超一本线49分，请问报考贵校机会大吗？专业选择余地大吗？,这个成绩有一定的风险，基本没有专业选择余地。
预科咨询,he*** (云南),2015-06-26 16:04,请问云南大学2014年的预科录取分数大概是多少？,预科今年首次招生，没有往年数据参考，不好推测录取分数。
云南考生,yf*** (云南),2015-06-26 15:35,老师你好，我是云南理工考生，高考成绩467报考贵校市场营销教育或财务会计教育有希望吗,这个成绩风险很大，建议慎重考虑是否报考。
云南文科报考,el***16 (云南),2015-06-26 15:07,您好，我是云南文科考生，今年高一本线12分，想报考贵校历史学，请问有希望么？如果服从分配的话呢？,这个成绩风险很大，是否能投出档案都不一定，基本没有专业选择余地。
成绩,qy*** (云南),2015-06-26 15:01,老师你好，我是云南的考生，高考成绩521分，超一本21分，选择贵校的会计学和财务管理，如果服从专业调剂，会不会被退档？谢谢。,这个成绩报我校风险很大。会计学和财务管理专业基本上不太可能。如果档案能投到我校，服从专业调剂且体检没有问题，则不会被退档。
专业分数询问,28*** (云南),2015-06-26 14:34,老师，我是云南考生。575分，是否有望报考贵校的会计专业或是国际经济与贸易专业,这个成绩报会计学或国际经济与贸易可能性不太大。
若贵校人数已录满排名考后考生填报贵校是否会被退档,13***84 (云南),2018-06-28 14:39,若贵校人数已录满排名考后考生填报贵校是否会被退档,我校对平行志愿按1：1提档。排名靠后的学生无法投档到我校，不存在退档的问题。
贵校中外合作四年可以都在国内么，学费是多少,15***57 (辽宁),2018-06-28 14:29,贵校中外合作四年可以都在国内么，学费是多少,不愿意出国可以四年都在国内读。学费还待物价部门批准，大概在18000元左右。
