标题,来源,时间,问题,回答
贵州理科考生咨询,18***38 (贵州),2018-06-27 09:17,贵州理科考生分数595，位次5982，请问被该校录取的概率有多大？,贵州理工科往三年录取平均位次大概在4600左右，录取均重差107分左右，请参考。
湖南文科考生,15***25 (湖南),2018-06-27 09:12,你好，我是今年的湖南文科考生，高考成绩为607分，高出一本线38分，省排名为4708名，有意报考贵校马克思主义理论、历史学类、思想政治教育等专业，希望贵校能对我目前的情况作出指导,湖南文史类往三年录取平均位次大概在1900左右，17年录取均重差在57分左右，低重差51分，请参考。http://yx.lzu.edu.cn/lzuzsb/stuweb/scoreweb/score.html，请参考。
北京理科6110名左右可以报贵校吗？,ls***63.com (北京),2018-06-27 09:11,老师，请问北京理科6110名左右可以报贵校吗？,北京理工科往三年录取平均位次大概在5800左右，录取均重差大概在70分左右，请参考。
北京位次6113可以报贵校吗？,ls***63.com (北京),2018-06-27 09:09,请问北京位次6113可以报贵校吗？谢谢！,北京理工类往三年录取平均位次大概在5800左右，17年录取最低位次6600，请参考。
录取几率,15***21 (吉林),2018-06-27 09:05,老师您好，吉林文科生568，省内1668名（共28000多名）被该校录取的概率有多大？,吉林文史类往三年录取平均位次大概在1500左右，录取均重差大概在23分左右，请参考。
录取,17***20 (江苏),2018-06-27 09:03,老师，你好。我是江苏理科考生，363，位次19225.有希望吗,江苏理工科往三年录取平均位次大概在14000左右，录取均重差大概在30分左右，请参考。
吉林理科考生,15***76 (吉林),2018-06-26 16:52,吉林理科考生分数596，位次6548，录取热门专业的可能性大吗？,吉林理工科往三年录取均重差50分左右，录取位次大概在5700左右，请参考。
河北考生 619，省排名14992，可以冲一下贵校吗？,13***56 (河北),2018-06-26 16:45,高本一线108分，不知道能否冲一下贵校？谢谢！,河北理工科往三年录取均重差大概在130分左右，低重差大概在120分左右，请参考。
高考志愿,15***10 (河南),2018-06-26 16:44,尊敬的老师，您好！我已经通过兰大自主招生，在高考志愿填报时的专业是不是必须是自主招生通过的专业，填报时只用填报专业大类比如社会科学类里的经济学类，还是必须填报经济学类里的具体专业。另外会不会被调剂专业。谢谢,需要填写社会科学类这个大类下的专业，经济学类是按学科大类学习，一般到大二或者大三左右细化到各个专业。
中外合作,18***69 (山东),2018-06-26 16:35,请问贵校计算机类的中外合作有几个专业？和哪个国家的大学合作？山东理科考生多少分适合报考？谢谢！,只有一个专业，以数据科学与大数据技术为特色的宽径口专业。这个专业是第一年招生，没有往年数据参考，具体要求是过一本线就可以报考。
志愿填报,13***44 (山西),2018-06-26 16:25,老师你好，山西理科，男性考生594分，有没有可能进入贵校学习？,山西理工科往三年录取均重差大概在70分左右，请参考。
