标题,来源,时间,问题,回答
内蒙古文科生高考501分省内排名6983贵校录取有可能吗？,13***15 (内蒙古),2018-06-28 13:49,老师你好！今年文科生501分，省内排名6983，有机会录取吗？,考生您好！我校2017年在内蒙古自治区录取考生分数均高于内蒙古自治区文科本科一批次分数线35分以上，仅供参考。欢迎报考内蒙古大学！
山东理科,15***77 (山东),2018-06-26 09:46,总分576排名35466能否进入贵校计算机专业静候谢谢,考生您好！2017年我校在山东录取的理工类考生分数要高于贵省本科批次分数线140分以上，仅供参考，谢谢咨询！
材料化学,15***67 (吉林),2018-06-25 09:47,材料化学（稀土方向）就业方向如何？一般就业地点？收入情况？谢谢,考生您好！材料化学（稀土方向）专业发展前景不错，具体情况请咨询0471-4992261（内蒙古大学就业处）。欢迎报考内蒙古大学！
内蒙考生理科,65*** (内蒙古),2017-06-28 11:57,老师您好，我是17年内蒙理科考生，裸分高出一本线64分，我能否被内大录取？我的分数比较适合哪些专业，求解答,您好，根据其他专业往年在贵省录取情况。您这个分数有希望报考工程管理专业，仅供参考。欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
山东理科咨询！继续,sm*** (山东),2017-06-28 10:42,请问老师您回答山东高于本科线80分，是指2016年的一本线还是二本线？去年一本线537，二本线446分吧！今年山东不分一二本了，只有本科线434分，自主招生线515，是参考那个分数线？,您好，根据其他专业往年在贵省录取情况。您这个分数有希望报考工程管理专业，仅供参考。欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
录取,15***77 (内蒙古),2018-07-10 16:32,老师您好，我是内蒙古考生，理科506，有被贵校录取的可能吗？,考生您好！我校2017年在内蒙古录取的理科考生分数高于当年理科本科一批次分数线30分以上，仅供参考。谢谢咨询！
贵校满洲里校区问题，急！,13***28 (内蒙古),2018-07-10 10:04,贵校满洲里校区转专业到本部的一般标准是什么？满洲里校区毕业后毕业证等证件上会注明满洲里校区吗？,考生您好！内蒙古大学满洲里学院的毕业证与内蒙古大学本部的毕业证一致，谢谢咨询！
山东考生 文史,15***89 (山东),2018-07-02 12:39,您好，高考分数584分，报考贵校法学专业有希望么,考生您好！我校2017年在贵省录取的文科考生分数高于2017年贵省文科本科分数线（483分）76分以上，仅供参考。欢迎报考内蒙古大学！
报考咨询,41***@qq.com (内蒙古),2018-06-28 16:12,内蒙古文史类考生582分位次837超出一本线80分可以报考贵校吗可以学哪些专业,考生您好！我校2017年在内蒙古自治区录取考生分数均高于内蒙古自治区文科本科一批次分数线35分以上，详细的专业信息请登录“内大招生网”主页进行查看，仅供参考。欢迎报考内蒙古大学！
河南理科548分,18***27 (河南),2018-06-28 15:58,理科547分能被环境工程专业录取吗，该专业好就业吗,考生您好！我校2017年在贵省录取的理科考生分数均高于河南理科本科一批次分数线50分以上，仅供参考。欢迎报考内蒙古大学！
内蒙古文科生高考501分省内排名6983贵校录取有可能吗？,13***15 (内蒙古),2018-06-28 13:57,老师你好！今年文科生高考501分省内排名6983有机会被贵校录取吗！,考生您好！我校2017年在内蒙古自治区录取考生分数均高于内蒙古自治区文科本科一批次分数线35分以上，仅供参考。欢迎报考内蒙古大学！
内蒙古文科生高考501分省内排名6983贵校录取有可能吗？,13***15 (内蒙古),2018-06-28 13:52,老师你好！今年文科生501分，省内排名6983，有机会录取吗？,考生您好！我校2017年在内蒙古自治区录取考生分数均高于内蒙古自治区文科本科一批次分数线35分以上，仅供参考。欢迎报考内蒙古大学！
内蒙古文科生高考501分省内排名6983贵校录取有可能吗？,13***15 (内蒙古),2018-06-28 13:51,老师你好！今年文科生501分，省内排名6983，有机会录取吗？,考生您好！我校2017年在内蒙古自治区录取考生分数均高于内蒙古自治区文科本科一批次分数线35分以上，仅供参考。欢迎报考内蒙古大学！
内蒙古文科生今年高考501分贵校录取有可能吗？,13***15 (内蒙古),2018-06-28 13:43,老师你好！内蒙古呼和浩特今年考生高考成绩501分，有机会被贵校录取吗？谢谢！,考生您好！我校2017年在内蒙古自治区录取考生分数均高于内蒙古自治区文科本科一批次分数线35分以上，仅供参考。欢迎报考内蒙古大学！
录取可能性,15***79 (湖南),2018-06-28 12:37,老师：您好，我是湖南考生，男，理科556分，报考贵校录取机会大吗？,考生您好！我校2017年在贵省录取考生分数均高于贵省理科本科一批次分数线35分以上，仅供参考。欢迎报考内蒙古大学！
报考,13***46 (内蒙古),2018-06-28 11:57,内蒙古考生过一本线29分能进吗,考生您好！我校2017年在内蒙古自治区录取理科考生分数高于内蒙古自治区本科一批次分数线35分以上。谢谢咨询！
您好能报考该校吗,15***81 (内蒙古),2018-06-28 10:05,2018级内蒙理科考生，536分，省排名12991，能被该校录取吗？,考生您好！我校2017年录取内蒙古自治区理科考生分数高于内蒙古自治区本科一批次分数线35分以上，仅供参考！欢迎报考内蒙古大学！
安徽理科排名25000，能够被贵校计算机或者软件类专业录取吗,15***47 (安徽),2018-06-27 15:54,安徽理科排名25000，能够被贵校计算机或者软件类专业录取吗,你好，感谢关注内蒙古大学，2017年我校计算机科学与技术专业在贵省录取最低分537，软件工程专业录取最低分541.您可以查一下去年这个分数在贵省的排名情况，参考一下。欢迎报考内蒙古大学
录取,15***19 (山东),2018-06-27 14:58,今年山东585分，位次29000，服从调剂可能被录取吗？,考生您好！我校2017年在贵省录取的理科考生分数高于贵省本科批次分数线140分以上，仅供参考。谢谢咨询！
报考,17***5@qq.com (北京),2018-06-27 14:43,您好！我是北京理科考生，563分，请问报考内蒙古大学的物理系成功率多大？因为我只想学物理，如果没有考上这个专业，大二转到物理系的可能性高吗？谢谢,考生您好！我校2017年在北京录取的理科考生分数高于北京本科一批次分数线12分以上，仅供参考。欢迎报考内蒙古大学！
河北考生理科559,13***71 (河北),2018-06-24 15:05,请问服从调剂有可能被录取吗专业不计,考生您好！按照2017年我校在河北省招生情况理科生须高出一本线60分以上，仅供参考，谢谢咨询！
河北考生,13***71 (河北),2018-06-24 14:54,河北考生559能不能上内大软件工程,考生您好！我校软件工程专业2017年录取的河北考生分数高于河北省理科分数线70分左右，仅供参考。谢谢咨询！
您好，内蒙古大学专科分数线今年是多少啊，高考209,18***96 (内蒙古),2018-06-24 11:48,您好，内蒙古大学专科分数线今年是多少啊，高考209,考生您好！2017年和2018年内蒙古自治区高职文理分数线均为160分，2017年我校高职专业最低录取分为280分，供您参考。谢谢咨询！
四川,15***77 (四川),2018-06-24 11:29,四川584有希望进贵校吗?,考生您好！我校2017年在四川录取的考生文科分数一般高于四川省文科分数线40分以上，理科分数一般高于四川省理科分数线50分以上，仅供您参考。
法学 甘肃考生469,18***78 (甘肃),2018-06-23 12:06,老师您好，我是甘肃考生考了469分，超过二本线。我可以读贵校的法学专业吗？,考生您好！我校在甘肃招生层次为本科一批。谢谢咨询！
山东理科咨询！,sm*** (山东),2017-06-28 09:37,老师：您好！我是山东理科，高考成绩553分，想报考贵校的经济或金融类专业，这两个专业的中外合作办学也可！能否录取？希望听听您的建议！多谢！,考生您好！2016年被我校经济或金融类专业录取的考生分数一般高于山东省分数线80分左右，仅供您参考。欢迎报考内蒙古大学！
报考咨询,22***8 (广东),2017-06-28 09:23,老师您好！我是广东理科考生，仅高一本线15分，省排名51749。请问被录取的几率大吗？,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
17年理科考生能否考入内大,tl*** (内蒙古),2017-06-28 09:04,老师您好，我是17年内蒙理科考生，裸分高出一本线42分，有民族加分，我能否被内大录取？我的分数比较适合哪些专业，求解答,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
请问贵校文科专业保研情况怎样？转专业有何要求？,13***8 (四川),2017-06-27 16:37,。,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
能否录取,gc***78 (内蒙古),2017-06-27 16:25,内蒙古理科549，全区排名7290名，能报贵校啥志愿，谢谢,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
内蒙古大学专业,gc***78 (内蒙古),2017-06-27 16:23,请问，内蒙古大学最好的专业是什么，谢谢,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
河南文科562分，全省排名5715，报考贵校可有希望？,18***15 (河南),2017-06-27 12:49,河南文科562分，全省排名5715，报考贵校可有希望？,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
咨询,zj*** (内蒙古),2017-06-27 11:34,老师你好，我是内蒙古理科考生，超一本线60分，报考贵校会计专业有希望录取吗？谢谢。,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
云南文科录取咨询,lm*** (云南),2017-06-27 10:35,总分569分，含20分边疆汉族分。省排名5916，欲报考贵校汉语言文学专业，请问被录取的可能性有多大呢。,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
老师，你好，我今年理科523，河南的，报你们学校有把握吗?,15*** (河南),2017-06-27 10:05,超一本线39,您好，欢迎报考内蒙古大学，登录内大招生网查询往年录取分数情况http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
关于分数,cm***77 (内蒙古),2017-06-24 12:25,有的专业是否要求某一单科的成绩,您好，我校英语专业要求考生具有口试成绩，同时要求英语单科成绩（包括笔试、口试）及格（笔试和口试均达到总分的60%）。
今年理科553分，能上内大吗,yj*** (内蒙古),2017-06-23 16:58,今年内大的分数是多少？,您好，553可以报考内蒙古大学，往年录取分数情况请登录内蒙古大学招生网查询http://zhaosheng.imu.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1088
山东理科生,18***87 (山东),2016-06-28 16:23,我山东省省位次28723，597分，可以报内蒙古大学吗,你好。如果你的分数超过山东省一本线40分以上，那你可以考虑报考我校。
急！,ww*** (广西),2016-06-28 13:21,老师您好!我是一名广西的理科考生，今年高考分数422，有希望被贵校录取吗？可否推荐一些希望较大的专业？谢谢！,你好，内蒙古大学为本科一批次录取大学，理科分数线超过一本分数线40分（此数据可上下浮动）方可考虑报考。具体可加微信公众号“内大招办快讯”查询具体信息。
报考贵校,sh*** (内蒙古),2016-06-28 11:37,您好我是内蒙古考生，高考成绩570分，如果报考內大是否可以较为广泛的选择专业？请问工科专业推荐哪些？我动手能力较强。,你好，可以挑选专业。具体专业信息可查询微信公众号“内大招办快讯”自己选择或拨打内大招办0471-4992253/4993164咨询。
内蒙古考生,zz*** (内蒙古),2016-06-28 10:17,您好，我是内蒙古考生，今年505分，超出一本线21分，请问报考贵校有希望吗？,你好，文科超30分理科超40分（此数据可上下浮动）可考虑报考我校。
报考,ti*** (内蒙古),2016-06-28 09:14,您好，我是内蒙的一个理科生，超一本线52分，排名11352，能上贵校信息与计算科学，电子科学与技术，自动化，统计学，金融学中的哪一个？谢谢！,你好，根据2015年录取情况，电子信息科学与技术比较有希望。每年影响录取分数情况就多，此建议仅供参考。具体信息可查询微信公众号“内大招办快讯”。
