标题,来源,时间,问题,回答
请问老师贵校英语医学专业的就业前景如何？,pe*** (福建),2005-06-15 17:52,请问老师贵校英语医学专业的就业前景如何？都可以到那些部门工作？,学生就业去向为外事、翻译、医药行业外贸进出口和医学英语教学工作等。
生活用品,sa*** (陕西),2005-06-14 16:56,如果考到了贵校，去时用不用带被褥之类的生活用品？,根据教育部和国家发改委等部门有关规定，我校不统一为学生配备床上用品和日用品。但东方大学城门市部有售。
院校志愿,li*** (云南),2005-06-14 15:13,如果第二院校志愿报贵校，请问是降分后（降多少分）与第一志愿报贵校的考生同时竞争，还是先录第一志愿的考生，当第一志愿生员不足时才录第二志愿考生？,我校今年没有二志愿预留计划。只有当一志愿生源不足情况下，减去您的级差分(大概50分)择优录取。
你好?,qq*** (浙江),2005-06-14 09:51,护理学，将来是做社么的?,学生就业去向为在全国各省、市综合性医院、中医医院、护理院校以及相关科研单位。
河北考生,wa***u (河北),2005-06-13 14:29,老师您好:我是理科考生，请问中医学对外交流方向的就业方向和前景?还有中医学医院管理方向和前景?等待回答.谢谢!,对外交流方向学生就业去向为各级中医医院、综合医院以及高等中医院校、科研机构、康复保健机构等。可从事中医药临床、教学及对外交流等工作。医院管理方向学生毕业后可从事中医临床、教育、科研、医院管理等工作。
能否录取,18***31 (北京),2018-06-28 10:35,1:我是内蒙理科考生（574分，位次7120），专业志愿模式，服从调剂，能否成功投档到贵校，2:最后烦问一下老师入学后假如转专业的话对时间、成绩、规则有哪些要求？谢谢！,你好，可以尝试报考。转专业政策请看http://jxw.bucm.edu.cn/gzzd/xjgl/16221.htm
录取,18***11 (山东),2018-06-28 10:06,请问，山东理科599报贵校录取希望大吗,你好，可以尝试报考，有希望，但是偏小
考生咨询,18***57 (甘肃),2018-06-28 09:46,青海考生，理科564，英语141，排名557-578名，报贵校的中医学可以录取吗？谢谢,你好，很有希望。
录取,18***21 (河南),2018-06-28 09:27,我是河南考生，分数549，能进入本校学习吗,你好，可以尝试报考
盼，国家专项的咨询,13***22 (河南),2018-06-28 09:10,老师你好，请问河南理科考生534分，用国家专项报贵校有希望吗？,你好，可以尝试报考，但是希望偏小。
二本护理,15***57 (北京),2018-06-28 09:04,北京理科508分能上该校二本护理吗？会被退档吗？,你好，可以尝试报考，我校二本就一个护理学，如投档，体检符合要求，不会被退档。
专业,18***11 (山东),2018-06-27 16:19,请问贵校哪个专业需要开设尸体解刨课程,你好，我校医学专业均开设人体解剖课。
关于保研,18***56 (北京),2018-06-27 16:17,咱们学校中医学、针灸推拿专业，每年招收多少研究生？在本校就读的话，保研率多少？,你好，保研率10%左右。研究生在500多名左右，具体请咨询我校研招。
河南考生,15***33 (河南),2018-06-27 15:07,收专科生吗,你好，不招收专科生。
咨询,13***13 (河南),2018-06-27 14:56,老师您好：我是河南的理科男生，高考分数614，想报贵校的卓越班中医班学习中医，有希望录取吗？谢谢！,你好，可以尝试报考，具体请参考http://bkzs.bucm.edu.cn/fsjh2016/47878.htm
录取,13***28 (山东),2018-06-27 14:49,你好山东理科女生623分，排名9823报考贵校卓越中医班。能被录取吗，,你好，可以尝试报考，但是比较危险。
转专业,13***69 (北京),2018-06-27 14:22,考入你校后，你校每年有多大比例转专业，谢谢！,你好，具体转专业由我校教务处实施，则上不超过我校一本录取（四年制、五年制）人数的5％，依学校当年统一发布的数字为准。
北京592分，排名9245，报你校有希望吗,13***69 (北京),2018-06-27 14:18,北京592分，报考药学，中药学专业有希望吗，谢谢！,你好，根据往年分数，可以尝试报考。
中医学专业排位,15***41 (广东),2018-06-27 14:17,请问近几年广东省贵校中医学最低排位是多少？本次考试572，广东省排位一万八千多有多大积累可以进中医学专业？谢谢！,你好，可以尝试报考，但是希望偏小。
河南理科考生,15***82 (河南),2018-06-27 13:13,你好，我在今年高考成绩为599，报考本校医学专业风险大吗？谢谢回答,你好，可以尝试报考，有希望。
填报中医药大学专业 分数优先还是专业优先,81***@qq.com (辽宁),2018-06-24 15:09,填报专业时是分数优先还是专业优先，比如中医学和中医学5+3，是先按第一专业录取还是按分数录取，非常感谢,你好，分数优先。
北京603分，能否有把握录取到本校各“中医学”专业？,13***19 (北京),2018-06-24 15:06,1、北京考生603分，也算中医传承家庭，能否有把握录取中医学九年岐黄或各5+3班？2、如果不能录取中医学专业，被调剂到其他中药学、管理等专业，入学后还有二次选择专业到中医学的机会吗？盼复！,你好，根据前几年进行参考，有希望，但是不是特别把握。有可能调剂至其他专业，入学之后有转专业的机会。具体请查看http://jxw.bucm.edu.cn/gzzd/xjgl/16221.htm
自主招生,13***42 (北京),2018-06-24 15:04,请问自主招生在每个招生地区有名额限制吗？谢谢！,你好，自主招生计划不分省。
退档问题,70***@qq.com (北京),2018-06-24 14:52,老师您好：考生因为听力问题，不宜报考贵校医学专业。佩戴助听设备后正常。但是如果考生分数足够，经贵校录取后是否会被强行退学？谢谢。,你好，从在校学习和就业角度，不建议就读医学专业，请考生慎重考虑。
自主招生报名也有专业级差吗？谢谢,13***42 (北京),2018-06-24 14:39,如题,你好，没有专业级差。
自主招生录取规则,13***42 (北京),2018-06-24 14:28,您好，想问下自招报专业是志愿优先，还是分数优先？有什么录取规则吗？我是按感兴趣的专业顺序填报志愿，还是参考往年各专业的录取分数排序填写？谢谢,你好，因为自主招生考生专业录取也是需要参考统考考生分数进行的，所以除了按照意愿志愿填报外，也需要参考往年的对应专业的分数。
辽宁考生志愿填报,81***@qq.com (辽宁),2018-06-24 12:45,中医学（卓越中医班）和中医学（卓越中医京华班）之间有什么区别，以及中医学和中医学（实验班)的区别,你好，具体http://bkzs.bucm.edu.cn/zysz/zyxzyzy1/index.htm请访问上述界面查看。
