标题,来源,时间,问题,回答
山东考生咨询,15***11 (山东),2018-06-25 11:33,山东理科652分，全省排名2700，请问报考贵校录取希望大不大？谢谢老师。,从排名来看，非常有希望，欢迎报考，更多信息请登录我校招生资讯网http://zsw.bjtu.edu.cn/
北京交通大学在贵州前年的录取位次,15***42 (贵州),2018-06-25 11:28,我想请问一下北京交通大学在贵州前年的录取的排位区间，最高名次和最低名次。谢谢,请问您是文科还是理科？分数请查看我校招生资讯网http://zsw.bjtu.edu.cn/list/index/id/37.html
报考-河南考生,18***51 (河南),2018-06-25 11:23,老师您好！河南滑县考生，理科分数559，高校专项计划报考贵校，是否可以？有多大机会能够提档？谢谢！,有关高校专项计划的报考请查看我校招生资讯网关于《2018年高校专项计划认定考生名单及分省预留计划》计划及有关说明http://zsw.bjtu.edu.cn/article/index/id/1042.html
报考咨询,14***5@qq.com (云南),2018-06-25 11:17,云南文科621名640分，最贵校可以读什么专业希望大吗？服从调剂会退档吗,参考往年这个排名被录取的希望非常大，欢迎报考。有关计划及往年分数请查看我校招生资讯网http://zsw.bjtu.edu.cn/list/index/id/37.html。如果考生符合录取条件，体检合格，服从调剂一般情况下提档不会退档
录取1,18***72 (山东),2018-06-25 11:06,老师您好！我是山东的一名理科考生，今年高考639分，省内排名5133名，请问能否有希望被贵校录取？还有，您能预估一下今年贵校在山东省的投档线吗？,从排名来看，非常有希望，欢迎报考，更多信息请登录我校招生资讯网http://zsw.bjtu.edu.cn/
录取,13***55 (山西),2018-06-25 10:53,您好，我是山西理科考生，614分，全省排名3000名左右，高一本线98分。能被贵校录取吗？,参考往年，从排名来看，非常有希望，欢迎报考，更多信息请登录我校招生资讯网http://zsw.bjtu.edu.cn/
录取,13***33 (内蒙古),2018-06-25 10:50,内蒙623分，能进学校吗？工科的专业能去哪些？,参考往年，这个排名非常有希望，在内蒙古招生的各个专业都可考虑，但建议要拉开梯度
宁夏考生 成绩567 全省排名1779,15***59 (宁夏),2018-06-25 10:40,老师您好，我是宁夏的考生，想要报考您们学校，我这个成绩可以填报您们学校吗？请问贵校今年在我们宁夏提档线是多少呢？,参考往年这个排名非常有希望，欢迎报考，更多信息请登录我校招生资讯网http://zsw.bjtu.edu.cn/
河南理科,17***61 (河南),2018-06-25 10:32,贵校还收专科生吗，如果收分数大概多少,我校在河南没有专科计划
老师，我是陕西理工5896位次，请问报考贵校能录吗？,15***77 (陕西),2018-06-25 10:28,录取,从排名来看，参考往年，有希望，欢迎报考，更多信息请登录我校招生资讯网http://zsw.bjtu.edu.cn/
河南理科,18***96 (河南),2018-06-25 10:14,老师：您好，我是河南理科考生，今年省位次8141名，请问报考贵校，有希望录取吗？谢谢老师。,，参考往年，估计8000名以内希望更大，这个排名略有差距但今年我校在河南增加了计划可以考虑冲以下
录取问题,13***07 (北京),2018-06-25 09:53,老师您好！请问：北京交通大学威海校区在北京所招生专业不超过6个，由于专业级差原因，如果服从分配，在提档后，是否存在退档可能？,我校拟定提档比例是100%，一般情况下，符合录取要求，英语在105分以上，体检合格，服从调剂，提档后不会退档
录取,18***68 (河南),2018-06-25 09:51,河南考生583能录取吗,考生您好!根据往年录取情况，您的分数可报考本部中外合作办学和威海校区希望较大！
录取,18***41 (山西),2018-06-25 09:48,山西省文科601分，向往贵校多年，冒昧问问不知录取可能性如何,考生您好！根据往年录取情况，您的分数录取希望大，欢迎报考！
志愿咨询,qx***@163.com (山东),2018-06-25 09:46,老师你好，我是山东理科考生，考了645分，很想报考贵校，想报交通运输、交通工程专业，你可以帮我参考一下吗？谢谢了。,考生您好！根据往年录取情况，您的分数录取我校希望很大，欢迎报考！
河南理科生，女,13***27 (河南),2018-06-27 14:22,我是河南一名理科生614分排名10714名可以报考贵校吗，如不可以，走国家专项计划行不行,你好，你的成绩报考我校希望不大，可以考虑冲一下。如果报考国家专项，可以参考前几年的录取分数线。
录取情况,10***0@qq.com (广西),2018-06-27 13:54,广西理科考生596分，位次7598，报该校录取有希望么,你好，你的成绩报考我校录取希望不大，可以考虑冲一下。
咨询,26***2@qq.com (重庆),2018-06-27 13:47,重庆考生623分，5915名，走贫困专项有希望被该校录取吗?,你好，按往年情况，有希望，鼓励报考！
北交大学老师好,13***62 (内蒙古),2018-06-27 13:29,老师您好，我是内蒙古考生，625分排位2119报考贵校理科实验班希望有多大。,你好，这个分数按往年情况，进学校希望很大，具体专业录取情况，可根据往年录取分数对应的排名进行推测，预计希望大。内蒙实行志愿网上动态填报，具体还得以填报当天情况为准！
咨询,18***67 (福建),2018-06-27 13:18,您好，我是福建考生今年考593分位次6029报考贵校有希望吗,考生您好！根据往年录取情况，您的分数被我校录取希望大，欢迎报考！
福建考生,13***26 (福建),2018-06-27 13:18,老师您好！我是福建文科考生，总分610，省排名1258，报考贵校的金融类专业风险大吗？或者贵校有其他分数线适合的专业推荐吗？谢谢！,考生您好，根据往年录取情况，您的分数被我校录取的希望较大，具体专业及录取分数可查看北京交通大学招生资讯网（zsw.bjtu.edu.cn）。
湖南考生617省排位不含加分7356含加分7463名能录取吗,15***56 (湖南),2018-06-27 13:13,数学142农村往届无农村单招贫困专项,你好，你的分数报考我校录取希望大。
录取,17***20 (新疆),2018-06-27 12:51,新疆考生595，位次2644，请问有希望进入贵校么,您好，根据往年分数线，参考您的成绩报考我校录取希望较大。
河南文科考生,17***61 (河南),2018-06-27 11:43,老师我今年文科高考分数633，省排名1098，报考北京交通大学录取几率有多少？,您好，根据往年录取分数线，参考您的成绩报考我校录取希望大，欢迎报考。
毕业证是否相同,13***26 (河南),2018-06-27 11:39,北京交通大学威海校区发放毕业证与本部完全相同吗?谢谢,您好，发放的毕业证都是北京交通大学颁发的毕业证，只是会在专业那有区别。
录取 贵州考生,15***39 (贵州),2018-06-27 11:35,老师您好，我是贵州考生，今年高考全省排名3256，请问我第一和第二专业填报贵校的电子信息类和交通运输类被录取的希望大不?会被调剂吗？,您好，根据往年分数线，参考您的成绩报考我校录取希望很大。报考这两个专业被调剂的几率较小。
老师，陕西理工5897位次，能上贵校电子信息类，考研机会大吗,15***77 (陕西),2018-06-27 10:52,学校考研率高吗,您好，根据往年录取分数线，参考您的成绩报考我校电子信息类录取希望大，欢迎报考。我校深造率55%左右，考研每个人都有机会。
山东理科考生,18***47 (山东),2018-06-27 10:49,山东理科608分，省排名15892，我已通过了贵校的高校专项计划初审，这个高校专项计划应该在哪个批次填报？是在28号的提前批填报还是在7月5-6号填报？,您好，高校专项计划属于提前批。
江苏 理科 365分,36***@qq.com (江苏),2018-06-27 10:16,江苏理科365分理化AA排名18059可以报考贵校吗？谢谢,您好，根据往年录取分数线，参考您的成绩报考我校录取希望较小。
广东理科考生，575/500 分，省排17794,18***48 (广东),2018-06-27 10:09,575分，报考贵校计算机专业希望大吗？谢谢~,您好，根据往年录取分数线，参考您的成绩，报考我校计算机专业录取希望较小。
报考,15***35 (河南),2018-06-26 15:00,您好，我是河南省理科考生，今年分数621，位次8451，报考贵校被录取希望大吗？是否很容易被调剂？,您好，根据往年录取分数线，参考您的成绩，报考我校录取希望大，鼓励报考，是否被调剂还需根据您专业报考情况决定。
您好!我是甘肃考生,13***99 (甘肃),2018-06-26 14:54,您好我是甘肃的理科考生，高考590分，报考你校经济学类。会不会被录取,考生您好！根据往年录取情况，您的分数被我校录取希望大，欢迎报考！
录取,13***25 (贵州),2018-06-26 12:43,我是贵州的理科考生，高考596分，本省排5712名，想填报贵校的建筑类或者计算机类专业，请问有机会录取吗？,你好，你的分数报考我校，录取有一定希望，鼓励报考。
