标题,来源,时间,问题,回答
考公务员的问题,le*** (辽宁),2016-06-13 10:15,1、贵校在辽宁招生的专业中（以2015年专业为例），哪些专业可以考公务员？2、以上这些专业近几年的就业情况？3、转专业的情况？,拨打总机62989028转就业指导中心询问。
就业前景,13***84 (青海),2018-06-28 15:51,老师，请问贵校的英语专业的就业前景怎样?,请参看我校招生简章。http://zs.bsu.edu.cn
专业级差,15***37 (江西),2018-06-28 15:32,江西文科604分，2700名能否录取贵校？贵校存在专业级差吗？,按往年分数看，有希望。把我校作为平行志愿的第一院校，服从专业调剂。无专业级差
你好，我想了解下2018年，贵校录取数和投档数比例是多少？,13***66 (广东),2018-06-28 13:39,我想了解下2018年，贵校录取数和投档数比例是多少？,按省招办规定投档比例
海南文科758、省排300，能录吗？,18***69 (海南),2018-06-28 12:53,老师好！请问：1、海南文科758分，省排名295-302（并列8人），语文95（680）、英语133（706）、数学（缺原始分换算）（733），高A批海南省分数线179分，能录取吗？2、服从调剂，录取后能转专业吗？3、高度近视右眼1100度、左眼1175度，能录取吗？可以申请体育免修吗？谢谢！,非体育类专业入学后体育课程相比其他高校要多，如果高度近视，可能会影响体育课程，请慎重考虑
山西考生咨询,15***61 (山西),2018-06-28 11:44,老师您好，我今年山西理科高考成绩552，山西省排名16521，请问报告贵校有希望吗？,按往年分数参考，有希望。把北体作为平行志愿里的第一个选择，服从专业调剂即可。
福建文科生,13***09 (福建),2018-06-28 11:25,老师您好，我是福建文科考生，总分581，排名3526，请问报考贵校提前批是否有希望？若是服从专业调剂是在提前批的两个专业中调剂吗？本一批中是否设专业级差？,按往年分数参考，分数稍低。可把北体作为平行志愿里的第一个选择，服从专业调剂即可。无专业级差。
关于招生章程中的疑问,13***23 (山东),2018-06-28 11:20,招生简章中提到的黑色素痣是怎么回事，额头有颗小痣对报考有没有影响,请咨询当地高考体检部门。
报考,13***34 (河南),2018-06-28 10:55,我是河南文科考生，604分，4423位次，一本线上57分，报考贵校能否录取？谢谢！,按往年分数参考，有希望。把北体作为平行志愿里的第一个选择，服从专业调剂即可。
报考,13***34 (河南),2018-06-28 10:13,老师好！我是河南文科考生，604分，4423位次，一本线上57分，报考贵校是否能录取？,按往年分数参考，有希望。把北体作为平行志愿里的第一个选择，服从专业调剂即可。
报考,15***78 (内蒙古),2018-06-28 10:05,老师好！内蒙文科555报贵校体育产业管理和新闻有希望吗？那个占优势？谢谢！,按往年分数参考，分数稍低。把北体作为平行志愿里的第一个选择，服从专业调剂即可。
专业咨询,13***69 (北京),2018-06-28 09:37,贵校提前批a段新增网络与新媒体专业属于一本还是二本？此专业有什么要求？北京文科生616分，报考此专业希望大吗？,我校所有专业均为一本专业，无特殊要求，身高符合要求、身体健康即可。参考往年录取分数，有希望
hello,19***29 (江西),2018-06-27 15:04,老师你好了，我是江西文科考生，602，省排名3049有希望报考贵校吗？能稳录吗？,按往年看有希望，可把我校作为平行志愿里的第一个院校填报，服从专业调剂。
