标题,来源,时间,问题,回答
录取,18***47 (河南),2018-06-26 10:34,河南文科今年的一批预估线是多少？,您好，我校在河南文科预估分为613左右，可供您参考。
湖南考生录取分数预估分,13***02 (湖南),2018-06-26 10:07,你好，请问今年湖南考生610能进北化高分子材料专业吗？,您好，按照去年位次估计，我校今年录取预估分为602，您可以以此作为参考。
高校专项,13***96 (山东),2018-06-26 10:06,老师您好，山东理科考生587分，通过贵校高校专项审核，是否有希望进入贵校学习？,有希望，欢迎报考，未录取也不影响一批次政策录取
山东文科,15***98 (山东),2018-06-26 10:01,您好，我是山东文科考生。分数611，位次3260，请问报考贵校的可能性大吗?谢谢！,您好，您还是挺有机会的，欢迎您一志愿报考我校。
国家专项,18***96 (河南),2018-06-26 09:58,我2018年考了586，能报贵校的国家专项么？贵校去年及今年国家专项预估多少分？,您好，去年我校国家专项在贵州的录取最低分为537分，您可以以此作为参考。
咨询,13***57 (四川),2018-06-26 09:53,老师，您好，我是四川考生，我想咨询一下，贵校对进档考生的安排方法是按专业优先还是分数优先的原则？,您好，分数优先，遵循志愿
录取,13***52 (江苏),2018-06-26 09:42,您好！我是江苏考生理科354，省排名33000多，选修物理A化学A+，报贵校有希望吗？,您好，我校在江苏理科的预估排名在24000左右，您可以参考一下。
录取,15***36 (河南),2018-06-26 09:21,河南考生13900-14000想报北化工，可以冲一冲吗？,您好，您可以冲一下，欢迎您一志愿报考我校。
录取,18***36 (河南),2018-06-26 09:18,2018贵校在河南的录取分数，预估。,您好，我校在河南理科预估分为606左右，欢迎您一志愿报考我校，选择专业有很大的余地。
山东理科,13***79 (山东),2018-06-26 09:17,609,您好，根据您的分数，建议您可以冲一下我校。
贵校入学后的读书地质在哪里？,13***29 (北京),2018-06-26 09:14,听说好像在郊区，是吗？,您好，新生是在昌平校区。
河南考生,15***36 (河南),2018-06-25 16:51,河南考生601能上吗,您好，我校今年河南理科的预估分为606左右，可供您参考。
录取,15***36 (四川),2018-06-25 16:47,老师您好！我是四川理科考生624分，位次13223有希望提档吗？,您好，根据您的排位，您的机会蛮大的，欢迎您报考我校。
退档,15***36 (河南),2018-06-25 16:31,您好，我是河南理工考生，高考分数561，自招获得了A档40分的优惠，本科一批报考时选择贵校作为一志愿，请问是否会被提档，如果服从专业调剂提档后是否一定不退档？,您好，A档入选考生的高考投档成绩应达到我校在当地模拟投档线下40分以内，但不得低于第一批次本科录取控制分数线，由我校审查、录取。体检符合要求的话，提档不退档。
河北考生咨询,15***45 (河北),2018-06-25 15:53,您好，我是一名河北理科考生，在一本线上125分，省排名9300名，请问我报考国际经济与贸易专业被录取的几率大吗？谢谢,您好，几率蛮大的，欢迎您报考我校。
录取,13***21 (河南),2018-06-26 16:08,请问河南607分，位次13303能否被录取？,您好，我校预估分数大概为606，您可以以此为参考，欢迎报考北京化工大学。
咨询,18***02 (海南),2018-06-26 16:01,贵校高校专项计划当中海南地区有一个名额，管理科学与工程类专业，请问这是一个大类专业吗？到了大二学生可以根据兴趣自己选小专业是吗？有哪些小专业呢？谢谢老师。,这是一个大类专业，包括物流管理和信息管理与信息系统。具体分专业的规则可以咨询010-64435704（北京化工大学教务处）
河北理工咨询,13***31 (河北),2018-06-26 15:49,请问：1.学校是提档不退档吗？2.河北是生源大省，有满志愿不调剂的政策吗？,您好，在体检合格和服从调剂的情况下，我校提档不退档。我校目前还没有相关政策。欢迎您报考北京化工大学。
