标题,来源,时间,问题,回答
报考咨询,gu*** (山东),2015-06-26 14:18,老师您好！山东理科考生639分，报考贵校希望大吗？谢谢！,有希望
河南理科,zh***i2015 (河南),2015-06-26 13:54,老师您好，我是河南考生，成绩566，是否有望报考贵校？,临床纳入清华招生，成绩较高，您看一下其他学校
询问志愿,15***83 (河南),2015-06-26 10:42,您好，我今年理科成绩631，想报考临床医学专业，被贵校录取的几率大吗？谢谢。,临床纳入清华招生，您的分数上不了，再看看其他学校吧
湖北理科录取线,li***n (湖北),2015-06-26 10:00,您好，湖北理科645分，能报贵校吗？专业不限，谢谢！,可以报考我校护理专业，有希望
湖北理科录取线,li***n (湖北),2015-06-26 09:17,专业不限，我湖北理科645分能报贵校吗？谢谢！,可以报考我校护理专业
分数线,qh*** (河南),2015-06-25 15:45,请问今年贵校在河南招生吗？如果招生，考多少分才有希望,临床纳入清华招生
在河北省文科多少分能报贵校的护理专科,12***zi321 (河北),2015-06-25 15:16,在河北省文科多少分能报贵校的护理专科，我是河北省的一名文科生，高考成绩是439分，请问能上贵校的护理专科吗,河北文科没有计划
我是北京考生 599分 是否能去贵校,pl***l (北京),2015-06-25 13:54,那学完护理学之后都干些什么一般在什么地方就业,护理是为医院培养护士，一般都在三甲医院
护理学专业关于调档与录取,xi*** (浙江),2015-06-25 11:00,按招生计划的100%调阅学生档案。意思是只要投档投进去了就没有退档de风险吗？,对，只要体检符合要求
四川理科,51*** (四川),2015-06-24 13:57,老师您好，我是四川贫困山区的考生，今年只超重本线6分，我想依靠国家专项计划报考贵校，可能性大吗？,我校没有四川计划
广东考生,lz*** (广东),2015-06-24 11:31,请问你们在广东招生吗，好像看不到有,纳入清华招生，计划在清华大学里面
浙江考生,10*** (浙江),2015-06-24 10:38,请问2015给浙江专业有哪些？,可以报考我们的护理专业
河北临床招生,ke*** (河北),2015-06-10 13:28,今年贵校在河北临床医学招生还按照清华的招生计划。护理学另用一个代码吗？,对的
护理专业,wh***zhong (内蒙古),2015-06-10 09:30,贵校护理专业本科毕业后还可读哪些医学专业的研究生,除了护理学的研究生，也有考公共卫生，基础医学的
贵校为什么每年都不给江西本科招生指标？,15***27 (江西),2015-06-10 09:01,贵校为什么每年都不给江西本科招生指标？,没有计划
自主招生,jh*** (吉林),2015-03-03 10:34,请问贵校的自主招生是独立的吗？不参加清华大学的自主招生吗？何时开始报名,参加清华的自主招生
临床八年,ha*** (上海),2015-03-02 10:17,请问贵校2015年在上海招生计划几名，有自招吗？高考分数大概多少？,临床纳入清华招生
江苏考生,xu*** (江苏),2014-06-28 14:27,你好江苏理科352，物理B+化学A，能报考本校么，需要服从志愿么，有退档风险么,可以报护理
有希望被录取吗？,ch***123 (山西),2014-06-28 09:07,老师好，我是山西考生，高考分数高出一本线近50分，填报贵校有希望被录取吗？,没有计划
江苏考生,xu*** (江苏),2014-06-27 16:39,你好江苏理科352，物理B+化学A，能报考本校么，需要服从志愿么，有退档风险么,提档不退档
专科录取,su***uixi (北京),2014-06-27 12:26,您好，我是2014北京考生，请问贵校专科的现场咨询会何时举办,校园开放日
转专业咨询,11*** (江苏),2014-06-27 10:28,我想请问如果报考护理学可以转到其他专业吗，因为江苏没有贵校的其他专业,不能转专业
