标题,来源,时间,问题,回答
2017年贵校在江西的提档线及排名是多少啊,18***51 (江西),2018-06-24 14:25,2017年贵校在江西的提档线及排名是多少啊,您可以去北外的本科招生网查看具体信息
中外合作办学,13***73 (北京),2018-06-24 14:20,理科排名3500左右能被录取吗,这个问题您可以参考近年北外的录取分数线，在我校的本科招生网上可以找到
本科一批,13***78 (河北),2018-06-24 13:52,我是河北文科生，高考总分672，省排名227，报考你们有希望吗？,这个您可以参考去年北外在河北的录取分数线，在我校的本科招生网上可以查到。
报考咨询,15***11 (浙江),2018-06-24 11:48,浙江考生648位次7422有希望被贵校录取吗？,你好！按照17年的数据，我校在浙江提档线为641分，省排名为7134，你的成绩可以尝试报考但有不被提档的风险。
贵校今年在广西有俄语专业理工科的招生指标吗,18***40 (广西),2018-06-24 11:47,如题，今年贵校在广西会招俄语专业的理工科学生吗，613分能上吗,你好，我校今年没有在广西投放理工科俄语专业的计划。
咨询关于贵校B段,13***39 (吉林),2018-06-24 11:22,贵校B段在吉林省第一年招生，请介绍一下具体情况，且预估一下应该是什么位次？,你好，如果您想咨询我校外交学（中外合作办学）专业的情况可以在国际关系学院网站上了解到相关信息，网址如下：https://sird.bfsu.edu.cn/cn/cc/list1/0000000003/do
能冲一下提前批次吗,13***30 (北京),2018-06-24 10:29,北京理科624分，综素成绩39.833，能冲一下北外提前批次不？,你好，你可以在我们的报名系统中回填你的高考成绩，以便了解自己在同省份考生中的位次作为填报参考，同时提前批未被录取不影响后面批次的录取。
一表B合作办学,15***88 (黑龙江),2018-06-24 09:35,咨询文科类合作办学是与哪个国家合作，毕业证书是什么？双学位吗？需要二年后出国吗,你好，我校的外交学（中外合作办学）是和英国基尔大学合作，第三年去英国读一年，毕业可以取得北外和基尔大学两所学校的学位证。详细信息可以登陆我校国际关系学院网站查看，网址：https://sird.bfsu.edu.cn/cn/cc/list1/0000000003/do
山东省提前批,ho***a@126.com (山东),2018-06-24 09:31,请问贵校综合评价招生在山东省是在提前批还是自主招生批报考,你好，报考我校综合评价需在提前批次报考。
提前批,15***69 (四川),2018-06-24 09:25,老师您好，请问贵校2018年在四川招提前批吗？大概多少位次有希望呢？,你好，报考我校提前批需要参加并通过我校组织的综合评价能力测试，有资格报考的考生名单已在我校本科招生网公布。
北京646,13***00 (北京),2018-06-23 15:38,您好，我是北京文科生，646分，能够报考贵校吗？,同学你好，根据2017年的数据，我校在北京的文科提档线为630分，省排名603。按照今年的排名情况来看你的分数排在830名，可以尝试报考，但有不会被录取的风险。
提前批,15***16 (广东),2018-06-23 13:42,提前批小语种专业有转专业限制吗？,您好！提前批小语种专业和其他专业一样可以有转专业的机会。但是各个院系有名额限制，需要参考学生大一的成绩。
提前批,13***57 (北京),2018-06-23 13:08,提前批报考贵校有何条件,您好！北京考生报考我校提前批需要报名我校综合评价考试，只有参加测试并通过的考生才有资格报考我校提前批专业，测试通过名单已在我校本科招生网上公布。
咨询北外商学院有关问题,18***88 (四川),2018-06-23 09:30,四川考生，分数512，外语124，想读北外国际商学院，请请问商学院是正规院校吗？,你好，北京外国语大学国际商学院成立于2001年，是北京外国语大学教学规模最大的院系之一。根据2017年的录取数据，国际商学院在四川省文科的录取最低分为628分。
提前招生志愿填报与录取,13***89 (浙江),2018-06-23 09:21,你好，请问综合评价提前招生和其他高校自主招生，可同时在提前批志愿里填报吗？若未被贵校录取，影响自主招生录取吗？,你好！报考我校综合评价需要在提前批填报志愿，提前批未被录取不影响后面批次的录取。
北京考生652名次2209,13***39 (北京),2018-06-25 11:17,请问北京考生分数652名次2209报考贵校录取几率大吗？能不能上诸如西班牙语之类的好专业？,你好，根据去年的数据，我校在北京理科的录取分数为632，排名为2827。你的分数还是很有希望被录取的。但是西班牙语专业在北京理科的录取分数为645分，排名1637比较靠前，你的成绩能不能上还不太好说。
浙江考生 平行志愿填报,13***10 (浙江),2018-06-25 10:48,您好！请问浙江考生，省位次号3740，报考贵校，被录取的可能性大吗？如果不大，报考贵校什么专业最容易被录取呢？最好是外语类专业。谢谢！,你好！你的成绩还是非常有希望被录取的。我校提档服从调剂不会退档，所以建议你按照自己对专业的兴趣顺序填报。
提前批志愿要求,13***47 (河南),2018-06-25 10:21,河南省提前批第一志愿设1个高校志愿，第二志愿设4个高校平行志愿。请问报考北外提前批有志愿要求吗？本人综评合格，文科629分，录取可能性有多大？,你好！志愿填报细节还请咨询省份教育考试院。具体排名建议你到报名系统回填成绩后参考系统给出的排名。
河南理科,32***9@qq.com (河南),2018-06-25 10:09,老师您好：我是河南理科考生，请问今年如果通过国家专项报考贵校，601被录取的可能性大概是多少？谢谢老师！,您可以上北外本科招生网参考北外去年在河南的录取分数线和排名
录取,18***41 (山西),2018-06-25 09:53,山西省文科601分，向往贵校多年，冒昧问问不知录取可能性如何,你好，去年我校在山西文史类录取分数线排名为269，分数为590。你的成绩报考我校不被录取的可能性比较大。
咨询,13***35 (江苏),2018-06-25 09:50,江苏考生，理科，381，排名4852-5336，可以报贵校吗？,你好，去年我校在江苏理工类录取分数线排名为4949，你的成绩还是有希望被录取的。
陕西理科,15***45 (陕西),2018-06-25 09:42,陕西理科606分，超一本132分，报考贵校有希望吗？,你好！2017年我校在陕西理工类录取分数为630，排名2330。不建议你报考我校。
咨询,13***67 (湖北),2018-06-25 09:21,您好，请问湖北文科考生，624分，位次1780，报考贵校有希望吗？,你好！2017年我校在湖北省文科录取分数为615，排名为655。不建议你报考我校。
