标题,来源,时间,问题,回答
想报考贵校,13***88 (浙江),2018-06-24 09:51,您好，我是浙江考生，我想问下630分位次16556有希望进贵校吗？,你好！我校2017年浙江省最低录取分数621分，一本线577分。根据平行志愿的录取规则，建议你尝试我校。欢迎报考北京工业大学！
录取分超一本多少能上,13***40 (甘肃),2018-06-24 09:28,甘肃理科男574分省排名5852超一本线91分贵校能录取吗分数够填报那些专业,你好！我校2017年甘肃最低录取分数541分，一本线460分。根据平行志愿的录取规则，建议你尝试我校。欢迎报考北京工业大学！
总分561分，能报贵校吗？或什么专业？,18***56 (北京),2018-06-23 17:00,总分561分，能报贵校吗？或什么专业？语文：111数学：118外语：120理综：212,你好！我校2017年北京市最低录取分数590分，一本线537分。根据平行志愿的录取规则你可以冲击比你分数段稍高的学校，请自行把握。欢迎报考北京工业大学！
报考咨询,13***66 (甘肃),2018-06-23 16:04,甘肃考生570分，省内排名6533，想报贵校的自动化专业，录取概率有多大，谢谢！,你好！了解更多招生信息请拨打我校招生办公室电话：010-67391609。欢迎报考北京工业大学！
录取咨询,13***98 (广西),2018-06-23 15:28,我是2018广西考生，超一本线近90分，但今天位次比较低（高分低位次），不知能否进入北京工业大学？平行志愿是否因名族加分而退档？谢谢,你好！了解更多招生信息请拨打我校招生办公室电话：010-67391609。欢迎报考北京工业大学！
色盲或色弱录取问题咨询,15***59 (浙江),2018-06-23 15:28,老师好：我是浙江的考生，想咨询下关于体检结果为色盲或色弱的情况，贵校哪些专业不能被录取？,你好！了解更多招生信息请拨打我校招生办公室电话：010-67391609。欢迎报考北京工业大学！
双培和外培,13***62 (北京),2018-06-23 14:41,老师您好，我想咨询一下北京工业大学2018年双培和外培招生计划及双培和外培的历届录取分数，谢谢,你好！了解更多招生信息请拨打我校招生办公室电话：010-67391609。欢迎报考北京工业大学！
北工大双培和外培,13***62 (北京),2018-06-23 14:31,老师好，我想咨询一下2018年北京工业大学双培和外培招生计划，和历届双培和外培录取分数,你好！了解更多招生信息请拨打我校招生办公室电话：010-67391609。欢迎报考北京工业大学！
报考哪个专业好？,et***63.com (北京),2018-06-23 13:48,请老师介绍下咱们学校哪个专业比较有优势？就业前景好？,你好！了解更多招生信息请拨打我校招生办公室电话：010-67391609。欢迎报考北京工业大学！
录取分数,13***06 (北京),2018-06-23 13:46,理科591分能上贵校吗？如果能去，能上什么专业,你好！我校2017年北京市最低录取分数590分，一本线537分。根据平行志愿的录取规则你可以冲击比你分数段稍高的学校，可以尝试我校。迎报考北京工业大学！
北京考生,18***95 (北京),2018-06-23 13:46,理科成绩616排名6113报考贵校的通信工程或者软件工程有望么,你好！我校2017年北京市最低录取分数590分，一本线537分；2017年通信工程的最低录取分数为600分，软件工程的最低录取分数为605分，大体符合你的分数段。根据平行志愿的录取规则，建议你尝试我校。欢迎报考北京工业大学！
关于专业调剂,13***60 (北京),2018-06-23 12:33,请问：如果报6个专业均未录取，那么专业调剂的原则是什么？如果报计算机类和土木工程类两个类型的实验班均未录取，那么是调剂到计算机类的专业，还是调剂到土木类专业？,你好！建议在专业志愿中按顺序填写想去的实验班和普通班。如果六个专业都未能录取，且不服从调剂则可能被退档，后果比较严重，请谨慎选择。欢迎报考北京工业大学！
同意调剂是否会调剂到中外合作办学专业？,13***65 (广东),2018-06-22 16:52,一本提档线是否包括中外合作办学专业？同意调剂是否会调剂到中外合作办学专业？被调剂到合作办学专业又无力承担学费是否可以转专业？学校是否有救济政策？,你好！调剂在科类（理工）中进行，且不会调剂到中外合作办学专业。欢迎报考北京工业大学！
河北考生,to***9 (河北),2016-06-14 16:48,我是河北考生，预估626分能上贵校吗？在河北的计划数有多少，都什么专业？,考生您好，您可以参考往年的录取情况，具体详情请登陆http://admissions.bjut.edu.cn/查询。欢迎报考北京工业大学！
山东文科,gd*** (山东),2016-06-14 16:45,您好，该校今年在山东招生的文科专业有多少，大体需要什么分数段,考生您好，我校招收文科的专业有很多，分数段可以参考往年的招收情况。详情请登陆http://admissions.bjut.edu.cn/查询。欢迎报考北京工业大学！
