标题,来源,时间,问题,回答
请问江苏考生文科385分，排名340左右，有希望报贵校吗？,13***77 (江苏),2017-06-27 15:19,请问江苏考生文科385分，排名340左右，有希望报贵校吗？平行志愿进档会退档吗？谢谢！,按照我校往年在贵省的录取情况，你这个分数报考我校是很有把握的，专业选择余地也挺大，生服从专业调剂，体检合格，提档不退档。
河南考生,fb*** (河南),2017-06-27 14:34,老师你好，请问北京师范大学在河南省招生必须是提前批吗，没有本科一批吗？,我校今年在河南省招生批次均为提前批，没有本科一批。
北师大专业培养方向,13***72 (山东),2017-06-27 14:07,老师您好：贵校的教育学，心理学专业的培养方向是什么？研究生毕业去向有哪些？这两个专业就业面很窄吗？奖学金如何设置？出国比例大概多少？期待您的回答。谢谢！,您好，我校这两个专业均为全国排名第一的专业。详情可在我校本科招生网查看经年的报考指南中专业介绍部分，如有需求，可电话咨询010-58807962。
河南考生,13***66 (河南),2017-06-27 13:22,老师您好！我是河南理科考生，618分，排名3561，请问报考贵校数学与应用数学专业被录取的希望大吗？同意调剂，有希望吗?,按照我校往年在贵省的录取情况，你这个分数报考我校是很有把握的，专业选择余地也挺大，提前批即使退档也不影响一批填报，建议您大胆填报。服从调剂可以增加录取机会。将您感兴趣的专业前顺次填报。
河南考生,13***66 (河南),2017-06-27 13:21,老师您好！我是河南理科考生，591分，排名9687，请问报考贵校数学与应用数学专业被录取的希望大吗？,根据往年的情况，您这个分数报考我们学校希望不大，可以关注别的学校。
山西考生,c9*** (山西),2017-06-27 13:21,你好！我是山西考生成绩596，位次：1344-1404，想报考贵校的心理学把握大吗？,按照我校往年在贵省的录取情况，你这个分数报考我校是很有把握的，专业选择余地也挺大，提前批即使退档也不影响一批填报，建议您大胆填报。服从调剂可以增加录取机会。将您感兴趣的专业前顺次填报。
北师大提前批,yy*** (山东),2017-06-27 12:59,山东理科考生怎么报瀚德实验班？多少分能录取,在提前批中报考，如有需要请咨询我校招生热线：58807962
录取可能性,or*** (北京),2017-06-27 12:58,北京文科高考631，高一本线76分，排名576，若把北师大作为冲的学校，服从专业调剂，被录取的可能性大约有多大（有没有希望被录取）？,根据往年的情况，您这个分数报考我们学校希望不大，可以关注别的学校。
河南考生,ma***g2017 (河南),2017-06-27 12:42,老师您好，请问裸分611排名4722，加上少数民族照顾分为616排名3873，请问报考贵校的生物科学或教育学怎么样，谢谢老师。,按照我校往年在贵省的录取情况，你这个分数报考我校还是有一定把握的，提前批即使退档也不影响一批填报，建议您大胆填报。服从调剂可以增加录取机会，将您感兴趣的专业前顺次填报。
理科,yh*** (吉林),2017-06-27 12:29,请问吉林理科排名1930622分可以报考北京师范大学吗,根据往年的情况，您这个分数报考我们学校希望不大，可以关注别的学校。
免费师范生可以转专业或修双学位吗,jj*** (陕西),2017-06-27 11:46,老师，免费师范生可以转专业或修双学位吗？,免费师范生可以在大一、大二下学期提出转专业申请，在免费师范生专业间转专业，经拟转入院系考核通过，省教育厅同意，即可转入。辅修双学位没有特殊规定，与普通学生一样。
贵州考生,be*** (贵州),2017-06-27 11:44,我是贵州考生裸分630总分650报考贵校有希望吗还有贵校调档比例是多少会被退档吗,按照我校往年在贵省的录取情况，你这个分数报考我校是很有把握的，考生服从专业调剂，体检合格，提档不退档。
请问北京师范大学,md*** (福建),2017-06-27 11:16,我是福建考生，591分，想报贵校非师范专业，有哪些一级国重专业？,我校在福建招生均为非师范生。请到我校本科招生网，报考指南部分查看专业介绍，如要需要可电话咨询58807962
河南理科考生,hn*** (河南),2017-06-27 11:00,老师您好！我是河南理科考生，618分，排名3561，请问报考贵校数学与应用数学专业被录取的希望大吗？数学和物理学专业学起来难吗？谢谢老师,按照我校往年在贵省的录取情况，你这个分数报考我校是很有把握的。数学专业近年报考比较热门，可以大胆填报尝试。专业介绍可在我校本科招生网报考指南部分查看。
转专业和修双学位,13***08 (福建),2017-06-27 10:50,请问贵校转专业和修双学位有名额限制吗？如有一般限制在多少范围,学校没有限制。转专业提出申请，经拟转入院系考核通过后即可转入。
山东文科考生,zh***33 (山东),2017-06-26 09:24,616分，634名，报考你校希望大吗,根据往年的情况，您这个分数报考我们学校是有希望的。
高校专项计划,ji***gyunfei (内蒙古),2017-06-26 09:22,老师您好我参加了高校专项计划，复审通过。我需要登录一个网站http://admission.bnu.edu.cn/上传志愿表可是打开这个网站没有这个界面我该去哪里找？,在招生信息下方第一条可以进入报送系统。
山东文科考生咨询,wo***u00 (山东),2017-06-26 09:15,您好，请问山东文科生598分，排名1800，有希望冲一下贵校吗？,根据往年的情况，您这个分数报考我们学校希望不大。
山东文科,sd*** (山东),2017-06-26 09:04,山东文科612分846名报考贵校有希望录取吗,根据往年的情况，您这个分数报考我们学校希望不大。
能否报考,yd*** (河南),2017-06-25 16:56,我是河南文科考生，考分为593分，全省位次1899，不知能否报考贵校？,根据往年的情况，您这个分数报考我们学校希望不大。
广西文科,ji*** (广西),2017-06-25 16:51,广西文科考生593，排位1240，想报考贵校提前批，有录取希望不？,根据往年的情况，您这个分数报考我们学校希望不大。
关于专业,jh*** (陕西),2017-06-25 16:31,请问报考贵校天文学专业有什么要求吗，还是说只要分数达到录取线就可以,我校2017年天文学通过自主招生报考，统招不设天文专业计划。
河南考生,13***98 (河南),2017-06-25 16:09,您好，如果提前批被录入贵校，一年后成绩特别优秀能否转专业，若能转，转的专业是否有限制？谢谢！,学生可以在大一、大二下学期提出转专业申请，经拟转入院系考核通过即可。转专业没有文理限制，没有转出条件，只要经过拟转入院系考核即可。
