标题,来源,时间,问题,回答
老师你好，我想咨询一下录取问题和体检要求,15***98 (广东),2018-06-26 11:29,老师你好，我想咨询一下录取问题和体检要求，我是广东考生571排19617，有望报考贵校的风景园林专业吗？近视800左右，可以报考该专业吗？哪些专业又不可填报呢？,同学你好，建议你在北京林业大学本科招生网的填报参考系统进行查询，可以精确到专业。体检要求可在招生政策模块查询
录取,13***77 (天津),2018-06-26 11:26,天津女生位次5500，第一志愿可以录取吗？住宿条件请介绍一下，谢谢！,"同学你好，我校17年在天津录取的最低分排名为5494，16年为5005,15年为5336，建议您慎重考虑，可以考虑冲一冲"
北京录取,15***65 (北京),2018-06-26 11:25,您好，我是北京考生，想请问一下今年北京不是中外合作的专业大概录多少排名的学生。,同学你好，17年我校中外合作专业在北京录取最低分排名约为6222
国家专项,13***33 (重庆),2018-06-26 11:24,我是重庆一考生，606，排名9440，请问走国家专项有希望吗,我校17年国家专项录取最低分与一本线分差为63人，建议您参考一下今年的分差，但是每年都会有一定波动，需要您自己斟酌
录取规择,13***63 (山东),2018-06-26 11:20,山东省美术类考生提前批填报贵校，贵校招生简章对于平行志愿投档的省份，按照省招办的平行志愿投档进行调档并审核录取，但山东省美术类实行平行志愿，提前批不实行平行志愿，请问提前批的录取方式？,若提前批确认不是平行志愿，那就是梯度志愿录取
咨询,13***33 (重庆),2018-06-26 11:19,我是重庆考生，606，排名9440，请问有希望吗,如果是理工类考生，您有很大希望被我校录取，我校17年在重庆录取最低分的排位为10594，建议你在北京林业大学本科招生网的填报参考系统进行查询，更为丰富。
请问湖北考生589分能报你们学校吗,15***63 (湖北),2018-06-26 11:17,请问湖北考生589分能报你们学校吗,同学你好，建议你查询自己的省排名，根据排名在北京林业大学本科招生网的填报参考系统进行查询。
录取规择,13***63 (山东),2018-06-26 11:15,山东省美术类考生提前批填报贵校，贵校招生简章对于平行志愿投档的省份，按照省招办的平行志愿投档进行调档并审核录取，但山东省美术类实行平行志愿，提前批不实行平行志愿，请问提前批的录取方式？,若提前批确认不是平行志愿，就采用梯度志愿方式投档。
录取,15***63 (湖北),2018-06-26 11:10,我是湖北考生，请问589分能报你们学校吗,同学你好，建议你查询自己的省排名，根据排名在北京林业大学本科招生网的填报参考系统进行查询。
填报咨询,15***48 (海南),2018-06-26 11:02,老师您好，我是海南的学生，2018年理科683分，填报贵校适合吗？,同学你好，建议您查询一下自己的位次，在北京林业大学填报参考系统进行查询。
天津文科生,15***34 (天津),2018-06-26 10:59,请问，文科569排名2545报考贵校有希望吗？谢谢,同学你好，我校去年在天津录取的文史类考生最低分排名为1003，建议您慎重报考
自招咨询,18***99 (河北),2018-06-26 10:53,自招录取只能是被认定资格专业吧，服从调剂有可能被其他专业录取吗？,自主招生获得资格后，符合简章条件，只会被资格认定专业录取，不会被其他专业录取
国家专项，陕西考生理科，572可以报贵校吗？谢谢,15***26 (陕西),2018-06-26 10:52,老师你好，陕西考生，理科，572可以报贵校吗？谢谢,同学你好，国家专项17年在陕西的录去最低分与一本线分差为89分，建议您参考分差进行评定
录取分数咨询,13***07 (湖南),2018-06-26 10:41,老师您好：我是湖南艺术类考生，根据贵校的录取原则，我测算的分数是143.3分，我查看了之前艺术类考生的咨询，知道由于情况变化，无法预测，根据去年的情况我的分数稍差一点，我特别想报考贵校，报提前批有希望吗？谢谢老师！,同学您好：由于我校第一年取消校考，承认联考成绩，没有往年的分数作参考，也无法预测考生质量和数量，根据您的综合分情况来看，建议慎重考虑。
江苏文科考试咨询,13***53 (江苏),2018-06-26 10:41,您好我是江苏的文科考生。358双a省排名5809报考贵校是否有希望,"您好，我校近三年录取最低分排名如下：2017年4279,2016年6436,2015年7408，具体今年的情况会有什么波动，我们也无法预测，建议您慎重考虑。您也可以在北京林业大学本科招生网的填报参考系统进行详细查询。"
报考咨询,13***75 (河南),2018-06-27 11:11,老师您好，河南文科美术生统考258分，文化482分，报咱们学校有希望吗？谢谢,你好，今年艺术类取消校考，录取规则变化大，没法给出太有价值的参考。考生报考只能根据自己联科成绩和高考成绩的情况，适当参考往年录取情况来考虑了。往年录取情况见http://zsb.bjfu.edu.cn/f/view-7d1ea3a21fef418fbf9d1753226d26e7-f22b323e11bb430498af544155214ece.htm
广西理科报考,13***71 (广西),2018-06-27 10:51,你好，老师，广西理科592分排名8200名，可以报名贵校吗？,你好，有希望
福建理科考生,14***1@qq.com (福建),2018-06-27 10:50,您好，请问今年高考理科558分排名12700左右有希望进贵校吗？另外有什么专业是比较推荐的谢谢,你好，冲一下，有可能进学校，专业选择的空间不是特别大，请结合往年录取分数及排名情况，选择填报。往年录取分数见http://zsb.bjfu.edu.cn/f/cjcx。填报参考指导系统见http://zsb.bjfu.edu.cn/f/common/zsCj/forwardScore。
四川理科,18***20 (四川),2018-06-27 10:30,高考分数为601加上少数民族照顾分20被贵校录取的机率大吗,您好，建议您加上民族分之后，计算一下省排名，然后在系统中进行查询。http://zsb.bjfu.edu.cn/f/common/zsCj/forwardScore
河北理科14250有望吗,13***08 (河北),2018-06-27 10:24,河北理科621，排名14250，请问报考有希望吗？贵校今年的预估分是多少，能否提供参考一下啊。,您好，我校15-17年的录取最低分排名为11537（15年）、10571（16年）、13503（17年），今年的分数无法预测，只能提供往年情况供您参考。
广东考生,15***84 (广东),2018-06-27 10:01,您好我是广东考生我的分数是552分排位是全省29186依照去年的排位我是差一点点的请问我填北京林业大学投档成功的概率大吗,同学你好，每年的分数排位都会有一定波动，但具体会怎样波动，我们无法预测，所以没办法帮您预测概率
河南,13***55 (河南),2018-06-27 09:20,老师你好，我是河南文史考生，601分，4905名，被贵校录取几率多大,同学您好，我校近三年在河南文史类考生的录取最低分为2200名左右，建议您慎重报考
中外合作办学,13***60 (北京),2018-06-27 09:15,请问贵校中外合作办学在加拿大的学习是插班到普通的班级中，还是另外开设针对合作生的班级？,您好，建议您咨询一下相关老师。010-62336964
录取咨询,13***34 (湖南),2018-06-27 09:12,您好，湖南理科生，594分，排名13300，第一志愿计算机类，如服从调剂，有多大录取率？,同学您好，我校去年在湖南录取的最低分排名为12351，如果贵省为平行志愿，可以考虑冲一冲，具体有多大概率被录取，我们也无法帮您预测。
浙江考生620能报考贵校吗,15***50 (浙江),2018-06-26 16:34,你好，我是浙江的考生，高考分数620，位次22995，能报考贵校的专业吗？,同学你好，我校17年在浙江的录取最低分为21560，建议您慎重报考。http://zsb.bjfu.edu.cn/f/common/zsCj/forwardScore
山东文科考生,13***19 (山东),2018-06-26 16:27,您好，我想问一下山东文科考生，610分排名3421名，想报贵校的环境设计专业，录取的可能性大不？,同学你好，我校的环境设计专业只招收美术考生
福建考生咨询,13***59 (福建),2018-06-26 16:25,我省排名10259，想报考贵校，同意调剂情况下，有机会被录取吗？,同学您好，由于贵省往年没有公布一分一段表，我们这边也没办法根据位次给您进行咨询，17年我校录取最低分与一本线分差为68分，供您参考http://zsb.bjfu.edu.cn/f/cjcx
关于双学位,18***75 (福建),2018-06-26 16:17,贵校是否有双学位制度，可不可以修工学，农学双学位？,你好，我校没有双学位制度
关于贵校的工学院,18***75 (福建),2018-06-26 16:15,贵校的工学院如何，保研率为多少，在国内一般到哪里深造的人数较多。,你好，保研率16%左右，相关情况请关注http://zsb.bjfu.edu.cn/f/view-eaa434bc072c4e2183664f7f4bbba013-99fa07c0b95b4f0d8d9da8604b606710.htm
国家专项招生计划,13***28 (河南),2018-06-26 16:04,您好！我是河南考生：理科总分585，排名24015，想报贵校的国家专项。请问：1、是否有希望？2、国家专项招生计划在河南的专业中有生物科学类2人，这个专业是否属于中加合作办学项目？谢谢！,你好，有一定希望；国家专项中的生物科学类不是中外合作办学的项目
自然地理与资源环境对视力的要求,13***27 (新疆),2018-06-28 14:10,我是2018新疆文科男生，分数581，位次604，特别喜欢北林的自然地理与资源环境专业，不知道该专业对眼睛视力有没有要求？我因为眼球震颤，右眼矫正视力4.5，左右矫正视力4.7，度数500，不知道能否报这个专业?,你好，各专业体检要求见http://zsb.bjfu.edu.cn/f/view-1cc33ac5fd454d55badc05de665c0d16-6469b5604682450ba39e361471f9d475.htm。普通近视500度，没啥影响，但眼球震颤不知道是什么类型，可以具体咨询一下医生
福建一理科考生,15***45 (福建),2018-06-28 13:50,老师您好我高考分数560排名12441请问被贵校录取的概率有多大？能够填报什么专业？且贵校有承诺提档不退档吗？,你好，冲一下，刚刚有希望进学校，专业请结合往年录取分数及排名情况，选择填报。往年录取分数见http://zsb.bjfu.edu.cn/f/cjcx。填报参考指导系统见http://zsb.bjfu.edu.cn/f/common/zsCj/forwardScore。只要考生服从调剂，体检符合要求，提档后不退档
自主招生,18***36 (四川),2018-06-28 13:27,自主招生专业调配勾不勾选有什么区别？自主招生园林专业是不是只要分数够了就一定要录取？,你好，没什么区别；只要分数够了，体检符合要求，按省里规定的相应批次报，就可以录取
福建理科,18***33 (福建),2018-06-28 13:21,您好，福建2018考生分数565，排名11299，报考贵校有希望被录取吗？,你好，按往年情况，有点悬，只能考虑冲一下了
山东理科,13***06 (山东),2018-06-28 13:20,山东理科2018年612分，位次14398，报考贵校希望大吗？谢谢,你好，有一定希望，可以考虑冲一下
录取,18***85 (青海),2018-06-28 12:53,我是青海的考生今年在青海省高考排名是1625名成绩是518报北京林业能行吗？,你好，希望很大，欢迎报考
青海理科,13***89 (青海),2018-06-28 12:04,您好，青海理科，高考位次2520，高一本线89分，有希望录取吗？,你好，按往年情况，有希望，欢迎报考
录取咨询,13***39 (山东),2018-06-28 11:12,老师你好，我是山东文科考生603分省排名4621名想报考贵校，有希望录取吗。,你好，分不高，只能考虑冲一下
艺术文填报提前批专业怎么填？,13***78 (山东),2018-06-28 10:56,只是填专业1就可以了吧,你好，填报志愿的批次设置是各省招办设定的，每个省的都不完全一样，详情请咨询生源省所在招生办
江苏理科363AB全省排名20410,13***36 (江苏),2018-06-28 10:41,江苏理科，总分363，物理A，化学B，全省排名20410，请问录取的可能性大吗？非常感谢！,你好，有希望，可以冲一下
新疆考生,13***65 (新疆),2018-06-28 10:39,你好570分，分差100位次4300想报贵校计算机及相关专业，又怕被调剂到林业不想学的专业，可以报考么？,你好，进计算机专业有一定希望，但也不排除被调剂的可能性
能否投挡成功,18***31 (北京),2018-06-28 10:03,我是内蒙理科考生（574分位次7120），专业志愿模式，服从调剂，能否成功投档到贵校，谢谢！,你好，按往年情况，有希望
录取,18***11 (山东),2018-06-28 09:51,请问，山东理科599报贵校有希望吗,你好，只能考虑冲一下
国家专项计划,18***39 (河南),2018-06-28 09:49,您好，国家专项计划录取后可以申请转专业吗？有什么要求吗?是不是只能在提前批专业内转？,你好，国家专项入校后和普通学生一样，有专业的机会。学校实行转专业零门槛，既转出环节不受限制，转入需要各自专业的考核。学生可于第二学期初（大一下学期）在全校范围内申请转专业或于第四学期初（大二下学期）在学科专业门类范围内申请转专业。
安徽考生录取问题,18***58 (安徽),2018-06-28 09:36,招生办老师您好：1:我是安徽理科考生（605分位次11442），平行志愿模式，如果成功投档到贵校，并服从专业调剂，无身体条件限制，是否会有被退档的风险？2:请问贵学校是专业清招生模式，还是分数清招生模式？3:最后烦问一下老师入学后假如转专业的话对时间、成绩、规则有哪些要求？谢谢！,你好，1、不会退档，2、录取专业按3、1、0的专业极差。3、学校实行转专业零门槛，既转出环节不受限制，转入需要各自专业的考核。学生可于第二学期初（大一下学期）在全校范围内申请转专业或于第四学期初（大二下学期）在学科专业门类范围内申请转专业。
录取分数,18***68 (浙江),2018-06-25 16:54,浙江考生504分可以吗,你好，按去年情况，希望不是特别大
录取,15***88 (山西),2018-06-25 16:51,老师您好，山西理科生，今年考了580分，能被录取吗？谢谢。,你好，有一定希望，可以考虑冲一下
录取,15***88 (山西),2018-06-25 16:49,山西考生2018年考了580，贵校能录取吗,你好，有一定希望，可以考虑冲一下
录取,18***86 (天津),2018-06-25 16:27,天津考生理科623分能排名3750报考贵校能录取吗？,你好，有希望，可以考虑填报
录取,45***@qq.com (贵州),2018-06-25 15:48,贵州考生572分报北京林业大学可以不,你好，有希望，可以考虑报考
录取问题,15***40 (河北),2018-06-25 15:43,老师您好，我是河北2018届文科考生，629分，2922名，请问报考贵校有希望吗？,你好，希望不是特别大，只能考虑冲一下
自招问题,18***99 (河北),2018-06-25 15:29,你好，我自主招生通过了，填报志一栏时，服从专业调剂怎么选，是选服从还是不服从啊？,你好，建议填写服务专业调剂
