标题,来源,时间,问题,回答
录取咨询,18***22 (湖南),2018-06-28 10:02,老师好！我是湖南理科考生，成绩为645，排名为2735。请问填报贵校的计算机类专业，录取的可能性多大？,你好！希望较大，欢迎报考！
录取咨询,18***01 (广东),2018-06-28 09:44,广东考生分数584，省内排名13957，报名贵校有可能录取吗,你好！希望不大，谨慎填报。
河南理科624分，位次7555国家专项计划报考贵校有希望吗？,17***17 (河南),2018-06-28 09:32,河南理科624分，位次7555国家专项计划报考贵校有希望吗？,你好！有希望的，欢迎填报！
黑龙江考生录取咨询,13***23 (黑龙江),2018-06-28 09:27,黑龙江省考生631分，排名2200，报考贵校有希望吗？,你好！可以考虑冲一冲！
北理走国家专项,13***30 (河南),2018-06-28 09:19,老师您好，我是河南考生考了635全省4926请问走国家专项同意调剂能走北京理工大学吗,你好！有希望的，欢迎报考！
关于提档调剂,13***24 (江苏),2018-06-28 09:15,老师您好，我是江苏考生，请问贵校在江苏，我添满六个志愿并服从调剂，贵校是实行0退档0调剂政策吗？理科382，排名4418-4850报考贵校希望大吗？,你好！有希望的，欢迎报考！“0退档，0调剂”！
内蒙考生录取咨询,13***17 (内蒙古),2018-06-28 09:09,老师你好，内蒙古的提档比例是多少，提档后服从专业调剂就不会被退档吗？实考分620分，加上政策加分630报考贵校有希望吗,你好！希望不大，谨慎填报
北京文科,13***16 (北京),2018-06-27 16:52,北京文科考生排名多少可以报贵校？今年扩招4人，对排名有多大的影响？1350名左右有希望吗？,你好！估计希望不大，谨慎填报。
专业咨询,13***43 (湖南),2018-06-27 16:43,你好，本人湖南文科考生，658分，请问贵校是否有较好专业推荐就读，文科生适宜填报贵校吗,你好！我校文科依托理工平台，近年来发展很好！今年以一个大类进行招生，欢迎报考！
山西,14***6@qq.com (山西),2018-06-27 16:05,山西理科考生629报考有希望吗排名1727,你好！有希望的，欢迎报考！
青海考生,15***89 (青海),2018-06-27 15:54,青海考生　理科551　排名785，有希望么,你好！有希望的，欢迎报考！
报考咨询,15***11 (青海),2018-06-27 15:39,青海文科530分，另有政策性加分20分，可以报考贵校吗？谢谢,你好！如确认加分是全国政策加分，可以考虑报考！
安徽，理科考生638分,17***79 (安徽),2018-06-27 15:27,安徽考生理科638分，全省排名3799，填报贵校有可能被提档吗？,你好！希望不大，谨慎填报。
录取咨询,15***53 (山东),2018-06-27 15:16,您好，山东考生理工640，省排名4984，有没有希望录取,你好！希望不大，谨慎填报。
高校专项河南,13***86 (河南),2018-06-27 15:09,老师您好，我是河南考生，通过了高校专项40分优惠，今年高考成绩605，能否被贵校录取，今年通过高校专项录取的考生录取后能否转专业，调剂时在高校专项所给出的专业里面调剂还是在所有专业里面,你好！有希望的，欢迎报考，专业调剂在投放计划的专业里。
山东考生关于自招志愿调剂的问题,ba***xi (山东),2016-06-26 10:49,我是通过自主招生的山东学生，在申报自主招生时填报了6个专业志愿，之后测试通过后学校给我增加为10个确认志愿。贵校的自招批要求从这10个志愿中选择6个填报，请问贵校在录取时不能满足第一志愿的话，是在考生选择的6个志愿中调剂呢？还是在贵校提供的10个专业中调剂？谢谢！,自主招生考生，如果调剂在10个认定专业中调剂。
中外合作的国家,ab*** (北京),2016-06-26 09:47,请问贵校和哪个国家合作的？毕业证书和本校发放的有无区别？,英国瑞丁大学。毕业证及学位证与我校普通会计学没有区别。
高校专项计划在哪个批次填报志愿？,15***06 (河南),2016-06-25 16:58,高校专项计划已通过审核，应该在哪个批次填报志愿？提前批？还是本科一批？,以省招办要求为准。
关于理工类提档是否退档,he*** (辽宁),2016-06-25 16:21,您好，我是辽宁理工类考生，请问贵校对于提档的考生会退档吗,体检合格，服从调剂，提档不退档。
关于进档后退档问题,hu*** (北京),2016-06-14 15:53,你好，北京文科考生报考贵校文科专业，进档后，服从专业调剂，会面临退档问题吗？,我校针对所有被提档的普通一批北京文科考生实行满足专业志愿的政策，体检符合国家要求，提档后不退档，满足第1专业志愿。
录取咨询,15***88 (新疆),2018-06-28 16:15,老师您好!我是新疆考生，今年632分，想报贵校工科试验班，可以吗？望明示，谢谢,你好！有希望的，欢迎报考！
询问专业,13***23 (内蒙古),2018-06-28 16:04,老师请问车辆工程，装甲车辆工程，机械类这几个类别分别侧重什么？学什么内容？,你好！你可咨询我校内蒙招生组，学校招生网公布有招生宣传行程！
江西理科635分，2620名有希望上贵校的理科实验班吗？,18***26 (江西),2018-06-28 16:02,江西理科635分，2620名有希望上贵校的理科实验班吗？有多大可能？,你好！有希望的，欢迎报考！
河南理科,13***48 (河南),2018-06-28 16:00,河南理科647报考贵校有可能被录取吗？,你好！有希望的，欢迎报考！
广西考生咨询,13***18 (广西),2018-06-28 15:55,老师您好！我是广西的考生，633分，排名2185名，请问是否有希望被录取。,你好！有希望的，欢迎报考！
咨询,18***66 (青海),2018-06-28 15:54,老师您好！青海理科考生，成绩567分，排名527位，能否报贵校？,你好！有希望的，欢迎报考！
内蒙古考生659分可以报考吗?,13***23 (内蒙古),2018-06-28 15:30,老师您好。我是内蒙古考生成绩659分排名454，请问可以报考吗？有没有可能进入徐特立英才班?,你好！欢迎报考！有较大希望的！
报考,13***51 (广西),2018-06-28 15:28,老师，广西理科620，报贵校录取机率多大？,你好！可以冲一冲！
关于录取,13***69 (辽宁),2018-06-28 15:14,辽宁考生。理科649.服从调剂，能进贵校吗？,你好！可以考虑冲一冲！
招生咨询,18***55 (湖南),2018-06-28 15:06,请问湖南文科644分省排名831有望上贵校嘛?,你好！有希望的，欢迎报考！
高校专项，专业调剂问题,13***86 (河南),2018-06-28 14:59,贵校对高校专项考生实行填满6个不重复的专业志愿且体检符合报考要求，即不退档不调剂.是这样吗?,必须服从调剂。但一般情况下不会调剂的
关于录取,15***68 (安徽),2018-06-28 14:56,老师您好，我是安徽理科考生，分数643，排名3155，能录取吗？,你好！有希望的，欢迎报考！
转专业问题,13***86 (河南),2018-06-28 14:26,老师您好!请问高校专项录取的考生好转专业吗?贵校转专业的规则什么?,你好！入校之后与普通一批学生相同待遇的，专业转出不受限
文科考生,13***89 (新疆),2018-06-28 14:25,新疆文科602排名242推荐贵校985可以吗，文科生报考贵校可以吗,你好！有希望的，欢迎报考！
湖南理科考生，分数621，排名6568,13***28 (湖南),2018-06-28 14:19,老师您好，我是一名湖南理科考生，分数621，排名6568，请问有被贵校录取的希望吗？,你好！可考虑报我校国家专项，欢迎报考！
福建省招生,15***07 (福建),2018-06-25 10:52,2200左右今年有希望进入贵校吗？是否还有选择的地步？,你好，有希望的，欢迎报考！专业请按兴趣排序！
