标题,来源,时间,问题,回答
录取问题,13***59 (山东),2018-06-28 09:41,您好，请问山东文科考生615分，2572名，有希望被贵校录取吗？,根据往年情况，你的分数报考我校有希望。
您好，文科580分能进该学校不,18***18 (内蒙古),2018-06-28 09:37,2018级内蒙古文科考生，580分，省排名873名，能被学校录取吗,根据往年情况，你的分数报考我校有希望。
录取线,13***82 (河北),2018-06-28 09:15,河北省一分一档线排在7371位，被学校录取的机会大吗，录取了专业会被调剂吗,根据往年情况，你的分数报考我校有希望，专业报好了，后面有保底的就不会调剂
广西理科考生,13***65 (广西),2018-06-28 09:15,老师，您好。我是广西一名理科生，分数610，排名5000左右，请问是否有希望填报贵校。,根据往年情况，你的分数报考我校希望比较大。
内蒙考生,13***17 (内蒙古),2018-06-28 09:07,老师你好，内蒙古的提档比例是多少，提档后服从专业调剂就不会被退档吗？,提档比例控制在105%以内。按我校要求的投档比例投档，一般服从专业调剂不会被退档。
录取可能性,15***83 (安徽),2018-06-28 09:03,安徽考生，理科高考成绩628，省5718名，请问有希望被贵校录取吗？,根据往年情况，你的分数报考我校希望比较大
海南理科,13***75 (海南),2018-06-27 16:58,老师您好：海南理科689分，省排名24188，高出省分数线150分，想报考贵校有希望吗？,根据往年情况，你的分数报考我校希望不是太大
您好，福建理科589分 排名6755 有希望被录取吗？,18***55 (福建),2018-06-27 16:50,您好，福建理科589分排名6755有希望被录取吗？,根据往年情况，你的分数报考我校有希望。
志愿填报,13***78 (北京),2018-06-27 16:23,北京理科考生排名在多少或是分数在什么范围可以报考贵校？谢谢。,根据往年情况，北京理工排名3800左右报考我校有希望。
江苏考生，理科,13***91 (江苏),2018-06-27 15:42,江苏考生，男生，理科，374分，物化选修双A加，全省排名9600多名，报考你们学校把我大吗？,根据往年情况，你的分数报考我校比较有希望。
录取问题,15***19 (江苏),2018-06-27 15:40,江苏理科（物化）378，A+A，排名6969，填报纳米专业录取几率大吗？,根据往年情况，你的分数报考我校希望比较大。
山东理科报考咨询,18***09 (山东),2018-06-27 15:36,山东理科，623分，9796名，报考贵校是否能被录取？,根据往年情况，你的分数接近我校，可以放在一志愿冲冲。
