标题,来源,时间,问题,回答
专业级差,18***85 (贵州),2018-06-28 11:13,老师好，请问学校录取设有专业级差吗？贵州理工考生700位被录取的机率怎样？谢谢！,无专业级差，录取概率比较大
山东考生多少名次可以,13***10 (山东),2018-06-28 10:50,我山东省940名有希望去北航吗,有希望，鼓励一志愿报考
高校专项计划,18***06 (河南),2018-06-28 09:55,1看了上面的回答，是不是只要高考分加上优惠分过了投档线一般就能录取？这样理解对吗？2高校专项报了贵校航空航天类，我高考成绩641，如果加上北航专项优惠分40成绩是681省排名207，有希望录取吗3如果有希望录取，是录取到航空航天大类还是有可能被调剂？谢谢,只要加分后过投档线就可以被录取，希望很大，录取专业就是当时报考的专业
录取咨询,18***01 (广东),2018-06-28 09:49,广东考生分数584，省内排名13957，报名贵校有可能录取吗,希望比较小
贵校内蒙专业分数线要求,18***31 (北京),2018-06-28 09:47,好，老师。贵校内蒙专业分数线要求,可以参照去年的分数和名次http://zsjyc.buaa.edu.cn/ZSWeb/News/Recruit
西藏理科汉族考生,18***10 (西藏),2018-06-28 09:26,西藏理科汉族考生裸分602，政策加分25，总分627，自治区排名119，请问被贵校录取概率大不大,概率还是很大的，鼓励报考
投档,13***25 (河南),2018-06-27 16:55,退档率大概多少？,专业服从调剂的话微乎其微
一批咨询,15***11 (河南),2018-06-27 16:53,河南文科636分，省排850名左右，报社科实验班，被录取可能性如何？,可能性比较大
想咨询贵校在内蒙古地区公布的招生章程,15***45 (内蒙古),2018-06-27 15:30,喜欢航空航天院校，内蒙古的考生裸分661，想报考贵校有希望吗？对内蒙古地区的招生章程找不到。,有希望，还是得看报考当时的情况，内蒙古的录取确实比较独特
少数民族预科班,13***40 (内蒙古),2018-06-27 15:07,您好，我是内蒙古少数名字学生，399分能去贵校的预科班吗？,今年我们转为民族班招生，至少要达到投档线下40分才有机会被录取
咨询,18***88 (贵州),2018-06-27 14:44,老师你好请问填报国家专项时选择服从调剂以后还能转专业吗？,可以
民考汉,13***13 (新疆),2018-06-27 13:04,2018年高考生，民考汉理工，男生，总分573，位次366，想报贵校工科类实验班，理科类实验班（信息类），可以报吗？,可以报考，要看同期的报名情况，按分数从高到低录取
民族班的历年来的分数线,18***58 (湖南),2018-06-27 13:01,我是湖南的考生，我想填北航的民族班，我今年的考分是636，省排名3801名，录取的几率大不大。能提供一下历年来湖南民族班的分数线吗,今年是第一年转民族班招生，无参考分数
填报咨询,18***80 (青海),2018-06-27 12:05,您好老师，青海理科594分，排名225，可以报贵吗,建议与招生组联系一下http://zsjyc.buaa.edu.cn/ZSWeb/News/GoImportant/a0a6d7cf6c754b8ba84f250e7c5ebe57
关于转专业,15***26 (湖北),2018-06-27 11:44,请问一年半后转专业时，有何要求？能否在不同科类实验班内转？比如从理科试验班专业转到工科实验班专业？,一年半后就是在学院之间转专业，各学院要求不一样。
