标题,来源,时间,问题,回答
河南文科考生报考,gu***603 (河南),2017-06-25 15:49,老师您好，我是河南文科女考生，575分，高出一本线59分，全省排名3700，能否报考贵校？,根据往年录取情况，河南文科考生这个分数报考北京邮电大学有希望冲一下。
我是山东考生539分全省63555名，考咱的软件设计希望大吗,zg*** (山东),2017-06-25 15:41,高出山东重本线24分,根据往年录取情况，山东理科考生这个分数报考我校希望不大。
录取咨询,18***11 (江西),2017-06-25 13:12,江西理科高出一本线57分排名10780名，想报考中外合作办学专业有希望吗，谢谢!,根据往年录取情况，江西理科考生这个分数报考我校希望较大。
能否有把握录取,13***56 (北京),2017-06-25 13:06,北京理科616，中外合作能录取吗？最后一年是在国内还是在英国读？,根据往年录取情况，北京理科考生这个分数报考我校中外合作办学专业希望很大。最后一年如果符合要求可以根据自己意愿赴英国伦敦玛丽女王大学完成。
河北考生599分能否被录取？,as*** (河北),2017-06-25 10:11,调档后服从调剂是否在电信工程及管理、电子商务及法律、物联网工程专业调剂？不会调剂到其他专业？,根据往年录取情况，河北理科考生这个分数报考我校中外合作办学专业有希望。调剂也将在三个中外合作办学专业之间进行。
北京理科,xu*** (北京),2017-06-24 15:50,2017高考理科排名5600左右，有希望上贵校吗？,根据往年录取情况，北京理科考生这个分数报考我校希望较大。
北京理科,xu*** (北京),2017-06-24 15:50,2017高考理科排名5600左右，有希望上贵校吗？,根据往年录取情况，北京理科考生这个分数报考我校希望较大。
北京理科,xu*** (北京),2017-06-24 15:50,2017高考理科排名5600左右，有希望上贵校吗？,根据往年录取情况，北京理科考生这个分数报考我校希望较大。
录取概率,bi*** (四川),2017-06-24 15:45,四川理科考生594，全省排名13361。合作办学是否有录取可能,根据往年录取情况，四川理科考生这个分数报考我校中外合作办学专业希望很大。
报考,ab*** (福建),2017-06-24 14:00,福建524分能报吗？谢谢,根据往年录取情况，福建理科考生这个分数报考我校中外合作办学专业有希望。
提前批四川招生计划,hy*** (四川),2017-06-24 12:17,请问今年在四川有提前批招生计划吗？具体专业有哪些？？,我校在四川提前批没有招生计划，只在本科一批有招生计划。
四川理科,li***an (四川),2017-06-24 11:08,老师好，四川理科591，报考贵校有希望吗？,根据往年录取情况，四川理科考生这个分数报考我校中外合作办学专业希望很大。
能否报考贵校,ji***u (天津),2017-06-24 10:18,我是天津考生，理科男570分，报考贵校有希望吗？谢谢,根据往年录取情况，天津理科考生这个分数报考我校中外合作办学专业希望不大。
毕业证书,zl*** (福建),2017-06-24 09:26,请问毕业证书上会标注出宏福校区吗？往年不会，今年政策有变吗,今年也不会。毕业证上不会出现宏福校区、中外合作办学等字样。
广西考生,ll*** (广西),2017-06-23 15:55,你好，我高考563，高出一本90分，全区排名4433，请问可以去贵校学习吗？可以选的专业有什么？,根据往年录取情况，广西理科考生这个分数报考我校希望很大。
录取,53*** (黑龙江),2017-06-27 14:13,黑龙江考生568，高出一本线113分，想报考贵校电子信息专业，希望大吗，谢谢,根据往年录取情况，黑龙江理科考生这个分数报考我校中外合作办学专业有希望。
录取,gh***4330 (山西),2017-06-27 13:31,山西理科537，服从调剂，报考贵校有希望吗？,根据往年录取情况，山西理科考生这个分数报考我校中外合作办学专业有希望。
辽宁考试592 排名7416,gu***888 (辽宁),2017-06-27 11:58,这个分可以报吗？,根据往年录取情况，辽宁理科考生这个分数报考我校中外合作办学专业希望很大。
录取咨询,fe***ong (宁夏),2017-06-27 11:26,宁夏考生，452高出一本线13分，报考宏福校区可有希望。,根据往年录取情况，宁夏理科考生这个分数报考我校希望较小。
国家专项河南理科,13***55 (河南),2017-06-27 10:07,请问563分有希望吗,北京邮电大学（宏福校区）只有三个中外合作办学专业
录取可能性,hy*** (云南),2017-06-27 09:41,老师你好，我是云南考生，今年超过一本线51分，全省排名11389，想报考宏福校区，服从专业调剂，把我有多大？谢谢,根据往年录取情况，云南理科考生这个分数报考我校中外合作办学专业希望较大
山西志愿,ji***iang (山西),2017-06-27 09:11,山西理科530分，超一本49分，排名11096，可否报贵校合作办学的电子信息类专业，把握性大吗？,根据往年录取情况，山西理科考生这个分数报考我校中外合作办学专业有希望
转专业问题,18***08 (广西),2017-06-26 16:45,我是广西考生，招生计划只有电子、计算机、电子商务三个专业，请问入学后这三个专业之间能申请转专业吗？,我校中外合作办学专业不得转专业。
