标题,来源,时间,问题,回答
江苏理科考生,yd*** (江苏),2014-06-27 09:05,假如我填报了六个专业不能被录取，服从调剂时，是否有可能被调剂到非西藏生源的专业啊？,不会，非西藏生源计划不作为调剂专业
咨询,ar*** (贵州),2007-05-14 15:52,老师您好:请问贵校今年在贵州省招生计划是多少?理科考生模考570分，报考贵校有希望吗?,请到我校本科招生网站查看07年贵州招生计划以及往年录取分数情况。网址：WWW.ZSB.ECNU.EDU.CN
请问学校招办是否有邮箱,to*** (河北),2007-05-14 13:28,如题，请告知，谢谢,ZSB@ECNU.EDU.CN
山东文科606位次3985，已通过贵校农村专项计划,15***39 (山东),2018-06-28 16:49,请问被贵校录取可能大不大？谢谢老师！,由于我校高校专项是做分省分专业计划的，主要看报考考生的排序，很难预估的
江苏文科,13***32 (江苏),2018-06-28 16:46,老师您好！江苏文科考生384分，选修A+，A，省排名640名，报考贵校人文地理与城乡规划，汉语言文学或历史学，请问希望大吗？如进档后被调剂，入校后转专业或修双学位难度大吗？谢谢！,有希望
咨询,15***91 (福建),2018-06-28 16:37,请问下贵校专科了还招生吗？,我校没有专科
北京理科咨询,13***61 (北京),2018-06-28 16:36,北京理工考生645市排名2800左右，请问报考贵校被录取的希望大吗？录取后转专业的难度大吗？,有希望
录取,15***06 (河南),2018-06-28 16:22,河南理科635，位次4926，可以报考贵校吗，贵校毕业后是否都要当老师,可以，我校在河南只有非师范专业，毕业是不用做老师的
报考咨询,41***@qq.com (内蒙古),2018-06-28 16:22,内蒙古文史类考生582分位次837超出一本线80分可以报考贵校吗可以学哪些专业,冲一下吧
江西理科635分，2620名有希望上贵校的统计学类吗？,18***26 (江西),2018-06-28 16:06,江西理科635分，2620名有希望上贵校的统计学类吗？有多大可能？,进校有希望，专业不好预测
河南理科595分，排名18611，报考贵校有希望吗？,13***8@qq.com (河南),2018-06-28 15:30,河南理科595分，排名18611，报考贵校有希望吗？,希望不大
高考,15***92 (江苏),2018-06-28 15:08,老师您好，江苏文科生，高考分数368，全省位次2966，有多大希望被华东师范大学录取？,希望不大
录取咨询,15***18 (云南),2018-06-28 14:11,您好老师：我是云南的理科考生，排位在2200名，很想报考贵校，不知录取的希望有多大？谢谢老师！,可以冲一下
我是广东文科考生 2018年高考分数594 省排位3645,13***94 (广东),2018-06-28 14:11,我是广东文科考生2018年高考分数594省排位3645请问能否被贵校录取？,希望不大
公费师范,13***94 (西藏),2018-06-28 13:54,18年汉族理工考生，公费师范毕业了不能读研吗？必须要回西藏任教吗？,公费师范生毕业后不能直接就读全日制研究生，从教1年后可以免试就读在职教育硕士
提前批,15***83 (上海),2018-06-28 13:48,上海543，排名6020，提前批教育学类有希望吗,报报试试吧
咨询,18***40 (天津),2018-06-28 13:15,天津理科生641，排名2285，报考有希望吗，谢谢。,可以冲一下
录取咨询,15***82 (江苏),2018-06-28 13:09,江苏考生理工366分，物理A化学B，位次16941，有希望被贵校录取吗，谢谢,希望不大
咨询,18***08 (湖南),2018-06-26 11:50,请问湖南艺术编导考生文化成绩565，专业成绩219，报考贵校能否？谢谢！,按往年情况看，有点悬
录取咨询,15***40 (河北),2018-06-26 11:45,老师您好，我是河北2018届文科考生，629分，省排2922名，请问报考贵校有希望吗？,希望不大
请问在山东的最低投档线什么时间确定？,18***88 (山东),2018-06-26 11:40,是在所有志愿填报完后吗？,在录取时才能知道
