标题,来源,时间,问题,回答
这样分数可以录一批吗？,lo*** (云南),2017-06-27 15:25,您好，我是云南一考生，分数592，全省3791名，请问我能被录取吗？,根据往年我校在云南招收考生的情况，你的分数比较靠前，有较大希望被录取
山东理科,we***u (山东),2017-06-27 15:19,老师您好，山东理科571分，位次35198，报考贵校计算机专业有希望吗,排名位次靠后，被录取的希望不大
陕西考生，理科,zh***3456 (陕西),2017-06-27 14:21,陕西考生，理科，572分，高一本线123分，位次8980，服从本校调剂，报考该校可以被录取吗,根据往年我校在陕西录取考生的情况，有希望被录取
咨询,12***1 (浙江),2017-06-27 13:55,浙江考生，位次号在8415，报考贵校有希望吗？谢谢,去年我校在浙江招收的理科考生最低排名在6690，你的位次较为靠后，有希望，可以尝试冲刺
辽宁理科599分。排名6100.报考贵校。有希望录取么？,li***i (辽宁),2017-06-27 13:29,辽宁理科599分。排名6100.报考贵校。有希望录取么？,根据往年我校在辽宁录取考生的情况，排名处于边缘位置，有希望
陕西理科考生,sx*** (陕西),2017-06-27 13:10,老师您好！我是陕西理科考生，今年高出一本线113，位次在10770左右，符合国家专项A政策，请问有希望进入贵校学习吗？谢谢,从高分到低分录取，无法预估。
咨询,zz*** (陕西),2017-06-27 12:51,老师您好1我是2017年高考陕西理工科考生，高考成绩585，全省排名7151，有机会上你们学校吗？,根据往年我校在陕西招收考生的情况，排名较靠前，比较有希望
老师您好，请问内蒙考生民族预科班结业后能选择那些专业？谢谢！,zf*** (内蒙古),2017-06-27 12:13,老师您好，请问内蒙考生民族预科班结业后能选择那些专业？谢谢！,我校预科录取到具体专业，不涉及后面选择。
湖南考生咨询调剂范围问题,xi***lan (湖南),2017-06-27 12:09,1、只要被贵校提档，如果服从调剂的话，贵校都不会退档？2、贵校专业调剂实在省内招生计划中调剂，还是在全校招生计划中调剂？3、请问贵校在湖南省招生负责人的电话。4、贵校在上海是否有多个校区？如果有，各个专业分布在哪些校区,1，满足分数达到投档线，服从调剂，体检不受限制三个条件，则不会被退档2，省内3，华东理工大学本科招生网上可查4，我校本科教学在奉贤校区和徐汇校区完成。新生入校后首先进入奉贤校区就读，后续阶段根据学校发展规划及专业特点，适时调整就读校区。一般大一到大三在奉贤，大四在徐汇
有关民族预科,zh*** (贵州),2017-06-27 11:13,老师您好:我是贵州的考生，今年有意向报考同济大学民族预科，我想问一下同济大学的录取标准是什么要高一本线多少分？,你好，我们是华东理工大学
我是山西理科考生,36*** (山西),2017-06-27 10:59,我是山西理科考生，今年562分，位次4533---4680之间，能否被贵校录取？能上一个什么样的专业？谢谢！！！,根据往年我校在山西招收考生的情况，排名较靠前，比较有希望。我校的分数线并没有细分到每一个专业，无法提供专业相关的建议。
国家专项河南理科,13***55 (河南),2017-06-27 10:55,请问563分有希望吗,过一本线按照从高分到低分录取。
我是山西理科考生,36*** (山西),2017-06-27 10:52,我是山西理科考生，今年562分，位次4533---4680之间，能否被贵校录取？能上一个什么样的专业？计算机专业能录取吗？谢谢！！！,根据往年我校在山西录取考生的情况，排名较靠前，比较有希望；我校的分数线没有细分到每一个专业，无法提供专业相关的建议。
录取,ta*** (新疆),2017-06-27 10:46,新疆考生高出一本98分位次4078，上贵校有希望吗,根据往年我校在新疆录取考生的情况，排名较靠后，有希望，但不大
安徽文科考生579，可以报你们学校吗，专业服从就不会退档吗,bw*** (安徽),2017-06-27 10:44,安徽文科考生579，可以报你们学校吗，专业服从就不会退档吗,根据往年我校在安徽录取考生的情况，比较有希望。满足分数达到我校投档线、专业服从调剂、体检不受限制三个条件，则不会退档
河北文科考生 文科596 排名2362 高一本线79分,gl*** (河北),2017-06-26 10:36,河北文科考生文科596排名2362高一本线79分有可能报上吗？且服从调剂另外，1.贵校的法学国际经济与贸易新闻学的教授有哪些大神？2.在本校继续学习研究生的可能有多大？,根据往年我校在河北招收考生的录取情况，有希望，但处于边缘位置。1，可以登录我校官网查询2，我校学位授权点覆盖理、工、经、管、文等11个学科门类、36个一级学科。现拥有80个博士学位授权点、153个硕士学位授权点、12个博士后科研流动站。
河北考生文科文科596 排名2362 高一本线79分,gl*** (河北),2017-06-26 10:32,文科596排名2362高一本线79分有可能报上吗？且服从调剂另外，1.贵校的法学国际经济与贸易新闻学的教授有哪些大神？2.在本校继续学习研究生的可能有多大？,我校学位授权点覆盖理、工、经、管、文等11个学科门类、36个一级学科。现拥有80个博士学位授权点、153个硕士学位授权点、12个博士后科研流动站。
关于调剂问题,qi***n (上海),2017-06-26 10:25,老师你好，我有点色弱，填报你们专业组里有色弱限制，我填报的四个专业无色弱限制，如果被调剂有无被退档的风险，我选择全部服从调剂。谢谢,在学校投档范围内的考生，只要专业服从调剂且体检不受限制，学校将予以录取，不会退档。色弱则不满足“体检不受限制”的条件，首先考虑录取志愿专业，其次考虑对色弱无限制的专业，若这些专业均已招满，则有可能被退档。
录取概率大吗,99*** (天津),2017-06-26 10:01,我是天津一名考生一本上81分，今年报考贵校概率大吗,有希望，但处于边缘位置
贵州,wz*** (贵州),2017-06-26 09:47,贵州考生573分，位次3417，能报贵校好专业吗,排名较靠前，有较大希望被录取。我校的分数线没有细分到每一个专业，无法提供专业相关的信息，但可以尝试。
关于录取,sh***458 (辽宁),2017-06-26 09:30,辽宁考生高考成绩602，请问想报考贵校，能否录取?,分数较高，有希望
陕西考生理科 586分，位次 6995 报考贵校化学类专业,he*** (陕西),2017-06-26 09:24,陕西考生理科586分，位次6995报考贵校化学类专业，能否被录取,排名较靠前，有较大希望被我校录取。但我校分数线没有细分到每一个专业，无法提供专业相关的信息，但可以尝试填报。
高校专项计划,sh***852 (河南),2017-06-26 09:17,高校专项说过线就录，是一定没有意外吗？,体检没有限制达到优惠条件即可录取。
老师好，上海考生，不分文理543，排名5303,co*** (上海),2017-06-26 09:16,老师好，上海考生，不分文理543，排名5303,有希望，但处于边缘位置。
录取问题,li***g8521 (河南),2017-06-26 09:00,老师，我是河南考生，574分，全省排名16049，有望上贵校吗,希望较小。
报考咨询,ol***er (山东),2017-06-25 16:40,老师您好，我是山东理科考试，全省排名13000左右，不知是否有机会进入贵校？谢谢！,排名靠后，有希望，但渺茫。
录取问题,ls*** (安徽),2017-06-25 16:16,请问安徽理科考生，今年3800名，被贵校录取几率大吗,排名十分靠前，有较大希望
风景园林专业,sz*** (甘肃),2017-06-25 16:07,您好，专业进校后有无加试绘画要求？,没有。
你好，今年山东理工计划怎么减少了48人啊，是不是真的？,13***33 (山东),2017-06-25 15:46,去年153人，今年105人，怎么减少这么多，是不是真的？,计划数应该没有减少，可以登录我校本科招生网查询。
湖北考生报考,yt*** (湖北),2017-06-25 14:04,湖北考生17年高考594分，位次7680，报考贵校第一志愿是否有把握,排名较靠前，比较有希望。
咨询,sl*** (贵州),2017-06-25 13:01,老师您好！我的考分560，线差104，位次4973，能否填报考华东理工大学，谢谢,有希望，但处于边缘位置。
辽宁文科586,13***50 (辽宁),2017-06-25 12:45,老师，请问辽宁文科586，省位1260，能录取吗？如果能，能录到什么专业呢？谢谢老师。,排名靠前，比较有希望。我校的分数没有细分到每一个专业，无法提供专业相关的信息。
咨询,hh***7 (天津),2017-06-25 12:43,天津理科生，586分有希望考入贵校吗,分数较低，希望渺茫。但可以尝试冲刺。
专项咨询,ya***yue (河南),2017-06-25 11:50,老师您好，我是一名河南考生，高出一本线89，省排名在一万六，走国家专项的话，能走掉么,从高分到低分录取，无法预估。
山东理科考生,hf*** (山东),2017-06-25 11:47,山东理科，高考成绩600分，省位次16841，能否报考贵校？谢谢！,排名靠后，希望渺茫。
河南理工考生,wa***i (河南),2017-06-25 11:43,老师好，今年理科高考成绩578分，超一本94分，报考贵校有希望吗？,有希望，但处于边缘位置，可以尝试冲刺。
山东理科考生,lw*** (山东),2017-06-25 11:42,老师好，我是山东理科考生，619分，超一本线104分，排名9021，请问报考贵校把握有多大？报考材料类把握有多大？,有希望。我校（或各专业（类））的最低分都是录取结束后统计的结果，并非事先规定的。我校在录取时，考生各专业志愿之间不设专业级差分，考生可根据自己的特长、兴趣爱好以及考分来选择专业。
河北考生599分，排名11030可以被录取吗?,as*** (河北),2017-06-25 11:17,超一本线114分，调档后不会被退档吗？,有希望，但处于边缘位置。在学校投档范围内的考生，只要专业服从调剂且体检不受限制，学校将予以录取，不会退档。
报考,zy*** (贵州),2017-06-25 11:12,你好，贵州理科生，分数579，高出分数线123，可以报考贵校的哪些专业？,分数较高，有希望被录取，但处于边缘位置。我校的分数线没有细分到每一个专业，无法提供专业相关的信息。
报考,zy*** (贵州),2017-06-25 10:56,你好，贵州理科生，分数579，高出分数线123，可以报考贵校的哪些专业？,已答。
填报志愿,zy*** (贵州),2017-06-25 10:42,我今年考579，能否报考,有希望，但处于边缘位置，若为平行志愿，可尝试冲刺。
录取,li***g8521 (河南),2017-06-25 10:34,老师，我是河南考生，574分，全省排名16049，有望上贵校吗,排名靠后，希望渺茫，可尝试冲刺。
录取咨询,wf*** (甘肃),2017-06-25 10:25,老师你好：甘肃应届考生，550，全省排名5101名，报考贵校录取的可能性有多大？,有希望，但处于边缘位置，若为平行志愿，可尝试冲刺。
新疆录取,76*** (新疆),2017-06-25 10:24,新疆考生562分，位次2390。报考贵校有机会录取吗？,排名靠前，比较有希望。
咨询,13***02 (陕西),2017-06-25 10:20,老师好，我是陕西考生理科589分，位次6559.能报考贵校吗，请问被调剂专业了可以选修吗，谢谢老师！,排名靠前，希望较大，可以选择转专业或者辅修第二专业。
河北考生,13***31 (河北),2017-06-25 10:14,我是河北理科考生，622分，位次5557，报考贵校希望如何？,排名十分靠前，希望很大。
贵州报考咨询,so*** (贵州),2017-06-25 10:07,您好请问贵校在贵州近三年的每年的录取平均分是多少？国家专项计划的录取平均分是多少？,无数据。
