标题,来源,时间,问题,回答
关于湖北考生对于本科预科班的相关政策的咨询,13***04 (湖北),2018-06-27 11:03,老师您好，我是一名湖北考生，我想问问贵校对于少数民族考生是否承认相关加分政策，还有关于本科预科班一般而言贵校能降多少分。谢谢。,您好，相关省招办认可的加分政策我校予以认可。去年我校在湖北省预科录取成绩低于校线22分，供参考。
山东理科学生,13***01 (山东),2018-06-27 11:02,您好：请问586分报考贵校希望大吗？谢谢,您好，根据往年录取数据，这个成绩录取机会不太大。
服从调剂是否进档不退,13***35 (河北),2018-06-27 10:23,服从调剂是否进档不退,我校一本普通类进档考生，服从调剂，身体合格不退档
湖南理科,13***63 (湖南),2018-06-27 09:51,老师您好，湖南理科587分位次16184报考经济学类有多大风险，贵校转专业困难吗,您好，您的位次录取到我校机会较大，录取到经济学类有机会也有难度。我校大一下学期可以申请转专业，具体要求可参阅我校教务处网站。
关于转专业,13***76 (北京),2018-06-27 09:31,如果考生被录取，但不是理想的专业，入学后可否转专业，如果可以，都有哪些条件和程序？,您好，我校大一下学期有转专业申请机会，转出没有限制，转入专业限制条件各不相同，具体请参阅我校普通本科招生网。
选专业,13***36 (山东),2018-06-27 09:30,老师，您好。我是一名山东考生家长，孩子的理想是本科后继续深造，也有可能出国学习，将来从事昆虫分类方面的研究。这种情况下，本科专业是优选生物科学好呢还是植物保护好？谢谢。,您好，如您对昆虫感兴趣，请选择植物保护专业。我校生物科学偏向于转基因研究方面。
咨询,27***0@qq.com (安徽),2018-06-27 09:20,我是安徽理科考生，今年19500名，有被录取希望吗，服从调剂会退档吗，是大类招生吗，以后可以转专业吗,您好，我校去年在安徽省理科最低分位置值20219，这个位置录取机会较大，可以报考。我校服从调剂，身体合格不退档，部分按大类招生，大一下学期可以申请转专业
河南,13***55 (河南),2018-06-27 09:16,老师你好，我是河南文史考生，601分，4905名，被贵校录取几率多大,您好，我校去年在河南文史类最低分位置值是4021，供参考
国家专项招生计划,13***28 (河南),2018-06-26 16:36,您好！我是河南考生：理科总分585，排名24015，想报贵校的国家专项。请问是否有希望？谢谢！,您好，我校去年在河南理科最低分排名26681，你的排名报考普通类及国家专项均有录取机会，欢迎报考。
录取,15***30 (河南),2018-06-26 16:01,老师您好、我是河南的考生，今年高考成绩583全省排名25200，报考贵校的计算机系希望大吗？如果被调剂，进入贵校后有没有转专业的机会？谢谢老师！,您好，我校去年在河南省理科最低分位置值26681，你的排名有录取机会，欢迎报考。我校大一下学期有转专业安排。
江苏考生,13***83 (江苏),2018-06-26 15:54,江苏考生356排名3W有希望吗？选测科目等级AA选专业有加分吗？,您好，该排名有一定录取机会。我校宣策科目等级要求B+B，高于此要求没有加分。
山东考生,18***04 (山东),2018-06-26 15:41,你好，我是山东的考生，比自主资格线只高23分，539走高校专项计划，有被录取的希望吗？是不是有最终入围资格，分数过线，专业服从调剂贵校就予以录取，不会退档是吗？,您好，高校专项考生达到所在省规定的控制线，按规定填报，身体合格，服从调剂，可确保录取。具体请参阅招生简章
录取,15***29 (湖南),2018-06-26 15:26,老师您好！湖南省2018年理科考生，成绩596，第一志愿报考贵校有希望吗？,您好，这个成绩排位高于我校2017年理科最低分位置值，录取机会较大，欢迎报考。
国家专项计划相关,15***08 (河南),2018-06-26 14:57,老师您好，我是河南理科考生，想询问下贵校16，17年在河南省国家专项计划中所录取学生的计算机等专业平均分或相关录取分数信息。,您好，我校2017年国家专项计划计算机科学与技术录取最低分为545，供参考
咨询,18***31 (云南),2018-06-26 14:52,云南566，18100名，录取希望大吗？,您好，我校去年云南理科最低分位置值16460，你的位次有一定录取机会
云南报考,15***55 (云南),2018-06-25 14:08,您好，请问云南考生分数超一本线38分，位次17342，能否有机会被贵校录取？,您好，我校去年在云南理工类最低分位置值16460，这个位次可积极报考。
咨询,17***28 (浙江),2018-06-25 13:48,浙江考生611分进贵校几率大吗,您好，如专业冷热搭配填报，有一定录取机会。
山东理科生,13***67 (山东),2018-06-25 13:48,山东理科考生，今年585分报考贵校有希望吗？,您好，我校去年理工类最低分在山东省位置值是25539，供参考。
自主招生,13***16 (山东),2018-06-25 13:37,山东考生理科573分，排名38500，自招降20分，有希望报考贵校吗？,您好，这个分数按自主招生报考录取机会较大，自主招生报考规则请您参阅招生简章。
国家专项计划（理科）,15***78 (湖北),2018-06-25 13:20,湖北考生603分省排名12000有国专请问贵校的动物医学等比较顶尖的专业报的话是不是比较稳呢？,您好，这个成绩上一流学科动物医学很稳，欢迎报考！
山西考生 报考,18***21 (山西),2018-06-25 12:36,563分位次13000报考贵校希望大么有选择专业的余地么,您好，我校去年在山西理科最低分位置值13553，这个位次可以填报。专业选择余地比较小
录取问题,15***06 (云南),2018-06-25 12:24,老师，您好。我是云南理科考生，568分，位次17342，是否有望报考贵校？如果能报，大概能选什么专业？,您好，我校去年在云南理科位置值是16460，这个排位可以冲一下。
湖北考生咨询,lu***6.com (湖北),2018-06-25 12:19,老师，湖北理工生，588，报考贵校，能被录取么,您好，这个成绩预计比我校投档线略高，欢迎报考！
我是辽宁文科考生，高考分569，排名4482，能被录取吗？,13***65 (辽宁),2018-06-25 12:10,您好:我是辽宁文科考生，高考分569，排名4482，能被录取吗？谢谢答复。,您好，我校去年在辽宁省文科最低分排位值2713，供参考
江西,13***51 (江西),2018-06-25 11:14,江西理科考生，581，排名14021，能否被贵校录取,您好，按往年录取数据，该成绩有录取机会，欢迎报考！
山东考生,18***20 (山东),2018-06-25 10:54,老师您好，我高考586，拍名28605，报考贵校服从调剂可以上吗？,您好，我校去年在山东省理科最低分位置值是25539，供参考。服从调剂不会降低录取分数
山东考生,18***20 (山东),2018-06-25 10:40,老师您好，我高考586，拍名28605，报考贵校服从调剂可以上吗？。,我校去年在山东理工类最低分位置值是25539，供参考。服从调剂并不会降低学校投档线
自主招生,15***93 (北京),2018-06-25 10:26,河北考生562通过贵校自主招生报考贵校可能性大吗,这个成绩按自主招生报考有一定机会
内蒙古考生咨询（高校专项计划）,15***45 (内蒙古),2018-06-25 10:20,我今年高考成绩501，内蒙古一本分数线为478，请问报考贵校高校专项计划是否有希望？,我校高校专项入围考生达到所在省划定的分数线即可录取，不需排队。请关注是否进入入围名单，并参阅招生简章了解填报规则
录取 专业 退档,18***85 (江西),2018-06-25 09:50,你好！我是江西考生。今年的高考分数为584分，排名13016名。有希望被贵校录取吗？可以就读什么专业？是否会被退档？盼，谢谢！,您好，这个成绩报考我校有录取机会；我校专业安排规则是分数优先，考生可按意愿填报；我校对进档考生，服从专业调剂，身体合格，不退档
录取,18***63 (湖北),2018-06-25 09:35,请问湖北考生589能进华农吗,您好，这个分数预计比我校校线稍高，有一定专业选择余地，欢迎报考
志愿填报,18***28 (山东),2018-06-25 09:35,山东考生588分，全省排名27127，能报考贵校吗？,我校去年在山东省理科最低分位置值是25539，该排名录取机会较大，欢迎报考！
高考志愿,15***03 (山东),2018-06-25 09:17,请问山东考生，理科602，排名18762，有希望报考贵校吗,您好，根据往年录取数据，这个成绩录取到我校机会很大，专业也有较大选择余地，欢迎报考！
咨询,13***99 (湖北),2018-06-24 16:03,湖北女生理科560分，报考贵校不服从调剂能被录取吗？如果服从调剂，大致调剂在哪些专业？,您好，根据往年录取数据，这个成绩录取机会不太大。投档与是否服从调剂关系不大
湖北考生，理科579分填报贵校，可以吗？谢谢,13***45 (湖北),2018-06-24 15:04,湖北考生，理科579分填报贵校，可以吗？谢谢,您好，按往年录取情况，这个分数普通类机会比较小，混合填报中外合作办学专业可以提高录取机会
