标题,来源,时间,问题,回答
请问今年如果录取了贵校的免费师范生可以转为非免费的吗,hl***1 (山东),2017-06-30 09:46,请问：今年如果录取了贵校的免费师范生可以转为非免费的吗？,您好，我校大一大二有两次转的机会，只要生源省同意就可转入非免费师范。
广西理科考生,14***2 (广西),2017-06-29 19:51,我的分数超一本线55分，省排名10742请问可以报考贵校吗？如果服从调剂呢？,您好，您的分数报考我校有较大风险，请您谨慎报考。
北京文史考生可报考专业,11***6 (北京),2017-06-29 12:52,根据招生简章，北京可报考贵校专业仅有两个，具体指那些专业,您好，我校本科招生网上有详细的北京分专业计划，详情戳http://zs.ccnu.edu.cn/info/1026/2936.htm
北京文史考生可报考专业,11***6 (北京),2017-06-29 12:51,根据招生简章，北京可报考贵校专业仅有两个，若服从调剂但两专业均未达到分数，是否会被退档。,您好，如果您的分数达到我校要求，没有填报因为体检原因而建议不填报的专业（报考英语专业要求口试合格，单科达到120分以上），且服从专业调剂，一般情况下我校保证进档不退档。
入校后可以转专业吗？转专业有什么限制吗？,13***88 (广东),2017-06-29 11:18,入校后可以转专业吗？转专业有什么限制吗？,您好，我校大一大二有两次转专业的机会，转专业需要参加转入专业的考试，如果考试通过就可以转专业。
广东考生,13***88 (广东),2017-06-29 11:09,请问理科554分，能报贵校吗，,您好，我校去年在广东招收理科生最低排位21484名，超出一本线53分，请您根据这个情况自己权衡。
请问可以转专业吗,13***88 (广东),2017-06-29 10:33,请问贵校2017年广东省大约保底是多少分？或者是554分有希望吗？另外，如果入校了有转专业的机会吗？有几次机会？是全部专业都可以转吗？比如，如果是物理专业的可以报转心理系专业吗？,您好，一、建议您结合往年我校在贵省的录取分数及省排名进行综合分析。二、入校后大一大二各有一次转专业的机会，具体情况以当年学校教务处及相关学院政策为准。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
河南理科,zs***6 (河南),2017-06-29 10:05,河南理科生，529分，排名43306名，报考贵校中外办学，希望大吗？,您好，建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
专业咨询,xi*** (云南),2017-06-28 18:38,您好，我是云南考生，请问贵校在云南的本科第一批次里有师范类专业吗,您好，我校在云南的本科第一批里有师范类专业。关于我校在各省的招生计划，您也可以在华中师范大学本科招生网上自行查看。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
能否录取,an***geter (山西),2017-06-28 16:59,老师您好，我是山西理科考生，551分，超一本线70分，全省排名6523，被贵校录取概率有多大，谢谢建议,您好，建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
福建理科538 高一本线97 排名7300+,q1***18 (福建),2017-06-28 16:58,有希望上贵校吗？机会大吗？,您好，建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
山东理科588,sd*** (山东),2017-06-28 16:58,山东理科588排名24000报考贵校的生物科学类或者数学和应用数学类希望大吗？若是服从调剂希望大吗？,您好，建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
安徽考生咨询,ym*** (安徽),2017-06-28 16:52,您好!理科超一本77分，省排名15356，分数564，有多大几率报贵校?贵校什么专业最好?录取几率最大?,您好，建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
退档、志愿清,fl*** (江西),2017-06-28 16:49,老师您好！请问如果投档成功，体检合格，服从调剂，但多于贵校预留计划，是否会被退档？另外，在平行志愿投档中，贵校是否会优先考虑第一志愿生？我在省内排1820名，进入贵校的可能性大吗？希望得到您的解答，谢谢！,您好，一、如果投档成功，体检合格，服从调剂，我校一般不退档。二、平行志愿遵循分数优先的原则，建议您填报志愿时按层次选择院校。三、建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
免师录取概率,ge*** (河南),2017-06-28 16:27,老师，您好，我是河南考生，高出一本线73分，全省排名24410，报贵校提前批数学专业有希望吗,您好，建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
国家专项和有关色弱,15***78 (湖北),2018-06-26 09:37,湖北考生603分有国专12200左右请问是不是贵校的专业都比较稳还有哪些专业是色弱不能报的呢请教一下老师,您好，我校没有特殊要求，一切以国家颁布的体检标准为准。
上海考生关于专业调剂,17***71 (上海),2018-06-26 08:26,贵校专业组①②都包含中外合作的高收费专业，如果在报考时选择不愿意调剂至这些专业，是会尽量满足专业需求还是会退档？,您好，选择“除中外合作外服从调剂”不会被调剂至中外合作专业，但有退档风险。
免费师范生,15***69 (天津),2018-06-26 08:19,毕业后是回所属省市还是区还是看安排..,您好，根据协议书内容，毕业后需要回到本省工作，具体情况根据省内安排决定。
专业调剂,13***38 (北京),2018-06-25 18:28,我们是北京考生，请问专业调剂是在本校面向北京招生的专业调剂吗,您好，一般情况下会在填报的专业内进行调剂。
数学、物理直博班,15***97 (河南),2018-06-25 12:41,数学、物理直博班几年制？中间发本、硕文凭吗？,您好，您可以在我校本科招生网查看直博班的介绍。http://zs.ccnu.edu.cn/info/1004/3363.htm。
专项计划免费师范生,13***10 (河南),2018-06-25 10:02,你好，我是河南考生，如果通过专项计划进入贵校，可以转专业吗，如果是公费师范可以转为非公费师范吗？谢谢,您好，根据往年情况，通过高校专项录取的考生可以在院内转专业；涉及到公费师范专业则需要同省招办协商。
请问贵校中外合作办学是啥专业,13***58 (安徽),2018-06-24 14:20,请问贵校中外合作办学是啥专业，在贵校网站没找到,您好，我校共有社会工作、生物技术和学前教育三个中外合作专业，您可以在我校本科招生网查看我校今年的分省份专业计划，确定中外合作专业的招生计划。
18年的招生计划什么时候出来，有招安徽的心理学吗？,18***23 (安徽),2018-06-22 09:05,18年的招生计划什么时候出来，有在安徽招收心理学类的专业吗？,您好，分省分专业招生计划可在我校本科招生网的招生指南栏目查看：http://zs.ccnu.edu.cn/info/1026/3432.htm。
山西咨询,fe***0 (山西),2017-07-03 10:33,理科，位次5147，报考贵校，能录取吗？,您好，建议您结合我校往年在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
咨询,sx***18 (山西),2017-07-02 09:20,您好，山西理工类考生540分能否被贵校提前批次录取？,您好，建议您结合往年我校在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
提前批免费师范,sx***18 (山西),2017-07-02 09:07,老师您好，山西考生理工543分，能否被提前批录取，谢谢！,您好，建议您结合往年我校在贵省的录取分数及省排名进行综合分析。如有疑问，请致电：027-67863404，2239，3374，3334。美丽的桂子山欢迎您。
咨询,zh***66 (河南),2017-07-01 18:58,河南理工科，566报考贵校的教育学专业有希望被录取吗，贵校今年在河南有扩招的意向吗？,您好，我校没有统计具体的专业分数线，去年在河南省招收理科生最低排位13858名，超出一本线79分。请您根据去年的情况进行权衡。我校招生计划已经在本科招生网公布，详情请看河南分专业计划http://zs.ccnu.edu.cn/info/1026/2944.htm
河南理工科,ha***679 (河南),2017-06-30 14:34,你好。我是河南理工科考生今年总成绩为581，位次13161，报考贵校可以吗？,您好，您的分数报考我校有一定希望，建议您把我校作为第一院校志愿。
福建考生,35***904030924 (福建),2017-06-30 14:16,理科542排名6777本科一批有希望上贵校吗？,您好，综合往年分数来看，您的成绩报考我校有一定希望，建议把我校放在第一院校志愿。
录取,13***55 (山东),2017-06-30 13:00,山东文科，598分省排1860可否报考贵校汉语言文学专业,您好，您的分数报考我校有一定希望，建议您将我校填报在第一志愿，后面的志愿填报保底院校。
咨询,18***72 (河南),2018-06-28 14:07,今年华中师范是不是不在河南招艺术生。,您好，我校2018年艺术类招生简章已经公布在本科招生网，您可以自行查看各专业的招生情况。
河南文科，619分，2343位次，报考本校，有希望吗？,41***@qq.com (河南),2018-06-28 13:43,河南文科，619分，2343位次，报考本校，有希望吗？,你好，可点击http://zs.ccnu.edu.cn/info/1007/3072.htm查看往年分数，参考分数及位次。
咨询,13***89 (福建),2018-06-28 13:42,福建文科考生，606省排1464，高出本一线55分，想报考贵校提前批思想政治教育专业，被录取的希望大吗？如果不服从调剂最后不被录取会影响到本一批的志愿填报吗？谢谢！,你好，可点击http://zs.ccnu.edu.cn/info/1007/3072.htm查看往年分数，参考分数及位次。如果不服从调剂不会影响到本一批的志愿填报。
咨询,15***96 (湖北),2018-06-28 13:33,请问贵校中外合作专业毕业证和本部一样吗？上面会注明是中外字样吗？中外合作各专业录取分数线网站查不到，请问去年的位置值大约是多少？学前教育专业都是女生吗,您好，毕业证和普通专业毕业证没有差别；根据往年情况，中外合作专业会比普通专业低20分左右，每年情况有变，仅做参考；学前教育专业对性别没有要求，根据考生个人情况填报即可。
江苏文科366，全省3416，A+B+，被录取的可能性大么？,18***26 (江苏),2018-06-28 13:13,有希望读到好的专业么？,你好，可点击http://zs.ccnu.edu.cn/info/1007/3072.htm查看往年分数，参考分数及位次。
湖南理科,18***89 (湖南),2018-06-28 12:25,分：612，位：8498。能报贵校吗？,你好，可点击http://zs.ccnu.edu.cn/info/1007/3072.htm查看往年分数，参考分数及位次。
