标题,来源,时间,问题,回答
志愿,sd***u1 (山东),2015-06-26 16:16,您好，我是山东理科考生，高考分664，位列2637，请问报考贵校的被录取的几率有多大？怎样查询贵校的各专业往年录取分数线？谢谢！,你好，鼓励报考，录取希望较大。可咨询我校山东招生组，联系方式可在华中科技大学本科招生信息网上查询。
江西考生,zq***79 (江西),2015-06-26 15:59,请问省排名3500名的考生能选择贵校冲一冲吗？,你好，希望不大，平行志愿你可以自己选择是否报考。
北京文科,li***iji (北京),2015-06-26 15:45,老师您好：我是北京2015文科考生成绩620，排名1685，报贵校有机会吗？,你好，620分报考把握很大，鼓励报考。平行志愿省份，专业志愿服从调剂，政审体检合格，我校见档不退。
634分能上建筑吗,18***61 (云南),2015-06-26 15:24,老师你好，我是云南理科考生，超一本（500）134分能上贵校的建筑吗？谢谢。,你好，报考希望很大，我校无专业极差，鼓励报考。
河北理科,45*** (河北),2015-06-26 15:18,老师您好，高考成绩642分，位次4112名，报考贵校的机械类及核类能被录取吗?,你好，机械专业希望较小，核工程希望较大一些。平行志愿省份，专业志愿服从调剂，政审体检合格，我校见档不退。
河南报考,su***5 (河南),2015-06-26 15:08,老师您好，我是河南理科考生，分数626，高一本97，请问报考华科有希望吗,你好，报考把握很大，鼓励报考。平行志愿省份，专业志愿服从调剂，政审体检合格，我校见档不退。
四川考生,yy*** (四川),2015-06-26 14:57,高考615分，位次3557，有希望录取吗？有级差吗？提档后会否退档,你好，录取希望较大。没有专业极差。专业志愿服从调剂，政审体检合格，不会退档。
报考,15***96 (山东),2015-06-26 14:56,老师您好，我是山东理科生，648分，6084名，报考贵校的电气工程及其自动化专业或机械设计制造及其自动化专业有希望吗,你好，这两个专业为我校的热门专业，希望不大。
山东理科考生,13***66 (山东),2015-06-26 14:53,您好！高考660分，全省排名3294，报考贵校的希望大吗？,你好，有希望，鼓励报考。平行志愿省份，专业志愿服从调剂，政审体检合格，我校见档不退。
河北考生,he***heng12344 (河北),2015-06-26 14:39,老师您好，我是河北理科考生总成绩624分无加分排名7500多（河北一本线544），请问报考贵校提档把握大吗？是否有选择较好专业的余地？谢谢老师！,你好，624分录取希望不大。
河南考生,zj*** (河南),2015-06-26 14:23,我是河南理科学生，高考成绩609分，过线80分，报考贵校有希望吗？,你好，609分录取希望不大。
广西考生,we*** (广西),2015-06-26 14:13,老师好，请问同济医学院有什么专业，是否有专业级差在广西排名500多有多大可能上临床,你好，我校同济医学院有临床医学八年、临床医学五年、预防医学、口腔医学、医学影像学等专业，无专业极差。排名500多报考临床把握非常大。
志愿咨询 北京,su*** (北京),2015-06-26 14:09,我是北京的考生，今年考了631，排名5812，能报考贵校么？贵校的调剂有范围么？转专业政策宽松吗?,你好，631分可考虑报考。我校调剂会在北京市有招生计划的专业中进行。平行志愿省份，专业志愿服从调剂，政审体检合格，我校见档不退。
报考,yy*** (安徽),2015-06-26 13:55,老师，您好！我是安徽理科考生，高考653分，全省排名2652名，请问报考贵校有把握吗？,你好，2600多名有希望，鼓励报考。平行志愿省份，专业志愿服从调剂，政审体检合格，我校见档不退。
河南理科,zh***i2015 (河南),2015-06-26 13:46,老师您好，我是河南考生，成绩566，是否有望报考贵校？,你好，理科566报考不太可能。
理科咨询,ld***28 (甘肃),2017-06-24 13:58,我是甘肃理科考生，省排名1300多，可以报考华科吗？,请问您的分数？
安徽文科考生,yu*** (安徽),2017-06-24 13:04,成绩603，排名745，可以被贵校新闻传播学类录取吗？,希望很大。
预科班,ly*** (内蒙古),2017-06-24 12:40,2017有预科班吗,看您所在的省份。
能否进入专业,10***8 (浙江),2017-06-24 12:31,浙江考生646分能否进入贵校软件工程专业,具体无法预估，可以试一试。
云南考生600有希望报华中科技大学吗,sl***20 (云南),2017-06-24 12:12,云南考生，排名2857，分数600.云南一本线500，有希望报贵校吗,请与我校云南招生组取得联系。
甘肃省1419名可以进华科吗,sy*** (甘肃),2017-06-24 11:29,甘肃省理科594，1419名，没有加分或专项,很有希望。
能否报考贵校,ji***u (天津),2017-06-24 10:52,我是天津考生，理科男570分，报考贵校有希望吗？谢谢,可与我校天津招生组取得联系。18062002325。
录取概率 和专业性别,13***35 (河北),2017-06-24 10:48,老师您好！宁夏考生，理科591分，排名486，能否被贵校录取？计算机类、电气工程及其自动化、电子信息工程等专业适合女生学习吗？就业上对女生有区别对待吗？,希望很大。适合女孩子学习，具体就业要看用人单位当年的需求，不会有性别歧视。
报考咨询,he***iuxun (河北),2017-06-24 10:36,您好，我是河北一考生，分数588分，可报考贵校吗？,请联系我校河北招生组
请问福建考生文科566分报考贵校录取几率大吗？,ao*** (福建),2017-06-24 10:18,文科566分，全省911名,可与我校福建招生组取得联系。
能否报考贵校,ji***u (天津),2017-06-24 10:03,我是天津考生，理科男，高一本线49分，报考贵校有希望吗？谢谢,具体与我校天津招生组联系。
报考咨询,he***iuxun (河北),2017-06-24 09:36,您好，我是河北一考生，分数647分，省排名2000左右，可报考贵校吗？,基本没问题。
今年有少数民族预科班吗？预科结业后投放的专业有哪些？谢谢,zf*** (内蒙古),2017-06-23 16:26,今年有少数民族预科班吗？预科结业后投放的专业有哪些？谢谢,有，具体专业以省招办公布为准。
山西理科男生,an*** (山西),2017-06-23 15:41,山西招生全部是大类招生吗？一般山西理科多少位次可以提档？,请与我校陕西招生组取得联系。具体联系方式见我校本科招生信息网。
退档及转专业的问题,ts*** (河北),2017-06-23 14:44,投档后服从调剂可能退档吗？入学后能转专业吗？,服从调剂不退档。入学后有转专业的机会。
咨询,ls*** (湖南),2017-06-25 10:45,老师，您好！湖南考生理科637分，省排名1258，报考贵校录取的机会大吗？,机会大
甘肃考生,01*** (甘肃),2017-06-25 10:40,您好，我是甘肃考生，我的高考成绩583排名2068，有国家贫困专项，想要报考华科，有希望吗？还有想问华科有专业级差吗,有希望。没有专业极差。
报考咨询,ls*** (湖南),2017-06-25 10:39,老师，您好！我是湖南考生理科637分，省排名1258，报考贵校录取的机会大吗？另外报考贵校的热门专业希望大吗？,非常大。希望很大。
江西考生,xj*** (江西),2017-06-25 10:34,老师！我是江西理科考生，609分，省排2353，有希望被贵校录取吗？,有希望
江苏理科咨询,su*** (江苏),2017-06-25 10:19,江苏理科，368分，高一本线37分，江苏排名9697，报考贵校的希望有多少?,希望相对小
报考咨询,lx*** (西藏),2017-06-25 10:08,老师您好，我是西藏汉族理科考生，507分，超一本线81，报考贵校有希望录取吗？,有希望
能源与动力工程,dp*** (山东),2017-06-25 09:56,老师你好，我是山东理科考生，总分629，位次6100，想报考贵校能源与动力工程专业，请问有希望录取吗？,可与我校山东招生组联系
走自招的一些问题,hu*** (河北),2017-06-25 09:29,您好，我是2017级河北一考生，考分643，名次2441。我自招过的功能材料，降20分，那我走特殊类型批只能报功能材料是吗?特殊类型批报的华科，本科一批第一志愿还能报华科吗？我若直接走本科一批被录取的概率有多大？请及时，谢谢。,特殊类型批只能录取功能材料。643分录取我校希望有多大可与我校河北招生组联系。
河南省理科605分，排名5925，过贵校高校专项计划。,41***905180311 (河南),2017-06-25 09:28,有希望进入贵校吗？谢谢！,有希望
咨询,13***42 (内蒙古),2017-06-25 09:26,我是内蒙理科考生：1、录取规则？有级差吗？2、认可加分吗？按排专业认可加分吗？3、同分考生如何录取？4、各专业之间都可以转吗？,分数优先，没有极差，认可加分，同分看综合语数外，转专业可以跨类
老师好，河南理科572，排名16897，自主招生加分20分,lj*** (河南),2017-06-25 09:19,老师好，河南理科572，排名16897，获自主招生加分20分，报考贵校有希望吗？,希望相对小
云南考生,we*** (云南),2017-06-25 09:14,老师！我是云南理科考生，611分，省排1975，有希望被贵校录取吗？,希望比较大
专业排名和专业分流政策,15***01 (天津),2017-06-25 09:03,1、请问咱机械类专业里面的测控技术与仪器全国排名。2、请问大一机械类专业分流到测控技术与仪器的政策和具体要求？3、服从调剂且身体健康的话，咱学校退档吗？,教育部只有一级学科的排名，我校机械工程排名第一。专业分流具体要求要进校后了解。服从专业调剂，我校见档不退。
志愿咨询,76*** (湖北),2017-06-24 16:50,您好，我想问一下全省3688在华科可以填些什么比较好的专业？如果分不够，调剂的专业会很偏离自己所报类型专业很远吗？,选择域度还是很大的，可从招生组老师那里取得我校2016年分省专业录取分数，参考去年专业选择填报。尽量把主动权掌握在自己手里，这个分数合理填报是可以避免被调剂的。
录取咨询,na***ozhong (四川),2017-06-24 16:42,我是四川考生，名次3409，有希望录取到贵校吗？,没有太大问题。
四川,ji*** (四川),2017-06-26 11:04,你好老师，文科609，排位818，有希望吗？谢谢！,问题不大
预科班,28*** (内蒙古),2017-06-26 11:01,老师您好，有招预科班的打算吗,有预科班
湖北考生2017,zy***1 (湖北),2017-06-26 10:59,湖北文科考生589分位次2217报考可能大吗,相对小
咨询,hu***972 (湖北),2017-06-26 10:53,请问是否只要专业服从调剂，提档后就不会退档？,是的
湖北理科623，省排名2792，想报考计算机类,zh***2004 (湖北),2017-06-26 10:19,湖北理科623，省排名2792，想报考计算机类，不知有希望吗？如果调剂，会调剂成什么专业？,有一定希望。应合理填报志愿尽量避免被调剂
请问2017湖南文科一本贵校在湖南大概位次是多少？,15***89 (湖南),2017-06-26 10:14,请问2017湖南文科一本贵校在湖南大概位次是多少？文科全省前多少名？多谢！,请与我校湖南招生组取得联系。
想问一下贵州省去年的各专业录取分,ic*** (贵州),2017-06-26 10:07,我是贵州考生，今年1525名，想学贵校的数学，但是不知道能不能得,请与贵州招生组联系
录取问题,zh***29 (河北),2017-06-26 09:57,您好老师，我是河北考生理科位次2550有希望被贵校录取吗？如果报考的都是工科专业会不会被调剂到医学类因为不喜欢学医所以特别担心这点，不敢报考,合理填报志愿避免被调剂
预科班,v0***ez (广西),2017-06-26 09:55,理科加分后547的考生。想咨询一下能否进入贵校预科班以及贵校预科班的一些相关信息。,预科班没有更多信息，有意愿报考可以试一试。
陕西理科考生,li*** (陕西),2017-06-26 09:51,老师您好，我是陕西理科考生，614分，省排3663，有国家专项计划，有希望进贵校吗,有
自找咨询,hu*** (河北),2017-06-26 09:45,您好，走特殊类型（自招）勾服从调剂吗？我怎么记得报自招时是设定好的“否”,都可以
山东文科考生,ln***0 (山东),2017-06-26 09:44,老师您好，我是山东文科考生，请问考分614，省位次733，有希望进入贵校吗？,希望很大
老师好，上海考生，不分文理543，排名5303,co*** (上海),2017-06-26 09:14,老师好，上海考生，不分文理543，排名5303，请问有希望吗,有希望
报考咨询,13***00 (江苏),2017-06-26 09:11,请问江苏考生，377，物化双A+，有希望报考贵校吗？,有希望
内蒙古考生——录取几率咨询,lj*** (内蒙古),2017-06-26 09:09,您好，内蒙古理科生，分数614，排名1599，是否有被录取机会？,有希望
山西考生,bo***an (山西),2017-06-26 09:09,请问贵校理科今年在山西的预估分数线，超过一本线80分是否有希望录取？,与山西招生组取得联系
北京考生排名3684,gh***7 (北京),2017-06-25 16:44,能报贵校吗,请与北京招生组取得联系
专业问题,wa*** (浙江),2017-06-25 16:41,1.请问贵校今年在浙江省设置了哪些普通类、非提前批的理工科招生专业？分别招生多少人？2.请问贵校是否提供保研机会，本科生保研率有多少？3.请问在贵校能否转专业？有几次机会？,1、具体专业查阅浙江招办官方公布渠道2、有保研，保研率具体看专业，3、有转专业的机会
