标题,来源,时间,问题,回答
江苏理科372分，选修B+B+录取希望大吗？,18***67 (江苏),2018-06-28 11:13,江苏理科372分，选修B+B+录取希望大吗？,您好，根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是21075、18735、18358名。是否报考，请务必详细查看往年录取分数和排名并进行分析后决定，录取分数查询网址http://zhaosheng.ncepu.edu.cn/zs/AdmissionInfoList.aspx?caId=4
录取咨询,18***59 (黑龙江),2018-06-28 11:04,我是黑龙江考生，603分，想报考电气工程及其自动化专业，又担心录取不上，请给参考一下。报考各专业顺序也犹豫不决，请问分差是多少？,[您好，根据往年录取情况来看，2017年我校电气类录取最低分全省排名是4338名，2015、2016、2017年电气类专业录取最低分超一本线的分数分别是116、125、138分。是否报考，请务必详细查看往年录取分数和排名并进行分析后决定，录取分数查询网址http://zhaosheng.ncepu.edu.cn/zs/AdmissionInfoList.aspx?caId=4
录取咨询,13***68 (山东),2018-06-28 10:53,老师，您好。我是山东考生。请问理科617分12044名。报考贵校录取几率大吗？,您好，2015、2016、2017年我校理科录取最低分全省排名分别是14412、12639、15651名.
环境科学与工程就业,18***56 (安徽),2018-06-28 10:41,环境科学与工程就业方向是什么,毕业生可从事电力工业和其他工业领域的环境工程治理、环境监测、环境规划和管理、技术开发、科学研究、教育等部门的专业技术工作。
安徽理科,71***qq.com (安徽),2018-06-28 10:24,安徽理科603分，超一本98分，排名12181，录取机会多少，向往电气自动化专业？,您好，根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是11065、11067、11997名。
山东理科 612分,13***63 (山东),2018-06-28 10:23,能否被贵校录取。,您好，根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是14412、12639、15651名。
福建理科录取概率和不被调剂概率,18***81 (福建),2018-06-28 09:59,福建理科11100名能有多大概率录取通信工程有多大概率会被调剂呢谢谢,您好，根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是7961、12500、12349名。是否报考，请务必详细查看往年录取分数和排名并进行分析后决定，录取分数查询网址http://zhaosheng.ncepu.edu.cn/zs/AdmissionInfoList.aspx?caId=4
录取机率,13***72 (山东),2018-06-28 09:09,老师，您好。我是山东考生。理科，621分，10757名。想报考贵校，请问机率如何？,根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是14412、12639、15651名。您报考我校希望较大。
加分,13***43 (广西),2018-06-27 16:23,我是广西考生，属壮族。请问贵校承认民族加分20分吗？是不是所有专业都承认？,您好，学校录取和专业安排以高考投档成绩为准。您的投档分数是否包含加分，由区招办确定。
咨询,sz***63.com (山东),2018-06-27 16:13,山东理科11500位次报考贵校有保证么，推荐几个专业好么，服从个调剂的话有没有退当地风险。谢谢！,根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是14412、12639、15651名，您的排名报考我校希望比较大。进档考生，服从专业调剂且身体符合录取要求，进档不退。详细专业请参考我校本科招生信息网http://zhaosheng.ncepu.edu.cn/zs/Intro.aspx
老师您好！我是18届新疆理科考生,29***7@qq.com (新疆),2018-06-27 16:06,成绩548，位次6238，报考该校几率有多大？谢谢老师！,2015、2016、2017年我校理科录取最低分超一本线的分数分别是83、86、94分，录取排名一般在4000-6000之间浮动。
咨询,sz***63.com (山东),2018-06-27 15:58,你好，有个疑问：考试院的发的指南上的17年录取最低位次是15573而在这里却是15651。谢谢！,您好，我校统计的录取最低分排名是根据考试院发布的一分一档表制作的，因为一分一档表中的1分段一般有三四百人，因此一分一档表的排名往往和实际录取的学生的具体排名有差异。
你好，我是江苏文科350，等级符合条件，请问可以报考贵校吗？,18***38 (江苏),2018-06-27 15:23,如题,您好，根据往年录取情况来看，2015、2016、2017年我校文科录取最低分全省排名分别是9536、6071、8819名。是否报考，请务必详细查看往年录取分数和排名并进行分析后决定，录取分数查询网址http://zhaosheng.ncepu.edu.cn/zs/AdmissionInfoList.aspx?caId=4
可否报考,jy***0@163.com (山东),2018-06-27 13:36,山东考生2018理科605分，省排名17800，报考该校有把握录取吗？谢谢！,据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是14412、12639、15651名。
河南理科考生604报贵校国家专项有多大希望?,18***28 (河南),2018-06-27 13:21,河南理科考生604报贵校国家专项有多大希望?,您好，请登录我校本科招生信息网相关页面查询往年录取分数：http://zhaosheng.ncepu.edu.cn/zs/newsContent.aspx?id=875
内蒙古考生,13***13 (内蒙古),2018-06-27 10:50,老师您好，2018年内蒙古排名3570能报考贵校电气工程及其自动化专业吗,[根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是5758、7382、7295名，2017年我校电气类录取最低分全省排名是2938名。是否报考，请务必详细查看往年录取分数和排名并进行分析后决定，录取分数查询网址http://zhaosheng.ncepu.edu.cn/zs/AdmissionInfoList.aspx?caId=4
老师,18***35 (重庆),2018-06-27 10:34,考了608可以被录取不？我是重庆考生,您好，根据往年录取情况来看，2015、2016、2017年我校理科录取最低分全省排名分别是8722、15644、9914名。是否报考，请务必详细查看往年录取分数和排名并进行分析后决定，录取分数查询网址http://zhaosheng.ncepu.edu.cn/zs/AdmissionInfoList.aspx?caId=4
