标题,来源,时间,问题,回答
录取,17***2@qq.com (广西),2018-06-26 14:44,老师你好，请问录取时是按照分数优先的原则吗？有无专业级差呢？感谢！,对于符合学校投档要求的考生的专业安排，我校将按照“分数优先、遵循志愿”的原则进行录取，不设专业级差。学校录取和专业安排以高考投档成绩为准。对享受政策加分（或降分）的考生，由各省级招办按照规定加分（或降分）投档。
非英语考生,13***80 (重庆),2018-06-26 10:00,你好，我是非英语考生，请问有限制吗,学校以英语作为基础外语安排教学。我校招生专业类中，外国语言文学类、计算机类、自动化类、电子信息类、经济学类由于专业类培养与英语密切相关，建议非英语考生谨慎报考。
英语教学,18***73 (辽宁),2018-06-24 09:12,请问贵校全部专业都是英语教学吗？,学校以英语作为基础外语安排教学。我校招生专业类中，外国语言文学类、计算机类、自动化类、电子信息类、经济学类由于专业类培养与英语密切相关，建议非英语考生谨慎报考。
关于转专业,13***99 (北京),2018-06-22 10:45,请问贵校入学后转专业的途径？,考生你好，系内转专业需要达到年级排名前15%，跨系转专业需要达到年级排名前3%。
报考咨询,41***@qq.com (内蒙古),2018-06-28 16:41,内蒙古文史类考生582分位次837超出一本线80分可以报考贵校吗可以学哪些专业,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
录取,13***88 (山东),2018-06-28 16:26,山东理科考生，总分623分，全省排名9884名。能否录取？,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
录取,13***81 (湖南),2018-06-28 15:50,您好，老师，请问湖南理科考生585，位次17000左右报考贵校希望大吗,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
我是河南理科考生，621分，8451名，报考贵校把握大吗？,13***97 (河南),2018-06-28 15:42,如果能录取，请老师推荐几个能上的好专业,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
录取,18***55 (福建),2018-06-28 15:23,您好，福建理科589分排名6755有希望被录取吗？,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
北京考生,13***78 (北京),2018-06-28 14:45,请问北京理科考生排名在多少之前可以报考贵校的能源动力专业？谢谢,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
关于录取,18***91 (广东),2018-06-28 14:05,本人广东理科排位14660，报考贵校的电气工程及其自动化和智能电网信息工程等电气类专业希望大吗，看了贵校往年的录取分数，无法在专业上进行对比，就此咨询。,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分专业分数查看对应的排位，与你现在的排位进行对比，以做参考。
福建理科,18***33 (福建),2018-06-28 13:17,您，我是福建省2018届考生，分数565，排名11299，报考贵校有希望被录取吗？,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
高考咨询,13***59 (云南),2018-06-28 12:54,云南理科585，一本线高55分，有希望被贵校录取吗？,考生你好，欢迎报考华北电力大学，近三年招生录取分数可在我校本科招生信息网（http://goto.ncepu.edu.cn/）上查询，请根据往年分数查看对应的排位，与你现在的排位进行对比，以做参考。
