标题,来源,时间,问题,回答
山东文科,15***98 (山东),2018-06-27 12:15,老师您好！我是山东文科考生，请问若进档且服从调剂，是否保证不退档?谢谢！,我校会根据模拟投档情况，尽量缩小提档比例，减少服从调剂的考生退档风险
提前批,15***52 (广东),2018-06-27 12:08,贵校是非军检院校。文科提前批是27号即今天17：00前填报？可是志愿填报显示不出一本填报？,我校在第二时间段报考，即今晚才开始报考
录取咨询,18***75 (广东),2018-06-27 12:02,我是广东考生2018年高考分数593省排位3797请问能否被贵校汉语言文学专业（包括师范类和非师范类）录取？,机会很大往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
师范专业,18***13 (广东),2018-06-27 11:47,按照今年的平行志愿的风险，提前一批报考师范专业理科省排两万九千是否有胜算？？,由于今年报考情况未知，我校今年分数线暂时无法估计。请考生参考我校往年录取情况http://zsb.scnu.edu.cn/zhiyuancankao/
提前批师范,15***2@qq.com (广东),2018-06-27 11:41,广东考生546分上贵校提前批师范概率有多大,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
咨询,18***13 (广东),2018-06-27 11:40,高考排名两万九有希望进入贵校吗,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
你好，我在广东省理科排名49536 请问有机会进提前批吗,13***68 (广东),2018-06-27 11:36,你好，我在广东省理科排名49536请问有机会进提前批吗,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
河南理科,15***24 (河南),2018-06-27 11:35,我是河南理科考生，今年高考分数584分，全省24624名，请问有希望被录取吗？,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
师范生转专业，录取,13***29 (广东),2018-06-27 11:35,老师好，广东文科考生596分报贵校英语师范专业录取机会大吗？入校后可以转其他专业吗？,根据教育部要求，考生在入学后第一学年第二学期，可向转入学院申请转专业，若转入学院考核合格，可以转入新专业就读
报考,15***31 (广东),2018-06-27 11:29,我是广东考生，今年文科分数571，是否可以报考贵校？,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
广东考生,13***96 (广东),2018-06-27 11:07,你好，我今年全省排20414，569分，可以报考哪些贵校专业呢,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
广东理科艺考生,18***56 (广东),2018-06-27 11:05,过了广东统考且按今年省排线美术公式是排名2600请问是否有机会上贵校？,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
安徽理科考生,13***50 (安徽),2018-06-27 10:53,老师您好：安徽理科598分，13900名，能报考贵校的师范专业吗？,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
录取及转专业,15***47 (四川),2018-06-27 10:32,我是四川理科考生，报考贵校大概位次排名？转专业难吗？,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/根据教育部要求，考生在入学后第一学年第二学期，可向转入学院申请转专业，若转入学院考核合格，可以转入新专业就读
咨询,15***07 (广东),2018-06-27 10:28,广东考生理科511，有地方专项，请问上贵校机会大吗？,往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
老师，请问提前批在哪里报名,18***58 (广东),2018-06-26 12:55,老师，请问提前批在哪里报名,请咨询当地招生办
老师，你好，请问提前批在哪里报名？,18***58 (广东),2018-06-26 12:49,老师，你好，请问提前批在哪里报名?,高考报名请咨询当地招生办
山东报考,13***48 (山东),2018-06-26 12:38,山东考生，60219234能否上贵校是否设专业级差,由于今年报考情况未知，我校今年分数线暂时无法估计。请考生参考我校往年录取情况http://zsb.scnu.edu.cn/zhiyuancankao/不设级差
退档,13***48 (山东),2018-06-26 12:34,如果志愿服从调剂，体检合格，进档后，是否一定不会被退档？谢谢,我校会根据模拟投档情况调整投档比例，尽量缩小考生退档可能
贵州文科生咨询,15***77 (贵州),2018-06-26 12:05,请问贵州文科生省位次在1842，分数632要进贵校需要在多少位次？如果想进经济学或编辑出版学或传播学，可能性大吗？想知道去年前年这三个专业的录取分数线,由于今年报考情况未知，我校今年分数线暂时无法估计。请考生参考我校往年录取情况http://zsb.scnu.edu.cn/zhiyuancankao/
湖南文科597，排名6411，能报公费师范生吗,15***32 (湖南),2018-06-26 12:05,湖南文科597，排名6411，能报公费师范生吗,我校没有公费师范生
录取,13***16 (云南),2018-06-26 11:48,老师您好，我是云南文科生，分数622排名1645，超一本线47分，有希望被录取吗？,由于今年报考情况未知，我校今年分数线暂时无法估计。请考生参考我校往年录取情况http://zsb.scnu.edu.cn/zhiyuancankao/
录取,13***16 (云南),2018-06-26 11:48,老师您好，我是云南文科生，分数622排名1645，超一本线47分，有希望被录取吗？,由于今年报考情况未知，我校今年分数线暂时无法估计。请考生参考我校往年录取情况http://zsb.scnu.edu.cn/zhiyuancankao/
专科专业,13***07 (广西),2018-06-26 10:31,您好，我想问一下贵校是否还有开设专科专业？如果有是在哪个校区？具体收费情况有么有文件可以参考呢？,我校普高不招专科
海南理科考生报考咨询。,18***90 (海南),2018-06-26 09:59,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,由于今年报考情况未知，我校今年分数线暂时无法估计。请考生参考我校往年录取情况http://zsb.scnu.edu.cn/zhiyuancankao/
报考咨询！！！,13***93 (吉林),2018-06-26 09:38,吉林省的考生，理科，请问贵校预计在吉林省招多少人，排名大概排在8500左右的在每年是否可以进入贵校？如果服从调剂的话，会有多大几率被退档？谢谢您。,招生计划请参考http://zsb.scnu.edu.cn/zhiyuancankao/往年录取情况请参考http://zsb.scnu.edu.cn/zhiyuancankao/
