标题,来源,时间,问题,回答
老师，你好！请问贵校2014年信息安全专业在湖南省招收多少人,ch***1969 (湖南),2015-03-06 09:14,老师，你好！请问贵校2014年信息安全专业在湖南省招收多少人？录取分数线是多少？今年在湖南招收女生吗？,http://202.38.193.241/benzhao/ben/detail/index.asp?id=803分数统计，男女没有限制的，欢迎报考。
推荐信 自主招生的考试科目,be*** (四川),2015-03-06 09:12,请问：1老师推荐信是打印？还是手写？2自主招生的综合测试一、二是考，语文、数学、物理、英语。。。。的哪1科或者哪2科？,老师推荐信自行决定；我们将会聘请第三方命题，具体内容我们也不知道。
报考条件,js*** (江苏),2015-03-05 17:00,我家小孩只有钢琴、书法、电子琴10级证书，在四星级重点高中就读，理科生，成绩在年级0%-15%之间，阿能报考贵校？谢谢老师！,可以先报名，我校将组织专家对所有寄（送）达的申请资料进行初审。
自荐信字数,wb*** (四川),2015-03-05 16:57,请问贵校对自荐信字数有要求吗？,字数目前没有要求。
自招咨询,ct*** (北京),2015-03-05 16:54,老师您好！我孩子是北京市重点学校考生，成绩排名年级20名左右，有北京市科技创新大赛二等奖成绩，全国物理竞赛北京赛区三等奖，，能否报考贵校自主招生。谢谢！,可以先报考，我校将组织专家对所有寄（送）达的申请资料进行初审。
学科特长综合测试,ab*** (山东),2015-03-05 16:34,老师您好，请问学科特长综合测试数学物理的难度是高考难度还是竞赛难度还是介于二者之间？学科特长综合测试语文是常规题型还是创新题型？,我们将会聘请第三方命题，具体内容我们也不知道。
关于初审后的测试,71*** (四川),2015-03-05 16:30,报A类综合测试一的，是不是6月13日笔试和14日面试都要参加？,自主招生A类、B类和C2类考生：根据考生材料评审成绩确定测试资格；根据学科特长综合测试成绩划定面试资格线。
自主招生,xi*** (吉林),2015-03-05 16:29,老师，我小孩是学理科的，在省级报刊上发表过文学作品，可否报考贵校的自主招生？谢谢！,可以先报考，我校将组织专家对所有寄（送）达的申请资料进行初审。
成绩打印,71*** (四川),2015-03-05 16:12,请问老师：自招报名成绩打印，是打高中5次期末成绩，还是3次就可以了？要不要年级参加考试总人数？因系统生成的成绩册没有这个数据，是否手写+学校盖章就可以了？谢谢！,所有成绩都要，总人数需要，可以提供一份全面的学校盖章的成绩册。
咨询寄送材料格式的问题,86*** (河南),2015-03-05 15:42,您好！请问在A类考生的寄送材料中，个人自荐信是否可以打印？,不可以。
志愿填报的几个问题,86*** (河南),2015-03-05 15:09,老师您好！请问贵校的自主招生A类考生入选专业方式是否与高考平行志愿录取方式相同？是分数优先还是志愿优先？,分数优先，遵从志愿。
自主招生,la***909 (山西),2015-03-05 15:09,老师您好，我获得的是《第三十一届全国中学生物理竞赛》山西省赛区国家三等奖，全国高中学生化学竞赛山西省三等奖。请问有资格报名吗？如果有资格报名可以选C1类吗？,可以先报名，我校将组织专家对所有寄（送）达的申请资料进行初审。
自主招生,12*** (安徽),2015-03-05 14:47,老师：我小孩获得全国化学奥林匹克竞赛省级二等奖，每次考试在全校7%以内，想报考贵校的化工类，是否有资格申请贵校自主招生。,可以先报考，我校将组织专家对所有寄（送）达的申请资料进行初审。
关于考生资料提供,xy*** (河北),2015-03-05 14:05,老师您好！提供考生的期末成绩是只打印该考生的单科成绩吗？还是要该考生所在页面上整一页的成绩？,成绩一项越详细越好。
关于自荐信的问题,lp*** (山东),2015-03-05 14:00,老师您好，我是山东的理科考生，基本符合所有报考条件，想问一下自荐信有什么要求吗，比如纸张要求、字数要求？,除了要考生亲笔撰写并用A4纸外，其他考生自行决定。
关于631问题,13***55 (广东),2016-06-14 09:52,老师，您好！我是广东考生。请问贵校631招生计划100个名额是面向全国还是就广东地区？如果我高考成绩比贵校在广东的最低投档线还差几分，报631有希望吗？,面向广东
报考,89*** (甘肃),2016-06-13 16:28,老师你好我是甘肃理科考生估分540多如果报考贵校希望大不大谢谢了,可参考往年分数http://202.38.193.241/Bachelor/Admission/
文科生报考理科院校是明智的选择吗？,me*** (贵州),2016-06-13 13:44,老师，您好！我是一个有着理科志向确选择文科的学生，想问问贵校文科专业有哪些优势，就业情况如何？谢谢,是的，建议有限考虑法学、工商管理http://202.38.193.241/summary/Bachelor_recruit/resource/86d540f53d3e6bc824876eb95d4c5e63.pdf
关于631问题,13***55 (广东),2016-06-13 12:24,老师，您好！我是广东考生，请问贵校今年631计划招生的100个名额是只针对广东考生吗？如果我的成绩比贵校在广东录取最低投档还差几分，报631有希望吗？谢谢！,只面向广东
国防生的在校学习和普通录取学生有什么不同,15***98 (陕西),2016-06-13 11:10,尊敬的老师，您好！请问如果报考贵校国防生，那么在校学习的情况和普通录取学生有什么不同？本科毕业后国防生是否会被军队直接分配或者继续服役？谢谢老师！,请阅读http://202.38.193.241/Bachelor/others/1ak4tbnsbbd4b.xhtml
不宜报考专业,he***ly (北京),2016-06-13 10:32,800度以上近视眼，服从调剂，会否因不宜报考专业存在退档风险？,服从调剂且符合专业录取要求者不予退档。
高校专项计划,li*** (广东),2016-06-13 09:21,2016年此计划贵校招收多少人？,“筑梦计划”录取总人数为我校当年本科总招生数的2%（130人）。
福建理科620分可以报考你校吗？,12*** (福建),2016-06-12 16:20,老师：你好！请问福建理科620分可以报考你校吗？有什么专业可以建设的吗？谢谢！,可参考往年分数http://202.38.193.241/Bachelor/Admission/
化学专业的分类,li***ian01 (广东),2016-06-12 12:47,老师您好，我想问贵校有关化学有哪些专业？是工科还是理科？,应用化学、化学工程与工艺、能源化学工程、制药工程、轻化工程、化学类创新班等等，工学理学的都有，具体请见我校招生情况总表http://202.38.193.241/summary/Bachelor_recruit/1akli32cm7ggi.xhtml
报名咨询,xi***ue08 (湖南),2016-06-12 12:38,老师您好!请问筑梦计划初审已通过，填报贵校志愿是否是要提前批填报.谢谢,报考批次问题请咨询所在地省级考试机构
录取名次,59*** (广东),2016-06-12 10:25,您好，广东省高考生大约在全省排到什么名次才有望入围贵校？,建议参考往年情况http://202.38.193.241/Bachelor/Admission/
