标题,来源,时间,问题,回答
安徽考生,18***58 (安徽),2018-06-25 14:11,老师您好：请问安徽省理科考生605，位次11442，填报志愿A冲刺贵学校，专业服从调剂，录取几率怎么样，麻烦老师一下，孩子比较青睐贵学校，谢谢！,您孩子成绩相当不错，几率非常高，欢迎报考
天津理科考生,13***18 (天津),2018-06-25 13:57,理科575，排名9012，有希望进入贵校吗？,您好，很有希望
安徽考生,18***58 (安徽),2018-06-25 13:35,老师您好：请问安徽省理科考生605，位次11442，填报志愿A冲刺贵学校，专业服从调剂，录取几率怎么样，麻烦老师一下，孩子比较青睐贵学校，谢谢！,您录取希望很大
录取 专业 退档,18***85 (江西),2018-06-25 13:11,你好！我是江西考生。今年的高考分数为584分，排名13016名。有希望被贵校录取吗？可以就读什么专业？是否会被退档？盼，谢谢！,不错的成绩，选择专业服从调剂，并体检合格，我们承诺进档不退档。欢迎报考
贵州考生534可以填报贵校吗？,17***85 (贵州),2018-06-25 13:02,本人是一名填报国家专项的贵州考生，是女生，分数为534，排名20811，能填报贵校吗？若能填报能选什么专业?盼您，谢谢！,可以的，欢迎报考
河南理科考生,13***28 (河南),2018-06-25 12:44,今年分数566分高出一本线67分，省排名36312名，报考贵校有希望吗？,可以冲一下，还是很有希望的
关于录取,13***82 (四川),2018-06-25 12:30,您好，我是四川文科生，高考成绩是597位次2589，请问被贵校录取的概率大吗？谢谢。,您的成绩很不错，录取几率很大，欢迎报考
退档风险,15***98 (山东),2018-06-25 12:03,老师您好，我是山东文科考生。高考611分，全省排名3260，请问进档且服从调剂，且身体条件符合，退档风险大吗?,我们承诺进档且服从调剂，且身体条件符合，不会退档
报考咨询,18***82 (安徽),2018-06-25 12:00,老师您好，我是来自安徽的考生，高考考了600分，排名12968，可以报考贵校吗？能上什么专业？,您的成绩报考我们专业希望很大，特色专业了解一下。具体登陆南农就业网
咨询,13***69 (北京),2018-06-25 11:33,老师您好，请问北京文科599，市排名3135，报考贵校把握大吗？谢谢！,希望较大
山东理科,15***03 (山东),2018-06-25 11:29,请问山东考生，理科602，排名18762，有希望报考贵校生物技术专业吗,很有希望，您的成绩不错，可以放一志愿填报
江西理科考生,13***51 (江西),2018-06-25 11:11,江西理科考生，高于一本线54分，能不能被贵校录取,希望很大
山东理科,15***03 (山东),2018-06-25 10:49,请问山东考生，理科602，排名18762，有希望报考贵校吗,很有希望，您的成绩不错，推荐报考
录取,13***62 (福建),2018-06-25 10:32,福建理科，分数559，排名12678，报考贵校有希望吗,很有希望，欢迎报考
山东考生,15***03 (山东),2018-06-25 10:15,请问山东考生，理科602，排名18762，有希望报考贵校吗,很有希望
贵州理工,79***@qq.com (贵州),2018-06-26 11:02,2018年高考成绩565，录取的概率如何？,你好！欢迎报考南京农业大学，我校在贵州历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
湖北理科考生，588,lu***6.com (湖北),2018-06-26 10:45,湖北理科588，报考贵校有希望吗,你好！欢迎报考南京农业大学，我校在湖北历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
志愿填报,13***59 (湖南),2018-06-26 10:41,湖南理科考生590分，录取几率大吗，推荐什么专业(女生),你好！欢迎报考南京农业大学，我校在湖南历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
录取咨询,15***55 (甘肃),2018-06-26 10:13,老师您好，甘肃理科考生超一本线69分报考贵校种子科学与工程、植物保护专业风险如何？种子科学与工程专业深造和就业前景如何？贵校提档后是否退档？谢谢,你好！欢迎报考南京农业大学，我校在甘肃历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。专业服从调剂，身体体检合格，我校承诺进档不退的。我校各专业的详细介绍详见http://zsxx.njau.edu.cn/yxzy.htm。
贵州考生534可以填报贵校吗？,17***85 (贵州),2018-06-26 09:57,我是贵州的一名理科女，高考分数为534，排名20081，可以填报贵校吗？盼，谢谢您！,你好！我校在贵州历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考
湖南文科考生咨询,15***90 (湖南),2018-06-26 09:56,老师你好分数577位次11213超过我省本一分数线8分想报贵校日语系是否有机会被录取？另贵校日语系是否有公费出国留学的机会？,你好！我校在湖南省历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
山东考生,13***96 (山东),2018-06-26 09:54,老师您好，山东理科587分，位次28205，是否有希望报考贵校？,你好！我校在山东历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考
江苏理科录取,13***52 (江苏),2018-06-26 09:45,您好!354可以报贵校吗？有希望录取吗？,文理科超本一线18分及以上（文科6500名左右，理科30000名左右）AB考生A志愿冲报我校，专业服从调剂，有希望录取。
山东理科,15***21 (山东),2018-06-26 09:34,山东597分，位次21670，有把握进入贵校学习计算机科学与技术、会计学或行政管理吗？谢谢,你好！欢迎报考南京农业大学。我校历年录取分数查询详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
咨询,18***58 (甘肃),2018-06-25 16:40,我是今年甘肃考生，分数518，高出一本线35分，全省排名18340.请问报贵校有希望吗？谢谢！,你好！欢迎报考南京农业大学。我校在甘肃省历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
录取问题,18***12 (云南),2018-06-25 16:23,老师您好，我是云南理科考生，高考分数575，超过一本线45分，排名15259，报考贵校录取的可能性大吗？服从调剂有退档风险吗？,你好！欢迎报考南京农业大学。我校在云南省历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024。我校承诺专业服从调剂，身体体检合格，进档不退档。
山东考生,18***28 (山东),2018-06-25 15:35,您好理科588分，能报考贵校吗？,你好！欢迎报考南京农业大学。我校在山东省历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考
山东理科,15***03 (山东),2018-06-25 15:20,请问山东考生，理科602，排名18762，有希望报考贵校吗,你好！欢迎报考南京农业大学。我校在山东省历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
江苏理科,13***33 (江苏),2018-06-25 15:09,高考成绩359AB，25000多名，有希望报考贵校吗？,你好，放一志愿冲一下，很有希望
录取,13***91 (天津),2018-06-25 14:52,老师你好，我是天津文科考生，总分563，排名2875，有希望录取吗？,你好，放一志愿冲一下，很有希望
河南理科,15***24 (河南),2018-06-27 11:34,我是河南理科考生，今年高考分数584分，全省24624名，请问有希望被录取吗？,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
您好，河南考生理科586分，超一本87分，排名23432,zj***1@163.com (河南),2018-06-27 11:29,您好，河南考生理科586分，超一本87分，排名23432，能报本校吗，谢谢,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
贵州理科,79***@qq.com (贵州),2018-06-27 11:23,老师您好：贵州考生565分，排名11841名，报考贵校，希望多大？谢谢!,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
山东理科学生,13***01 (山东),2018-06-27 11:09,您好：理科586分报考贵校希望大吗？谢谢,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
安徽理科考生,13***50 (安徽),2018-06-27 10:58,老师您好：安徽理科考生598分，13900名，能报考的专业选择面大吗？还是只能选冷门专业？,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
河南考生,15***92 (河南),2018-06-27 10:51,理科556分，走国家专项录取的可能性有多大,你好！欢迎报考南京农业大学，我校历年录取分数查询详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
录取,13***17 (云南),2018-06-27 10:41,云南考生。全省排名12876，线上54，报考贵校有机会录取吗？,你好！欢迎报考南京农业大学，我校历年录取分数查询详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
国家专项招生计划,13***28 (河南),2018-06-27 10:28,您好！我是河南考生：理科总分585，排名24015，想报贵校的国家专项（符合条件）。请问是否有希望？谢谢！,你好！欢迎报考南京农业大学，我校历年录取分数查询详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
山东理科,15***87 (山东),2018-06-27 10:00,老师你好，我今年考了599，全省20533，如果服从调剂有可能被录取吗,你好！欢迎报考南京农业大学，我校历年录取分数查询详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
录取,18***68 (河南),2018-06-27 09:59,河南理科583，排名25200，有希望报考贵校的动物科学或生物科学专业吗？,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
云南考生,18***11 (云南),2018-06-27 09:52,老师您好，我是云南考生，高考分数573，排名在15873，被贵校录取的可能性有多大？如果想在贵校选一个好点的专业有没有可能？贵校今年在云南的投档线是多少？,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024，仅供参考。
报本校可能性,zj***1@163.com (河南),2018-06-27 09:40,河南考生理科586分，能报本校吗，谢谢,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
福建考生报考咨询,13***28 (福建),2018-06-27 09:16,老师您好，我是福建考生，高考省排是13976，有希望上贵校吗？有没有被退档的可能?,你好！欢迎报考南京农业大学，我校历年录取分数详见http://zsxx.njau.edu.cn/lnlqfs.jsp?urltype=tree.TreeTempUrl&wbtreeid=1024
咨询,15***49 (江苏),2018-06-27 09:04,理科350，选修B和B+，可以冲一冲贵校吗,你好！我校选测科目普通类要求等级为AB
