标题,来源,时间,问题,回答
江苏理科362 双选AB+，位次约一万九千名左右,su***@163.com (江苏),2018-06-26 11:39,请问报考贵校有希望吗？,考生您好，建议a志愿专业服从冲一下
老师您好 天津理工类604分,13***77 (天津),2018-06-26 11:38,位次5500-5600请问贵校预测在天津招生是什么位次我有希望吗然后咨询一下宿舍情况和校园周边情况感谢！,考生您好，以去年的招生情况来看，这个位次是希望的，学生宿舍为四人间，独立卫浴，校园周边生活设施非常方便。
山东文科,15***98 (山东),2018-06-26 11:29,您好，我是山东文科考生。分数611，位次3260，请问报考贵校的可能性大吗?谢谢！,考生您好，有一定的希望，建议志愿服从
录取可能,18***56 (贵州),2018-06-26 11:28,2018贵州文史类624位次2546报贵校法学或汉语言文学录取可能性大吗,考生您好，有一定的希望，建议专业服从。
录取,13***77 (天津),2018-06-26 11:27,天津女生位次5500，第一志愿可以录取吗？住宿条件请介绍一下，谢谢！,理科考生的话有一定的希望，建议专业服从，学生宿舍四人间，独立卫浴。
关于地方专项计划,15***48 (江苏),2018-06-26 11:23,请问通过地方专项计划进入南师大，毕业后一定要回到生源地工作五年吗,目前没有这样的规定
录取咨询,15***40 (河北),2018-06-26 11:02,老师您好，我是河北2018届文科考生，629分，省排2922名，请问报考贵校有希望吗？,考生您好，有一定的希望，建议专业服从
转专业疑问,13***38 (黑龙江),2018-06-26 10:51,贵校每年的转专业的政策有什么规定吗,考生你好，我校目前转专业政策较为灵活，大一学年不可以有挂科，具体以当年转专业政策为准。
甘肃理科考生469分,13***64 (甘肃),2018-06-26 10:44,甘肃理科考生469分，比二本高33分，排名39867，报考贵校希望大吗？谢谢！,考生您好，我叫均为本一专业。报考希望较小，感谢您的关注。
咨询,18***44 (河北),2018-06-26 10:02,老师您好，我是河北石家庄理科生，高考成绩为588分，如果报考贵校，被录取的希望大吗？,考生您好，建议参考近三年录取分数线。
咨询,13***20 (河北),2018-06-26 09:40,我是河北的考生，文史类，今年考了646分，在河北省的名次是1419名，想问一下如果报考咱们学校，可能被录取吗？,考生您好，有希望，建议专业服从。
吉林理科女,15***76 (吉林),2018-06-26 09:37,578分省排名9073能否被贵校录取,考生你好，有希望被录取，欢迎报考南京师范大学。
河南理科咨询,15***69 (河南),2018-06-26 09:24,老师好，我是河南理科考生，分数595，省排名18611，有多大几率上贵校呢？,考生您好，有一定的希望，欢迎报考南京师范大学。
陕西文科,18***08 (陕西),2018-06-26 09:04,老师你好，陕西文科593，排名1568，能被录取吗？谢谢,考生您好，有希望录取，欢迎报考南京师范大学。
报考,37***@qq.com (辽宁),2018-06-25 16:42,老师，辽宁文科考了607分，位次926，报考这个学校，有希望被录取吗？,有希望，建议专业服从。
江苏文课,13***52 (江苏),2018-06-27 12:42,您好，文课357分历史B十，政治A十，能进贵校吗？,希望较小，感谢关注。
安徽考生文科625名可以选专业吗,13***78 (安徽),2018-06-27 12:38,1,建议参考近三年录取分数线判断。
湖南考生 报考咨询,13***10 (湖南),2018-06-27 12:23,请问，湖南考生608分，全省排名9472，有希望进贵校物理学（师范）专业么？或者是新闻传播学类？,考生您好，有希望进入我校，建议专业服从。
金陵女子学院,13***59 (江苏),2018-06-27 12:20,请问金陵女子学院毕业证书上盖的章是“江苏师范大学金陵女子学院”吗？,南京师范大学
文科,30***@qq.com (山东),2018-06-27 11:42,您好，我是山东文科考生，考了580，有机会被录取吗,建议参考近三年录取分数线综合判断
咨询,13***52 (江苏),2018-06-27 11:38,您好，江苏考生文课357分，历史B十，政治A十，有希望进贵校吗？谢谢,希望较小，感谢关注
河南文科生报考咨询,13***27 (河南),2018-06-27 11:35,老师您好！河南文科622分，省内名次2011，报考咱们学校录取机会大吗？,考生你好，有希望录取，建议专业服从。
