标题,来源,时间,问题,回答
录取问题,15***09 (黑龙江),2018-06-26 13:17,您好，我是黑龙江理工考生，高考成绩603分，位次5600左右，冲一冲有希望被贵校提档吗？谢谢,有一定风险。
能否报考,13***08 (辽宁),2018-06-26 12:36,我是辽宁考生，理科609分，排名9366，能否报考贵校？谢谢！,有一定风险。
志愿填报,13***44 (山西),2018-06-26 12:35,老师你好，山西理科，男性考生594分，有没有可能进入贵校学习？,你的分数可以冲一下，建议其他志愿填稳妥。
湖北考生,13***87 (湖北),2018-06-26 11:56,你好老师，湖北考生627分，省排6286名，被录取的可能性有多大？,你的分数有较大希望，欢迎报考！
内蒙考生,15***66 (内蒙古),2018-06-26 11:26,老师您好：内蒙考生593分，位次4984能报贵校吗,你的分数可以冲一下，建议其他志愿填稳妥。
黑龙江,18***70 (黑龙江),2018-06-26 11:25,黑龙江考生女，理科，598分可以报考吗,您这个分数有一定风险。
山东文科,15***98 (山东),2018-06-26 11:20,您好，我是山东文科考生。分数611，位次3260，请问报考贵校的可能性大吗?谢谢！,根据往年情况分数排名来看，你的分数有希望，欢迎报考！
海南理科,18***60 (海南),2018-06-26 11:19,海南理科706分，排名1694，报考贵校录取概率大吗，服从调剂是否不会被退档？,根据往年情况在海南省理科最低分排名2000名左右，你的分数有希望，欢迎报考！分数达到我校投档线，专业志愿服从调剂，无其他特殊情况者，保证录取（保证不退档）。
福建理科考生,13***19 (福建),2018-06-26 11:09,您好，我是福建理科的考生599省排5258不知道能否上贵校智能科学与技术专业？,你的分数希望很大，欢迎报考！
甘肃理科考生469分,13***64 (甘肃),2018-06-26 10:47,甘肃理科考生469分，比二本高33分，排名39867，报考贵校希望大吗？谢谢！,您好。我校只招收本一批次以上的高考考生。
江苏理科362 双选AB+，位次约一万九千名左右,su***@163.com (江苏),2018-06-26 10:39,请问报考贵校有希望吗？,您好，这个分数有一定风险。
甘肃理工类考生592分，3650名，可以报贵校吗,18***59 (甘肃),2018-06-26 10:35,甘肃理工类考生592分，3650名，可以报贵校吗,你的分数有希望，欢迎报考！
国家专项计划,13***55 (云南),2018-06-26 10:17,老师好，我是云南考生，今年高考分为617分，全省位次5694，我想通过国家专项计划报贵校，有都多大希望录取？,您好，由于报考国家专项名额少，考生每年水平和分数不同，所以录取分数波动性比较大，无法预估，可参考本省公布的名额和往年情况（本科生招生网http://zsb.njust.edu.cn）自行考虑
山东考生,15***38 (山东),2018-06-26 09:37,老师您好，请介绍一下贵校中外合作的情况，两个专业是和国外哪所大学合作的？毕业证是否注明中外合作字样？谢谢。,法国梅斯国立工程学院，跟普通的专业的毕业证书是一样的
河南理科报考,ld***ail.com (河南),2018-06-26 09:33,2018河南理科610，全省排名12100左右，有希望被贵校录吗？,你的分数有一定风险。
河南文科，619分，2343位次，报考贵校有希望吗？,41***@qq.com (河南),2018-06-26 15:41,河南文科，619分，2343位次，报考贵校有希望吗？,有一定希望的，欢迎报考。
吉林省考生（理） 一批A志愿,15***88 (吉林),2018-06-26 15:16,吉林省理科考生628分（一本线533）排名2948请问被贵校录取的可能性大吗,你的分数希望很大，欢迎报考！
录取咨询 广西考生,15***57 (广西),2018-06-26 15:14,老师好，我是广西理科考生，高考分数是576，比一本高出63分，排名12040，请问可以录到贵校吗？如果可以，应该报选哪些专业呢？,您这个分数有一定风险。
报考,15***35 (河南),2018-06-26 15:10,您好，我是河南省理科考生，今年分数621，位次8451，报考贵校被录取希望大吗？是否很容易被调剂？,你的分数希望很大，欢迎报考！
海南理科生,15***16 (海南),2018-06-26 15:01,你好，请问海南高考分数709能不能报考本校？录取几率大吗,你的分数希很大，欢迎报考！
录取,15***29 (湖南),2018-06-26 14:59,老师您好！湖南省2018年理科考生，成绩596，第一志愿报考贵校有希望吗？,有一定风险。
预科录取,18***62 (宁夏),2018-06-26 14:58,老师您好，我理科508分，全省排名5600名，报贵校的民族预科班录取的可能性怎么样？,预科招生计划少，无法预估，可参考本省公布的名额和往年情况（本科生招生网http://zsb.njust.edu.cn）自行考虑。
录取问题,13***88 (陕西),2018-06-26 14:53,老师您好，我是陕西理科考生，高考成绩597，位次8722，请问报考贵校，录取概率大吗？,你的分数可以冲一下，建议其他志愿填稳妥。
海南理科生,18***90 (海南),2018-06-26 14:23,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,你的分数希望非常大，欢迎报考！
录取,13***70 (北京),2018-06-26 14:18,老师，您好！我是北京考生，有两个问题，请老师一下：1.今年学校在北京招生有专业级差吗？2.理工科617，排名5900名左右，可以报考咱们学校吗？谢谢老师！,没有专业级差。根据往年情况在北京省理科最低分排名6000名，你的分数是有希望的，欢迎报考！
天津理科,13***54 (天津),2018-06-26 14:16,天津理科611分排名4900有没有机会录取,根据往年情况在天津理科最低分排名4200名，你的分数有一定风险。
关于高校农村专项,18***13 (福建),2018-06-26 14:04,您好，我是福建考生，高考成绩547分，全省排名15610，能否通过高校农村专项录取到贵校？如果能上贵校的话我会感到十分荣幸!,您好，高校专项计划名额少，录取原则是按照分省分专业计划和分数从高到低择优录取，无法预估，可参考本省公布的名额和往年情况（本科生招生网http://zsb.njust.edu.cn）自行考虑
弱视,24***@qq.com (四川),2018-06-26 13:51,一只眼弱视，理科生，不能报哪些专业？,体检专业受限标准详细请查看http://zsb.njust.edu.cn/detail?id=487
新疆录取,15***47 (新疆),2018-06-26 13:32,您好，我是新疆的理科考生，588分，全省排名3116,根据往年情况在新疆省理科最低分排名2900名左右，你的分数可以冲一下，建议其他志愿填稳妥。
新疆理科生,18***99 (新疆),2018-06-26 13:27,老师，您好！我的分数是563想问问我进南理有希望吗,根据往年情况在新疆省理科最低分排名2900名左右，你的分数有一定风险。
南京理工大学2018年招生计划,13***32 (云南),2018-06-25 14:28,南京理工大学云南国家专项2018年招生计划能告诉一下吗,具体专业计划可以参照我校本科生招生信息网（zsb.njust.edu.cn）进行查看
报考,13***10 (吉林),2018-06-25 13:49,老师您好，我是吉林理科考生，分数581位次8591有希望吗？,你的分数有一定风险，根据往年情况，吉林理科全省6000之前有希望
安徽考生,18***58 (安徽),2018-06-25 13:31,老师您好：请问安徽省理科考生605，位次11442，填报志愿A冲刺贵学校，专业服从调剂，录取几率怎么样，麻烦老师一下，孩子比较青睐贵学校，谢谢！,分数有一定风险，根据往年情况，安徽理科全省排名6000之前有希望
河南考生录取,18***57 (河南),2018-06-25 12:45,584分能报你们学校吗？如果能专业如何？,根据往年情况，河南理科全省9000名之前有希望
您好，我是天津考生，理科620，位次4067，录取概率有多大,18***04 (天津),2018-06-25 11:55,您好，我是天津考生，理科620，位次4067，录取概率有多大,有希望，根据往年情况，天津理科考生全省4200名之前有希望，欢迎报考！
辽宁考生623分6341-6529位次,18***20 (辽宁),2018-06-25 11:53,辽宁考生623分6341-6529位次，报考贵校有希望吗？,根据往年情况，辽宁理科考生全省6000之前有希望，你的分数有希望，可以冲一冲，其他志愿填稳妥
宁夏考生咨询,15***59 (宁夏),2018-06-25 11:10,老师您好，我是宁夏考生，总分567，理科，全省排名1779，请问能被贵校录取吗？贵校在宁夏的录取名次是多少名呢？谢谢？,根据往年情况，宁夏理科考生全省2000名之前有希望，你的分数希望很大，欢迎报考
