标题,来源,时间,问题,回答
录取问题,13***18 (山东),2018-06-25 09:31,你好老师，山东理科624分，排名9399，报考贵校，服从调剂，希望大不大,感谢您对我校的关注！您的分数填报我校有希望有一定的风险，我校往年录取名次在9000名左右，谨慎填报
我是山东的，理科628分，排名8090，能否被贵校录取？,13***58 (山东),2018-06-25 09:30,我是山东的，理科628分，排名8090，能否被贵校录取？谢谢,感谢您对我校的关注！您的分数报考我校有希望。
山东考生,15***38 (山东),2018-06-25 09:28,老师您好，想问一下贵校的中外合作情况，毕业证和其他的都是一样的吗？谢谢。,中外合作具体情况拨打025-84892970进行咨询
新疆理科,15***68 (新疆),2018-06-25 09:21,老师您好！我是新疆理科考生，成绩610，位次1780，请问报考贵校希望大吗？感谢！,感谢您对我校的关注！您的分数报考我校有希望，也有风险。可放第一志愿冲刺
山东理科,13***10 (山东),2018-06-25 09:12,老师您好，山东考生理科627分，报考贵校是否可以。排名8686,感谢您对我校的关注！您的分数报考我校有希望。我校往年在山东省录取名次在9000名左右
贵校文科专业就业,15***12 (北京),2018-06-24 16:57,我想问一下因为贵校应该是偏理工，那么我这种文科专业（广播电视学）的教学质量和学历认可度怎么样，想咨询一下，谢谢。,我校就业率达百分之95以上
北京文科考生617分，排名2152贵校的广播电视学可不可以？,15***12 (北京),2018-06-24 16:55,北京文科考生617分，排名2152贵校的广播电视学可不可以？,感谢您对我校的关注！您的分数报考我校有希望。但是有一定的风险，可尝试填报。具体专业填报可参考2017年分省分专业最低分进行填报http://zs.nuaa.edu.cn/7077/list.htm
安徽考生,18***46 (安徽),2018-06-24 16:52,老师，高考成绩608排名10468，填报志愿录取希望大吗？,感谢您对我们学校的关注！您这个分数报考我们学校被录取的希望很小，您可以考虑其他学校，谢谢
报考机会,13***96 (浙江),2018-06-24 16:43,浙江考生，今年分数是630，很想报考贵校的专业有机会吗？谢谢,感谢您对我们学校的关注！您这个分数报考我们学校被录取的希望很小建议考虑其他学校
广西理科考生投档,13***45 (广西),2018-06-24 16:41,总分裸分610，全区排名4900左右，将贵校设为第一志愿，有多大可能录取,感谢您对我们学校的关注！您这个分数报考我们学校被录取的希望很大
安徽考生,18***46 (安徽),2018-06-24 16:39,老师，高考成绩608排名10468，填报志愿录取希望大吗？,感谢您对我们学校的关注！您这个分数报考我们学校被录取的希望很小，您可以考虑其他学校，谢谢
报考咨询,15***51 (陕西),2018-06-24 14:01,老师您好，我是陕西应届考生，女生，理科，高考611分，全省排名6344名，报考贵校希望大吗。航天飞行专业哪些女生不能报考呢？,感谢您对我们学校的关注！您这个分数报考我们学校被录取有希望，建议女生慎重报考交通运输（空中交通管制与签派）和交通运输(民航机务工程)
提前批,13***71 (陕西),2018-06-24 13:51,你好，请问提前批飞行技术专业招女生吗,不招
上海,13***77 (上海),2018-06-24 13:21,上海考生529分8500名有希望吗,感谢您对我们学校的关注！您这个分数报考我们学校被录取有希望，我校去年在上海最低分为530分，有一定的风险，可尝试填报
上海,13***77 (上海),2018-06-24 13:12,上海考生529分8500名有希望吗,感谢您对我们学校的关注！您这个分数报考我们学校被录取有希望，我校去年在上海最低分为530分，有一定的风险，可尝试填报
安徽理科635分4396名，报考贵校软件工程专业有希望吗？,18***06 (安徽),2018-06-25 15:06,安徽理科635分4396名，报考贵校软件工程专业有希望吗？,感谢您对我校的关注！首先您的位次报考我校有希望。具体专业录取需看今年考生报考专业的情况。可参照2017年分省分专业最低分进行选择http://zs.nuaa.edu.cn/7077/list.htm
请问贵校的广播电视学有涉及到新媒体或网络吗？,15***12 (北京),2018-06-25 15:03,请问贵校的广播电视学有涉及到新媒体或网络吗？,https://mp.weixin.qq.com/s/npJjlYBmBws2Vs29ZSsVSA具体专业您可通过该网址进行了解
北京文科考生617分，排名2152贵校的广播电视学可不可以？,15***12 (北京),2018-06-25 15:03,北京文科考生617分，排名2152，填报贵校的广播电视学可不可以？,感谢您对我校的关注！首先您的名次报考我校有希望。具体专业能否录取需参照当年考生填报情况
新疆考生,13***98 (新疆),2018-06-25 14:32,成绩617，位次1400左右，报贵校有希望吗,感谢您对我校的关注！您的位次报考我校有希望
内蒙理科,15***28 (内蒙古),2018-06-25 14:17,内蒙理科578，排名6598，报考贵校可否？,感谢您对我校的关注！您的位次报考我校希望不大
咨询,17***28 (浙江),2018-06-25 14:03,浙江考生640分10000名左右。能录取吗,感谢您对我校的关注！您的位次报考我校较危险，谨慎填报
广西考生,18***65 (广西),2018-06-25 13:59,老师您好！！今年高考分数607分，区内排名5400左右，有希望进入贵校吗？如果可以，能选择到计算机类的专业吗？？,感谢您对我校的关注！您的位次报考我校有希望，具体专业录取需根据今年广西省考生报考情况。可进行填报，可参考2017年分省分专业最低分进行填报http://zs.nuaa.edu.cn/7077/list.htm
尊敬的老师，请问福建考生580分 位次8222有望报考贵校吗,15***76 (安徽),2018-06-25 13:08,如题,感谢您对我校的关注！您的位次报考我校较危险，建议考虑其他院校
关于嵌入式培养,15***26 (浙江),2018-06-25 12:52,请问这是教学方式还是说该专业的一个方向,感谢您对我校的关注！请您详细描述一下您的问题便于我们回答
录取问题,13***00 (山东),2018-06-25 11:47,山东文科考生616分，省2453名，报考你们学校能录取吗？,请联系我们招生组，招生组行程https://mp.weixin.qq.com/mp/homepage?__biz=MjM5MTU1ODUwMA%3D%3D&hid=16&sn=c450d8bf27d701f43dca50a0dfdbe717#wechat_redirect
河南理科考生,15***57 (河南),2018-06-25 11:03,我是河南理科考生583分排名23072有希望录取吗,感谢您对我校的关注！您的位次报考我校没什么希望建议考虑其余学校
退档,13***52 (湖北),2018-06-25 11:02,请问老师，如果服从调剂，是不是提档不退档,本科一批次录取中，在实行完全平行志愿的省份，如果考生专业服从，并且身体符合要求，进档不退
民航类考生,17***34 (河南),2018-06-25 10:50,尊敬的老师：您好！我是河南的一位考生，今年的民航招飞体检已经通过。目前分数已经下来。我报考的是中国民用航空飞行学院。分数为447，想问一下被录取的概率大吗？此致敬礼,感谢您的关注！招飞问题请尽快咨询025-52112753
招生咨询,13***57 (天津),2018-06-25 10:25,您好：我是天津理科，4739位次请问多少名次能入咱们学校？有没有专业级差？最低进校位次是多少？拜托了！百忙之中感谢您的回答！,感谢您对我校的关注！您的位次报考我校有危险，我校往年在天津招考名次为4000名以内，建议考虑其他院校
咨询,18***70 (安徽),2018-06-25 10:19,你好，安徽考生理科630名次5228，能报考贵校什么专业？,感谢您对我校的关注！您的分数建议填报专业时避开我校热门专业。具体可参照2017年分省分专业最低分进行填报http://zs.nuaa.edu.cn/7077/list.htm
云南少数民族考生咨询,18***12 (云南),2018-06-24 13:04,我是云南理科考生，高考分超过一本分25分，555分，请问能否报考贵校,感谢您对我们学校的关注！您这个分数走本一批报考我们学校被录取希望不大，建议考虑预科或其他院校
湖北考生咨询,18***98 (湖北),2018-06-24 11:58,您好，老师。我是湖北理科考生，分数为617，位次8400。有希望被贵校电气工程与自动化专业录取吗,感谢您对我们学校的关注！您这个分数报考我们学校录取较危险，具体专业填报建议避开热门专业
咨询,18***65 (河北),2018-06-24 10:10,我是2018河北理工科考生，今年高考分数643分，省排名7107~7371，能否被贵校录取？,感谢您对我们学校的关注！您这个分数报考我们学校被录取有希望
安徽录取,18***46 (安徽),2018-06-23 15:35,安徽考生，高一本线103分，排名10468，上该校的可能性大吗？,感谢您对我们学校的关注！您这个分数报考我们学校被录取希望不大，建议考虑其他院校
中外合作专业毕业证书,13***85 (江苏),2018-06-23 15:06,老师好：贵校中外合作专业毕业证书是否和其它专业相同，是否会标注中外合作字样？中外合作专业考研是否和其它专业相同？,中外合作具体内容可咨询025-84892970
北京理工科,18***85 (北京),2018-06-23 14:00,请问北京理工科大概什么成绩或排名可以录取？,感谢您对我们学校的关注！建议您拨打4001810287进行咨询
可能录取吗,18***07 (四川),2018-06-23 13:25,四川理科男630分（位次10580)有可能录取吗,感谢您对我校的关注。您的分数填报我校有可能录取，有一定的风险
贵州理科,13***35 (贵州),2018-06-23 12:24,老师您好，我是贵州的理科考生，分数593位次6339，请问报考贵校有希望被录取吗？谢谢！,感谢您对我校的关注！您的分数报我校有一定的风险，可以尝试填报
江西考试，能否录取,13***77 (江西),2018-06-23 12:23,尊敬的老师您好，我是18届江西理科类考生，分数616，全省排位5417，第一志愿填贵校，有希望录取吗？,感谢您对我校的关注！您的分数报考我校有希望
贵州,15***12 (贵州),2018-06-23 11:34,老师您好，我是18届贵州考生，分数562，排位12674，今年理科有208680人，第一志愿填贵校，有希望录取吗？,详情请咨询我校贵州组招生老师，http://zs.nuaa.edu.cn/2018/0622/c7069a124253/page.htm
能否录取,15***92 (河北),2018-06-23 10:17,你好：我是河北的理工类考生，已通过贵校的高校专项，高考分数552分，能被录取吗！,我校高校专项根据计划择优录取，且不低于本科一批控制线，您可以根据往年情况进行预估，历年情况查询网址http://zs.nuaa.edu.cn/7077/list.htm
色盲或色弱录取问题咨询,15***59 (浙江),2018-06-22 13:48,老师好：我是浙江的考生，想咨询下关于体检结果为色盲或色弱的情况，贵校哪些专业不能被录取？,"具体专业请参考我校2018年招生章程,网址zs.nuaa.edu.cn"
河南理科考生,qi*** (河南),2016-06-28 16:54,你好，河南理科考生620分，7677名报考贵校有希望吗,你好，有希望，欢迎报考南京航空航天大学
河南理科 603分，同意调剂，能录取吗？谢谢！,hu***piaofeng (河南),2016-06-28 16:46,河南理科603分，同意调剂，能录取吗？谢谢！,你好，这个分数还差了点
我是青海考生理科，511分，位次1795名，可以报考贵校吗？,qh***g (青海),2016-06-28 16:25,您好，我是青海考生理科，511分，位次1795名，可以报考贵校吗？录取机会大吗？,你好，有希望，欢迎报考南京航空航天大学
海南理科,18***60 (海南),2018-06-26 11:18,海南理科706分，排名1694，报考贵校录取概率大吗，服从调剂是否不会被退档？,感谢您对我校的关注。您的名次报我校较危险，可以尝试冲刺。服从调剂后，若是本一批次平行志愿，身体符合条件我们进档不退
甘肃理科考生469分,13***64 (甘肃),2018-06-26 10:33,甘肃理科考生469分，比二本高33分，排名39867，报考贵校希望大吗？谢谢！,感谢您对我校的关注！我校只面向本一批次招生
甘肃理工类考生592分，3650名，可以报贵校吗,18***59 (甘肃),2018-06-26 10:31,甘肃理工类考生592分，3650名，可以报贵校吗,感谢您对我校的关注！可以尝试填报，报考我校有希望
国家专项计划,13***55 (云南),2018-06-26 10:16,老师好，我是云南考生，今年高考分为617分，全省位次5694，我想通过国家专项计划报贵校，有都多大希望录取？,感谢您对我校的关注！我校国家专项去年在云南最低分为576分。您的分数可以尝试填报，是有希望被我校录取的
河南省艺术类提前批,13***54 (河南),2018-06-26 10:10,专业课考了235，文化课考了514，总分749。今年河南省分数线较高且人数更多，请问报考贵校有希望吗？,我校今年在河南未设置美术类专业计划
关于专业侧重点,13***87 (湖北),2018-06-26 09:47,你好老师，贵校的“飞行器设计与工程”专业侧重点是倾向航空还是航天？民用还是军用？谢谢,具体侧重主要是通过学生本人选择。http://zs.nuaa.edu.cn/2009/1125/c7091a117874/page.htm对专业的更深入了解可通过该网址
江苏理科,18***82 (江苏),2018-06-26 09:38,总分381分，物理A+化学B+，报考贵校希望大吗？可以报考哪些专业？,感谢您对我校的关注！http://zs.nuaa.edu.cn/2018/0624/c7069a124279/page.htm江苏考生可通过该网址找到我们的招生老师联系老师咨询报考相关事宜
山东考生,15***38 (山东),2018-06-26 09:33,老师您好，请问一下贵校中外合作的情况，两个专业分别是和哪个大学合作的？毕业证是否写中外合作的字样，谢谢。,感谢您对我校的关注！有关中外合作具体情况您可以拨打023-84892970进行咨询
河南理科610，全省排名12100左右，有希望被贵校录吗？,ld***ail.com (河南),2018-06-26 09:30,谢谢！,感谢您对我校的关注！我校在河南往年录取名次在9000名左右，您的名次报考希望不大
湖北考生626分，能被录取吗？,13***87 (湖北),2018-06-26 09:29,老师你好，湖北考生626分，省排6288名，能被录取到“飞行器设计与工程”专业吗？,感谢您对我校的关注！首先您的名次报考我校希望很大，可以进行填报。飞行器设计与工程专业属于我校热门专业，您的名次需谨慎填报。
甘肃理工类考生592分，3650名，可以报贵校吗,18***59 (甘肃),2018-06-25 17:00,甘肃理工类考生592分，3650名，可以报贵校吗,感谢您对我校的关注！您的名次进我校有一点危险，可以冲刺一下填报我校
录取,18***90 (江苏),2018-06-25 16:56,江苏考生377分，物化A+和A，有可能被贵校录取吗？,感谢您对我校的关注！您的分数报考我校希望不大
山东考生咨询,11***3@qq.com (山东),2018-06-25 16:30,招办老师你好！我是山东理科生，今年高考分数630，省排名7735名，报考贵校是否有希望？,感谢您对我校的关注！我校往年在山东录取名次约在9000名左右，报考我校希望很大
提前A批报志愿,13***28 (河北),2018-06-25 16:26,您好老师，我是河北考生，艺术类文科，联考成绩238.7，文化成绩487，报本校录取机率大吗,感谢您对我校的关注！艺术类的报考咨询025-52075807
安徽理科考生,13***91 (安徽),2018-06-25 15:18,老师您好！我是安徽理科考生，634分，排名4603，可以报考贵校吗？我是女生，有没有什么专业不适合呢？,感谢您对我校的关注！您的位次报考我校希望很大。我校交通运输（空中交通管制与签派）和交通运输（民航机务工程）不太建议女生填报
重庆考生,15***26 (重庆),2018-06-26 16:25,您好！请问南航是大类招生吗？能够转专业吗？转专业是针对大一学生吗？,感谢您对我们学校的关注！我们学校有部分专业为大类招生，具体可参考我校招生网的具体专业介绍http://zs.nuaa.edu.cn/2009/1125/c7091a117874/page.htm。大一结束后需成绩达到一定要求可转专业，具体政策参考学院当年政策
河南理科生,13***27 (河南),2018-06-26 15:58,我是河南一名理科生614分排名10714名可以报考贵校吗，如不可以，走国家专项计划行不行,感谢您对我们学校的关注！您的分数若是走普通本一批可能比较危险希望不大。国家专项可尝试，但是由于国家专项计划人数不多浮动较大，具体能否录取需看今年学生报考情况
云南理科录取,15***61 (云南),2018-06-26 15:48,我是云南理科考生，成绩595分，超过一本线65分，省排10049名。报贵校有希望吗？,感谢您对我们学校的关注！我们在云南理科往年录取名次在5000名以内，报考我校录取希望不大
为贵校暧心咨询点赞！,18***38 (北京),2018-06-26 15:42,今天看了许多校，不比较不知道。与南航热心相比，有多少学校在不负责地应付…………南航招生老师辛苦了！,感谢您对我们的关注！
