标题,来源,时间,问题,回答
有关录取的问题,13***16 (湖北),2018-06-26 11:46,您好，我是湖北2018届文科考生，高考省排名3212，高出一本线49分，请问能报考贵校吗？,有希望，可以试试
录取咨询,18***52 (四川),2018-06-26 11:38,四川，理科627分，报考贵校能录取吗？谢谢,欢迎报考
请问贵校有专业级差吗？,15***85 (江西),2018-06-26 11:27,请问贵校有专业级差吗？,没有
咨询,25***@qq.com (河北),2018-06-26 11:20,您好，河北理科考生617分，省排名15700多，报考贵校可能性？贵校哪些专业较好？女生报考软件工程的前景？,有希望，软件行业前景尚可
有关录取的问题,13***16 (湖北),2018-06-26 11:15,您好，我是湖北2018届考生，高考省排名3212，请问能报考贵校吗？,有希望，可以试试
咨询,13***99 (湖北),2018-06-26 11:13,湖北理科女生560，报考贵校有希望被录取吗,希望不大
湖南理科考生,15***43 (湖南),2018-06-26 11:11,老师，您好，湖南考生总分583，排名17455，请问有可能被贵校录取吗？专业选择面大吗？,希望不大
山东文科考生,18***16 (山东),2018-06-26 11:04,文科596省6149有希望吗,很危险
有关录取的问题,13***16 (湖北),2018-06-26 11:03,您好，我是湖北2018届考生，高考省排名3212，请问能报考贵校吗？,有希望，可以试试
服从专业调剂，不会调到高收费的中外合办的专业吗？,19***34 (陕西),2018-06-26 11:01,服从专业调剂，不会调到高收费的中外合办的专业吗？,如果没有明确愿意调剂至该专业，就不会调剂
云南考生一本线线差47是否有希望录取,13***32 (云南),2018-06-26 10:49,老师您好我是云南的考生我有意向报考贵校工业设计专业，我与云南一本线差为47次位14700是否有希望录取，若服从调剂录取入校后是否有机会转换专业至工业设计专业,可以冲一下试试，入校一年后，按照“自主选择、统一考核、按比例择优录取”原则，允许部分优秀学生自主选择专业
专业&amp;住宿情况,15***85 (天津),2018-06-26 10:49,老师您好，我是天津理科考生，我们这里是平行志愿投档想问您以下几个问题：1.入校后分专业，分数优先还是志愿优先？2.专业之间是否存在极差？若存在，如何设置？3.入校后可以转专业吗？转专业有什么要求？4.住宿条件如何？（几人间？是否有空调？）,1、分数优先，遵循志愿2、不存在3、入校一年后，按照“自主选择、统一考核、按比例择优录取”原则，允许部分优秀学生自主选择专业
录取,18***21 (四川),2018-06-26 10:42,四川，理科，603，中外合作办学，录取机率有多大,希望不大
江西理科考生570分上,15***85 (江西),2018-06-26 10:40,南昌大学临床医学再加个苏区专项有希望上吗,专业希望不大
有关苏区专项的提问,15***26 (江西),2018-06-26 10:06,今年高考分数552有希望走苏区专项进入贵校吗,希望不大
有关苏区专项的提问,15***26 (江西),2018-06-26 10:01,贵校预计今年苏区专项的录取分数是多少,没有预测专项录取分，预计普通本部一本录取分570，苏区专项可能略低一点
咨询,15***14 (江西),2018-06-26 09:58,我是江西考生，符合苏区专项，理科541，可以进南昌大学吗,没什么希望
