标题,来源,时间,问题,回答
湖南理科考生,15***43 (湖南),2018-06-28 14:15,老师您好，高考分数583，位次17455，报考宣城校区，录取希望大吗？,鼓励报考
湖北考生,13***17 (湖北),2018-06-28 13:56,转业志愿录取是按什么机制进行，是分数高低，还是什么？,分数优先
安徽理科成绩595分,13***73 (安徽),2018-06-28 13:44,您好！请问能否填报贵校？,您好你的分数可能差了一点，可以考虑冲一冲，预估600分
江西考生录取，9838名,13***69 (江西),2018-06-28 13:07,我是江西考生，596分，全省排名9838，请问录取贵校有希望吗，如果录进了，专业会是较差专业吗，有专业绩差吗,鼓励报考。没有专业极差。
您好，我是新疆考生理科546，想报贵校，可以录取吗,18***39 (新疆),2018-06-28 12:52,您好，我是新疆考生理科546，想报贵校机械设计制造及其自动化可以录取吗？,您好，具体专业还需要您在本科招生网上查询历年分数情况。我们无法保证您能被哪个专业录取
报考咨询,18***62 (湖南),2018-06-28 12:34,今年湖南理科总分599，全省含全国性加分排名12079，请问报考贵校计算机科学与技术，软件工程专业可能性大吗？或是其他机械类工科专业。,鼓励报考合肥校区。具体专业还需要您在本科招生网上查询历年分数情况。
退档,15***93 (江苏),2018-06-28 12:27,您好！我是江苏一名文科生，贵校2018年在江苏省只招2个文科专业，想请问下，专业志愿填服从，如果进档了，但2个专业已全部录满，这时会退档吗？谢谢！,投档成功且服从调剂不退档。同时会追加计划录取进档且服从调剂的考生
关于住宿条件、专业、能否录取以及学校概况,18***13 (福建),2018-06-28 12:23,贵校住宿条件怎么样？有几人间？哪些专业发展的比较成熟？本人福建考生省排名15610，分数高本一线57分，能否有机会被录取进入贵校？,住宿条件良好。有四人间六人间。具体查询报考指南详情。具体专业还需要您在本科招生网上查询历年分数情况。福建历年分数排名情况为32391和12175（合肥校区），宣城校区为14439和14246。
录取,15***93 (江苏),2018-06-28 12:20,尊敬的招办老师您好！我是江苏省一名文科生，高考总分349（全省排名9068），选测科目等级历史A、政治A+，能填报贵校吗？录取得可能性大吗？谢谢!,鼓励报考合肥校区。
1,17***38 (山东),2018-06-28 12:16,老师您好~我是山东理科考生，成绩581，省内排位32270，想问下报考贵校有希望被录取吗,您好，您的分数有些困难
国家贫困专项计划入学后转专业,13***59 (河南),2018-06-28 11:33,我查阅了贵校的转专业规定，其中有“以特殊招生形式录取的，国家有相关规定或者录取前与学校有明确约定的学生”不得转专业，请问通过国家贫困专项计划入学的是否属于“特殊招生形式”，是否可转专业。感谢您的解答。,您好，可以转专业
录取预测,13***11 (湖北),2018-06-28 11:28,老师您好，我是2018年湖北理科考生，高考成绩为580，位次20157。请问填报贵校宣城校区①15材料成型及控制工程②12机械工程③22电子信息科学与技术④31能源化学工程⑤10机械工程⑥35物流管理，服从调剂，是否有录取希望？我的愿望是只要录取了就不错了，不敢报热门专业。,具体专业还需要您在本科招生网上查询历年分数情况。我们无法保证您能录取上哪个具体专业。需要您们好好考虑
志愿填报,18***84 (四川),2018-06-28 11:17,老师您好，我是2018年四川的考生，高考成绩为理科602，请问填报贵校电子信息工程、电气工程及自动化、机械设计制造及自动化，是否有录取希望？,具体专业还需要您在本科招生网上查询历年分数情况。以及参考历年录取分数排名状况
福建理科生537分可以报考贵校吗？,13***46 (福建),2018-06-28 11:09,福建理科生537分可以报考贵校吗？有什么建议？服从调剂会不会被调剂到中外合作班去（太贵了，在国外的费用多少？），谢谢,福建历年分数排名情况为32391和12175（合肥校区），宣城校区为14439和14246。不会调剂到中外合作。（两万一）
辽宁生进档服从还会退档吗,13***19 (辽宁),2018-06-28 11:00,有级差吗,没有极差，投档成功前提下不退档
排名,13***21 (云南),2018-06-25 10:34,老师好，请问贵校的思想政治教育专业，我分数592排名5449可以吗？,您好，你可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页来详细了解专业录取分数详情来对比你的分数排名情况来综合考虑！
录取,15***93 (江苏),2018-06-25 10:30,您好！我是江苏省一名文科考生，高考总分349，位次9068~9571，历史A，政治A+，可以报考贵校（宣城校区）的法学和广告学专业吗？谢谢！,您好，你可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页来详细了解专业录取分数详情来对比你的分数排名情况来综合考虑！
重庆考生,15***84 (重庆),2018-06-25 10:27,老师您好，我今年585分，一本线524，超了61分，全市排名15000，我报贫困专项能上贵校吗？贵校的优势专业是什么，我可以报吗？谢谢,您好，本校今年只有国家专项和高校专项计划，没有贫困专项计划。优势专业你可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页来详细了解各专业情况。
重庆理科,18***02 (重庆),2018-06-25 10:27,老师您好！我想咨询一下贵校的宣城校区有哪些专业是比较好的，还有宣城校区的师资是否与主校区一样？另外宣城校区的机械工程的考研率和就业率怎么样？谢谢老师解答。,宣城校区与主校区的区别就是办学地点的不同。宣城校区专业可以下载本科招生指南查看宣城校区的具体专业介绍。参考数据介绍来详细了解
河北考生,17***51 (河北),2018-06-25 10:21,河北考生过一本线97分报考贵校可以吗,您好，主要看分数在本省的排名情况。分数每年都会变化。
宣城校区,12***6@qq.com (安徽),2018-06-25 10:20,我是安徽理科考生，高考成绩579，省排名21553，报考贵校宣城校区有希望吗？,排名21000鼓励报考宣城校区。
安徽理科,18***16 (安徽),2018-06-25 10:16,今年安徽11800名可以填报合工大吗?如果被调剂可以转专业方便吗,13000合肥校区鼓励报考。转专业的话满足条件即可申请。所修课程在本年级本专业排名前30%即可申请。其次获得新生优秀奖学金二等奖及以上也可申请一次。
重庆理科报考咨询,18***02 (重庆),2018-06-25 10:07,老师您好！我是重庆理科考生，高考成绩588分，14221名，能不能报考贵校宣城校区的机械工程专业呢？若不能，可以报考宣城校区的那些特色专业呢？谢谢老师解答。,您好，你可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页来详细了解各专业录取分数详情来对比你的分数排名情况来综合考虑！特色专业可以查看报考指南里面的专业介绍来考虑。
四川理科,13***11 (四川),2018-06-25 09:56,621分位次14726报贵校的软件工程计算机科学与技术专业有希望吗,您好，你可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页来详细了解各专业录取分数详情来对比你的分数排名情况来综合考虑！
山东考生，自招通过了，成绩理科541，还有希望录取不？,13***53 (山东),2018-06-25 09:49,山东考生，自招通过了，成绩理科541，还有希望录取不？,您好，可以根据自招优惠分数加上你的裸分，然后对比名次和历年录取分数线排名来综合参考
甘肃省理科559，排名8256,18***13 (甘肃),2018-06-25 09:49,老师能被录取吗,您好，具体您可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页具了解各省录取分数线排名状况来综合考虑！
合肥工业大学,13***89 (河北),2018-06-25 09:44,河北考生　620分，有希望吗？,您好，具体您可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页具了解省份历年分数线排名状况来综合考虑！
陕西考生报考,13***68 (陕西),2018-06-25 09:35,我是陕西理工类考生，成绩568，位次14850，请问可以报考贵校吗？,您好，具体您可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页具了解省份历年分数线排名状况来综合考虑！
报考录取,13***31 (江西),2018-06-25 09:13,你好，我是江西文科考生，分数575，位次7820报你校的文科专业有希望吗？,您好，具体您可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页具了解具体历年录取分数线排名状况来综合考虑！
安徽考生,15***23 (安徽),2018-06-24 16:54,安徽理科考生603分，12033名，请问报考贵校可以吗？热门专业有风险吗？,您好，具体您可以在合肥工业大学本科招生网下载2018报考指南以及宣传折页具了解具体专业分数线排名状况来综合考虑！
