标题,来源,时间,问题,回答
山东考生,15***07 (山东),2018-06-25 11:54,您好，山东理科，615分，12800名左右，是否可以报贵校。专业能否推荐，谢谢,有录取希望，可以考虑报考
报考咨询,18***82 (安徽),2018-06-25 11:51,老师您好，我是来自安徽的考生，高考600分，排名是12968，报考贵校可以吗？,可以报考
户口转移问题,13***52 (北京),2018-06-25 11:45,您好，我是北京考生，我有意愿报考贵学校，只是不知道我被贵校录取后是否一定要转移我的户口到贵省去。PS:我是北京农业户口。,不需要迁移户口
安徽理科生,50***@qq.com (安徽),2018-06-25 11:36,安徽考生，理科生，2018年高考601分，位次12818，有希望录取吗？谢谢！,有希望
模拟投档线,13***09 (北京),2018-06-25 11:14,贵校在志愿填报前模拟投档线是否有公布,由地方招办统一公布
河北理科,15***79 (河北),2018-06-25 11:12,河北理科634分，位次9901，能否报考贵校,有一定希望，可以报考
录取分数,13***58 (北京),2018-06-25 11:11,老师，您好！今年理工分数600，北京位次8149。是否能录取到自动化专业？谢谢！,有希望
河南理工考生,13***86 (河南),2018-06-25 10:50,老师，你好，成绩598位次17190，有被贵校录取的希望吗？,可以一试
专业问题,15***15 (陕西),2018-06-25 10:30,老师，您好。我已通过贵校的高校专项计划，今年我的高考分数为：510。能否被贵校录取？,有点悬
报考河,13***96 (河南),2018-06-25 10:24,河南考生理科往年录取位次，中外合作与统招一个校区吗毕业证与统招有啥区别？少数民族加5分提档与分专业时承认吗？,我校只有一个校区，毕业证无区别！
关于投档与录取,13***19 (江苏),2018-06-25 09:58,老师您好，我是江苏理科考生，总分361，物理B+，生物A，可以报考贵校吗?会不会退档?专业是否有限报?,可以报考，原则上，服从调剂后不会退档
河南考生548分，报考贵校自动化，有自主招生20分优惠,13***78 (河南),2018-06-25 09:52,河南考生548分，报考贵校自动化，有自主招生20分优惠，有可能录取吗？谢谢,希望较小
录取和专业问题,15***63 (河北),2018-06-25 09:51,河北理科考生633分省排名10236能否被贵校录取？贵校在河北是否是有专业级差？,有录取希望，可以考虑报考
吉林考生,13***10 (吉林),2018-06-25 09:41,吉林理科考生，581分，过一本线48，排名8591，能否报考贵校？,有一定希望，可以考虑报考
山东理科考生,18***47 (山东),2018-06-25 09:33,2018高考理科608分，位次15892，报考贵校希望大吗？能选择什么专业？,有希望，可以考虑报考
山东考生,xx*** (山东),2017-06-28 13:16,山东，女，理科，考600分，位次16739，能不能进入你校,这个成绩有希望
广西理工考生,xy*** (广西),2017-06-28 12:57,广西理工类考生，超一本52分，全省排名11470名，报考贵校有希望吗？,有希望
湖北考生,13*** (湖北),2017-06-28 12:36,您好，我是湖北考生，分数569，请问报考贵校核物理专业能上吗，核物理专业毕业后就业率怎么样呢？都是去了哪些部门呢,一般是核电企业或研究所
山东考生,xx*** (山东),2017-06-28 12:26,山东，女，理科，考600分，位次16739，能不能进入你校,有希望
黑龙江报考,sn*** (黑龙江),2017-06-28 11:48,老师您好黑龙江理科572位次6853-6992是满族投档时算少数民族加分吗报考贵校有多大希望,有希望但有风险
河南考生，理科580分,bi***g1004 (河南),2017-06-28 11:21,河南考生，理科580分，位次13549，报考贵校机会大吗？选择好的专业的机会大吗？,这个成绩有希望
河南考生,13***79 (河南),2017-06-28 11:20,老师您好，我是河南考生，今年高考分数584，位次12032，报考贵校有希望吗？谢谢。,估计问题不大
黑龙江文科考生541,zc***1 (黑龙江),2017-06-28 10:54,黑龙江文科考生，541分，1983名，报考被录取的希望大不？文科今年在黑龙江四个专业，入学后可否改专业，考研和出国情况如何？,这个成绩应该差不多
今年哈工程专业级差是多少,st*** (江苏),2017-06-28 10:42,如题，谢谢,我校没有专业级差
咨询,13***95 (云南),2017-06-28 10:41,云南考生理科576分，报考贵校计算机类能否被录取？,应该问题不大
专业,13***81 (山东),2017-06-28 10:28,您好，山东文科7000名，有希望录取吗，转专业有什么规定。谢谢。,风险较大
咨询,ga***216 (山东),2017-06-28 09:45,山东考生577全省30290名能否报考贵校土木工程专业？,分数偏低
问招生问题,33*** (湖北),2017-06-28 09:38,我是湖北考生，今年高考571，报贵校的计数机专业，能否被录取？,这个成绩有希望
河南考生咨询,xi***ng (河南),2017-06-28 09:31,师您好，河南理科考生584分，段次在12032，报考贵校有希望吗？可以报考哪些专业？学校食宿条件怎么样,这个分数有希望
河南录取,xi***ng (河南),2017-06-27 16:51,老师您好，河南理科考生584分，段次在12032，报考贵校有希望被录取吗？另外，贵校对同意调剂考生退档吗?有专业极差吗？贵校理科优势学科有哪些？,有希望，提档后服从调剂不会退档
河南,13***66 (河南),2018-06-26 15:34,我是文科考生，总分582，位次9086，录取的可能性大吗,建议冲一下
山东理609,18***76 (山东),2018-06-26 15:29,老师好，山东理609分录取希望大吗？谢谢,有希望，建议第一志愿报考
报考哈工程,13***70 (北京),2018-06-26 15:05,老师您好！我是北京理科考生，成绩617分，排名在5900名左右，想报考咱们学校的海洋工程类、核工程、水生工程等专业，请问可以被这些专业录取吗？谢谢老师！,希望很大，建议第一志愿报考
海南理科生,18***90 (海南),2018-06-26 14:46,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,没问题！欢迎报考。
四川考生咨询,13***85 (四川),2018-06-26 14:35,老师：你好！我是四川少数民族考生，贵校招生网上只有2015、2016年少数民族预科分数，请问2017年的分数情况？,理科526
天津理科,13***54 (天津),2018-06-26 14:12,天津理科611分排名4900能否被录取,希望较大
招生咨询,13***57 (天津),2018-06-26 13:35,您好：我是天津考生，请问多少名次能入咱们学校的王牌专吗？有没有专业级差？进校位次是多少？拜托了！百忙之中感谢您的回答！,无专业级差，位次5300左右
湖南理科生,13***68 (湖南),2018-06-26 13:31,请问老师，湖南贫困计划理科生，今年575分，位次20778，有可能被录取吗？,贫困计划名额较少，请慎重报考！
高校专项计划,18***33 (陕西),2018-06-26 12:44,我报了贵校的高校专项计划，并且初审通过了。那么我在高考填报志愿中是不是往自主招生b段填。,你得关注你省的志愿系统，各省要求不一样
山东报考,13***48 (山东),2018-06-26 12:26,602分，位次19234能被录取吗？如果志愿服从调剂，体检合格，进档后，是否一定不会被退档？谢谢,有一定希望，原则上服从调剂后不会被退档
录取问题,15***09 (黑龙江),2018-06-26 10:48,请问黑龙江考生603分全省排名5600名左右能被录取一个不错的专业录取吗谢谢,应该可以
河南理科考生,15***83 (河南),2018-06-26 10:18,分数591排名20600服从调剂有希望进入贵校吗？,有一定希望
请问河南文科5780名，596分，有被贵校录取的可能吗？,13***66 (河南),2018-06-26 10:06,请问河南文科5780名，596分，有被贵校录取的可能吗？,有录取希望，可以考虑报考
提前批贫困专项,15***55 (甘肃),2018-06-26 10:03,老师您好，近年来贵校提前批贫困专项录取成绩和统招成绩差距大吗？甘肃考生超一本线69分报贫困专项风险如何？谢谢,去年是一本线上69分
河南理科591分，位次20612，报哈工程希望大不？谢谢！,dj***@126.com (河南),2018-06-26 09:52,河南理科591分，位次20612，报哈工程冲一下希望大不？谢谢！,可以考虑报考
安徽理工考生,13***85 (安徽),2018-06-23 15:14,2018年高考分数604分，排名11700，报考贵校通讯工程和计算机专业有希望吗,希望很大
前三年专业分数,15***39 (贵州),2018-06-23 14:15,贵校在贵州前三年关于船舶与海洋工程专业的录取分数线是多少？,请登录我校本科招生网查询
前三年专业分数,15***39 (贵州),2018-06-23 13:39,贵校在贵州前三年关于船舶与海洋工程专业的录取分数线是多少？,请登录我校本科招生网查询
专业问题,13***38 (河南),2018-06-22 14:19,老师，贵校自主招生我已通过，拟录取专业为电子信息，可以改报三海一核专业吗,电子信息就是三海一核专业呀。
2018年青海招生名额；毕业生城市去向,18***60 (青海),2018-06-22 12:57,哈尔滨工业大学在青海的招生人数今年会有提升吗？分数线和位次大概在多少？哈工大毕业生主要城市去向？留在东北的几率大吗？若趋于在北上广深等地发展，是否有竞争优势？,我这里是哈尔滨工程大学
专业选择,13***87 (贵州),2018-06-22 10:51,女生适合学习船舶与海洋工程船舶与海洋结构物设计制造、水声工程、轮机工程控制科学与工程导航、制导与控制中哪个？,这些专业均不限性别，而且都有女生在学！
贵校在山东招生是否有专业级差？,13***50 (山东),2018-06-22 09:44,贵校在山东招生是否有专业级差？,我校专业间没有专业级差
山东理科考生,13***50 (山东),2018-06-22 09:42,老师，您好。今年分数602.位次16112.是否能录取到自动化专业？,如果成绩属实，应该问题不大。
