标题,来源,时间,问题,回答
三个校区分别是三个学院吗？,ko***4 (河南),2016-06-28 09:37,老师好，请问贵校的三个校区都是怎么安排的？是三个不同的学院吗？,不同的专业在不同校区。三个校区都是平等的。毕业证学位证都是一样的。
河南考生,xi*** (河南),2016-06-27 16:56,您好，我考了542分，报贵校有希望吗？,你好，有希望，欢迎报考。
冲,ab*** (山东),2016-06-27 16:49,573在山东能冲冲该校吗,考生你好！2013-2015年在山东的录取分数线分别为565、604、592，可以结合今年省控线和你的位次报考。
贵州考生,zh***zz (贵州),2016-06-27 16:32,老师您好我是贵州立刻考生今年考了513能报考贵校吗谢谢,考生你好，2015年我校在贵州的调档线高一本线25分，参照去年，你的考分是很有希望的。
四川理科,13***02 (四川),2016-06-27 16:16,请问四川理科560分报考贵校，录取机会大吗？,希望很大。
陕西考生,zh***12 (陕西),2016-06-27 16:13,我是陕西考生，理工类，考了495分，超一本线25分，报川农大草学专业，有希望吗？或者其他专业,考生你好，2015年在陕西的调档线超一本线32分，2014年在陕西的调档线超一本线24分。你的分数是有希望的。
咨询川农专业,tw*** (四川),2016-06-27 16:01,我是四川考生，今年570分，因为喜欢物理，所以想读贵校的农林机械专业，希望大吗,希望很大。
咨询川农招生,tw*** (四川),2016-06-27 15:56,我是四川考生，我考了570分，我请问一下今年上贵校几率多大,希望很大。
咨询川农招生,tw*** (四川),2016-06-27 15:55,我是四川考生，我考了570分，我请问一下今年上贵校几率多大,很有希望。
想报考贵校,he***1 (河南),2016-06-27 15:30,我是河南理科生，今年高考成绩520，一本线523，请问报考贵校有希望吗？报考什么专业比较有可能录取？,我们只在一本招生，所以要上一本线才行。
录取,jy*** (湖北),2016-06-27 14:43,我是湖北理工考生分数561，省内分段排名27000，报考贵校希望大吗？,有希望。
咨询,17***9 (四川),2016-06-27 11:31,请问贵校的招生网址是多少,zs.sicau.edu.cn
录取,ad***511 (青海),2016-06-27 11:13,老师您好我是青海考生456分高出一本线40分，报你校有希望吗？,考生你好，你的分数报考我校非常有希望。
四川,ab*** (四川),2016-06-27 11:11,位次63322，分数537，可以上川农不？,欢迎报考，建议冲一冲。
重庆考生,ye***8 (重庆),2016-06-27 10:56,老师你好.我考了535.高出一本线10分.报贵校有希望吗？,有希望，建议冲一冲。
关于录取,13***61 (贵州),2016-06-27 10:22,麻烦您了，老师。我是贵州理科考生，高考分数500，超一本分27分，报贵校有希望吗？谢谢,考生你好，2015年我校在贵州的调档线超过一本线25分，2014年我校在贵州的调档线超过一本线21分，因此参照往年，是很有希望的。
录取,98***0j (贵州),2016-06-27 10:16,你好，我是贵州理科考生，今年高考成绩为490，超一本线17分，请问能被贵校财务管理类专业录取吗？,有希望，可以冲一冲。
关于录取,13***61 (贵州),2016-06-27 10:13,请问老师，我是贵州理科考生，高考成绩500分，请问能被贵校录取吗？机会大吗？,有希望，可以冲一冲。
录取,20*** (山东),2016-06-26 16:47,您好，我是山东考生，理工高于一本线60分想报考你校有希望吗,你好，很有希望，欢迎报考
河北美术考生,al***hao (河北),2016-06-26 16:23,老师您好！河北美术生文化446统考220综合分666可以报考贵校吗。录取的几率大吗？,你好！我校美术类录取规则：文化成绩、专业成绩双上线基础上两者相加总和，由高到低择优录取。2015、2014年在河北美术类的录取分数线分别为687、721。
专业,sl*** (江苏),2016-06-26 15:22,1、贵校转专业的比例是多少？2、贵校保研率，考研率多少？3、江苏理科355，2B贵校有希望吗？还是直接报二本？,如果寝室同学同意可以安装。转专业原则：校区间不转专业。教学资源许可情况下，尽量满足校区内转专业需求。各接收专业的年级在读人数原则上不超过200人。当申请转入专业的学生人数超过教学资源容量时，由转入学院组织考核，择优确定转入学生。考研保研各专业不同。
河北理科报考,ji***iayou666 (河北),2016-06-26 14:42,老师好，河北理科567分，高出一本线42分，排名四万，报贵校的计算机、通信类专业有望吗,你好，有希望，欢迎报考。
四川考生,xi***23 (四川),2016-06-26 14:39,老师你好，我是四川文科生，高考成绩563能上川农吗，上农林经济管理的机会大吗？谢谢老师！,你好，欢迎报考，建议A志愿填报我校，服从专业调剂。
湖南理科生,67*** (湖南),2016-06-26 14:35,老师你好，我是566分，能读你们的财务管理专业吗？,有希望，可以冲一冲，但最好服从调剂。
湖北,h0*** (湖北),2016-06-26 14:28,老师您好，我是湖北考生，理科554，一本线512，今年有希望上贵校么？,有很大希望。
四川宜宾珙县考生,we***6 (四川),2016-06-26 14:19,我是四川理科生，今年高考成绩为551，把你们学校作为a志愿，并愿意服从专业调配，希望大不？,希望很大。
录取,ly***622 (四川),2016-06-26 13:30,老师好，今年只招收一本专业，那那些往年的二本专业怎么办按，是不是一本专业也会降一些分来录取安？,你好，2016年学校面向全国在本科一批次招生，没有二本和专业批次招生计划。
录取,ly***622 (四川),2016-06-26 13:24,今年不招收二本专业嘛？我是四川文科548分，有没有机会上财经，工商管理或者是行政专业，没有的话有没有什么合适的专业推荐？谢谢老师，我真的很想报你们学校，希望尽快，谢谢,你好，2016年学校面向全国在本科一批次招生，没有二本和专业批次招生计划。你好，可以选一个你喜欢的专业志愿，英语、社会工作、广告学也不错。
专业转换,ly***622 (四川),2016-06-26 13:13,老师，你们学校转专业是不是很难我是文科四川548分，能够上哪些专业安，谢谢老师，麻烦了,转专业原则：校区间不转专业。教学资源许可情况下，尽量满足校区内转专业需求。各接收专业的年级在读人数原则上不超过200人。当申请转入专业的学生人数超过教学资源容量时，由转入学院组织考核，择优确定转入学生。
贵州美术生,zj*** (贵州),2016-06-26 12:26,老师您好我是贵州考生今年文科考了455分联考考了230我想上贵校美术专业没有要求我上贵校几率打不？谢谢老师,有希望，建议你冲一冲。
四川体育考生,j1*** (四川),2017-06-24 12:04,双上线后是按文化还是专业文化352体育80能上吗往年的体育收分情况是怎样的呢,[考生你好！我校今年在四川体育类的录取原则：在专业成绩（专业成绩为考生所在省的专业统一考试成绩，学校不组织单独考试）和文考成绩均达到控制线的基础上，按专业成绩，从高分到低分择优录取。我校2016年在四川体育类录取分数线为76.22（从去年开始按专业成绩录取），专业选择请结合自己的兴趣爱好填报。
四川,13*** (四川),2017-06-24 10:42,请问今年四川理科531分报考贵校，录取机会大吗？,考生你好！我校2014-2016年一本理科录取线分别是552、543、558分，专业选择请结合考生的兴趣爱好填报。
咨询专业调剂,ph***0 (四川),2017-06-24 10:40,请问专业调剂是在一个校区之间还是在三个校区中？,考生，你好！专业调剂是在三校区所有专业随机调。
四川文科,wa***91203 (四川),2017-06-24 10:31,你好，我高考分数568，用地分专项可以走该校的经济学专业和法学专业不，若不用计划，硬考可以上本校的工商管理和经济类专业不,考生你好！我校2014-2016年一本文科录取线分别是567、561、559分，各专业分数请参考《高考指南》，专业选择请结合自己的兴趣爱好填报。
咨询,11***8 (四川),2017-06-23 12:07,你好，我是四川文科考生，今年高考成绩为527，像报考贵校人文地理与城乡规划专业，不知是否有希望？,考生，非常抱歉！你的分数不够一本线，没法填报我校。
四川理科考生高出一本20分录取希望大吗,li***un (四川),2017-06-23 12:07,高出26分,考生你好！我校2014-2016年一本理科录取线分别超省控线26、15、12分，专业选择请结合考生的兴趣爱好填报，建议服从专业调配。
体育类,66*** (四川),2017-06-23 09:33,老师，你好！社会体育专科，专业分要多少才能报？,考生你好！我校2016年在四川体育类录取分数线为76.22（从去年开始按专业成绩录取），专业选择请结合考生的兴趣爱好填报。
请问贵校今年在福建省招收文科考生吗,bx*** (福建),2017-06-22 15:02,谢谢,考生你好！我校今年在福建不招收文科考生。
录取,xu*** (山东),2016-06-28 15:35,我是山东考生，一本线上49分，报考有把握吗？,希望很大。
河南理科,78*** (河南),2016-06-28 15:22,超一本32分，报考贵校希望大吗？贵校优势学科是什么,应该有希望，河南去年我校调档线比河南省控线高16分。
湖南考生,li*** (湖南),2016-06-28 12:17,我是湖南考生，理科557，报考你校金融专业有希望吗？,2015年我校在湖南的调档线比湖南省控线高22分。
咨询,xb*** (河南),2016-06-28 11:10,您好我是河南考生考了554分高出一本线31分在河南省排名42986名报工程管理专业或是工程造价能被贵校录取吗谢谢,应该有希望。
河南考生,89*** (河南),2016-06-28 11:08,我是一名河南考生，考了555，高于一本线32分，是不是只能报一些冷门专业,应该有希望被我校录取，但最好服从专业调剂。
报考咨询,zj*** (河南),2016-06-28 11:00,老师，您好！我是一名河南理科考生，成绩555，高出一本线32分，位次42144，想报考贵校计算机、通信类专业，希望大吗？,有希望。
四川考生调剂专业,li*** (四川),2016-06-28 09:56,我是四川考生，理科585，被川农录取到不喜欢的专业，入学后，可以调专业吗？什么时间调呢？,转专业原则：校区间不转专业。教学资源许可情况下，尽量满足校区内转专业需求。各接收专业的年级在读人数原则上不超过200人。当申请转入专业的学生人数超过教学资源容量时，由转入学院组织考核，择优确定转入学生。转专业时间为大一结束时和大二结束时。
青海考生,18***77 (青海),2018-06-27 10:06,您好，老师我是青海考生，理科460分，想进贵校经济学，风景园林，农学，法学等专业，请问有机会吗？,考生你好！我校2014-2017年在青海的录取分数线分别421、403、433、399，专业选择请结合考生的兴趣爱好填报。
咨询,13***36 (重庆),2018-06-27 09:54,老师你好，如果被贵校提档且服从调剂，会被退档吗？谢谢,勾选服从专业调配，身体条件符合体检标准，符合我校录取条件，原则上不退档。
专业级差,pj***.com (辽宁),2018-06-27 09:45,贵校的专业级差是多少？如何设置的。,对考生报考的专业录取时设定专业志愿级差，专业志愿级差原则上在5分以内。2017年是311
天津 考生咨询,65***@qq.com (天津),2018-06-27 09:44,在天津考了549理科，请问能上四川农大吗，谢谢,因为我校是第一年在天津招生，没有数据可以参考，建议按照平行志愿的原则填报我校！
河南，体育考生,13***41 (河南),2018-06-26 16:20,我体育考104，文化高出体育档29分能被你们贵校录取吗？,[考生你好！我校2018年在河南美术类只招收理科考生，录取原则：在专业成绩（专业成绩为考生所在省的专业统一考试成绩，学校不组织单独考试）和文考成绩均达到控制线的基础上，美术类考生按投档专业成绩和文考成绩相加后的总分，从高分到低分择优录取。2014-2017年的录取分数线分别为：659、680、678、560，请参考填报。
贵州考生咨询,11***9@qq.com (贵州),2018-06-26 16:19,老师你好，我是贵州理科考生，高一本线48分，请问是否有希望报考贵校?,考生你好！我校2014-2017年在贵州的录取分数线分别505、478（25）、523（50）、500（44）（括号内的是超省控线分数），你可以参考近几年分数，我认识你是有机会被川农大录取的，按照平行志愿填报的原则你可以放在A志愿冲一冲，专业选择请结合考生的兴趣爱好填报，建议服从专业调剂！
提问贵校,13***41 (河南),2018-06-26 16:18,我体育考104，文化高出体育档29分能被你们贵校录取吗？,[生你好！我校2018年在河南美术类只招收理科考生，录取原则：在专业成绩（专业成绩为考生所在省的专业统一考试成绩，学校不组织单独考试）和文考成绩均达到控制线的基础上，美术类考生按投档专业成绩和文考成绩相加后的总分，从高分到低分择优录取。2014-2017年的录取分数线分别：659、680、678、560，请参考填报。
关于四川农业大学招生代码,13***56 (河南),2018-06-26 16:08,2017年代码是5112，2018年在招证指南上为2355，但是都显示的是该院校不存在，这是怎么回事,你好！你可能没看到地方。请你查看由河南省考试院印发的《招生考试之友》。
录取和专项,29***0@qq.com (四川),2018-06-26 15:29,四川考生，理科，成绩595，加上民族分25后为620，有希望被贵校园林专业录取吗？国家专项里报的话概率会增加吗？,多一个志愿当然会多一个被录取的机会。按照近几年的川农大录取分数情况，你被录取的机会是很大的，专业选择请结合考生的兴趣爱好填报。同时建议你服从专业调剂（这是平行志愿中很重要的）
您好.我是新疆理科考生,12***3@qq.com (新疆),2018-06-26 12:36,今年是否招收风景园林专业,很抱歉，今年在新疆没有投放风景园林专业的计划。具体新疆招生情况可点击查看。http://zs.sicau.edu.cn/index.php?p=36&a=view&r=477
咨询,97***@qq.com (福建),2018-06-26 12:09,你好，福建理科529能上吗？,考生你好！我校2014-2017年在福建的录取分数线分别546、555、507、483，你可以参考，填报！专业选择请结合考生的兴趣爱好填报。
湖北考生咨询,13***59 (湖北),2018-06-26 12:00,如果所选专业都在成都校区且服从专业调剂会被调剂到其他校区吗？,会，因为学校在录取是只考虑专业，不考虑校区，是全校范围调剂专业！
极差,15***01 (河南),2018-06-26 11:10,录取专业极差不超过5分是什么意思？请具体说明,意思就是级差的总和不大于5分，去年是311
今年四川考生 位次26381 总分588 能否上环境工程,17***73 (四川),2018-06-26 11:02,谢谢老师,考生你好！我校2014-2017年一本理科录取线分别是552、543、558、541分，按照你这个分数被录取的机会是比较大的！专业选择请结合自己的兴趣爱好填报，建议服从专业调配，专业代码请查阅四川省《招生考试报》（招生计划合订本-理科）。
湖北理科考生，588,lu***6.com (湖北),2018-06-26 10:48,湖北理科588，报考贵校，有希望吗,考生你好！我校2014-2017年在湖北的录取分数线分别549、549、576、547，专业选择请结合考生的兴趣爱好填报。
江西考生咨询,18***62 (江西),2018-06-26 10:27,老师，我理科559，高出一本线32分，有希望报考贵校吗,考生你好！我校2014-2017年在江西的录取分数线分别596、548、549、529，参考近四年的分数，你被录取的机会比较大的！专业选择请结合考生的兴趣爱好填报，建议服从专业调剂。
湖北考生录取咨询,13***59 (湖北),2018-06-26 10:25,湖北理科考生，575分位次2200超一本线63分想报考贵校环境科学财务管理园林专业希望大吗？若服从专业调剂调剂到别的校区的机会大吗？,考生你好！我校2014-2017年在湖北的录取分数线分别549、549、576、547，你可以参考。按照近四年的分数，你被录取的机会是比较大的！专业选择请结合考生的兴趣爱好填报，服从专业调剂，没有其他特殊问题，原则上不退档。
安徽考生,18***98 (安徽),2018-06-26 10:12,老师，今年分数569，排名26824，能报上吗,考生你好！我校2014-2017年在安徽的录取分数线分别501、575、551、529，你可以参考！专业选择请结合考生的兴趣爱好填报。
美术考试,15***98 (重庆),2018-06-26 09:54,重庆今年的美术考生文化成绩460，专业成绩225，能不能被贵校提档?,[生你好！我校2018年在重庆美术类的录取原则：在专业成绩（专业成绩为考生所在省的专业统一考试成绩，我校不组织单独考试）和文考成绩均达到所在省（市、自治区）控制线的基础上，按投档专业成绩和文考成绩相加后的总分或按本省（市、自治区）考试院折算后的总分，从高分到低分择优录取。2015、2016、2017年录取分数分别为648、649、662。2018年为平行志愿，按平行志愿的填报技巧来操作，专业选择请结合考生的兴趣爱好填报。
关于录取规则咨询,15***71 (四川),2018-06-25 16:43,您好，请问贵大学今年专业录取是否设置了专业级差，是分数优先还是专业优先呢？,对考生报考的专业录取时设定专业志愿级差，专业志愿级差原则上在5分以内。
咨询志愿,13***22 (安徽),2018-06-25 16:22,安徽考生，理科581，排名20830报贵校园林专业，录取希望,考生你好！我校2014-2017年在安徽的录取分数线分别501、575、551、529，你可以参考！专业选择请结合考生的兴趣爱好填报。
专业,15***46 (四川),2018-06-25 15:56,请问贵校2018年有二本专业招生吗？,没有二本专业
我是山东艺术理美术考生,13***78 (山东),2018-06-25 13:01,我是山东艺术理美术考生，请问老师，18年在山东招理科生计划是多少？能不能提供16年（17年网上查到了）在山东招理科生的录取线？我本人专业218分，文化424分，如果报考咱四川农大，有几成希望？请老师耐心指教，谢谢！,[考生你好！我校2018年在山东美术类只招收理科考生，计划数和去年一样.录取原则：在专业成绩（专业成绩为考生所在省的专业统一考试成绩，学校不组织单独考试）和文考成绩均达到控制线的基础上，美术类考生按投档专业成绩和文考成绩相加后的总分，从高分到低分择优录取。2017年的录取分数线为：视觉传达设计596、产品设计629、环境设计650，专业选择请结合考生的兴趣爱好填报。
请教老师,29***3@qq.com (四川),2018-06-25 12:39,老师，您好！我想咨询一下，职高的农学专业毕业，今年考了478报名该校的专科专业农学有机会吗？,你好！我校没有专科！！
