标题,来源,时间,问题,回答
轮机工程,li*** (山东),2017-06-28 10:57,报考轮机工程专业需要参加高考口语考试吗,您好，我校轮机工程专业无口语考试要求。欢迎报考大连海事大学！
录取概率,15***18 (山西),2017-06-28 10:52,您好，我是山西考生542分，省排名8250，眼睛近视800度有希望被贵校的计算机，自动化专业录取吗？,您好，我校2014年在山西省理科最低录取分数高出一本线47分，2015年高出41分，2016年高出50分。您的分数报考我校有希望。我校计算机、自动化等专业无视力要求。欢迎报考大连海事大学！
调剂专业有体检需达标的要求吗？,lg*** (上海),2017-06-28 10:49,老师您好：上海考生，色弱，报财经类专业，如志愿未能录取，同意调剂，如果贵校在上海招的工科志愿未满时，会调剂到工科专业吗，而色弱不满足工科专业的身体要求，会被退档吗？谢谢谢谢！！,您好，调剂时在同一专业组内调剂。服从专业调剂不会被退档。欢迎报考大连海事大学！
咨询,wy*** (上海),2017-06-28 10:46,老师，您好！上海考生500分，排名14600，上海不分文理科，请问能否被贵校录取？谢谢！,您好，您的分数报考我校有较大希望。欢迎报考大连海事大学！
广西考生,jy*** (广西),2017-06-28 10:29,你好，我理科高考525，高出一本52分，全区排名11470，请问可以去贵校学习吗？可以选的专业有什么？,您好，我校2014年在广西理科最低录取分数高出一本线34分，排名13127；2015年高出37分，排名14769；2016年高出48分，排名13075。您的分数报考我校有希望，请您根据考生志愿兴趣，分数及特长填报专业。欢迎报考大连海事大学！
退档问题,zh*** (福建),2017-06-28 10:18,本人福建理科考生，今年485排名1万9千若填服从专业调剂，能够上贵校吗还有就是省外投档案比例大于1，有可能会被退档吗,您好，我校2014年在福建省理科最低录取分数高出一本线61分，2015年高出64分，2016年高出40分。您的分数报考我校有希望。我校在服从专业调剂符合专业要求的情况下，进档不退档。欢迎报考大连海事大学！
河南考生,fh*** (河南),2017-06-28 10:06,你好，河南理科576分，15200名，报考贵校能录取吗？学校对单科成绩有要求没？如果提档专业服从调剂有退档风险没？另外，学校可以修双学位吗？谢谢,您好，我校2014年在河南理科最低录取分数高出一本线46分，2015年50分，2016年67分，排名在19000-2000左右。您的分数报考我校有希望。我校对单科成绩无要求。服从专业调剂进档不退档。我校有一些专业开设双学位课程。欢迎您报考大连海事大学！
提前批,li*** (山东),2017-06-28 09:37,山东省分数545排名57692报考贵校的提前批轮机工程专业有希望吗,您好，您的分数报考我校提前批次专业有希望。欢迎报考大连海事大学！
提前批,li*** (山东),2017-06-28 09:35,贵校今年在山东省提前批的招生计划是多少,您好，我校2017年在山东省提前批次三个航海类专业的招生计划为：航海技术44人，轮机工程（海上专业）54人，船舶电子电气工程10人。欢迎报考大连海事大学！
录取退档问题,di*** (辽宁),2017-06-28 09:19,请问：轮机工程（陆上专业）有视力要求和限制吗？如果有限制和要求。考生被本校调档（服从专业调剂）会不会因此被退档！,您好，我校轮机工程（陆上专业）无特殊视力要求。服从专业调剂不会因此而退档。欢迎报考大连海事大学！
需要体检不,zz*** (山东),2017-06-28 09:14,报考提前批轮机工程录取后入学后需要体检不,您好，我校提前批次航海类专业在录取时以高考体检表为准，入学三个月后进行复检。欢迎报考大连海事大学！
请问四川理科考生，585分，能报贵校吗,mu***4 (四川),2017-06-28 09:05,请问四川理科考生，585分，被贵校录取机会大吗？女生可以就读哪些专业,您好，我校2014年在四川理科最低录取分数高出一本线21分，2015年高出40分，2016年高出58分。您的分数报考我校有希望，我校在四川除提前批次航海类专业外其余专业均男女不限。欢迎报考大连海事大学！
你好，黑龙江考生，,sh*** (黑龙江),2017-06-27 16:42,高出重本线46分。能否被提前批船电或轮机录取。,您好，我校2016年在黑龙江省轮机工程（海上专业）最低录取分数高出一本线27分，船舶电子电气工程高出69分。欢迎报考大连海事大学！
提前批,pl*** (山东),2017-06-27 16:35,您好山东考生552分名次50366我要报两个提前批专业第一个报船舶电子电气工程第二个报轮机工程（海上）请问如果第一个如果分数不够第二个能够正常录取吗？谢谢,您好，我校无专业级差，如果分数达到且符合专业调剂可以正常录取。欢迎报考大连海事大学！
请问贵校文科专业保研情况怎样？,13***8 (四川),2017-06-27 16:28,。,您好，我校各专业保研名额为专业人数的前10%。获得保研资格后可在网上自主填报志愿，申请参加各高校的推免研究生复试。且被录取的几率较大。欢迎报考大连海事大学！
关于退档,ta*** (甘肃),2017-06-27 11:16,您好:我报贵校，愿意服从专业调剂，那投档后还会被退档吗？,您好，凡进入我校调档线的考生，在服从专业调剂且符合专业要求的情况下，均予以录取。欢迎报考大连海事大学！
报考,wa***an1973 (陕西),2017-06-27 11:15,陕西理工男564分，录取贵校的几率有多大？,您好，我校2014年在陕西省理科最低录取分数高出一本线62分，2015年高出68分，2016年高出85分。您的分数报考我校有希望，欢迎报考大连海事大学！
江西理科,v9*** (江西),2017-06-27 10:59,你好，我是江西理科考生，分数555，排名12180，超一本线52分，可以报考贵校吗？,您好，我校2014年在江西理科最低录取分数高出一本线40分，排名9928；2015年高出39分，排名10512；2016年高出49分。您的分数报考我校有希望。欢迎您报考大连海事大学！
就业去向,st*** (辽宁),2017-06-27 10:57,请问题贵校毕业生就业，一般都到哪业部门、行业、企业？,您好，我校毕业生就业范围广泛，不同专业有不同的就业方向和前景发展。主要分布于港行企事业单位等。在我校本科招生网站上不同专业的就业前景，bkzs.dlmu.edu.cn。欢迎报考大连海事大学！
关于专业问题,st*** (辽宁),2017-06-27 10:29,请问题贵校有哪些优势专业？,您好，大连海事大学为世界著名高等航海学府，与航运相关的专业为我校传统的优势专业。具体专业介绍在我校本科招生网站上均有介绍，请您登陆bkzs.dlmu.edu.cn查询，根据考生志愿兴趣、分数情况进行选择。欢迎报考大连海事大学！
服从调剂范围,ta*** (甘肃),2017-06-27 09:32,您好：贵校本科提前批向我省提供了5个专业。如果我服从调剂，会是在这5个之内调剂，还是可能超出这5个之外？,您好，服从调剂仅在该省有招生计划、同一类别、同一批次的专业中调剂。欢迎报考大连海事大学！
江苏考生理科348选修理化双A,so*** (江苏),2017-06-27 09:11,冲贵校有机会吗？,您好，江苏省考生（含自主招生、高校专项计划等）学业水平测试的等级要求为选测A、B，必测4C。对进档考生按照“先分数后等级”的方式进行录取。我校2014年在江苏省理科最低录取分数高出一本线6分，2015年高出5分，2016年高出2分。您的分数报考我校希望较大，欢迎报考大连海事大学！
专业咨询,jr*** (广西),2017-06-26 16:45,您好，本人在广西理科高出一本线63分，能就读贵校的交通管理或物流工程专业吗？,您好，我校交通管理专业2016年在广西理科最低录取分数高出一本线68分；2015年高出65分，2016年高出44分。物流工程专业2016年高出一本线58分。您的分数报考我校有希望，建议您服从专业调剂，增大录取几率。欢迎您报考大连海事大学！
海商法专业,ji*** (安徽),2017-06-26 16:13,老师您好，我是安徽文科考生，高一本线60分，全省排名2776，可以报考贵校海商法专业吗？,您好，我校法学专业2014年在安徽省文科最低录取分数高出一本线47分，2015年高出37分，2016年高出51分。您的分数报考我校法学专业有希望，欢迎您报考大连海事大学！
