标题,来源,时间,问题,回答
四川理科考生,13***35 (四川),2015-06-26 16:50,老师您好，我是四川理科考生，５７９分，省内１４０００名，报考贵校盘锦校区有希望吗？服从调剂的话，录取把握大吗,考生您好，根据往年录取情况及考生咨询情况，您的分数报考大工盘锦校区希望较大，建议您平行志愿一志愿报考且服从专业调剂，以增加被录取的几率，衷心祝愿9月份在校区能见到你！
提前批次,12***hr (黑龙江),2015-06-26 16:36,提前批次中，黑龙江考生571分可报考贵校吗？招黑龙江的女生吗？,考生您好，您可以报考大工盘锦校区，学校招生不限定性别，欢迎您平行一志愿报考我校区！
咨询,xu***315852 (天津),2015-06-26 16:34,老师，您好。我是天津的考生，今年607分，高出一本线69分，想报考贵校可以吗？,考生您好，根据往年录取情况及考生咨询情况，您的分数报考大工盘锦校区希望较大，建议您平行志愿一志愿报考且服从专业调剂，以增加被录取的几率，衷心祝愿9月份在校区能见到你！
咨询,15***69 (辽宁),2015-06-26 16:09,15年辽宁考生高出一本线58分被录取几率,考生您好，根据往年录取情况及考生咨询情况，您的分数报考大工盘锦校区有希望，但是也有风险，建议您平行志愿一志愿报考且服从专业调剂，以增加被录取的几率，衷心祝愿9月份在校区能见到你！
000,aj*** (河南),2015-06-26 16:04,您好，我是一名河南考生，高出一本线52分，有无希望报考贵校？谢谢！,考生您好，根据往年录取情况及考生咨询情况，您的分数报考大工盘锦校区有希望但是也有风险，建议您平行志愿一志愿报考且服从专业调剂，以增加被录取的几率，衷心祝愿9月份在校区能见到你！
山东考生,19***6 (山东),2016-06-28 15:49,老师您好，我是山东理科考生，总分611，全省排名19875，请问报考贵校能被录取吗？适合女生的专业有哪些？,考生您好，根据往年录取数据，您的成绩报考大连理工大学盘锦校区希望较大，建议您第一志愿报考且服从专业调剂。至于报考专业选择给您三条建议：1.本人兴趣爱好；2.个人将来职业发展；3.你的家庭现有的社会资源。欢迎您报考大连理工大学盘锦校区！
湖南理科557有希望冲贵校吗？,qq*** (湖南),2016-06-28 15:12,湖南理科557分，排位19110，有希望冲贵校吗？因考生非常向往，但考试失误，如完全没可能的话请直接告知，谢谢！,考生您好，因为现在还未进入录取阶段，具体多少分数能被录取现在还未可知，建议您第一志愿报考冲一下。
帮朋友问,ma***8302 (河南),2016-06-28 14:34,河南理科567分报贵校有希望录取吗？,考生您好，您的成绩报考我校区有一定的风险，但是现在未进入录取阶段，具体希望多少还不可知，建议您第一志愿报考冲一下。
录取咨询,14***3 (福建),2016-06-28 14:13,我是江西的一名考生江西省一本线529我575高出一本线46分全省排11000多一点应该如何报考贵校,考生您好，建议您第一志愿报考且服从专业调剂。
录取,ma***8302 (河南),2016-06-28 14:06,河南理科595分，高一本线72，想报考贵校，录取可能性大吗？另外毕业证与大连校区一样吗？,考生您好，您的成绩报考我校区希望较大，建议第一志愿报考且服从专业调剂。大连理工大学盘锦校区是大连理工大学的一个新设校区，是学校一校两地三区办学格局的重要组成，毕业生的所有毕业证件均由大连理工大学统一颁发，三个校区完全一致。
福建,dx***8 (福建),2016-06-28 12:38,老师您好，我是福建省理工类考生，高考分数高出本一线88分，是否能上贵校的经济类专业？且贵校报考是否有专业极差？有的话，为多少？是分数优先还是志愿优先？谢谢您的耐心解答。,考生您好，欢迎您报考大连理工大学盘锦校区，您的成绩很有优势，但是是否能被经济学专业录取尚未可知，学校采取分数优先的录取政策，专业间不设级差。
新疆,ao***idai (新疆),2016-06-28 11:52,我是阿克苏考生享有南疆单列等政策，我的分数为538，超出一本分数线74，请问我是否有机会进入贵校,考生您好，您的成绩报考我校区希望较大，欢迎您报考！
录取,au*** (内蒙古),2016-06-28 11:38,老师您好，我是内蒙古理科考生，超一本线67分，报考盘锦校区有希望么？盘锦校区和主校区毕业证一样，但它会特别注明是盘锦校区么？,考生您好，根据往年录取数据，您的成绩报考我校区有有一定的风险，建议慎重报考。
福建考生,13***6 (福建),2016-06-28 11:36,你好，我想问一下贵校在福建的最低位次是多少？,考生您好，福建之前未公布全省学生一分一段表，请您通过其他途径查询。欢迎您报考大连理工大学盘锦校区！
我是山东理科考生，624分，报考贵校能录取吗,zy***88 (北京),2016-06-28 11:14,理科考生，624分，报考贵校能录取吗,考生您好，您的成绩报考我校区希望较大，建议第一志愿报考且服从专业调剂。
山西考生,ap*** (山西),2016-06-28 10:48,您好，我是山西理科生，分数580，全省排名7357，第一志愿报贵校有希望被录取吗？？,考生您好，你的成绩第一志愿报考我校区被录取希望较大，建议服从专业调剂。
专业分差,ji***0 (安徽),2016-06-28 10:44,老师我看您在的时候写着“注意专业间分差”，这是什么意思？填写志愿，专业之间分差哪里能看的到呢？有什么要注意的呢？,考生您好，我的意思是你在选择专业是注意所选专业往年录取的分数，不能选择录取分数基本一样的分数，这样您一个专业录取不了致使所有专业均不能录取。
录取的几率大不大,ya*** (辽宁),2016-06-27 13:46,老师您好：我2016年理工科考分589分；第一志愿报考盘锦校区，几率大不大？第一专业报什么稳妥点？,考生您好，根据往年录取相关数据，您的成绩第一志愿报考大连理工大学盘锦校区希望较大，建议您服从专业调剂。专业选择建议根据自己兴趣爱好来选，专业间注意分差合理。希望9月份能在校区见到您！
贵州考生,hu***ian (贵州),2016-06-27 13:45,老师您好，我是贵州理科考生，541分，今年贵州一本录取线473分，省排位13714，报考贵校录取的希望大吗？,考生您好，2015年大工盘锦校区在贵州录取最低分的位次为12103名，欢迎您第一志愿报考校区冲一下。
