标题,来源,时间,问题,回答
云南,15***0 (云南),2013-06-17 14:59,老师好，我是云南理科考生。545上贵校的临床医学有希望吗？,学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
录取位次？,du***i (陕西),2013-06-17 10:21,贵校在陕西2012年录取理工类临床医学七年最低位次多少？,学校不掌握学生排名。学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
天津考生,ya***sun (天津),2013-06-14 15:49,老师您好，我是天津考生，文科，如果我的分数比一本线高30分，能报英语专业吗？希望有多大？,你好，你的分数很有希望。学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
转专业,hu***i1994 (辽宁),2013-06-14 12:29,贵校可不可以在第二年转专业？,学校没有转专业。学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm欢迎报考。
就业前景,ya***vhai2013 (辽宁),2013-06-14 11:39,我是辽宁考生的家长，我女儿高考估分比预估一本高40分，不知报考贵校医学检验专业把握大吗？医学检验专业就业前景如何？期待您的建议，我们真的是什么也不懂！,医学检验就业非常好，相对女孩，专业也比较适合。学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
我想学医,zh***995 (山西),2013-06-14 10:38,我是山西的考生，预估分比预测一本线高30分，请问可以报考贵校么？贵校的麻醉专业在山西是几本,你好，学校没有麻醉学专业的招生计划。学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
武汉理科女生!,zc*** (湖北),2013-06-14 09:24,老师好!我是武汉理科女生!今年高考预估602分，报考贵校有希望?或者要比一本线高出多少才能被成功录取?谢谢老师!,你好。你的分数很有希望。学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
陕西考生,du***i (陕西),2013-06-13 14:49,2012年贵校在陕录取分数多少？七年本硕连读临床医学分数多少？,学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
陕西考生,du***i (陕西),2013-06-13 14:48,2012年贵校在陕录取分数多少？七年本硕连读临床医学分数多少？,学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
咨询,cr*** (新疆),2013-06-13 14:22,我是新疆一名理科考生，理科估分560，新疆预估一本线估计460分，不知能否报贵校临床医学专业？,有希望，临床医学分数相对较高。学校网站有近三年录取分数和招生计划，你可以打开连接参考：http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
