标题,来源,时间,问题,回答
河南,ya*** (河南),2017-06-27 09:35,河南考生557分，过一本线73分。省内排位在24410-25000之间，能上贵校吗,参照去年，很有希望。
江苏录取,ze*** (江苏),2017-06-26 16:32,你好，我是理科341，报心仪专业医学检验技术，医学影像学，是否有望？,我校没有这两个专业
我是湖南考生,ia*** (湖南),2017-06-26 15:35,我是湖南考生，理科，请问如何才能不被退档？,平行志愿，只要服从专业调剂，不会被退档。
贵州省理科,54*** (贵州),2017-06-26 14:24,我是贵州理科考生，2017年高考总分527，高一本71分，位次11411，请问报贵校有希望吗。,参照去年，有希望。
山西理科考生咨询,zh*** (山西),2017-06-26 14:22,老师您好，我是山西理科考生，高考成绩高出一本线33分，报考贵校有希望吗？哪些专业把握大？谢谢！,有希望，可参考我校各专业去年分数，合理填报。
报考,ia*** (湖南),2017-06-26 13:15,您好，我是湖南的考生，请问你们学校的投档比例是多少？,投档比例根据生源情况来定，不管比例多少，平行志愿，只要服从专业调剂，不会被退档。
报考,96*** (陕西),2017-06-26 10:34,陕西519分20880名有机会被贵校录取吗,去年高出省线71分，请参考。
报考,96*** (陕西),2017-06-26 10:02,请问陕西理科519排名20880有机会被贵校录取吗,去年高出省线71分，请参考
报考咨询,zf*** (山西),2017-06-26 09:50,山西理科554，报志愿时，如果把贵校放在后面，假如前面志愿未达投档线，那么是否会因为报志愿的的顺序而影响到贵校的录取,不会影响。
转专业有何条件？可以新生入学时转专业吗？,zz*** (山西),2017-06-26 09:18,转专业有何条件？可以新生入学时转专业吗？,新生入学时不可以转专业，但上学期间成绩优秀者，有机会转专业。
陕西考生,lk*** (陕西),2017-06-26 09:11,老师您好，我今年考了534，高一本线85分，可以报考好一点的专业吗,可参照去年各专业分数线，合理填报。
报考咨询,wz*** (陕西),2017-06-25 15:57,孩子是应届毕业生，看到贵校今年在陕西减少了24人，那么录取分会大概提高多少分？,24人，可能影响不会太大。
录取概率,15***7 (宁夏),2017-06-25 15:01,你好，我是宁夏考生463分名次7217录取概率以及这个分数适合的专业,去年最低分高出省线42分，请参考我校去年各专业分数线填报。
志愿填报,dj***ation (四川),2017-06-25 14:10,我是四川理科考生，今年571，高重本60，上贵校的希望大吗？,去年高出省线54分，请参考。
有录取希望吗？,13***04a (山西),2017-06-25 13:57,老师好！我是山西太原理科考生，高考成绩522，超一本线41分，请问，想报贵校1A的会计学，有希望吗？,去年会计学专业高出省线45分，请参考。
咨询,nn*** (山西),2016-06-25 16:26,老师您好，我是山西理科考生，469分想报2a的软件工程有希望吗?谢谢,软件工程，去年高出2本线29分请参考。
山西考生,15***73 (山西),2016-06-25 16:00,没上一本线，比一本线低20分，只能报告贵校的软件工程吗？,报我校只能报软件工程。
考几分录取,m1***30 (山西),2016-06-25 15:56,今年考几分与可能被录取,请参考去年。
天津,cz*** (天津),2016-06-25 15:45,理科高于一本线12分，报考贵校有希望吗？,去年高出21分请参考。
可以转专业吗,sx*** (山西),2016-06-25 12:48,老师您好：我报考2A软件工程专业，如果录取后，可以转自动化专业吗？要求是什么,不可以
二本专业,an*** (山西),2016-06-25 12:21,老师，我高出二本36分，男生，请问学校有哪些二本专业？,软件工程
采矿工程就业前景怎么样，我是山西的考生,an*** (山西),2016-06-25 12:16,老师，我想了解一下，采矿工程的就业情况。,目前就业一般，但前景应该是会好转的
山西理科男553,13***3 (山西),2016-06-25 12:07,老师您好，这次高考我是553分，高出一本线34分，全省排名14232.报考贵校服从调剂，能否成功录取。,录取可能性较大。
河北考生,gr*** (河北),2016-06-25 10:48,老师您好，河北文科考生，558，高一本23分，有希望被提档吗？,去年高出30分，请参考。
山西地方专项计划考生,ss*** (山西),2016-06-25 10:44,你好，老师，我符合地方专项计划的条件，高出一本线16分，请问有希望被贵校录取吗？,有可能
山西考生,sx*** (山西),2016-06-25 09:21,老师您好！我是山西文科艺术生！今年考分文化405分，编导联考310分！请问可以报贵校的影视摄影与制作吗？如可以报能录取吗？,不能报，影视摄影与制作用的是美术成绩？
报考,15***98 (河北),2016-06-24 16:03,老师我是河北理科学生今年598排名2万多真心有希望吗今年本校在河北招生增加吗,有希望来我们学校，计划跟去年差不多
考生,11***5 (甘肃),2016-06-24 14:54,您好，我是甘肃的理工科考生，成绩比重点线高出44分，是否有希望报考贵校？,去年高出45分，有希望
关于录取,79*** (重庆),2016-06-24 12:53,我是重庆市酉阳的考生，500分读预科有希望没，大不？,我校不招预科
安徽考生,ly*** (安徽),2016-06-24 11:34,老师您好，安徽理科572，报考贵校金属材料工程有希望被录取吗？,有希望
今年有少数民族预科班吗？预科结业后投放的专业有哪些？谢谢,zf*** (内蒙古),2017-06-23 16:17,今年有少数民族预科班吗？预科结业后投放的专业有哪些？谢谢,没有
北京理科考生,m2***2 (北京),2017-06-23 13:00,老师您好，我是北京理科考生，请问北京市排名10440有可能上贵校么？谢谢。,参照去年，高出省线28分。
加分,ya***05 (云南),2016-06-26 16:57,请问该校是否承认云南边疆分？,云南招办承认的加分我们都承认
河北考生,sc***088 (河北),2016-06-26 16:53,老师您好，河北理科586（含民族10分）报考贵校希望多大？谢谢,去年我校高出一本线48分请参考。
报考,18***87 (天津),2016-06-26 15:52,老师：您好，天津理科542分，超一本线30分，名次9542，报考贵校有希望吗？谢谢！,2015年我校超天津一本线24分请参考。
报考,mh*** (陕西),2016-06-26 15:29,我高考575分，能报贵校那些专业？贵校有哪些好的专业？,文科？理科？
山东理,dg*** (山东),2016-06-26 15:07,您好，我是山东理科考生，成绩604位次两万四，高出一本线67分，报考贵校有希望吗?,去年高出47分，请参考
录取,wa*** (福建),2016-06-26 14:27,您好，我是福建理科考生超本一线64分，报考贵校希望大吗？能报什么专业？（服从调配)排名是15000+,希望较大
软件工程,si***rd (山西),2016-06-26 14:07,请问我今年考了474省排名52951高出二本线36分低于一本线45分报软件工程有希望进去吗？谢谢！好像软件工程投档分是连年走高，我有希望吗？,去年高出29分。有希望
投档比例,ko*** (福建),2016-06-26 13:12,您好，我是福建考生，请问福建的投档比例是多少？,专业服从调剂的考生，不退档
报提前一批国防生院校,xi***shi (山西),2016-06-26 11:34,报提前一批国防生院校是不是需要提前政审才能报呢,报完志愿以后，政审体检。
报提前一批国防生院校,xi***shi (山西),2016-06-26 11:33,报提前一批国防生院校，现在能报吗,能报
山西考生,nj*** (山西),2016-06-26 11:32,老师您好，我超过一本32分，如果档案进入理工大，但没有上了所报的6个专业，且服从调配，会被分到那些中外合资的学校吗，或是本校的二本,不会
报考咨询,nj*** (山西),2016-06-26 11:26,老师您好，在该校能转专业吗，有什么具体要求？,"考试成绩在专业前10%,可提出转专业申请。"
报考咨询,nj*** (山西),2016-06-26 11:23,老师您好：我是山西太原的考生，今年高考分数551，高出一本32分，省排名14899，能上贵校什么专业？,有可能录取，专业不一定
您好,xj*** (天津),2016-06-26 11:19,天津理科女，553超一本线41分，有望报考贵校吗,有希望。上我校的可能性大。
录取分数,he*** (山西),2016-06-26 11:17,太原理工官网2015年的录取分数表里，计算机科学与技术为什么有两栏，其中一个是最高分569，最低分566，还有一个是最高分560，最低分527，这两个有什么区别吗？同样的还有工程力学这个专业，这都是什么意思啊？？,另外一个是贫困专项生的分数。
转专业,35***80405038x (福建),2016-06-26 11:15,请问贵校转专业有什么条件,一年级成绩排专业前10%
河北报考,yu***72 (河北),2016-06-26 10:40,老师您好！河北理科高考成绩612分，位次16390，报考贵校录取几率如何？贵校哪个专业是优势？,录取可能性较大。优势专业化工，材料，机械，土木等。
报考志愿问题,w2*** (山西),2016-06-26 10:39,老师您好，我是山西文科考生，今年高考分数530，请问我可以报考贵校国际贸易专业吗？谢谢,国际经济与贸易专业去年高出分数线19分请参考。
山西考生,gr*** (山西),2016-06-26 10:24,你好，我今年的分数是478，女生，能报考贵校的安全工程专业就读吗？,分数不达一本线。不能。
天津理科,hh*** (天津),2016-06-26 10:20,老师您好，我是天津理科，比一本线高39分，能进机械设计制造及自动化吗？回天津工作就业如何，天津企业认太原理工大学吗？,2015年机械设计制造及其自动化专业，高出一本线，35分。请参考。
河北考生,98*** (河北),2016-06-26 10:01,老师您好，我是河北理科的考生，今年考608，省排1.7w不知道有没有被贵校录取的机会，如果有可能，是否是调剂进入贵校？,如果报我校志愿，有可能录取到我们学校。不报我们学校是不会调剂到我们学校的。
1B专业能转1A专业么？,lf*** (山西),2016-06-26 09:21,老师，我是山西理科考生，超一本线7分，能考入贵校么？入学后，1B专业能转1A专业么？,按照学籍管理规定，成绩也达到要求。可以转。
山西理科,13***3 (山西),2016-06-26 09:18,老师您好，我是山西本省考生，分数553高一本线34分，全省14232，报考贵校服从调剂有希望吗？,有希望
录取方面,wa***788 (辽宁),2016-06-26 09:10,本人来自实行平行志愿的地区贵校是否可以进档不退（考生选择服从且身体条件合格）,不退
