标题,来源,时间,问题,回答
咨询,ya***gaokao3 (河南),2011-06-26 09:12,我是河南考生，今年高考575分，有望上贵校吗？,如果达到河南省一本线应该有希望。
咨询,ha*** (陕西),2011-06-26 09:09,你好，我是陕西理科考生，总分551，能否报考贵校一本专业，可以报考哪些专业？,如果达到陕西理科一本线就可以报考
陕西考生,wy*** (陕西),2011-06-25 16:48,我是2011念陕西文科生。我考了548.是否有可能在贵校被录取？,如果达到陕西省文史类一本线应该有希望被录取
录取,zh***hen (河北),2011-06-25 15:49,请问贵校的电子信息工程一般会超过河北的提档线多少分？谢谢,这要看今年的报考情况了，不一定
咨询,zh***u123 (山西),2011-06-25 14:02,您好！我是山西理科考生，今年考了564分，我在第一志愿报考了贵校，且服从调剂，不知能否被录取？,"如果达到山西理科一本线应该有希望被录取,haishi"
咨询,ma***1314 (河南),2011-06-25 11:34,老师好。我是河南考生。高考572，高一本10分，上贵校希望大吗？,从前几年录取情况看，应该可以被录取。
咨询,li***11691 (山东),2011-06-25 11:01,老师您好！我是山东文科考生，超一本线13分，报考贵校希望多大？适合哪些专业？应用心理学是否可以？谢谢！,从前两年的录取情况看，应该所有的专业都可以报考。
体育生,ta*** (河南),2011-06-25 10:46,去年我们的录取分数是多少？体育62，文化课335能否上？,去年的文化课最低316分，体育最低61分。今年你的分数能否被录取，要看其他报考我校的考生的情况了。
报考学校,44*** (宁夏),2011-06-25 10:23,老师您好，高考成绩343分，请老师指点，是否可以报考贵校，或者报考其他的专业，如何来选择专业及学校，谢谢~！,如果时普通类考生，只能报考我校的高职。专业要根据你的个人爱好了。
咨询,85***aaa (内蒙古),2011-06-25 09:40,1、贵校体育专业是按文化课还是按体育成绩接受投档？二者按哪个录取？我文化课是390.体育是92分。2、贵校体育教育是否招文科生？,投档按文化课投档，录取按照体育成绩录取。
咨询,85***aaa (内蒙古),2011-06-25 09:40,1、贵校体育专业是按文化课还是按体育成绩接受投档？二者按哪个录取？我文化课是390.体育是92分。2、贵校体育教育是否招文科生？,已回答
内蒙古考生,85***aaa (内蒙古),2011-06-24 10:25,老师你好体育教育专业在内蒙古招生是文理兼收吗/?,我们做计划时体育教育在内蒙是找理科生，文科生能否报考你要咨询贵区的招生考试中心。
老师您好，体育生提前录取的问题,93*** (内蒙古),2011-06-24 10:21,我是内蒙古的考生，请问贵校今年是否文理兼报，是根据我们内蒙本地还是校方规定啊，我是文科生，今年能够报考宁夏大学吗？,文科生是否可以报考要咨询内蒙古招生考试中心
关于体育教育,85***aaa (内蒙古),2011-06-24 10:11,贵校在内蒙古招生体育教育专业是文理兼收吗？,做计划时是体育理计划，体育文考生能否报考要咨询内蒙古招生考试中心
咨询,zh***hen (河北),2011-06-24 09:29,我是河北的考生，今年考了592，可以走贵校地生物技术或材料化学或土木工程专业吗？,如果达到河北省一本线应该有希望。
宁夏考生,nx*** (宁夏),2011-06-23 11:15,你好请问贵校2010年在宁夏艺术音乐类（文）录取的最高和最低分各是多少文化科和专业都要谢谢！！,文化课最低320专业课最低70
体育生,h4***3 (陕西),2011-06-22 13:42,我是陕西的考生，请问贵校在2011年在陕西体育招生规则，大概专业要多少分？,已投档至我校考生按体育成绩排名录取
体育生,cu*** (河南),2011-06-22 09:15,请问体育成绩69，文化课要多少分才能上？我平时文化课在330左右！~谢谢！~,文化课最低要达到河南省体育控制线
咨询,12***gliang (河北),2011-06-21 10:49,宁夏的大学在河北的录取分数线大约多少？,达到河北省一本线应该就没问题
录取规则咨询,ch*** (陕西),2011-06-13 16:34,老师好！我是西安的往届文科考生，想咨询一下：（1）在录取往届生时贵校有什么政策？（2）在服从调剂的情况下，已投档的是否会退档？（3）录取专业如果不喜欢，以后能否转专业？如能，比例多大？难度多大？谢谢,录取往届生没有什么政策，和应届生一样。对于实行平行志愿投档的省份，如果服从专业调剂，如果没有特殊情况（如不符合体检要求等），一般不会退档。进校一年后如果成绩优秀可以转专业
按分数选专业和大学,55*** (重庆),2011-06-13 15:32,老师：请咨询重庆女生文科550分报贵省什么专业和哪所大学最好？一本二本还是三本，谢谢,如果你达到重庆文史类一本线就可以选择报考我校。
咨询,cy*** (浙江),2011-06-12 16:13,你好请问贵校2010年在浙江省录取的最高和最低分各是多少文科和理科都要谢谢,文史类最高分592.8分，最低分590.8分理工类最高分593.9分，最低分556.7分
陕西考生,46*** (陕西),2011-06-12 11:16,老师您好，我的身高是1.42米，今年高考估了550左右，不知道适合学贵校的什么专业，谢谢。,文史类还是理工类学生？
录取,pi***1 (黑龙江),2011-06-11 16:29,您好！我是黑龙江文科考生，预估530分，报考贵校是否有希望？请您给我一些参考意见。（已阅贵校10年在我省提档线）,根据以往录取情况，如果能达到黑龙江省文史类一本线应该可以。
请问贵校今年预科有没有招生计划？,37*** (宁夏),2011-06-09 10:47,请问贵校今年预科有没有招生计划？,有
体育生？,37*** (宁夏),2011-05-18 09:05,你好，请问宁夏本地的体育生，要多少分才能录取？,首先文化课要达到宁夏教育考试院划定的体育类文化课分数控制线，然后按专业成绩从高到低录取。
咨询,19*** (北京),2010-06-29 10:42,请问老师云南考生505（高一本线10分）能上贵校么,从去年看如果服从专业调剂应该可以，但要看今年云南省文科考生报考我校的总体情况。
报考,ze*** (河南),2010-06-28 16:57,河南，理科，563，一本552，报考贵校有希望吗？谢谢,有希望，去年我校在河南省理科录取最低分就是河南一本线。
诚意咨询,81*** (河南),2010-06-28 09:55,河南理科577分，超本省一本线25分，不知能否被贵校录取？可以报考什么专业？,应该可以录取。去年我校在河南理科录取最低分就是河南一本线。报考专业可以选择自己喜欢的专业，然后服从专业调剂。
理科496 河南。回族,yu***8 (河南),2010-06-28 09:39,预科是在提前批次报考么、你们学校预科可以学哪些专业呢理496分报你们学校可以上二本么多谢,我校少数民族预科班只在本省招生。我校在河南省只有一本招生。
咨询,15***53 (宁夏),2017-06-24 15:17,高职307分可以报艺术设计吗？银川考生,我校只招本科生
请问贵校文史类历史学提前批是属于师范类专业吗？,bx*** (福建),2017-06-22 14:32,预计全省6200名有机会上吗,属于师范专业
福建理科,wo*** (福建),2011-06-29 15:22,我是福建理科考生，考了594分报考贵校能否录取？盼回答！谢谢！福建省理科本一切线是573，我的排名是17700,应该可以录取。
咨询,al*** (河南),2011-06-29 11:48,您好，我是河南一理科考生，我想咨询一个问题：对于档案已经投到你们学校的考生来说，平行志愿下所报考的各个专业录取的规则能否详细介绍一下，谢谢！,我校分配专业有专业级差1分
咨询,ma***ao (安徽),2011-06-29 09:47,老师您好，我是安徽2011年理科考生，女，今年我省一本分数线为534，我考了540，请问进贵校有希望吗？能否上什么好的专业？进贵校是志愿优先还是分数优先？你们对于第一志愿还是第二，三，四志愿填报你校有什么要求吗？你校有什么特色专业？进校后可以转专业吗？谢谢！,安徽不是实行平行志愿嘛，如果是平行志愿就是分数优先。如果达到一本线应该有希望被我校录取。特色专业你还是上我校网站浏览。进校一年后可以申请转专业。
报考,wa***9921016 (河南),2011-06-29 09:22,请问今年考了598分高出一本线了16分进入贵校的可能性大不大，一本专业，理科,应该可以被录取。
专业代码,05***9 (陕西),2011-06-28 14:26,学校代码..和体育教育专业代码是多少,这要根据你们省招办公布的代码
咨询,ya***gaokao3 (河南),2011-06-28 10:57,老师好！我是河南文科考生，今年575分，高一本13分，想报考贵校的小学教育，有希望么？,应该有希望。
考生咨询,bi*** (山东),2011-06-28 10:45,我是一名山东体育类考生我文化课考了490分，体育考了68分，老师您看我有希望能去贵校吗？谢谢...,这要看其他考生的情况，我校是按照体育成绩从高到低录取。
补充,wa***9921016 (河南),2011-06-28 10:26,能否自选专业,什么意思？你报志愿不就是自选专业嘛
报考,wa***9921016 (河南),2011-06-28 10:25,请问今年考了598分高出一本线了16分进入贵校的可能性大不大，理科,应该比较大
咨询,35*** (福建),2011-06-28 09:54,我福建考生今年高考文科类考生成绩568高出省一本线四分请问能被贵校录取吗请问在贵校读什么专业,根据以往的录取情况，应该有希望被录取。
体育,31*** (河南),2011-06-27 17:25,体育68文化课459【理】身高171能报你们学校吗？录取几率多大？【平行志愿】谢谢哦,根据去年的录取情况有希望被录取
咨询,zh***hen (河北),2011-06-27 15:57,河北理科招生计划上的材料化学能源材料是哪方面的材料？,咨询专业方面的请拨打我校化学化工学院09512062889
咨询,lw*** (福建),2011-06-27 15:43,您好！我是福建省11届理工科考生，高考成绩是604，排名13590，欲报考贵校，不知是否有录取希望？万望，谢谢！,达到福建省理工类一本线应该可以被录取
广东,17***12 (广东),2018-06-28 16:07,贵校今年在广东有招生计划吗？,没有，
谢谢老师！！,18***73 (河南),2018-06-28 15:22,老师你好，河南考生理科想要报你们学校的电气自动化专业，大概需要多少分？？谢谢老师回答！！,请登陆我校招生网“http://zs.nxu.edu.cn/”后点击“信息查询”，查看我校2015-2017年在贵省录取情况，进行分析判断。
报考,18***08 (河南),2018-06-28 14:56,河南470分137269名是否可以填报贵校二本专业贵校二本哪些专业我可以填报概率大吗,请登陆我校招生网“http://zs.nxu.edu.cn/”后点击“信息查询”，查看我校2015-2017年在贵省录取情况，进行分析判断。
山东考生,15***72 (山东),2018-06-28 14:13,2018年文科552.报考贵校有希望吗,请登陆我校招生网“http://zs.nxu.edu.cn/”后点击“信息查询”，查看我校2015-2017年在贵省录取情况，进行分析判断。
湖南考生报考咨询,18***17 (湖南),2018-06-28 14:01,请教老师，湖南理科考生，498分，（今年湖南一本线513，二本线450）报考贵校有希望吗？盼指点迷津，谢谢，祝老师工作顺利！,请登陆我校招生网“http://zs.nxu.edu.cn/”后点击“信息查询”，查看我校2015-2017年在贵省录取情况，进行分析判断。
