标题,来源,时间,问题,回答
录取,15***93 (江苏),2018-06-23 09:33,你好！如果压最低投档线，能被录取吗？谢谢！,按照往年录取情况，录取分数大于等于最低投档线，如果压线投档有风险
达到贵校在江苏省最低投档线以上会被录取吗？,15***93 (江苏),2018-06-22 16:22,您好！我是江苏省一名文科生，喜欢中国语言文学和新闻传播学专业，高考成绩出来达到贵校最低投档线以上，其他也符合招生章程，如果我填报贵校上述相关专业会被录取吗？谢谢！,请参考我校2017年和2016年在江苏省相关专业录取分数线，另建议填报志愿时选择专业服从。
专项计划,15***06 (安徽),2018-06-22 13:30,超一本线能在地方专项里填安大嘛？如果是线下20分，竞争对象有线上的吗,符合报考地方专项计划条件的考生填报我校后，按照《安徽大学2018年本专科招生章程》录取原则，依据考生总分和专业志愿顺序录取。
专业级差,cm***1 (安徽),2017-06-28 16:57,专业录取差，安大有吗,没有级差
河南理科558分,85*** (河南),2017-06-28 16:34,老师好，河南理科考生，558分，23848名，报考贵校有希望吗？,河南理科近三年情况是高于你省理科一本线60分左右可以尝试报一下
河南理科,41***uiyue (河南),2017-06-28 16:16,河南理科544，位次32478.超一本线60分。能录取吗,您的分数排名可以尝试冲一下最好志愿服从调剂
招生咨询,wa*** (安徽),2017-06-28 16:07,安徽考生文科591分，1300+名，报考安大能录取几率有多大？,您的分数排名报考我们学校很有希望欢迎报考
贫困专项,15***65 (湖南),2017-06-28 15:52,请问1通过贫困专项进入贵校的能否转专业，2是否能跨院系转专业,可以
老师您好，我是山西文科考生,xu***017 (山西),2017-06-28 15:45,考分556，一本线518，全省排名1502名。报考贵校哪些专业比较有希望？,具体专业可以查阅安徽大学招生信息网对于专业的介绍
理科562 16153 金融学 会计学能录取吗,cz*** (安徽),2017-06-28 15:39,理科56216153金融学会计学能录取吗,可以尝试冲一下最好志愿服从调剂
咨询,13***83 (江苏),2017-06-28 15:15,江苏考生在哪个校区就读？如果调剂是否在本校区？龙河校区章程里没看到吗？,大部分专业都是在新校区（磬苑校区），调剂的只在新校区江苏省考生基本都在新校区
咨询,13***83 (江苏),2017-06-28 15:11,学校转专业有什么条件？什么时间可以转？是全校可以转还是学院里转？,转专业在学生入校后大一结束通过各个学院组织的转专业考试即可
龙河校区,cm***1 (安徽),2017-06-28 14:55,为什么龙河校区的分比原校区要低？是因为专业差些吗？,互联网学院是我校新增学院，与我校其他院系并无差异，只是培养的校区不同
咨询录取,cm***1 (安徽),2017-06-28 14:05,安徽排名全省19911名，有望被录取吗？如果可以有哪些专业可以选择,安徽理科全省排名22000名左右可以考虑冲一下最好志愿服从调剂具体专业咨询安徽大学招生信息网的专业介绍
极差,10***1 (辽宁),2017-06-28 11:36,老师请问贵校招生有极差吗？,没有
江西理科考生,13***51 (江西),2018-06-26 14:33,江西理科考生，581，排名14051，能否被贵校录取,你可以在安徽大学招生信息网参考往年在江西的录取情况
录取时间,18***57 (安徽),2018-06-26 13:57,提前批次录取名单公布时间,请你等候公布
关于扩招,18***52 (安徽),2018-06-26 13:56,许多人都说贵校今年扩招，如果是真的大约扩招多少人？如果是假的那么有没有预留的招生名额给投档专业调剂的学生？,相对于往年而言本科扩招一百多人
专业录取,15***72 (陕西),2018-06-26 13:46,老师您好，陕西理科586，位次10809，请问能否被贵校材料类专业录取？,你可以参考我校招生信息网上历年招生中关于陕西的录取情况
安徽考生,18***57 (安徽),2018-06-26 13:46,理工科，2018届，561分，全省三万名，国家专项填报该校可有希望,专项计划可以填报，具体能否录取还要看录取情况
加分政策咨询,18***57 (云南),2018-06-26 13:28,你好，请问贵校是否承认农村独子加分？,国家认可的加分政策我校也承认
录取,18***83 (贵州),2018-06-26 13:21,老师，我是贵州理科考生，高考分数560，排名是13205，能报贵校嘛？,你可以参考我校招生信息网上历年招生中关于贵州的情况
录取咨询 广西考生,15***57 (广西),2018-06-26 13:04,老师好，我是18年广西理科考生，高考成绩为576，超一本线63分，排名12040，有希望录到贵校吗？如果可以，应该报选什么专业呢？,你可以去我校招生网上参考往年的录取情况！
咨询,13***31 (天津),2018-06-26 12:45,老师您好，天津文科考生592分，排名1460左右，报考贵校的经济学类，汉语言文学类，或英语专业，录取的可能性大吗，贵校每年保研录取率约是多少？谢谢,你可以参考我校招生信息网上历年招生中关于天津的录取情况，保研要等到大三时候国家公布保研指标
湖南理科,13***63 (湖南),2018-06-26 12:43,老师您好，湖南理科587分，位次16184，有机会被贵校录取吗？,你可以参考我校招生信息网上历年招生中关于湖南的录取情况
录取问题,18***65 (山西),2018-06-26 12:16,我是山西考生，理科，573高出一本线57，省排一万零五百左右，请问能进贵校吗？贵校是否允许转专业？如允许，需要达到什么条件？,你可以参考我校招生信息网上历年招生中关于山西的录取情况！入学后有一次转专业的机会
续问,18***52 (安徽),2018-06-26 12:12,省排名20700填服从调剂被退档几率大吗？,省内1:1投档，志愿服从调剂，如果进档，其他要求符合，原则上不会退档。
天津文科生,15***34 (天津),2018-06-26 11:53,请问，文科569排名2545报考贵校有希望吗？谢谢,你可以参考我校招生信息网上历年招生中关于天津的情况
咨询,18***76 (福建),2018-06-26 11:36,您好！我是福建理科考生，省排位13343，报考贵校有希望吗？,你可以参考我校招生信息网上历年招生中关于福建的情况
